MnClH2O bl;MnClH2O gse;MnCl2aq bl;MnCl2aq gse
1,32156;-1992,497643;1,40765;-2376,749766
1,42156;-1992,776585;1,50765;-2376,955391
1,52156;-1992,970697;1,60765;-2377,098035
1,62156;-1993,104635;1,70765;-2377,196139
1,72156;-1993,196014;1,80765;-2377,262543
1,82156;-1993,25701;1,90765;-2377,306304
1,92156;-1993,296491;2,00765;-2377,334707
2,02156;-1993,321002;2,10765;-2377,352236
2,12156;-1993,335145;2,20765;-2377,362376
2,22156;-1993,342136;2,30765;-2377,367319
2,32156;-1993,34412;2,40765;-2377,368667
2,42156;-1993,342558;2,50765;-2377,367575
2,52156;-1993,338592;2,60765;-2377,364803
2,62156;-1993,332708;2,70765;-2377,360715
2,72156;-1993,325217;2,80765;-2377,355664
2,82156;-1993,316386;2,90765;-2377,349763
2,92156;-1993,306166;3,00765;-2377,343163
3,02156;-1993,294273;3,10765;-2377,335587
3,12156;-1993,280505;3,20765;-2377,326913
3,22156;-1993,26442;3,30765;-2377,31687
3,32156;-1993,245388;3,40765;-2377,305253
3,42156;-1993,238895;3,50765;-2377,300872
3,52156;-1993,232375;3,60765;-2377,296395
3,62156;-1993,225793;3,70765;-2377,291826
3,72156;-1993,219149;3,80765;-2377,287161
3,82156;-1993,2124;3,90765;-2377,282391
