bond length;gs energy;ex energy
1,10823;-1609,127668;-1609,003883
1,20823;-1609,742239;-1609,576782
1,30823;-1610,153368;-1609,973722
1,40823;-1610,434596;-1610,261971
1,50823;-1610,625851;-1610,458201
1,60823;-1610,753237;-1610,589254
1,70823;-1610,835874;-1610,67482
1,80823;-1610,887073;-1610,728768
1,90823;-1610,91619;-1610,761695
2,00823;-1610,930227;-1610,781899
2,10823;-1610,934061;-1610,795154
2,20823;-1610,93113;-1610,80467
2,30823;-1610,923881;-1610,811184
2,40823;-1610,913883;-1610,815694
2,50823;-1610,902311;-1610,81875
2,60823;-1610,889982;-1610,820899
2,70823;-1610,877436;-1610,822809
2,80823;-1610,865199;-1610,825586
2,90823;-1610,853889;-1610,830859
3,00823;-1610,844512;-1610,833481
3,10823;-1610,8372;-1610,832331
