bond length;gse;ex
1,19158;-2070,172996;-2070,078395
1,29158;-2070,619117;-2070,527196
1,39158;-2070,931273;-2070,822755
1,49158;-2071,148144;-2071,026542
1,59158;-2071,295902;-2071,162321
1,69158;-2071,394436;-2071,250842
1,79158;-2071,458048;-2071,306479
1,89158;-2071,497067;-2071,339569
1,99158;-2071,519166;-2071,357253
2,09158;-2071,529774;-2071,364908
2,19158;-2071,532655;-2071,366773
2,29158;-2071,530483;-2071,37232
2,39158;-2071,524987;-2071,375532
2,49158;-2071,517435;-2071,376553
2,59158;-2071,508703;-2071,376194
2,69158;-2071,499274;-2071,374867
2,79158;-2071,489628;-2071,373105
2,89158;-2071,480029;-2071,371181
2,99158;-2071,470574;-2071,369169
3,09158;-2071,461408;-2071,367234
3,19158;-2071,452629;-2071,36595
