bond length;gs energy;ex energy
1,30779;-2531,040881;-2530,912348
1,40779;-2531,332657;-2531,192022
1,50779;-2531,534843;-2531,385038
1,60779;-2531,673436;-2531,519083
1,70779;-2531,767065;-2531,607346
1,80779;-2531,828744;-2531,663672
1,90779;-2531,86888;-2531,694862
2,00779;-2531,893472;-2531,711682
2,10779;-2531,907387;-2531,720643
2,20779;-2531,914128;-2531,727397
2,30779;-2531,916037;-2531,730321
2,40779;-2531,914712;-2531,731202
2,50779;-2531,911367;-2531,731545
2,60779;-2531,906811;-2531,73202
2,70779;-2531,901476;-2531,732607
2,80779;-2531,895853;-2531,733321
2,90779;-2531,89076;-2531,735475
3,00779;-2531,885476;-2531,737615
3,10779;-2531,880117;-2531,739616
3,20779;-2531,874758;-2531,741472
3,30779;-2531,869415;-2531,743188
