X MnCl2wH2O,Y MnCl2wH2O,X MnCl+,Y MnCl+,X MnCl3-,Y MnCl3-,X MnClH2O,Y MnClH2O,X MnCl2,Y MnCl2,X MnH2O,Y MnH2O,X MnCl2wH2O fit2,Y MnCl2wH2O fit2,X MnCl+ fit2,Y MnCl+ fit2,X MnCl3- fit2,Y MnCl3- fit2,X MnClH2O fit2,Y MnClH2O fit2,X MnCl2 fit2,Y MnCl2 fit2,X MnH2O fit2,Y MnH2O fit2
170.0,0.0,140.0,0.0,180.0,0.0,160.0,0.0,180.0,0.0,140.0,0.0,140.0,0.0,120.0,0.0,160.28,0.0,140.0,0.0,140.0,0.0,120.0,0.0
170.16,0.0,140.28,0.0,180.18,0.0,160.24,0.0,180.18,0.0,140.2,0.0,140.28,0.0,120.36,0.0,160.56,0.0,140.32,0.0,140.32,0.0,120.28,0.0
170.32,0.0,140.56,0.0,180.36,0.0,160.48,0.0,180.36,0.0,140.4,0.0,140.56,0.0,120.72,0.0,160.84,0.0,140.64,0.0,140.64,0.0,120.56,0.0
170.48,0.0,140.84,0.0,180.54,0.0,160.72,0.0,180.54,0.0,140.6,0.0,140.84,0.0,121.08,0.0,161.12,0.0,140.96,0.0,140.96,0.0,120.84,0.0
170.64,0.0,141.12,0.0,180.72,0.0,160.96,0.0,180.72,0.0,140.8,0.0,141.12,0.0,121.44,0.0,161.4,0.0,141.28,0.0,141.28,0.0,121.12,0.0
170.8,0.0,141.4,0.0,180.9,0.0,161.2,0.0,180.9,0.0,141.0,0.0,141.4,0.0,121.8,0.0,161.68,0.0,141.6,0.0,141.6,0.0,121.4,0.0
170.96,0.0,141.68,0.0,181.08,0.0,161.44,0.0,181.08,0.0,141.2,0.0,141.68,0.0,122.16,0.0,161.96,0.0,141.92,0.0,141.92,0.0,121.68,0.0
171.12,0.0,141.96,0.0,181.26,0.0,161.68,0.0,181.26,0.0,141.4,0.0,141.96,0.0,122.52,0.0,162.24,0.0,142.24,0.0,142.24,0.0,121.96,0.0
171.28,0.0,142.24,0.0,181.44,0.0,161.92,0.0,181.44,0.0,141.6,0.0,142.24,0.0,122.88,0.0,162.52,0.0,142.56,0.0,142.56,0.0,122.24,0.0
171.44,0.0,142.52,0.0,181.62,0.0,162.16,0.0,181.62,0.0,141.8,0.0,142.52,0.0,123.24,0.0,162.8,0.0,142.88,0.0,142.88,0.0,122.52,0.0
171.6,0.0,142.8,0.0,181.8,0.0,162.4,0.0,181.8,0.0,142.0,0.0,142.8,0.0,123.6,0.0,163.08,0.0,143.2,0.0,143.2,0.0,122.8,0.0
171.76,0.0,143.08,0.0,181.98,0.0,162.64,0.0,181.98,0.0,142.2,0.0,143.08,0.0,123.96,0.0,163.36,0.0,143.52,0.0,143.52,0.0,123.08,0.0
171.92,0.0,143.36,0.0,182.16,0.0,162.88,0.0,182.16,0.0,142.4,0.0,143.36,0.0,124.32,0.0,163.64,0.0,143.84,0.0,143.84,0.0,123.36,0.0
172.08,0.0,143.64,0.0,182.34,0.0,163.12,0.0,182.34,0.0,142.6,0.0,143.64,0.0,124.68,0.0,163.92,0.0,144.16,0.0,144.16,0.0,123.64,0.0
172.24,0.0,143.92,0.0,182.52,0.0,163.36,0.0,182.52,0.0,142.8,0.0,143.92,0.0,125.04,0.0,164.2,0.0,144.48,0.0,144.48,0.0,123.92,0.0
172.4,0.0,144.2,0.0,182.7,0.0,163.6,0.0,182.7,0.0,143.0,0.0,144.2,0.0,125.4,0.0,164.48,0.0,144.8,0.0,144.8,0.0,124.2,0.0
172.56,0.0,144.48,0.0,182.88,0.0,163.84,0.0,182.88,0.0,143.2,0.0,144.48,0.0,125.76,0.0,164.76,0.0,145.12,0.0,145.12,0.0,124.48,0.0
172.72,0.0,144.76,0.0,183.06,0.0,164.08,0.0,183.06,0.0,143.4,0.0,144.76,0.0,126.12,0.0,165.04,0.0,145.44,0.0,145.44,0.0,124.76,0.0
172.88,0.0,145.04,0.0,183.24,0.0,164.32,0.0,183.24,0.0,143.6,0.0,145.04,0.0,126.48,0.0,165.32,0.0,145.76,0.0,145.76,0.0,125.04,0.0
173.04,0.0,145.32,0.0,183.42,0.0,164.56,0.0,183.42,0.0,143.8,0.0,145.32,0.0,126.84,0.0,165.6,0.0,146.08,0.0,146.08,0.0,125.32,0.0
173.2,0.0,145.6,0.0,183.6,0.0,164.8,0.0,183.6,0.0,144.0,0.0,145.6,0.0,127.2,0.0,165.88,0.0,146.4,0.0,146.4,0.0,125.6,0.0
173.36,0.0,145.88,0.0,183.78,0.0,165.04,0.0,183.78,0.0,144.2,0.0,145.88,0.0,127.56,0.0,166.16,0.0,146.72,0.0,146.72,0.0,125.88,0.0
173.52,0.0,146.16,0.0,183.96,0.0,165.28,0.0,183.96,0.0,144.4,0.0,146.16,0.0,127.92,0.0,166.44,0.0,147.04,0.0,147.04,0.0,126.16,0.0
