X MnCl2wH2O,Y MnCl2wH2O,X MnCl+,Y MnCl+,X MnCl3-,Y MnCl3-,X MnClH2O,Y MnClH2O,X MnCl2,Y MnCl2,X MnH2O,Y MnH2O,X MnCl2wH2O fit2,Y MnCl2wH2O fit2,X MnCl+ fit2,Y MnCl+ fit2,X MnCl3- fit2,Y MnCl3- fit2,X MnClH2O fit2,Y MnClH2O fit2,X MnCl2 fit2,Y MnCl2 fit2,X MnH2O fit2,Y MnH2O fit2
150.0,0.0,140.0,0.0,160.0,0.0,140.0,0.0,160.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0,140.0,0.0,120.0,0.0,140.0,0.0,110.0,0.0
150.18,0.0,140.22,0.0,160.16,0.0,140.18,0.0,160.14,0.0,120.18,0.0,120.28,0.0,120.28,0.0,140.24,0.0,120.28,0.0,140.22,0.0,110.22,0.0
150.36,0.0,140.44,0.0,160.32,0.0,140.36,0.0,160.28,0.0,120.36,0.0,120.56,0.0,120.56,0.0,140.48,0.0,120.56,0.0,140.44,0.0,110.44,0.0
150.54,0.0,140.66,0.0,160.48,0.0,140.54,0.0,160.42,0.0,120.54,0.0,120.84,0.0,120.84,0.0,140.72,0.0,120.84,0.0,140.66,0.0,110.66,0.0
150.72,0.0,140.88,0.0,160.64,0.0,140.72,0.0,160.56,0.0,120.72,0.0,121.12,0.0,121.12,0.0,140.96,0.0,121.12,0.0,140.88,0.0,110.88,0.0
150.9,0.0,141.1,0.0,160.8,0.0,140.9,0.0,160.7,0.0,120.9,0.0,121.4,0.0,121.4,0.0,141.2,0.0,121.4,0.0,141.1,0.0,111.1,0.0
151.08,0.0,141.32,0.0,160.96,0.0,141.08,0.0,160.84,0.0,121.08,0.0,121.68,0.0,121.68,0.0,141.44,0.0,121.68,0.0,141.32,0.0,111.32,0.0
151.26,0.0,141.54,0.0,161.12,0.0,141.26,0.0,160.98,0.0,121.26,0.0,121.96,0.0,121.96,0.0,141.68,0.0,121.96,0.0,141.54,0.0,111.54,0.0
151.44,0.0,141.76,0.0,161.28,0.0,141.44,0.0,161.12,0.0,121.44,0.0,122.24,0.0,122.24,0.0,141.92,0.0,122.24,0.0,141.76,0.0,111.76,0.0
151.62,0.0,141.98,0.0,161.44,0.0,141.62,0.0,161.26,0.0,121.62,0.0,122.52,0.0,122.52,0.0,142.16,0.0,122.52,0.0,141.98,0.0,111.98,0.0
151.8,0.0,142.2,0.0,161.6,0.0,141.8,0.0,161.4,0.0,121.8,0.0,122.8,0.0,122.8,0.0,142.4,0.0,122.8,0.0,142.2,0.0,112.2,0.0
151.98,0.0,142.42,0.0,161.76,0.0,141.98,0.0,161.54,0.0,121.98,0.0,123.08,0.0,123.08,0.0,142.64,0.0,123.08,0.0,142.42,0.0,112.42,0.0
152.16,0.0,142.64,0.0,161.92,0.0,142.16,0.0,161.68,0.0,122.16,0.0,123.36,0.0,123.36,0.0,142.88,0.0,123.36,0.0,142.64,0.0,112.64,0.0
152.34,0.0,142.86,0.0,162.08,0.0,142.34,0.0,161.82,0.0,122.34,0.0,123.64,0.0,123.64,0.0,143.12,0.0,123.64,0.0,142.86,0.0,112.86,0.0
152.52,0.0,143.08,0.0,162.24,0.0,142.52,0.0,161.96,0.0,122.52,0.0,123.92,0.0,123.92,0.0,143.36,0.0,123.92,0.0,143.08,0.0,113.08,0.0
152.7,0.0,143.3,0.0,162.4,0.0,142.7,0.0,162.1,0.0,122.7,0.0,124.2,0.0,124.2,0.0,143.6,0.0,124.2,0.0,143.3,0.0,113.3,0.0
152.88,0.0,143.52,0.0,162.56,0.0,142.88,0.0,162.24,0.0,122.88,0.0,124.48,0.0,124.48,0.0,143.84,0.0,124.48,0.0,143.52,0.0,113.52,0.0
153.06,0.0,143.74,0.0,162.72,0.0,143.06,0.0,162.38,0.0,123.06,0.0,124.76,0.0,124.76,0.0,144.08,0.0,124.76,0.0,143.74,0.0,113.74,0.0
153.24,0.0,143.96,0.0,162.88,0.0,143.24,0.0,162.52,0.0,123.24,0.0,125.04,0.0,125.04,0.0,144.32,0.0,125.04,0.0,143.96,0.0,113.96,0.0
153.42,0.0,144.18,0.0,163.04,0.0,143.42,0.0,162.66,0.0,123.42,0.0,125.32,0.0,125.32,0.0,144.56,0.0,125.32,0.0,144.18,0.0,114.18,0.0
153.6,0.0,144.4,0.0,163.2,0.0,143.6,0.0,162.8,0.0,123.6,0.0,125.6,0.0,125.6,0.0,144.8,0.0,125.6,0.0,144.4,0.0,114.4,0.0
153.78,0.0,144.62,0.0,163.36,0.0,143.78,0.0,162.94,0.0,123.78,0.0,125.88,0.0,125.88,0.0,145.04,0.0,125.88,0.0,144.62,0.0,114.62,0.0
153.96,0.0,144.84,0.0,163.52,0.0,143.96,0.0,163.08,0.0,123.96,0.0,126.16,0.0,126.16,0.0,145.28,0.0,126.16,0.0,144.84,0.0,114.84,0.0
154.14,0.0,145.06,0.0,163.68,0.0,144.14,0.0,163.22,0.0,124.14,0.0,126.44,0.0,126.44,0.0,145.52,0.0,126.44,0.0,145.06,0.0,115.06,0.0
154.32,0.0,145.28,0.0,163.84,0.0,144.32,0.0,163.36,0.0,124.32,0.0,126.72,0.0,126.72,0.0,145.76,0.0,126.72,0.0,145.28,0.0,115.28,0.0
154.5,0.0,145.5,0.0,164.0,0.0,144.5,0.0,163.5,0.0,124.5,0.0,127.0,0.0,127.0,0.0,146.0,0.0,127.0,0.0,145.5,0.0,115.5,0.0
154.68,0.0,145.72,0.0,164.16,0.0,144.68,0.0,163.64,0.0,124.68,0.0,127.28,0.0,127.28,0.0,146.24,0.0,127.28,0.0,145.72,0.0,115.72,0.0
154.86,0.0,145.94,0.0,164.32,0.0,144.86,0.0,163.78,0.0,124.86,0.0,127.56,0.0,127.56,0.0,146.48,0.0,127.56,0.0,145.94,0.0,115.94,0.0
155.04,0.0,146.16,0.0,164.48,0.0,145.04,0.0,163.92,0.0,125.04,0.0,127.84,0.0,127.84,0.0,146.72,0.0,127.84,0.0,146.16,0.0,116.16,0.0
155.22,0.0,146.38,0.0,164.64,0.0,145.22,0.0,164.06,0.0,125.22,0.0,128.12,0.0,128.12,0.0,146.96,0.0,128.12,0.0,146.38,0.0,116.38,0.0
155.4,0.0,146.6,0.0,164.8,0.0,145.4,0.0,164.2,0.0,125.4,0.0,128.4,0.0,128.4,0.0,147.2,0.0,128.4,0.0,146.6,0.0,116.6,0.0
155.58,0.0,146.82,0.0,164.96,0.0,145.58,0.0,164.34,0.0,125.58,0.0,128.68,0.0,128.68,0.0,147.44,0.0,128.68,0.0,146.82,0.0,116.82,0.0
155.76,0.0,147.04,0.0,165.12,0.0,145.76,0.0,164.48,0.0,125.76,0.0,128.96,0.0,128.96,0.0,147.68,0.0,128.96,0.0,147.04,0.0,117.04,0.0
155.94,0.0,147.26,0.0,165.28,0.0,145.94,0.0,164.62,0.0,125.94,0.0,129.24,0.0,129.24,0.0,147.92,0.0,129.24,0.0,147.26,0.0,117.26,0.0
156.12,0.0,147.48,0.0,165.44,0.0,146.12,0.0,164.76,0.0,126.12,0.0,129.52,0.0,129.52,0.0,148.16,0.0,129.52,0.0,147.48,0.0,117.48,0.0
156.3,0.0,147.7,0.0,165.6,0.0,146.3,0.0,164.9,0.0,126.3,0.0,129.8,0.0,129.8,0.0,148.4,0.0,129.8,0.0,147.7,0.0,117.7,0.0
156.48,0.0,147.92,0.0,165.76,0.0,146.48,0.0,165.04,0.0,126.48,0.0,130.08,0.0,130.08,0.0,148.64,0.0,130.08,0.0,147.92,0.0,117.92,0.0
156.66,0.0,148.14,1.660577881102624e-31,165.92,0.0,146.66,0.0,165.18,0.0,126.66,0.0,130.36,0.0,130.36,0.0,148.88,0.0,130.36,0.0,148.14,0.0,118.14,0.0
156.84,0.0,148.36,3.321155762205248e-31,166.08,0.0,146.84,0.0,165.32,0.0,126.84,0.0,130.64,0.0,130.64,0.0,149.12,0.0,130.64,0.0,148.36,0.0,118.36,0.0
157.02,0.0,148.58,1.1624045167718366e-30,166.24,0.0,147.02,0.0,165.46,0.0,127.02,0.0,130.92,0.0,130.92,0.0,149.36,0.0,130.92,0.0,148.58,0.0,118.58,0.0
157.2,0.0,148.8,3.321155762205248e-30,166.4,0.0,147.2,0.0,165.6,0.0,127.2,0.0,131.2,0.0,131.2,0.0,149.6,0.0,131.2,0.0,148.8,0.0,118.8,0.0
157.38,0.0,149.02,9.963467286615743e-30,166.56,1.660577881102624e-31,147.38,0.0,165.74,0.0,127.38,0.0,131.48,0.0,131.48,0.0,149.84,0.0,131.48,0.0,149.02,0.0,119.02,0.0
157.56,0.0,149.24,2.8229823978744604e-29,166.72,1.660577881102624e-31,147.56,1.660577881102624e-31,165.88,0.0,127.56,0.0,131.76,0.0,131.76,0.0,150.08,0.0,131.76,0.0,149.24,0.0,119.24,0.0
157.74,0.0,149.46,7.887744935237463e-29,166.88,3.321155762205248e-31,147.74,3.321155762205248e-31,166.02,0.0,127.74,0.0,132.04,0.0,132.04,0.0,150.32,0.0,132.04,0.0,149.46,0.0,119.46,0.0
157.92,0.0,149.68,2.158751245433411e-28,167.04,6.642311524410496e-31,147.92,9.963467286615743e-31,166.16,0.0,127.92,0.0,132.32,0.0,132.32,0.0,150.56,0.0,132.32,0.0,149.68,0.0,119.68,0.0
158.1,0.0,149.9,5.7289936898040515e-28,167.2,1.1624045167718366e-30,148.1,2.4908668216539358e-30,166.3,0.0,128.1,0.0,132.6,0.0,132.6,0.0,150.8,0.0,132.6,0.0,149.9,0.0,119.9,0.0
158.28,0.0,150.12,1.4911989372301563e-27,167.36,1.9926934573231486e-30,148.28,6.144138160079708e-30,166.44,0.0,128.28,0.0,132.88,0.0,132.88,0.0,151.04,0.0,132.88,0.0,150.12,0.0,120.12,0.0
158.46,0.0,150.34,3.786117568913983e-27,167.52,3.4872135503155104e-30,148.46,1.4945200929923614e-29,166.58,0.0,128.46,0.0,133.16,0.0,133.16,0.0,151.28,0.0,133.16,0.0,150.34,0.0,120.34,0.0
158.64,0.0,150.56,9.415476585851876e-27,167.68,6.144138160079708e-30,148.64,3.5370308867485886e-29,166.72,0.0,128.64,0.0,133.44,0.0,133.44,0.0,151.52,0.0,133.44,0.0,150.56,0.0,120.56,0.0
158.82,0.0,150.78,2.2915974759216208e-26,167.84,1.0793756227167055e-29,148.82,8.302889405513118e-29,166.86,0.0,128.82,0.0,133.72,0.0,133.72,0.0,151.76,0.0,133.72,0.0,150.78,0.0,120.78,0.0
159.0,0.0,151.0,5.43008967120558e-26,168.0,1.8764530056459648e-29,149.0,1.91132514114912e-28,167.0,0.0,129.0,0.0,134.0,0.0,134.0,0.0,152.0,0.0,134.0,0.0,151.0,0.0,121.0,0.0
159.18,0.0,151.22,1.2612587180338758e-25,168.16,3.22152108933909e-29,149.18,4.33576884755895e-28,167.14,0.0,129.18,0.0,134.28,0.0,134.28,0.0,152.24,0.0,134.28,0.0,151.22,0.0,121.22,0.0
159.36,0.0,151.44,2.864911989372302e-25,168.32,5.496512786449684e-29,149.36,9.679508468947192e-28,167.28,1.660577881102624e-31,129.36,0.0,134.56,0.0,134.56,0.0,152.48,0.0,134.56,0.0,151.44,0.0,121.44,0.0
159.54,0.0,151.66,6.36617402856194e-25,168.48,9.332447691796746e-29,149.54,2.127366323480571e-27,167.42,1.660577881102624e-31,129.54,0.0,134.84,0.0,134.84,0.0,152.72,0.0,134.84,0.0,151.66,0.0,121.66,0.0
159.72,0.0,151.88,1.3841647293258054e-24,168.64,1.5742278312852875e-28,149.72,4.602955828628363e-27,167.56,3.321155762205248e-31,129.72,0.0,135.12,0.0,135.12,0.0,152.96,0.0,135.12,0.0,151.88,0.0,121.88,0.0
159.9,0.0,152.1,2.9452009299236136e-24,168.8,2.640318830953172e-28,149.9,9.806708734639654e-27,167.7,6.642311524410496e-31,129.9,0.0,135.4,0.0,135.4,0.0,153.2,0.0,135.4,0.0,152.1,0.0,122.1,0.0
160.08,0.0,152.32,6.1339123214878786e-24,168.96,4.383925606110927e-28,150.08,2.057522417801395e-26,167.84,1.1624045167718366e-30,130.08,0.0,135.68,0.0,135.68,0.0,153.44,1.660577881102624e-31,135.68,0.0,152.32,0.0,122.32,0.0
160.26,0.0,152.54,1.250638326137496e-23,169.12,7.223513782796414e-28,150.26,4.2515609432082367e-26,167.98,1.826635669212886e-30,130.26,0.0,135.96,0.0,135.96,0.0,153.68,1.660577881102624e-31,135.96,0.0,152.54,0.0,122.54,0.0
160.44,0.0,152.76,2.4967396213882433e-23,169.28,1.1856526071072735e-27,150.44,8.653271338425774e-26,168.12,3.321155762205248e-30,130.44,0.0,136.24,0.0,136.24,0.0,153.92,3.321155762205248e-31,136.24,0.0,152.76,0.0,122.76,0.0
160.62,0.0,152.98,4.881319495184324e-23,169.44,1.9262703420790438e-27,150.62,1.7349385586183992e-25,168.26,5.6459647957489206e-30,130.62,0.0,136.52,0.0,136.52,0.0,154.16,6.642311524410496e-31,136.52,0.0,152.98,0.0,122.98,1.660577881102624e-31
160.8,0.0,153.2,9.347556127532382e-23,169.6,3.1218864164729327e-27,150.8,3.426934573231485e-25,168.4,9.465293922284956e-30,130.8,0.0,136.8,0.0,136.8,0.0,154.4,9.963467286615743e-31,136.8,1.660577881102624e-31,153.2,0.0,123.2,1.660577881102624e-31
160.98,1.660577881102624e-31,153.42,1.7535962969113253e-22,169.76,5.0315509797409495e-27,150.98,6.669445366987712e-25,168.54,1.610760544669545e-29,130.98,0.0,137.08,0.0,137.08,0.0,154.64,1.826635669212886e-30,137.08,3.321155762205248e-31,153.42,0.0,123.42,4.9817336433078715e-31
161.16,3.321155762205248e-31,153.64,3.223331966124211e-22,169.92,8.037196944536701e-27,151.16,1.279028561939555e-24,168.68,2.7067419461972766e-29,131.16,0.0,137.36,0.0,137.36,1.660577881102624e-31,154.88,3.321155762205248e-30,137.36,8.30288940551312e-31,153.64,1.660577881102624e-31,123.64,1.1624045167718366e-30
161.34,6.642311524410496e-31,153.86,5.806265659249419e-22,170.08,1.2769843905679176e-26,151.34,2.4172534041846566e-24,168.82,4.5499833942211896e-29,131.34,0.0,137.64,0.0,137.64,3.321155762205248e-31,155.12,5.6459647957489206e-30,137.64,1.826635669212886e-30,153.86,1.660577881102624e-31,123.86,2.4908668216539358e-30
161.52,1.4945200929923613e-30,154.08,1.0251258452341415e-21,170.24,2.0092992361341747e-26,151.52,4.5025639322484226e-24,168.96,7.555629359016937e-29,131.52,0.0,137.92,0.0,137.92,6.642311524410496e-31,155.36,9.631351710395217e-30,137.92,4.15144470275656e-30,154.08,3.321155762205248e-31,124.08,5.479907007638659e-30
161.7,3.1550979740949852e-30,154.3,1.7742598721355036e-21,170.4,3.171703752906011e-26,151.7,8.266781800066424e-24,169.1,1.2520757223513785e-28,131.7,0.0,138.2,0.0,138.2,1.4945200929923613e-30,155.6,1.6439721022915975e-29,138.2,9.299236134174693e-30,154.3,6.642311524410496e-31,124.3,1.195616074393889e-29
161.88,6.642311524410496e-30,154.52,3.010840851876453e-21,170.56,4.948522085685819e-26,151.88,1.496220026569246e-23,169.24,2.0591165725672534e-28,131.88,0.0,138.48,0.0,138.48,3.321155762205248e-30,155.84,2.7897708402524083e-29,138.48,2.009299236134175e-29,154.52,9.963467286615743e-31,124.52,2.60710727333112e-29
162.06,1.4114911989372302e-29,154.74,5.010246021255397e-21,170.72,7.671869810694122e-26,152.06,2.6698075390235806e-23,169.38,3.370973098638326e-28,132.06,1.660577881102624e-31,138.76,0.0,138.76,7.140484888741281e-30,156.08,4.6828296247093995e-29,138.76,4.317502490866822e-29,154.74,1.660577881102624e-30,124.74,5.579541680504817e-29
