Wavelengt [nm],s1.3,s2.3,s3.3,s4.3
729.9,1.4638177197340368e-09,7.889709035455412e-10,4.43127085547492e-10,1.8079871374564611e-09
729.8,1.5859887598141769e-09,8.497607537260007e-10,6.647686868445364e-10,1.921211926251951e-09
729.7,1.4641615291536733e-09,7.891562105170317e-10,5.540389544731957e-10,1.808411782547212e-09
729.6,1.4033195407858465e-09,7.285374129256402e-10,3.324624019455666e-10,1.8086241050925875e-09
729.5,1.4034842827994224e-09,6.679043609518265e-10,3.325014312072158e-10,1.808836427637963e-09
729.4,1.342620806342868e-09,6.072570545955904e-10,2.216936403125767e-10,1.8090487501833385e-09
729.3,1.403813766826574e-09,7.287939918092425e-10,3.3257948973051423e-10,1.922339889774258e-09
729.2,1.4039785088401498e-09,7.288795181037766e-10,3.3261851899216346e-10,1.8094733952740893e-09
729.1,1.4041432508537257e-09,7.289650443983108e-10,5.544292470896878e-10,1.6965803604557483e-09
729.0,1.4043079928673017e-09,7.290505706928449e-10,5.544942958591032e-10,1.5836607853192352e-09
728.9,1.4044727348808774e-09,7.898974384029939e-10,5.545593446285185e-10,1.6969784652283272e-09
728.8,1.2824950875992835e-09,7.899900918887392e-10,3.327746360387603e-10,1.6971775176146167e-09
728.7,1.2826455042203745e-09,9.116339369705591e-10,2.2187577686693967e-10,1.923693446001027e-09
728.6,1.2217104008013956e-09,9.117408448387267e-10,0.0,1.9239190387054884e-09
728.5,1.3440390201988687e-09,9.118477527068943e-10,1.1096390794123598e-10,1.9241446314099497e-09
728.4,1.4052964449487567e-09,8.511576832033911e-10,2.2195383539023808e-10,1.924370224114411e-09
728.3,1.5276752032199268e-09,7.904533593174655e-10,4.4395970979600846e-10,1.8113842981824684e-09
728.2,1.5278542706259876e-09,7.905460128032109e-10,5.55014686014426e-10,1.811596620727844e-09
728.1,1.5280333380320483e-09,7.906386662889562e-10,5.550797347838413e-10,1.8118089432732195e-09
728.0,1.4670839092205842e-09,7.907313197747014e-10,5.551447835532567e-10,1.812021265818595e-09
727.9,1.406120155016636e-09,8.516565865881734e-10,5.55209832322672e-10,1.9254981876367185e-09
727.8,1.4062848970302118e-09,8.517563672651299e-10,6.663298573105047e-10,1.8124459109093458e-09
727.7,1.467599623350039e-09,9.127030156522354e-10,7.774759018061037e-10,2.1525316522274815e-09
727.6,1.5289286750623518e-09,9.12809923520403e-10,6.664859743571015e-10,1.9261749657501025e-09
727.5,1.4679434327696755e-09,9.129168313885707e-10,5.554700274003334e-10,1.926400558454564e-09
727.4,1.5904582822694522e-09,9.130237392567382e-10,5.555350761697488e-10,1.8132952010908476e-09
727.3,1.5906445123717551e-09,9.740060235998996e-10,5.556001249391641e-10,1.813507523636223e-09
727.2,1.5908307424740583e-09,1.0350025623254831e-09,5.556651737085794e-10,1.8137198461815986e-09
727.1,1.5910169725763614e-09,1.035123724576073e-09,7.780223114691926e-10,1.9273029292724096e-09
727.0,1.5912032026786646e-09,9.74348128778036e-10,6.66954325496892e-10,1.9275285219768714e-09
726.9,1.5913894327809677e-09,9.135582785975764e-10,6.670323840201904e-10,1.9277541146813327e-09
726.8,1.5303612143108376e-09,8.527541740346944e-10,4.447402950289926e-10,1.8145691363631004e-09
726.7,1.5305402817168983e-09,9.746902339561725e-10,4.447923340445249e-10,1.9282053000902554e-09
726.6,1.530719349122959e-09,9.748042690155512e-10,5.560554663250715e-10,1.9284308927947167e-09
726.5,1.408426543206698e-09,1.0967830920842961e-09,4.448964120755895e-10,1.9286564854991785e-09
726.4,1.4698343845776766e-09,1.035971860330203e-09,6.674226766366825e-10,1.92888207820364e-09
726.3,1.470006289287495e-09,9.751463741936877e-10,6.67500735159981e-10,2.042584592726225e-09
726.2,1.4089207692474255e-09,9.752604092530664e-10,5.563156614027329e-10,2.0428234555897723e-09
726.1,1.4090855112610013e-09,9.144135415429175e-10,4.451045681377186e-10,1.7025519320444331e-09
726.0,1.4705220034169497e-09,9.754884793718241e-10,3.3386745536493807e-10,1.816267716726104e-09
725.9,1.470693908126768e-09,1.0365776715831529e-09,3.339064846265873e-10,1.8164800392714796e-09
725.8,1.5321518883714446e-09,9.147342651474203e-10,5.565758564803943e-10,1.816692361816855e-09
725.7,1.5323309557775054e-09,9.758305845499605e-10,6.679690862997714e-10,1.8169046843622306e-09
725.6,1.471209622256223e-09,1.0369411583349228e-09,7.793883356269149e-10,1.9306868198393313e-09
725.5,1.5326890905896268e-09,9.76058654668718e-10,7.794794039040964e-10,1.9309124125437926e-09
725.4,1.5328681579956876e-09,1.0981942759441088e-09,7.795704721812779e-10,2.0447343584981512e-09
