X MnCl+;Y MnCl+;Y2 MnCl+;X MnCl3-;Y MnCl3-;Y2 MnCl3-;X MnClH2O;Y MnClH2O;Y2 MnClH2O;X MnCl2;Y MnCl2;Y2 MnCl2;X MnH2O;Y MnH2O;Y2 MnH2O;X MnCl+ fit2;Y MnCl+  fit2;Y2 MnCl+  fit2;X MnCl3- fit2;Y MnCl3- fit2;Y2 MnCl3- fit2;X MnClH2O fit2;Y MnClH2O fit2;Y2 MnClH2O fit2;X MnCl2 fit2;Y MnCl2 fit2;Y2 MnCl2 fit2;X MnH2O fit2;Y MnH2O fit2;Y2 MnH2O fit2
412,6;0,0055;12423,85772;280,76;0;0;271,65;0,0001;129,3274372;313,62;0,0099;17237,02652;203,49;0;0;412,6;0,0055;12423,85772;280,76;0;0;271,65;0,0001;129,3274372;313,62;0,0099;17237,02652;203,49;0;0
412,6;0,0055;12423,85772;262,38;0;0;246,03;0,0068;8794,26573;313,62;0,0099;17237,02652;203,44;0;0;412,6;0,0055;12423,85772;262,38;0;0;246,03;0,0068;8794,26573;313,62;0,0099;17237,02652;203,44;0;0
377,53;0,0035;7906,091276;262,38;0;0;245,64;0,0056;7242,336483;305,67;0;0;178,1;0;0;377,53;0,0035;7906,091276;262,38;0;0;245,64;0,0056;7242,336483;305,67;0;0;178,1;0;0
377,53;0,0035;7906,091276;261,5;0,0252;37188,42392;245,4;0,0003;387,9823116;305,67;0;0;178,09;0;0;377,53;0,0035;7906,091276;261,5;0,0252;37188,42392;245,4;0,0003;387,9823116;305,67;0;0;178,09;0;0
363,61;0;0;261,5;0,0252;37188,42392;243,92;0;0;280,72;0;0;178,08;0;0;363,61;0;0;261,5;0,0252;37188,42392;243,92;0;0;280,72;0;0;178,08;0;0
363,61;0;0;255,1;0,0076;11215,55642;242,98;0,0094;12156,7791;280,72;0;0;165,22;0;0;363,61;0;0;255,1;0,0076;11215,55642;242,98;0,0094;12156,7791;280,72;0;0;165,22;0;0
359,27;0;0;255,1;0,0076;11215,55642;239,37;0,0006;775,9646232;278,82;0,0024;4178,673097;165,2;0;0;359,27;0;0;255,1;0,0076;11215,55642;239,37;0,0006;775,9646232;278,82;0,0024;4178,673097;165,2;0;0
359,27;0;0;254,6;0,0179;26415,58683;237,53;0,0045;5819,734674;278,82;0,0024;4178,673097;165,18;0,0031;2417,363299;359,27;0;0;254,6;0,0179;26415,58683;237,53;0,0045;5819,734674;278,82;0,0024;4178,673097;165,18;0,0031;2417,363299
353,36;0,0003;677,6649665;248,23;0;0;235,65;0,0214;27676,07156;276,16;0;0;165,17;0,0019;1481,609764;353,36;0,0003;677,6649665;248,23;0;0;235,65;0,0214;27676,07156;276,16;0;0;165,17;0,0019;1481,609764
353,36;0,0003;677,6649665;248,23;0;0;230,34;0,0137;17717,8589;276,16;0;0;165,17;0,0024;1871,50707;353,36;0,0003;677,6649665;248,23;0;0;230,34;0,0137;17717,8589;276,16;0;0;165,17;0,0024;1871,50707
