X MnCl+;Y MnCl+;DY/DX MnCl+;X MnCl3-;Y MnCl3-;DY/DX MnCl3-;X MnClH2O;Y MnClH2O;DY/DX MnClH2O;X MnCl2;Y MnCl2;DY/DX MnCl2;X MnH2O;Y MnH2O;DY/DX MnH2O;X MnCl+ fit2;Y MnCl+ fit2;DY/DX MnCl+ fit2;X MnCl3- fit2;Y MnCl3- fit2;DY/DX MnCl3- fit2;X MnClH2O fit2;Y MnClH2O fit2;DY/DX MnClH2O fit2;X MnCl2 fit2;Y MnCl2 fit2;DY/DX MnCl2 fit2;X MnH2O fit2;Y MnH2O fit2;DY/DX MnH2O fit2
150;0;0;180;0;0;160;0;0;180;0;0;140;0;0;100;0;0;160;0;0;140;0;0;150;0;0;120;0;0
150,7;0;0;180,28;0;0;160,28;0;0;180,36;0;0;140,16;0;0;100,9;0;0;160,4;0;0;140,4;0;0;150,5;0;0;120,24;0;0
151,4;0;0;180,56;0;0;160,56;0;0;180,72;0;0;140,32;0;0;101,8;0;0;160,8;0;0;140,8;0;0;151;0;0;120,48;0;0
152,1;0;0;180,84;0;0;160,84;0;0;181,08;0;0;140,48;0;0;102,7;0;0;161,2;0;0;141,2;0;0;151,5;0;0;120,72;0;0
152,8;0;0;181,12;0;0;161,12;0;0;181,44;0;0;140,64;0;0;103,6;0;0;161,6;0;0;141,6;0;0;152;0;0;120,96;0;0
153,5;0;0;181,4;0;0;161,4;0;0;181,8;0;0;140,8;0;0;104,5;0;0;162;0;0;142;0;0;152,5;0;0;121,2;0;0
154,2;0;0;181,68;0;0;161,68;0;0;182,16;0;0;140,96;0;0;105,4;0;0;162,4;0;0;142,4;0;0;153;0;0;121,44;0;0
154,9;0;0;181,96;0;0;161,96;0;0;182,52;0;0;141,12;0;0;106,3;0;0;162,8;0;0;142,8;0;0;153,5;0;0;121,68;0;0
155,6;0;0;182,24;0;0;162,24;0;0;182,88;0;0;141,28;0;0;107,2;0;0;163,2;0;0;143,2;0;0;154;0;0;121,92;0;0
156,3;0;0;182,52;0;0;162,52;0;0;183,24;0;0;141,44;0;0;108,1;0;0;163,6;0;0;143,6;0;0;154,5;0;0;122,16;0;0
157;0;0;182,8;0;0;162,8;0;0;183,6;0;0;141,6;0;0;109;0;0;164;0;0;144;0;0;155;0;0;122,4;0;0
157,7;0;0;183,08;0;0;163,08;0;0;183,96;0;0;141,76;0;0;109,9;0;0;164,4;0;0;144,4;0;0;155,5;0;0;122,64;0;0
158,4;0;0;183,36;0;0;163,36;0;0;184,32;0;0;141,92;0;0;110,8;0;0;164,8;0;0;144,8;0;0;156;0;0;122,88;0;0
159,1;0;0;183,64;0;0;163,64;0;0;184,68;0;0;142,08;0;0;111,7;0;0;165,2;0;0;145,2;0;0;156,5;0;0;123,12;0;0
159,8;0;0;183,92;0;0;163,92;0;0;185,04;0;0;142,24;0;0;112,6;0;0;165,6;0;0;145,6;0;0;157;0;0;123,36;0;0
160,5;0;0;184,2;0;0;164,2;0;0;185,4;0;0;142,4;0;0;113,5;0;0;166;0;0;146;0;0;157,5;0;0;123,6;0;0
161,2;0;0;184,48;0;0;164,48;0;0;185,76;0;0;142,56;0;0;114,4;0;0;166,4;0;0;146,4;0;0;158;0;0;123,84;0;0
161,9;0;0;184,76;0;0;164,76;0;0;186,12;0;0;142,72;0;0;115,3;0;0;166,8;0;0;146,8;0;0;158,5;0;0;124,08;0;0
162,6;0;0;185,04;0;0;165,04;0;0;186,48;0;0;142,88;0;0;116,2;0;0;167,2;0;0;147,2;0;0;159;0;0;124,32;0;0
163,3;0;0;185,32;0;0;165,32;0;0;186,84;0;0;143,04;0;0;117,1;0;0;167,6;0;0;147,6;0;0;159,5;0;0;124,56;0;0
164;0;0;185,6;0;0;165,6;0;0;187,2;0;0;143,2;0;0;118;0;0;168;0;0;148;0;0;160;0;0;124,8;0;0
164,7;0;0;185,88;0;0;165,88;0;0;187,56;0;0;143,36;0;0;118,9;0;0;168,4;0;0;148,4;0;0;160,5;0;0;125,04;0;0
165,4;0;0;186,16;0;0;166,16;0;0;187,92;0;0;143,52;0;0;119,8;0;0;168,8;0;0;148,8;0;0;161;0;0;125,28;0;0
166,1;0;0;186,44;0;0;166,44;0;0;188,28;0;0;143,68;0;0;120,7;0;0;169,2;0;0;149,2;0;0;161,5;0;0;125,52;0;0
166,8;0;0;186,72;0;0;166,72;0;0;188,64;0;0;143,84;0;0;121,6;0;0;169,6;0;0;149,6;0;0;162;0;0;125,76;0;0
167,5;0;0;187;0;0;167;0;0;189;0;0;144;0;0;122,5;0;0;170;0;0;150;0;0;162,5;0;0;126;0;0
168,2;0;0;187,28;0;0;167,28;0;0;189,36;0;0;144,16;0;0;123,4;0;0;170,4;0;0;150,4;0;0;163;0;0;126,24;0;0
168,9;0;0;187,56;0;0;167,56;0;0;189,72;0;0;144,32;0;0;124,3;0;0;170,8;0;0;150,8;0;0;163,5;0;0;126,48;0;0
169,6;0;0;187,84;0;0;167,84;0;0;190,08;0;0;144,48;0;0;125,2;0;0;171,2;0;0;151,2;0;0;164;0;0;126,72;0;0
170,3;0;0;188,12;0;0;168,12;0;0;190,44;0;0;144,64;0;0;126,1;0;0;171,6;0;0;151,6;0;0;164,5;0;0;126,96;0;0
171;0;0;188,4;0;0;168,4;0;0;190,8;0;0;144,8;0;0;127;0;0;172;0;0;152;0;0;165;0;0;127,2;0;0
171,7;0;0;188,68;0;0;168,68;0;0;191,16;0;0;144,96;0;0;127,9;0;0;172,4;0;0;152,4;0;0;165,5;0;0;127,44;0;0
172,4;0;0;188,96;0;0;168,96;0;0;191,52;0;0;145,12;0;0;128,8;0;0;172,8;0;0;152,8;0;0;166;0;0;127,68;0;0
173,1;0;0;189,24;0;0;169,24;0;0;191,88;0;0;145,28;0;0;129,7;0;0;173,2;0;0;153,2;0;0;166,5;0;0;127,92;0;0
