X MnCl+;Y MnCl+;Y2 MnCl+;X MnCl3-;Y MnCl3-;Y2 MnCl3-;X MnClH2O;Y MnClH2O;Y2 MnClH2O;X MnCl2;Y MnCl2;Y2 MnCl2;X MnH2O;Y MnH2O;Y2 MnH2O;X MnCl+ fit2;Y MnCl+  fit2;Y2 MnCl+  fit2;X MnCl3- fit2;Y MnCl3- fit2;Y2 MnCl3- fit2;X MnClH2O fit2;Y MnClH2O fit2;Y2 MnClH2O fit2;X MnCl2 fit2;Y MnCl2 fit2;Y2 MnCl2 fit2;X MnH2O fit2;Y MnH2O fit2;Y2 MnH2O fit2
248,93;0,0111;11659,72549;237,45;0,0497;57398,46429;249,92;0,0035;3873,612611;238,33;0,0165;18950,16387;220,25;0,0001;83,54014595;248,93;0,0111;11659,72549;237,45;0,0497;57398,46429;249,92;0,0035;3873,612611;238,33;0,0165;18950,16387;220,25;0,0001;83,54014595
248,93;0,0111;11659,72549;234,76;0,0509;58784,3427;224,86;0,0031;3430,914027;238,33;0,0165;18950,16387;219,79;0;0;248,93;0,0111;11659,72549;234,76;0,0509;58784,3427;224,86;0,0031;3430,914027;238,33;0,0165;18950,16387;219,79;0;0
246,08;0,0192;20168,17382;233,33;0;0;221,46;0,0028;3098,890089;236,8;0;0;187,56;0;0;246,08;0,0192;20168,17382;233,33;0;0;221,46;0,0028;3098,890089;236,8;0;0;187,56;0;0
235,98;0,0096;10084,08691;225,59;0;0;220,62;0,0057;6308,454824;236,8;0;0;187,52;0,0001;83,54014595;235,98;0,0096;10084,08691;225,59;0;0;220,62;0,0057;6308,454824;236,8;0;0;187,52;0,0001;83,54014595
235,98;0,0096;10084,08691;224,63;0;0;218,9;0,0228;25233,8193;224,92;0;0;187,25;0;0;235,98;0,0096;10084,08691;224,63;0;0;218,9;0,0228;25233,8193;224,92;0;0;187,25;0;0
231,4;0;0;222,74;0;0;217,9;0,0176;19478,7377;224,92;0;0;182,67;0,0333;27818,8686;231,4;0;0;222,74;0;0;217,9;0,0176;19478,7377;224,92;0;0;182,67;0,0333;27818,8686
231,4;0;0;222,66;0;0;216;0,0001;110,674646;224,39;0;0;182,44;0,0324;27067,00729;231,4;0;0;222,66;0;0;216;0,0001;110,674646;224,39;0;0;182,44;0,0324;27067,00729
230,21;0;0;220,81;0,0232;26793,64932;214,86;0,0166;18371,99124;224,39;0;0;182,26;0,0321;26816,38685;230,21;0;0;220,81;0,0232;26793,64932;214,86;0,0166;18371,99124;224,39;0;0;182,26;0,0321;26816,38685
229,1;0;0;219,49;0,0104;12010,94625;210,55;0,0094;10403,41673;223,91;0;0;181,01;0,0005;417,7007297;229,1;0;0;219,49;0,0104;12010,94625;210,55;0,0094;10403,41673;223,91;0;0;181,01;0,0005;417,7007297
229,1;0;0;218,58;0,0116;13396,82466;209,7;0,0105;11620,83783;223,55;0;0;180,83;0,0001;83,54014595;229,1;0;0;218,58;0,0116;13396,82466;209,7;0,0105;11620,83783;223,55;0;0;180,83;0,0001;83,54014595
