LOWER WVL;UPPER WVL;DIRECT;DIFFUSE DOWN;DIFFUSE UP;TOTAL
120;121,4;0,00E+00;0,00E+00;0,00E+00;0,00E+00
121,4;121,9;0,00E+00;0,00E+00;0,00E+00;0,00E+00
121,9;122,3;0,00E+00;0,00E+00;0,00E+00;0,00E+00
122,3;123,1;0,00E+00;0,00E+00;0,00E+00;0,00E+00
123,1;123,8;0,00E+00;0,00E+00;0,00E+00;0,00E+00
123,8;124,6;0,00E+00;0,00E+00;0,00E+00;0,00E+00
124,6;125,4;0,00E+00;0,00E+00;0,00E+00;0,00E+00
125,4;126,2;0,00E+00;0,00E+00;0,00E+00;0,00E+00
126,2;127;0,00E+00;0,00E+00;0,00E+00;0,00E+00
127;128,6;0,00E+00;0,00E+00;0,00E+00;0,00E+00
128,6;129,4;0,00E+00;0,00E+00;0,00E+00;0,00E+00
129,4;130,3;0,00E+00;0,00E+00;0,00E+00;0,00E+00
130,3;132;0,00E+00;0,00E+00;0,00E+00;0,00E+00
132;135;0,00E+00;0,00E+00;0,00E+00;0,00E+00
135;137;0,00E+00;0,00E+00;0,00E+00;0,00E+00
137;145;0,00E+00;0,00E+00;0,00E+00;0,00E+00
145;155;0,00E+00;0,00E+00;0,00E+00;0,00E+00
155;165;0,00E+00;0,00E+00;0,00E+00;0,00E+00
165;170;0,00E+00;0,00E+00;0,00E+00;0,00E+00
170;174,4;0,00E+00;0,00E+00;0,00E+00;0,00E+00
174,4;177;0,00E+00;0,00E+00;0,00E+00;0,00E+00
177;178,6;0,00E+00;0,00E+00;0,00E+00;0,00E+00
178,6;180,2;0,00E+00;0,00E+00;0,00E+00;0,00E+00
180,2;181,8;0,00E+00;0,00E+00;0,00E+00;0,00E+00
181,8;183,5;0,00E+00;0,00E+00;0,00E+00;0,00E+00
183,5;185,2;0,00E+00;0,00E+00;0,00E+00;0,00E+00
185,2;186,9;0,00E+00;0,00E+00;0,00E+00;0,00E+00
186,9;188,7;0,00E+00;0,00E+00;0,00E+00;0,00E+00
188,7;190,5;0,00E+00;0,00E+00;0,00E+00;0,00E+00
190,5;192,3;0,00E+00;0,00E+00;0,00E+00;0,00E+00
192,3;194,2;0,00E+00;0,00E+00;0,00E+00;0,00E+00
194,2;196,1;0,00E+00;0,00E+00;0,00E+00;0,00E+00
196,1;198;0,00E+00;0,00E+00;0,00E+00;0,00E+00
198;200;0,00E+00;0,00E+00;0,00E+00;0,00E+00
200;202;0,00E+00;0,00E+00;0,00E+00;0,00E+00
202;204,1;0,00E+00;0,00E+00;0,00E+00;0,00E+00
204,1;205,8;0,00E+00;0,00E+00;0,00E+00;0,00E+00
205,8;208,33;0,00E+00;0,00E+00;0,00E+00;0,00E+00
208,33;210,53;0,00E+00;0,00E+00;0,00E+00;0,00E+00
210,53;212,77;0,00E+00;0,00E+00;0,00E+00;0,00E+00
212,77;215,05;0,00E+00;0,00E+00;0,00E+00;0,00E+00
215,05;217,39;0,00E+00;0,00E+00;0,00E+00;0,00E+00
217,39;219,78;0,00E+00;0,00E+00;0,00E+00;0,00E+00
219,78;222,22;0,00E+00;0,00E+00;0,00E+00;0,00E+00
222,22;224,72;0,00E+00;0,00E+00;0,00E+00;0,00E+00
224,72;227,27;0,00E+00;0,00E+00;0,00E+00;0,00E+00
227,27;229,88;0,00E+00;0,00E+00;0,00E+00;0,00E+00
229,88;232,56;0,00E+00;0,00E+00;0,00E+00;0,00E+00
232,56;235,29;0,00E+00;0,00E+00;0,00E+00;0,00E+00
235,29;238,1;0,00E+00;0,00E+00;0,00E+00;0,00E+00
238,1;240,96;0,00E+00;0,00E+00;0,00E+00;0,00E+00
240,96;243,9;0,00E+00;0,00E+00;0,00E+00;0,00E+00
243,9;246,91;0,00E+00;0,00E+00;0,00E+00;0,00E+00
246,91;250;0,00E+00;0,00E+00;0,00E+00;0,00E+00
250;253,16;0,00E+00;0,00E+00;0,00E+00;0,00E+00
253,16;256,41;0,00E+00;0,00E+00;0,00E+00;0,00E+00
256,41;259,74;0,00E+00;0,00E+00;0,00E+00;0,00E+00
259,74;263,16;0,00E+00;0,00E+00;0,00E+00;0,00E+00
263,16;266,67;0,00E+00;0,00E+00;0,00E+00;0,00E+00
266,67;270,27;0,00E+00;0,00E+00;0,00E+00;0,00E+00
270,27;273,97;0,00E+00;0,00E+00;0,00E+00;0,00E+00
273,97;277,78;0,00E+00;0,00E+00;0,00E+00;0,00E+00
277,78;281,69;0,00E+00;0,00E+00;0,00E+00;0,00E+00
281,69;285,71;0,00E+00;0,00E+00;0,00E+00;0,00E+00
285,71;289,86;0,00E+00;0,00E+00;0,00E+00;0,00E+00
289,86;294,12;2,04E+08;5,57E+08;9,60E+07;8,57E+08
294,12;298,5;2,26E+10;6,66E+10;1,10E+10;1,00E+11
298,5;302,5;3,20E+11;9,90E+11;1,58E+11;1,47E+12
302,5;303,5;1,32E+12;4,21E+12;6,60E+11;6,19E+12
