lower wvl;upper wvl;0 km;5 km;10 km;15 km;20 km;25 km;30 km;40 km;50 km
120;121,4;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
121,4;121,9;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
121,9;122,3;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
122,3;123,1;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
123,1;123,8;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
123,8;124,6;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
124,6;125,4;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
125,4;126,2;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
126,2;127;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
127;128,6;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
128,6;129,4;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
129,4;130,3;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
130,3;132;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
132;135;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
135;137;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
137;145;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
145;155;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
155;165;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
165;170;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
170;174,4;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
174,4;177;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
177;178,6;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,47E+07
178,6;180,2;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,10E+08
180,2;181,8;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;7,28E+05;8,19E+08
181,8;183,5;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,09E+08;9,11E+09
183,5;185,2;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;6,28E+05;1,79E+09;2,20E+10
185,2;186,9;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;4,09E+06;2,73E+09;2,91E+10
186,9;188,7;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;5,33E+06;5,58E+08;2,50E+10;9,04E+10
188,7;190,5;0,00E+00;0,00E+00;0,00E+00;0,00E+00;5,12E+05;1,71E+08;4,18E+09;5,98E+10;1,57E+11
190,5;192,3;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,82E+07;1,23E+09;1,43E+10;1,17E+11;2,41E+11
192,3;194,2;0,00E+00;0,00E+00;0,00E+00;2,14E+05;6,76E+07;2,15E+09;1,65E+10;1,01E+11;2,05E+11
194,2;196,1;0,00E+00;0,00E+00;0,00E+00;2,90E+06;4,29E+08;9,06E+09;5,40E+10;2,48E+11;4,01E+11
196,1;198;0,00E+00;0,00E+00;0,00E+00;3,00E+07;2,19E+09;2,86E+10;1,24E+11;4,03E+11;5,47E+11
198;200;0,00E+00;0,00E+00;0,00E+00;7,40E+07;4,21E+09;4,56E+10;1,74E+11;4,91E+11;6,22E+11
200;202;0,00E+00;0,00E+00;0,00E+00;1,15E+08;6,07E+09;6,21E+10;2,27E+11;6,11E+11;7,55E+11
202;204,1;0,00E+00;0,00E+00;1,17E+05;1,94E+08;9,25E+09;9,04E+10;3,22E+11;8,40E+11;1,02E+12
204,1;205,8;0,00E+00;0,00E+00;0,00E+00;2,23E+08;1,04E+10;1,06E+11;3,90E+11;1,05E+12;1,27E+12
205,8;208,33;0,00E+00;0,00E+00;0,00E+00;1,82E+08;8,54E+09;9,68E+10;3,95E+11;1,16E+12;1,43E+12
208,33;210,53;0,00E+00;0,00E+00;0,00E+00;1,61E+08;8,02E+09;1,13E+11;5,51E+11;1,90E+12;2,40E+12
210,53;212,77;0,00E+00;0,00E+00;0,00E+00;1,01E+08;5,60E+09;1,07E+11;6,71E+11;2,88E+12;3,79E+12
212,77;215,05;0,00E+00;0,00E+00;0,00E+00;2,65E+07;1,91E+09;5,81E+10;5,25E+11;3,09E+12;4,29E+12
215,05;217,39;0,00E+00;0,00E+00;0,00E+00;3,17E+06;3,50E+08;2,01E+10;2,95E+11;2,65E+12;3,95E+12
217,39;219,78;0,00E+00;0,00E+00;0,00E+00;0,00E+00;5,24E+07;6,92E+09;1,93E+11;2,98E+12;4,89E+12
219,78;222,22;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,42E+09;8,90E+10;2,74E+12;5,05E+12
222,22;224,72;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,51E+08;4,25E+10;2,99E+12;6,40E+12
224,72;227,27;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,82E+07;1,02E+10;1,96E+12;4,96E+12
227,27;229,88;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,46E+09;1,61E+12;5,04E+12
229,88;232,56;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;4,93E+08;1,31E+12;5,22E+12
232,56;235,29;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;6,28E+07;7,83E+11;4,09E+12
235,29;238,1;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,09E+07;6,96E+11;4,82E+12
238,1;240,96;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;4,16E+11;3,86E+12
240,96;243,9;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;4,66E+11;5,78E+12
243,9;246,91;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;3,22E+11;5,17E+12
246,91;250;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,46E+11;4,89E+12
250;253,16;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,02E+11;4,56E+12
253,16;256,41;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,65E+11;6,31E+12
256,41;259,74;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;5,31E+11;1,17E+13
259,74;263,16;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;4,74E+11;9,03E+12
263,16;266,67;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,67E+12;2,46E+13
266,67;270,27;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,65E+12;2,74E+13
270,27;273,97;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;6,78E+07;3,79E+12;2,64E+13
273,97;277,78;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,07E+09;5,52E+12;2,52E+13
277,78;281,69;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,04E+10;5,77E+12;1,78E+13
281,69;285,71;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,23E+09;2,14E+11;1,69E+13;3,70E+13
285,71;289,86;0,00E+00;0,00E+00;0,00E+00;0,00E+00;6,95E+08;6,68E+10;1,90E+12;3,25E+13;5,40E+13
289,86;294,12;7,43E+08;2,20E+09;3,60E+09;1,11E+10;9,92E+10;1,56E+12;1,18E+13;6,56E+13;8,94E+13
294,12;298,5;9,17E+10;2,25E+11;3,01E+11;5,25E+11;1,74E+12;8,26E+12;2,60E+13;6,91E+13;8,26E+13
298,5;302,5;1,40E+12;3,07E+12;3,70E+12;4,71E+12;8,52E+12;1,99E+13;3,78E+13;6,54E+13;7,23E+13
302,5;303,5;5,95E+12;1,25E+13;1,46E+13;1,66E+13;2,36E+13;4,10E+13;6,31E+13;9,15E+13;9,80E+13
303,5;304,5;7,27E+12;1,51E+13;1,74E+13;1,94E+13;2,60E+13;4,21E+13;6,16E+13;8,56E+13;9,10E+13
304,5;305,5;1,14E+13;2,34E+13;2,67E+13;2,90E+13;3,62E+13;5,33E+13;7,31E+13;9,62E+13;1,01E+14
305,5;306,5;1,17E+13;2,38E+13;2,70E+13;2,89E+13;3,46E+13;4,79E+13;6,30E+13;8,00E+13;8,37E+13
306,5;307,5;1,66E+13;3,33E+13;3,77E+13;3,96E+13;4,54E+13;5,90E+13;7,40E+13;9,06E+13;9,42E+13
307,5;308,5;2,12E+13;4,22E+13;4,74E+13;4,93E+13;5,44E+13;6,68E+13;8,03E+13;9,50E+13;9,81E+13
308,5;309,5;2,32E+13;4,57E+13;5,12E+13;5,28E+13;5,72E+13;6,82E+13;8,00E+13;9,28E+13;9,54E+13
309,5;310,5;2,49E+13;4,86E+13;5,43E+13;5,54E+13;5,80E+13;6,55E+13;7,36E+13;8,22E+13;8,40E+13
310,5;311,5;4,35E+13;8,43E+13;9,40E+13;9,55E+13;9,89E+13;1,09E+14;1,21E+14;1,33E+14;1,35E+14
311,5;312,5;4,09E+13;7,87E+13;8,75E+13;8,85E+13;9,02E+13;9,69E+13;1,05E+14;1,13E+14;1,14E+14
312,5;313,5;4,81E+13;9,19E+13;1,02E+14;1,03E+14;1,03E+14;1,08E+14;1,14E+14;1,21E+14;1,22E+14
313,5;314,5;5,37E+13;1,02E+14;1,13E+14;1,14E+14;1,14E+14;1,18E+14;1,24E+14;1,30E+14;1,31E+14
