X MnCl+;Y MnCl+;Y2 MnCl+;X MnCl3-;Y MnCl3-;Y2 MnCl3-;X MnClH2O;Y MnClH2O;Y2 MnClH2O;X MnCl2;Y MnCl2;Y2 MnCl2;X MnH2O;Y MnH2O;Y2 MnH2O;X MnCl+ fit2;Y MnCl+  fit2;Y2 MnCl+  fit2;X MnCl3- fit2;Y MnCl3- fit2;Y2 MnCl3- fit2;X MnClH2O fit2;Y MnClH2O fit2;Y2 MnClH2O fit2;X MnCl2 fit2;Y MnCl2 fit2;Y2 MnCl2 fit2;X MnH2O fit2;Y MnH2O fit2;Y2 MnH2O fit2
356,7;0,0067;12091,32008;241,86;0;0;231,57;0,0003;285,77846;274,4;0,0132;18017,30996;185,2;0;0;356,7;0,0067;12091,32008;241,86;0;0;231,57;0,0003;285,77846;274,4;0,0132;18017,30996;185,2;0;0
356,7;0,0067;12091,32008;234,06;0,0357;39641,0862;208,38;0,0046;4381,936387;274,4;0,0132;18017,30996;185,19;0;0;356,7;0,0067;12091,32008;234,06;0,0357;39641,0862;208,38;0,0046;4381,936387;274,4;0,0132;18017,30996;185,19;0;0
343,75;0,0051;9203,840657;234,06;0,0357;39641,0862;207,75;0,0005;476,2974333;269,4;0;0;162,8;0;0;343,75;0,0051;9203,840657;234,06;0,0357;39641,0862;207,75;0,0005;476,2974333;269,4;0;0;162,8;0;0
343,75;0,0051;9203,840657;227,42;0;0;206,77;0,0168;16003,59376;269,4;0;0;162,78;0;0;343,75;0,0051;9203,840657;227,42;0;0;206,77;0,0168;16003,59376;269,4;0;0;162,78;0;0
321,96;0;0;227,42;0;0;206,55;0;0;246,6;0,0001;136,4947724;162,77;0;0;321,96;0;0;227,42;0;0;206,55;0;0;246,6;0,0001;136,4947724;162,77;0;0
321,95;0;0;221,01;0,0116;12880,57703;204,42;0,0149;14193,66351;238,79;0;0;151,1;0,0246;15258,14568;321,95;0;0;221,01;0,0116;12880,57703;204,42;0,0149;14193,66351;238,79;0;0;151,1;0,0246;15258,14568
318,99;0;0;221,01;0,0116;12880,57703;201,4;0,0286;27244,21319;238,79;0;0;151,08;0,0248;15382,19565;318,99;0;0;221,01;0,0116;12880,57703;201,4;0,0286;27244,21319;238,79;0;0;151,08;0,0248;15382,19565
317,65;0,01;18046,74639;219,74;0,0282;31313,12691;199,84;0,0006;571,55692;237,72;0,003;4094,843173;151,07;0,0247;15320,17067;317,65;0,01;18046,74639;219,74;0,0282;31313,12691;199,84;0,0006;571,55692;237,72;0,003;4094,843173;151,07;0,0247;15320,17067
315,8;0;0;212,95;0;0;198,02;0,0003;285,77846;237,72;0,003;4094,843173;150,1;0,0141;8745,522525;315,8;0;0;212,95;0;0;198,02;0,0003;285,77846;237,72;0,003;4094,843173;150,1;0,0141;8745,522525
315,8;0;0;212,95;0;0;196,33;0,0166;15813,07479;236,15;0;0;150,09;0,0142;8807,547508;315,8;0;0;212,95;0;0;196,33;0,0166;15813,07479;236,15;0;0;150,09;0,0142;8807,547508
309,94;0,0009;1624,207175;207,75;0;0;195,25;0,0279;26577,39678;236,15;0;0;150,08;0,0145;8993,622455;309,94;0,0009;1624,207175;207,75;0;0;195,25;0,0279;26577,39678;236,15;0;0;150,08;0,0145;8993,622455
309,94;0,0009;1624,207175;207,75;0;0;194,62;0,0038;3619,860493;233,77;0;0;147,8;0;0;309,94;0,0009;1624,207175;207,75;0;0;194,62;0,0038;3619,860493;233,77;0;0;147,8;0;0
278;0,0309;55764,44633;205,58;0,0043;4774,696657;193,71;0,0058;5525,050227;233,77;0;0;147,79;0;0;278;0,0309;55764,44633;205,58;0,0043;4774,696657;193,71;0,0058;5525,050227;233,77;0;0;147,79;0;0
256,96;0,0002;360,9349277;205,58;0,0043;4774,696657;192,05;0,0018;1714,67076;230,45;0;0;147,79;0;0;256,96;0,0002;360,9349277;205,58;0,0043;4774,696657;192,05;0,0018;1714,67076;230,45;0;0;147,79;0;0
256,96;0,0002;360,9349277;204,61;0;0;189,76;0,0225;21433,3845;230,44;0;0;146,7;0;0;256,96;0,0002;360,9349277;204,61;0;0;189,76;0,0225;21433,3845;230,44;0;0;146,7;0;0
246,1;0,0006;1082,804783;204,61;0;0;187,92;0,0311;29625,70035;228,99;0;0;146,69;0;0;246,1;0,0006;1082,804783;204,61;0;0;187,92;0,0311;29625,70035;228,99;0;0;146,69;0;0
246,1;0,0006;1082,804783;202,35;0;0;185,6;0;0;226,66;0;0;146,68;0;0;246,1;0,0006;1082,804783;202,35;0;0;185,6;0;0;226,66;0;0;146,68;0;0
246,09;0,0027;4872,621524;202,08;0,0044;4885,736114;182,83;0,0193;18385,08093;226,66;0;0;143,02;0;0;246,09;0,0027;4872,621524;202,08;0,0044;4885,736114;182,83;0,0193;18385,08093;226,66;0;0;143,02;0;0
241,49;0;0;202,08;0,0044;4885,736114;179,07;0,0048;4572,45536;225,34;0;0;143,02;0;0;241,49;0;0;202,08;0,0044;4885,736114;179,07;0,0048;4572,45536;225,34;0;0;143,02;0;0
241,46;0;0;201,75;0;0;177,68;0;0;221,72;0,0892;121753,337;142,9;0;0;241,46;0;0;201,75;0;0;177,68;0;0;221,72;0,0892;121753,337;142,9;0;0
212,4;0;0;200,95;0;0;177,58;0,0046;4381,936387;218,52;0;0;142,62;0,015;9303,747368;212,4;0;0;200,95;0;0;177,58;0,0046;4381,936387;218,52;0;0;142,62;0,015;9303,747368
212,38;0;0;197,62;0,0532;59072,9912;176,23;0;0;218,5;0;0;142,61;0,0144;8931,597473;212,38;0;0;197,62;0,0532;59072,9912;176,23;0;0;218,5;0;0;142,61;0,0144;8931,597473
202;0,0092;16603,00667;197,62;0,0532;59072,9912;175,47;0,0009;857,33538;213,03;0;0;142,6;0,0149;9241,722385;202;0,0092;16603,00667;197,62;0,0532;59072,9912;175,47;0,0009;857,33538;213,03;0;0;142,6;0,0149;9241,722385
201,61;0,0003;541,4023916;197,3;0;0;175,08;0,006;5715,5692;213,03;0;0;142,12;0;0;201,61;0,0003;541,4023916;197,3;0;0;175,08;0,006;5715,5692;213,03;0;0;142,12;0;0
201,61;0,0003;541,4023916;196,08;0;0;174,06;0,0005;476,2974333;211,15;0,0026;3548,864083;142,11;0;0;201,61;0,0003;541,4023916;196,08;0;0;174,06;0,0005;476,2974333;211,15;0,0026;3548,864083;142,11;0;0
