X MnCl+;Y MnCl+;DY/DX MnCl+;X MnCl3-;Y MnCl3-;DY/DX MnCl3-;X MnClH2O;Y MnClH2O;DY/DX MnClH2O;X MnCl2;Y MnCl2;DY/DX MnCl2;X MnH2O;Y MnH2O;DY/DX MnH2O;X MnCl+ fit2;Y MnCl+ fit2;DY/DX MnCl+ fit2;X MnCl3- fit2;Y MnCl3- fit2;DY/DX MnCl3- fit2;X MnClH2O fit2;Y MnClH2O fit2;DY/DX MnClH2O fit2;X MnCl2 fit2;Y MnCl2 fit2;DY/DX MnCl2 fit2;X MnH2O fit2;Y MnH2O fit2;DY/DX MnH2O fit2
150;0;0;170;0;0;150;0;0;180;0;0;120;0;0;100;0;0;140;0;0;120;0;0;140;0;0;110;0;0
150,5;0;0;170,2;0;0;150,22;0;0;180,28;0;0;120,16;0;0;100,7;0;0;140,32;0;0;120,32;0;0;140,4;0;0;110,22;0;0
151;0;0;170,4;0;0;150,44;0;0;180,56;0;0;120,32;0;0;101,4;0;0;140,64;0;0;120,64;0;0;140,8;0;0;110,44;0;0
151,5;0;0;170,6;0;0;150,66;0;0;180,84;0;0;120,48;0;0;102,1;0;0;140,96;0;0;120,96;0;0;141,2;0;0;110,66;0;0
152;0;0;170,8;0;0;150,88;0;0;181,12;0;0;120,64;0;0;102,8;0;0;141,28;0;0;121,28;0;0;141,6;0;0;110,88;0;0
152,5;0;0;171;0;0;151,1;0;0;181,4;0;0;120,8;0;0;103,5;0;0;141,6;0;0;121,6;0;0;142;0;0;111,1;0;0
153;0;0;171,2;0;0;151,32;0;0;181,68;0;0;120,96;0;0;104,2;0;0;141,92;0;0;121,92;0;0;142,4;0;0;111,32;0;0
153,5;0;0;171,4;0;0;151,54;0;0;181,96;0;0;121,12;0;0;104,9;0;0;142,24;0;0;122,24;0;0;142,8;0;0;111,54;0;0
154;0;0;171,6;0;0;151,76;0;0;182,24;0;0;121,28;0;0;105,6;0;0;142,56;0;0;122,56;0;0;143,2;0;0;111,76;0;0
154,5;0;0;171,8;0;0;151,98;0;0;182,52;0;0;121,44;0;0;106,3;0;0;142,88;0;0;122,88;0;0;143,6;0;0;111,98;0;0
155;0;0;172;0;0;152,2;0;0;182,8;0;0;121,6;0;0;107;0;0;143,2;0;0;123,2;0;0;144;0;0;112,2;0;0
155,5;0;0;172,2;0;0;152,42;0;0;183,08;0;0;121,76;0;0;107,7;0;0;143,52;0;0;123,52;0;0;144,4;0;0;112,42;0;0
156;0;0;172,4;0;0;152,64;0;0;183,36;0;0;121,92;0;0;108,4;0;0;143,84;0;0;123,84;0;0;144,8;0;0;112,64;0;0
156,5;0;0;172,6;0;0;152,86;0;0;183,64;0;0;122,08;0;0;109,1;0;0;144,16;0;0;124,16;0;0;145,2;0;0;112,86;0;0
157;0;0;172,8;0;0;153,08;0;0;183,92;0;0;122,24;0;0;109,8;0;0;144,48;0;0;124,48;0;0;145,6;0;0;113,08;0;0
157,5;0;0;173;0;0;153,3;0;0;184,2;0;0;122,4;0;0;110,5;0;0;144,8;0;0;124,8;0;0;146;0;0;113,3;0;0
158;0;0;173,2;0;0;153,52;0;0;184,48;0;0;122,56;0;0;111,2;0;0;145,12;0;0;125,12;0;0;146,4;0;0;113,52;0;0
158,5;0;0;173,4;0;0;153,74;0;0;184,76;0;0;122,72;0;0;111,9;0;0;145,44;0;0;125,44;0;0;146,8;0;0;113,74;0;0
159;0;0;173,6;0;0;153,96;0;0;185,04;0;0;122,88;0;0;112,6;0;0;145,76;0;0;125,76;0;0;147,2;0;0;113,96;0;0
159,5;0;0;173,8;0;0;154,18;0;0;185,32;0;0;123,04;0;0;113,3;0;0;146,08;0;0;126,08;0;0;147,6;0;0;114,18;0;0
160;0;0;174;0;0;154,4;0;0;185,6;0;0;123,2;0;0;114;0;0;146,4;0;0;126,4;0;0;148;0;0;114,4;0;0
160,5;0;0;174,2;0;0;154,62;0;0;185,88;0;0;123,36;0;0;114,7;0;0;146,72;0;0;126,72;0;0;148,4;0;0;114,62;0;0
161;0;0;174,4;0;0;154,84;0;0;186,16;0;0;123,52;0;0;115,4;0;0;147,04;0;0;127,04;0;0;148,8;0;0;114,84;0;0
161,5;0;0;174,6;0;0;155,06;0;0;186,44;0;0;123,68;0;0;116,1;0;0;147,36;0;0;127,36;0;0;149,2;0;0;115,06;0;0
162;0;0;174,8;0;0;155,28;0;0;186,72;0;0;123,84;0;0;116,8;0;0;147,68;0;0;127,68;0;0;149,6;0;0;115,28;0;0
162,5;0;0;175;0;0;155,5;0;0;187;0;0;124;0;0;117,5;0;0;148;0;0;128;0;0;150;0;0;115,5;0;0
163;0;0;175,2;0;0;155,72;0;0;187,28;0;0;124,16;0;0;118,2;0;0;148,32;0;0;128,32;0;0;150,4;0;0;115,72;0;0
163,5;0;0;175,4;0;0;155,94;0;0;187,56;0;0;124,32;0;0;118,9;0;0;148,64;0;0;128,64;0;0;150,8;0;0;115,94;0;0
164;0;0;175,6;0;0;156,16;0;0;187,84;0;0;124,48;0;0;119,6;0;0;148,96;0;0;128,96;0;0;151,2;0;0;116,16;0;0
164,5;0;0;175,8;0;0;156,38;0;0;188,12;0;0;124,64;0;0;120,3;0;0;149,28;0;0;129,28;0;0;151,6;0;0;116,38;0;0
165;0;0;176;0;0;156,6;0;0;188,4;0;0;124,8;0;0;121;0;0;149,6;0;0;129,6;0;0;152;0;0;116,6;0;0
165,5;0;0;176,2;0;0;156,82;0;0;188,68;0;0;124,96;0;0;121,7;0;0;149,92;0;0;129,92;0;0;152,4;0;0;116,82;0;0
166;0;0;176,4;0;0;157,04;0;0;188,96;0;0;125,12;0;0;122,4;0;0;150,24;0;0;130,24;0;0;152,8;0;0;117,04;0;0
166,5;0;0;176,6;0;0;157,26;0;0;189,24;0;0;125,28;0;0;123,1;0;0;150,56;0;0;130,56;0;0;153,2;0;0;117,26;0;0
167;0;0;176,8;0;0;157,48;0;0;189,52;0;0;125,44;0;0;123,8;0;0;150,88;0;0;130,88;0;0;153,6;0;0;117,48;0;0
167,5;0;0;177;0;0;157,7;0;0;189,8;0;0;125,6;0;0;124,5;0;0;151,2;0;0;131,2;0;0;154;0;0;117,7;0;0
168;0;0;177,2;0;0;157,92;0;0;190,08;1,00E-10;0;125,76;0;0;125,2;0;0;151,52;0;0;131,52;0;0;154,4;0;0;117,92;0;0
168,5;0;0;177,4;0;0;158,14;0;0;190,36;1,00E-10;0;125,92;0;0;125,9;0;0;151,84;0;0;131,84;0;0;154,8;0;0;118,14;0;0
169;0;0;177,6;0;0;158,36;0;0;190,64;3,00E-10;0;126,08;0;0;126,6;0;0;152,16;0;0;132,16;0;0;155,2;0;0;118,36;0;0
169,5;0;0;177,8;0;0;158,58;0;0;190,92;8,00E-10;0;126,24;0;0;127,3;0;0;152,48;0;0;132,48;0;0;155,6;0;0;118,58;0;0
170;0;0;178;1,00E-10;0;158,8;0;0;191,2;1,80E-09;0;126,4;0;0;128;0;0;152,8;0;0;132,8;0;0;156;0;0;118,8;0;0
170,5;0;0;178,2;1,00E-10;0;159,02;0;0;191,48;3,90E-09;0;126,56;0;0;128,7;0;0;153,12;0;0;133,12;0;0;156,4;0;0;119,02;0;0
171;0;0;178,4;3,00E-10;0;159,24;0;0;191,76;8,60E-09;0;126,72;0;0;129,4;0;0;153,44;0;0;133,44;0;0;156,8;0;0;119,24;0;0
171,5;0;0;178,6;5,00E-10;0;159,46;0;0;192,04;1,85E-08;0;126,88;0;0;130,1;0;0;153,76;0;0;133,76;0;0;157,2;0;0;119,46;0;0
172;0;0;178,8;1,10E-09;0;159,68;0;0;192,32;3,94E-08;0;127,04;0;0;130,8;0;0;154,08;0;0;134,08;0;0;157,6;0;0;119,68;0;0
172,5;0;0;179;2,20E-09;0;159,9;1,00E-10;0;192,6;8,26E-08;0;127,2;0;0;131,5;0;0;154,4;0;0;134,4;0;0;158;0;0;119,9;0;0
173;0;0;179,2;4,30E-09;0;160,12;2,00E-10;0;192,88;1,71E-07;0;127,36;0;0;132,2;0;0;154,72;0;0;134,72;0;0;158,4;0;0;120,12;0;0
173,5;0;0;179,4;8,60E-09;0;160,34;6,00E-10;0;193,16;3,48E-07;0;127,52;0;0;132,9;0;0;155,04;0;0;135,04;0;0;158,8;0;0;120,34;0;0
174;0;0;179,6;1,69E-08;0;160,56;1,50E-09;0;193,44;7,00E-07;0;127,68;0;0;133,6;0;0;155,36;0;0;135,36;0;0;159,2;0;0;120,56;0;0
174,5;0;0;179,8;3,29E-08;0;160,78;3,50E-09;0;193,72;1,39E-06;0;127,84;0;0;134,3;0;0;155,68;0;0;135,68;0;0;159,6;0;0;120,78;0;0
175;0;0;180;6,35E-08;0;161;8,40E-09;0;194;2,71E-06;0;128;0;0;135;0;0;156;0;0;136;0;0;160;0;0;121;0;0
175,5;0;0;180,2;1,21E-07;0;161,22;1,97E-08;0;194,28;5,24E-06;0;128,16;0;0;135,7;0;0;156,32;0;0;136,32;0;0;160,4;0;0;121,22;0;0
176;0;0;180,4;2,29E-07;0;161,44;4,54E-08;0;194,56;9,96E-06;0;128,32;0;0;136,4;0;0;156,64;0;0;136,64;0;0;160,8;0;0;121,44;0;0
176,5;0;0;180,6;4,30E-07;0;161,66;1,03E-07;0;194,84;1,87E-05;0;128,48;0;0;137,1;0;0;156,96;0;0;136,96;0;0;161,2;0;0;121,66;0;0
177;0;0;180,8;7,98E-07;0;161,88;2,29E-07;0;195,12;0,000034644;0;128,64;0;0;137,8;0;0;157,28;0;0;137,28;0;0;161,6;0;0;121,88;0;0
177,5;0;0;181;1,47E-06;0;162,1;5,03E-07;0;195,4;6,33E-05;0;128,8;0;0;138,5;0;0;157,6;0;0;137,6;0;0;162;0;0;122,1;0;0
178;0;0;181,2;2,67E-06;0;162,32;1,09E-06;0;195,68;0,00011424;0;128,96;0;0;139,2;0;0;157,92;0;0;137,92;0;0;162,4;0;0;122,32;0;0
178,5;0;0;181,4;0,000004824;0;162,54;2,31E-06;0;195,96;0,000203414;2,00E-10;129,12;0;0;139,9;0;0;158,24;0;0;138,24;0;0;162,8;0;0;122,54;0;0
