X MnCl+;Y MnCl+;Y2 MnCl+;X MnCl3-;Y MnCl3-;Y2 MnCl3-;X MnClH2O;Y MnClH2O;Y2 MnClH2O;X MnCl2;Y MnCl2;Y2 MnCl2;X MnH2O;Y MnH2O;Y2 MnH2O;X MnCl+ fit2;Y MnCl+  fit2;Y2 MnCl+  fit2;X MnCl3- fit2;Y MnCl3- fit2;Y2 MnCl3- fit2;X MnClH2O fit2;Y MnClH2O fit2;Y2 MnClH2O fit2;X MnCl2 fit2;Y MnCl2 fit2;Y2 MnCl2 fit2;X MnH2O fit2;Y MnH2O fit2;Y2 MnH2O fit2
230,83;0,0184;16800,8524;216,16;0,0641;58720,80737;;;;210,01;0,0262;23901,27153;198,97;0,0003;202,2266157;230,83;0,0184;16800,8524;216,16;0,0641;58720,80737;;;;210,01;0,0262;23901,27153;198,97;0,0003;202,2266157
224,99;0,0132;12052,78542;213,42;0,067;61377,44296;;;;210,01;0,0262;23901,27153;194,9;0,0018;1213,359694;224,99;0,0132;12052,78542;213,42;0,067;61377,44296;;;;210,01;0,0262;23901,27153;194,9;0,0018;1213,359694
224,99;0,0132;12052,78542;204,1;0;0;;;;209,3;0;0;170,45;0,0018;1213,359694;224,99;0,0132;12052,78542;204,1;0;0;;;;209,3;0;0;170,45;0,0018;1213,359694
209,11;0,0191;17440,01526;197,74;0;0;;;;209,3;0;0;169,07;0,0011;741,4975908;209,11;0,0191;17440,01526;197,74;0;0;;;;209,3;0;0;169,07;0,0011;741,4975908
209,11;0,0191;17440,01526;197,21;0;0;;;;206,51;0;0;168,69;0,0007;471,8621032;209,11;0,0191;17440,01526;197,21;0;0;;;;206,51;0;0;168,69;0,0007;471,8621032
197,34;0;0;194,86;0;0;;;;206,51;0;0;164,54;0,035;23593,10516;197,34;0;0;194,86;0;0;;;;206,51;0;0;164,54;0,035;23593,10516
197,34;0;0;194,24;0;0;;;;205,58;0;0;164,02;0,0361;24334,60275;197,34;0;0;194,24;0;0;;;;205,58;0;0;164,02;0,0361;24334,60275
196,64;0;0;193,08;0,0396;36276,81703;;;;195,99;0,0008;729,8098177;163,65;0,0153;10313,5574;196,64;0;0;193,08;0,0396;36276,81703;;;;195,99;0,0008;729,8098177;163,65;0,0153;10313,5574
194,15;0;0;192,64;0,0279;25558,66655;;;;192,79;0;0;161,36;0,0003;202,2266157;194,15;0;0;192,64;0,0279;25558,66655;;;;192,79;0;0;161,36;0,0003;202,2266157
194,14;0;0;191,61;0,0315;28856,55901;;;;192,79;0;0;159,55;0,001;674,0887189;194,14;0;0;191,61;0,0315;28856,55901;;;;192,79;0;0;159,55;0,001;674,0887189
193,11;0;0;190,86;0;0;;;;192,05;0;0;158,36;0,0007;471,8621032;193,11;0;0;190,86;0;0;;;;192,05;0;0;158,36;0,0007;471,8621032
193,11;0;0;190,75;0;0;;;;191,92;0;0;155,25;0,0004;269,6354875;193,11;0;0;190,75;0;0;;;;191,92;0;0;155,25;0,0004;269,6354875
