Wavelengt [nm],s1.3,s2.3,s3.3,s4.3
900.0,-1.8418361766244364e-24,-1.22180420763004e-24,-3.345365284217817e-24,0.0
899.9,-1.0232423203469092e-25,-2.036340346050067e-25,-7.434145076039593e-25,0.0
899.8,7.162696242428364e-25,1.5272552595375502e-24,5.575608807029694e-25,1.5165896098247363e-24
899.7,2.353457336797891e-24,1.5272552595375502e-24,3.345365284217817e-24,3.6019003233337485e-24
899.6,1.7395119445897453e-24,1.4254382422350468e-24,9.292681345049492e-25,4.7393425307023004e-24
899.5,2.148808872728509e-24,1.3236212249325434e-24,0.0,3.981047725789932e-24
899.4,2.148808872728509e-24,1.5272552595375502e-24,3.7170725380197966e-25,-1.8957370122809204e-25
899.3,2.7627542649366547e-24,3.461778588285113e-24,1.3009753883069288e-24,3.4123266221056564e-24
899.2,3.990645049352945e-24,3.563595605587617e-24,3.5312189111188065e-24,2.8436055184213805e-24
899.1,3.2743754251101094e-24,4.58176577861265e-24,2.4160971497128677e-24,4.9289162319303925e-24
899.0,3.990645049352945e-24,2.8508764844700936e-24,2.7878044035148473e-24,7.014226945439405e-24
898.9,2.967402729006036e-24,1.4254382422350468e-24,2.044389895910888e-24,4.549768829474208e-24
898.8,2.6604300329019636e-24,1.5272552595375502e-24,3.7170725380197966e-25,5.308063634386577e-24
898.7,9.209180883122182e-25,0.0,1.8585362690098983e-25,2.4644581159651963e-24
898.6,-5.116211601734545e-25,9.1635315572253e-25,-9.292681345049492e-25,2.274884414737104e-24
898.5,-1.3302150164509818e-24,0.0,-3.5312189111188065e-24,1.3270159085966442e-24
898.4,-2.4557815688325818e-24,-6.1090210381502e-25,-4.646340672524746e-24,5.68721103684276e-25
898.3,-1.5348634805203636e-24,7.127191211175234e-25,-4.274633418722766e-24,3.6019003233337485e-24
898.2,9.209180883122182e-25,6.1090210381502e-25,-3.902926164920786e-24,5.308063634386577e-24
898.1,2.148808872728509e-24,3.0545105190751e-25,-1.6726826421089084e-24,4.7393425307023004e-24
898.0,2.967402729006036e-24,3.0545105190751e-25,1.1151217614059388e-24,4.549768829474208e-24
897.9,2.558105800867273e-24,1.0181701730250335e-25,-1.8585362690098983e-25,3.2227529208775643e-24
897.8,1.023242320346909e-24,1.0181701730250335e-25,1.8585362690098983e-25,2.6540318171932884e-24
897.7,-4.092969281387637e-25,1.7308892941425566e-24,3.7170725380197966e-25,6.2559321405270365e-24
897.6,1.3302150164509818e-24,1.7308892941425566e-24,1.8585362690098984e-24,5.1184899331584846e-24
897.5,2.558105800867273e-24,1.1199871903275368e-24,3.902926164920786e-24,4.9289162319303925e-24
897.4,3.5813481212141816e-24,1.4254382422350468e-24,4.274633418722766e-24,5.1184899331584846e-24
897.3,4.502266209526401e-24,1.0181701730250335e-25,4.088779791821776e-24,7.582948049123681e-25
897.2,3.785996585283564e-24,-3.0545105190751e-25,3.345365284217817e-24,2.274884414737104e-24
897.1,3.3766996571448e-24,-1.22180420763004e-24,3.159511657316827e-24,9.478685061404602e-25
897.0,2.148808872728509e-24,-1.4254382422350468e-24,1.1151217614059388e-24,-1.8957370122809204e-25
896.9,2.148808872728509e-24,-5.090850865125167e-25,1.1151217614059388e-24,5.68721103684276e-25
896.8,1.3302150164509818e-24,8.145361384200268e-25,-3.7170725380197966e-25,1.137442207368552e-24
896.7,1.8418361766244364e-24,2.5454254325625837e-24,9.292681345049492e-25,1.7061633110528282e-24
896.6,2.967402729006036e-24,3.1563275363776034e-24,1.4868290152079186e-24,2.4644581159651963e-24
896.5,3.683672353248873e-24,2.44360841526008e-24,2.044389895910888e-24,2.0853107135090124e-24
896.4,4.1952935134223274e-24,1.5272552595375502e-24,3.159511657316827e-24,1.5165896098247363e-24
896.3,3.785996585283564e-24,1.9345233287475634e-24,2.4160971497128677e-24,3.7914740245618406e-24
896.2,1.8418361766244364e-24,1.6290722768400536e-24,2.044389895910888e-24,3.6019003233337485e-24
896.1,1.3302150164509818e-24,1.3236212249325434e-24,1.1151217614059388e-24,4.549768829474208e-24
896.0,1.4325392484856727e-24,1.83270631144506e-24,-1.1151217614059388e-24,4.9289162319303925e-24
895.9,1.6371877125550547e-24,1.22180420763004e-24,-1.1151217614059388e-24,4.170621427018025e-24
895.8,3.0697269610407273e-24,4.072680692100134e-25,-1.1151217614059388e-24,3.0331792196494726e-24
895.7,2.8650784969713454e-24,9.1635315572253e-25,3.7170725380197966e-25,3.7914740245618406e-24
895.6,2.558105800867273e-24,2.036340346050067e-25,3.7170725380197966e-25,3.7914740245618406e-24
895.5,1.8418361766244364e-24,-2.036340346050067e-25,-5.575608807029694e-25,3.0331792196494726e-24
895.4,8.185938562775274e-25,7.127191211175234e-25,5.575608807029694e-25,3.981047725789932e-24
895.3,6.1394539220814545e-25,5.090850865125167e-25,-3.7170725380197966e-25,2.4644581159651963e-24
895.2,9.209180883122182e-25,1.1199871903275368e-24,0.0,2.6540318171932884e-24
895.1,8.185938562775274e-25,2.036340346050067e-25,0.0,2.6540318171932884e-24
895.0,1.4325392484856727e-24,-5.090850865125167e-25,-9.292681345049492e-25,2.274884414737104e-24
