Wavelengt [nm],s1.1,s2.1,s3.1,s4.1
200.0,1.1731383401365537e-21,2.1692628975020137e-21,4.274462230442402e-21,8.623263394092991e-21
200.2,1.1861790489136732e-21,2.1796618688525958e-21,4.2599187462064385e-21,8.554283629907069e-21
200.4,1.207292577409962e-21,2.19483874595885e-21,4.300338299797296e-21,8.506711378744364e-21
200.6,1.195541609061349e-21,2.1823787172234684e-21,4.350201674320595e-21,8.543579873395461e-21
200.8,1.1873254848501232e-21,2.1722607991526322e-21,4.3730557209771076e-21,8.597495091379859e-21
201.0,1.1965925086697614e-21,2.1973682254765593e-21,4.4019538130303835e-21,8.715632848433912e-21
201.2,1.195684913553405e-21,2.2091724632258685e-21,4.412908645312017e-21,8.872224841844481e-21
201.4,1.1991242213627553e-21,2.213107209142305e-21,4.438784714666911e-21,8.866674745875499e-21
201.6,1.2083434770183745e-21,2.252735721586414e-21,4.465038536859103e-21,8.809588044480252e-21
201.8,1.2144100338487562e-21,2.258450471607905e-21,4.43406280420069e-21,8.83495991176703e-21
202.0,1.2242025074726007e-21,2.242524119088996e-21,4.436895950480423e-21,8.896010967425834e-21
202.2,1.2418767281595391e-21,2.2598557380066325e-21,4.451628311135034e-21,8.984019632076837e-21
202.4,1.2472745306936583e-21,2.2722220823154325e-21,4.431985163595552e-21,9.054188702541828e-21
202.6,1.250236156862821e-21,2.3110074349203054e-21,4.45389482815882e-21,9.114446887347921e-21
202.8,1.2617005162273217e-21,2.312319016892451e-21,4.48883696560886e-21,9.153693994557154e-21
203.0,1.2508571429950647e-21,2.2877736971280146e-21,4.5743979832567944e-21,9.097003728588263e-21
203.2,1.2322753271917697e-21,2.324216939068342e-21,4.59007472600465e-21,9.051413654557337e-21
203.4,1.2417811918315018e-21,2.344452775210015e-21,4.5755312417686876e-21,9.139025883781985e-21
203.6,1.2552995822488088e-21,2.3370517055100514e-21,4.619917200151171e-21,9.135061529518426e-21
203.8,1.27517113848061e-21,2.3645012424985237e-21,4.646926528017958e-21,9.164397751068761e-21
204.0,1.2763653425810789e-21,2.357943332637797e-21,4.6325719202006446e-21,9.18659813494469e-21
204.2,1.2624170386876029e-21,2.3357401235379056e-21,4.6510818092282326e-21,9.23377395068104e-21
204.4,1.2649487513805968e-21,2.3678738818554692e-21,4.720588331291014e-21,9.308303810835944e-21
204.6,1.2840082488240793e-21,2.3972907918021606e-21,4.7294655229675105e-21,9.305132327425096e-21
204.8,1.2909346326067985e-21,2.4040360705160516e-21,4.769885076558367e-21,9.386401589828052e-21
205.0,1.2978610163895177e-21,2.4008508000122696e-21,4.7985942921929945e-21,9.393933862928814e-21
205.2,1.3067936630610245e-21,2.404317123795797e-21,4.745708894971313e-21,9.394330298355169e-21
205.4,1.2981953935376488e-21,2.4055350213413605e-21,4.72965439938616e-21,9.462517191688379e-21
205.6,1.2934663452997924e-21,2.4019750131312516e-21,4.779328897490811e-21,9.501367863471255e-21
205.8,1.3115704794628996e-21,2.4344835091551425e-21,4.780462156002704e-21,9.551715162618451e-21
206.0,1.3380818104933077e-21,2.4572488248145247e-21,4.7704517058143135e-21,9.570347627657177e-21
206.2,1.3285759458535756e-21,2.4603404108917246e-21,4.815782046290041e-21,9.538632793548706e-21
206.4,1.306315981420837e-21,2.4698962224030703e-21,4.843546879831424e-21,9.5719333693626e-21
206.6,1.3093253757540184e-21,2.4696151691233247e-21,4.840147104295744e-21,9.569951192230822e-21
206.8,1.3245634200760005e-21,2.4628698904094337e-21,4.872822724721997e-21,9.634966602153186e-21
207.0,1.3067458948970055e-21,2.4500351239677246e-21,4.90549834514825e-21,9.751122182075458e-21
207.2,1.3073668810292494e-21,2.462588837129688e-21,4.9138089075688e-21,9.707514285176311e-21
207.4,1.3404702186942453e-21,2.4950036487269974e-21,4.878111264444165e-21,9.697206964091057e-21
207.6,1.3416166546306955e-21,2.5145836938825975e-21,4.871689466210104e-21,9.791558595563755e-21
207.8,1.3327317761232073e-21,2.5046531446649252e-21,4.9366629542253125e-21,9.84785242610629e-21
208.0,1.338941637445645e-21,2.482824673271361e-21,4.9515841912985725e-21,9.850231038664425e-21
208.2,1.3518390417307086e-21,2.5094310504205975e-21,4.955550596090199e-21,9.845473813548153e-21
208.4,1.3555649585241712e-21,2.5279805668837978e-21,4.981048912607795e-21,9.884720920757386e-21
208.6,1.3516002009106147e-21,2.5338826857584524e-21,5.014291162289995e-21,9.893046064710859e-21
208.8,1.3573801487568839e-21,2.539222698073616e-21,4.981237789026444e-21,9.868863503703151e-21
209.0,1.3659306501162407e-21,2.5203921283306708e-21,4.997858913867544e-21,9.908507046338739e-21
209.2,1.3658351137882031e-21,2.535569005436925e-21,5.057732738579233e-21,9.967575924865763e-21
209.4,1.3508836784503333e-21,2.5817554277417616e-21,5.064154536813294e-21,9.994533533857964e-21
209.6,1.3454381077521957e-21,2.5899059728543798e-21,5.0681209416049204e-21,9.946961282695258e-21
209.8,1.3762008053802724e-21,2.5579595833899796e-21,5.0348786919227215e-21,9.975108197966525e-21
210.0,1.3916776905223485e-21,2.560957485040598e-21,5.05168869318247e-21,1.0089678036183374e-20
210.2,1.374958833115785e-21,2.58063121462278e-21,5.1074072366838836e-21,1.0109896242927523e-20
210.4,1.380929853618129e-21,2.6008670507644527e-21,5.151604318647718e-21,1.0073027748276428e-20
210.6,1.3901968774377671e-21,2.6045207434011438e-21,5.161992521673405e-21,1.009086734246244e-20
210.8,1.3921076039985171e-21,2.5824112187278345e-21,5.133849935294725e-21,1.0131700191377096e-20
211.0,1.39506923016768e-21,2.5865333334974343e-21,5.133472182457427e-21,1.018799402191963e-20
211.2,1.3924419811466485e-21,2.6082681204644166e-21,5.157081734788535e-21,1.0178876007113445e-20
211.4,1.3885249916971108e-21,2.6209155180529622e-21,5.175024994560177e-21,1.0182840361377004e-20
211.6,1.3970754930564675e-21,2.62494394839598e-21,5.200334434659124e-21,1.0281949217965972e-20
211.8,1.4071545756644245e-21,2.624007104130162e-21,5.1820134220501844e-21,1.025538804440013e-20
212.0,1.397935320008805e-21,2.6308460672706345e-21,5.142349374133923e-21,1.0226051822849795e-20
212.2,1.4066768940242368e-21,2.647240841922453e-21,5.165581173627734e-21,1.0253405867268348e-20
212.4,1.4164693676480813e-21,2.6597008706578348e-21,5.1744583653042295e-21,1.0275606251144278e-20
212.6,1.4152273953835935e-21,2.652487169811035e-21,5.162936903766649e-21,1.0297013764167495e-20
212.8,1.4123135373784497e-21,2.6603566616439077e-21,5.162748027348001e-21,1.0235566273082336e-20
213.0,1.4051483127756368e-21,2.6820914486108896e-21,5.202978704520209e-21,1.0342207402772066e-20
213.2,1.4055304580877868e-21,2.6796556535197626e-21,5.224510616246178e-21,1.042149448804324e-20
213.4,1.4152273953835935e-21,2.6362797640123805e-21,5.23754308913295e-21,1.0357668384399945e-20
213.6,1.4198609072934125e-21,2.640963985341471e-21,5.2492534270891794e-21,1.0362425609516215e-20
213.8,1.4130778280027498e-21,2.6981114855563808e-21,5.263608034906493e-21,1.0385815299671213e-20
214.0,1.4131255961667684e-21,2.6967999035842353e-21,5.261908147138653e-21,1.0392158266492905e-20
214.2,1.4284591768167883e-21,2.6810609199184898e-21,5.231876796573484e-21,1.038977965393477e-20
214.4,1.4452735705513892e-21,2.6857451412475807e-21,5.257941742347027e-21,1.0401276281299091e-20
214.6,1.4488561828527957e-21,2.691834628975399e-21,5.28230680035273e-21,1.0431008938275783e-20
214.8,1.452486563318221e-21,2.7169420552993262e-21,5.299494554449777e-21,1.0440523388508322e-20
215.0,1.4697308705289907e-21,2.730994719286599e-21,5.298550172356532e-21,1.0454398628430779e-20
215.2,1.4736956281425473e-21,2.711039936424672e-21,5.341613995808473e-21,1.0465498820368742e-20
215.4,1.4608459920215025e-21,2.7101967765854352e-21,5.364468042464985e-21,1.0397311927035532e-20
215.6,1.4703040884972156e-21,2.7508558177219448e-21,5.328959275759e-21,1.0434180421686629e-20
215.8,1.478376908216385e-21,2.751792661987763e-21,5.341047366552526e-21,1.0500385137888059e-20
216.0,1.4826760429780728e-21,2.7390515799726355e-21,5.373345234141482e-21,1.05368571971128e-20
216.2,1.4759885000154475e-21,2.7554463546244536e-21,5.380144785212841e-21,1.0561832628973221e-20
216.4,1.4527731723023335e-21,2.743361063595399e-21,5.354457592276596e-21,1.0500781573314415e-20
216.6,1.4569767707359837e-21,2.70785466592089e-21,5.398465797821781e-21,1.0397311927035532e-20
216.8,1.4786635172004975e-21,2.7296831373144536e-21,5.3780671446077035e-21,1.0296220893314784e-20
217.0,1.4778514584121787e-21,2.769405334185145e-21,5.305727476265189e-21,1.0277588428276058e-20
217.2,1.4669603170159031e-21,2.7506684488687813e-21,5.357857367812275e-21,1.0241512804477674e-20
217.4,1.47818583556031e-21,2.7483263382042356e-21,5.389966358982581e-21,1.0108706936648456e-20
217.6,1.4997770456967863e-21,2.7491694980434716e-21,5.397143662891239e-21,9.91881436742399e-21
217.8,1.5020699175696864e-21,2.7550716169181263e-21,5.4396408570872325e-21,9.692846174401141e-21
