Wavelengt [nm],s1.4,s2.4,s3.4,s4.4,s5.4,s6.4,s7.4
200.0,4.162006120820766e-21,4.032651996497677e-21,4.125578809948173e-21,4.0900807672100825e-21,4.118888079379737e-21,4.000871026297607e-21,4.069451014624073e-21
200.1,4.169068558643003e-21,4.0413871169620236e-21,4.1287383216054886e-21,4.057184675248607e-21,4.120003201141143e-21,4.007561756866043e-21,4.063317844936341e-21
200.2,4.1651656324780824e-21,4.058113943383113e-21,4.1354290521739245e-21,4.0529100418298846e-21,4.120003201141143e-21,4.007561756866043e-21,4.044174921365539e-21
200.3,4.156430512013737e-21,4.062574430428737e-21,4.143792465384469e-21,4.025403705048539e-21,4.126879785336479e-21,4.012393951165469e-21,4.04064370245442e-21
200.4,4.143420758130667e-21,4.0789295495960236e-21,4.152527585848816e-21,4.038413458931607e-21,4.139703685592647e-21,4.027448094944449e-21,4.031536874736271e-21
200.5,4.1426773436230635e-21,4.0845051584030534e-21,4.161262706313162e-21,4.0772568669539144e-21,4.159590023671053e-21,4.020571510749113e-21,4.0469627257690534e-21
200.6,4.1614485599400635e-21,4.091753449852192e-21,4.151598317714311e-21,4.086549548298964e-21,4.169811973150607e-21,4.025589558675439e-21,4.081531500372637e-21
200.7,4.175759289211439e-21,4.105320764615964e-21,4.142491489996162e-21,4.110896373422994e-21,4.184494409675786e-21,4.0363690690356976e-21,4.100302716689637e-21
200.8,4.177246118226647e-21,4.10829442264638e-21,4.150854903206707e-21,4.1029046674662506e-21,4.1978758708126574e-21,4.020571510749113e-21,4.126322224455776e-21
200.9,4.186538799571697e-21,4.1162861286031225e-21,4.1478812451762906e-21,4.0843193047761524e-21,4.200849528843073e-21,4.014810048315182e-21,4.1404471001002506e-21
201.0,4.194530505528439e-21,4.122047591037053e-21,4.17408660656933e-21,4.0913817425983896e-21,4.203265625992786e-21,4.03320955737838e-21,4.145465148026578e-21
201.1,4.2103280638150235e-21,4.119817347514241e-21,4.187839774960003e-21,4.091753449852192e-21,4.216089526248954e-21,4.0596007723983205e-21,4.157731487402043e-21
201.2,4.231329523654835e-21,4.1302251506206975e-21,4.201035382469974e-21,4.101046131197241e-21,4.216832940756558e-21,4.111825641557499e-21,4.143606611757568e-21
201.3,4.2553046415250635e-21,4.138774417458143e-21,4.1963890417974485e-21,4.1231627127984595e-21,4.216089526248954e-21,4.139517831965746e-21,4.167767583254697e-21
201.4,4.2540036661367556e-21,4.151226610460509e-21,4.195088066409142e-21,4.12520710269437e-21,4.237276839715667e-21,4.1486246596838954e-21,4.1720422166734194e-21
201.5,4.258835860436182e-21,4.175945142838341e-21,4.216089526248954e-21,4.14026124647335e-21,4.225010500340202e-21,4.14397831901137e-21,4.1720422166734194e-21
201.6,4.256233909659568e-21,4.186724653198598e-21,4.2222226959366865e-21,4.164979778851182e-21,4.216647087129657e-21,4.137845149323637e-21,4.201592943350677e-21
201.7,4.250472447225637e-21,4.212000746457133e-21,4.258092445928578e-21,4.182450019779875e-21,4.213859282726142e-21,4.161262706313162e-21,4.198061724439558e-21
201.8,4.257534885047875e-21,4.2097705029343204e-21,4.2673851272736275e-21,4.195459773662944e-21,4.213301721845439e-21,4.171112948538914e-21,4.223709524951895e-21
201.9,4.253260251629152e-21,4.207540259411509e-21,4.2411797658805875e-21,4.196760749051251e-21,4.239321229611578e-21,4.182078312526073e-21,4.216089526248954e-21
202.0,4.2800231739028946e-21,4.226497329355409e-21,4.260880250332093e-21,4.202893918738984e-21,4.252330983494647e-21,4.177060264599746e-21,4.21906318427937e-21
202.1,4.282439271052607e-21,4.233559767177647e-21,4.253817812509855e-21,4.2110714783226275e-21,4.274447565095865e-21,4.174644167450034e-21,4.2164612335027556e-21
202.2,4.303440730892419e-21,4.2415514731343895e-21,4.2731465897075576e-21,4.214788550860647e-21,4.28485536820232e-21,4.1727856311810235e-21,4.213673429099241e-21
