X MnCl2wH2O,Y MnCl2wH2O,X MnCl+,Y MnCl+,X MnCl3-,Y MnCl3-,X MnClH2O,Y MnClH2O,X MnCl2,Y MnCl2,X MnH2O,Y MnH2O,X MnCl2wH2O fit2,Y MnCl2wH2O fit2,X MnCl+ fit2,Y MnCl+ fit2,X MnCl3- fit2,Y MnCl3- fit2,X MnClH2O fit2,Y MnClH2O fit2,X MnCl2 fit2,Y MnCl2 fit2,X MnH2O fit2,Y MnH2O fit2
160.0,0.0,150.0,0.0,170.0,0.0,140.0,0.0,180.0,0.0,130.0,0.0,140.0,0.0,100.0,0.0,140.0,0.0,120.0,0.0,140.0,0.0,110.0,0.0
160.18,0.0,150.5,0.0,170.2,0.0,140.18,0.0,180.28,0.0,130.14,0.0,140.28,0.0,100.6,0.0,140.32,0.0,120.28,0.0,140.4,0.0,110.2,0.0
160.36,0.0,151.0,0.0,170.4,0.0,140.36,0.0,180.56,0.0,130.28,0.0,140.56,0.0,101.2,0.0,140.64,0.0,120.56,0.0,140.8,0.0,110.4,0.0
160.54,0.0,151.5,0.0,170.6,0.0,140.54,0.0,180.84,0.0,130.42,0.0,140.84,0.0,101.8,0.0,140.96,0.0,120.84,0.0,141.2,0.0,110.6,0.0
160.72,0.0,152.0,0.0,170.8,0.0,140.72,0.0,181.12,0.0,130.56,0.0,141.12,0.0,102.4,0.0,141.28,0.0,121.12,0.0,141.6,0.0,110.8,0.0
160.9,0.0,152.5,0.0,171.0,0.0,140.9,0.0,181.4,0.0,130.7,0.0,141.4,0.0,103.0,0.0,141.6,0.0,121.4,0.0,142.0,0.0,111.0,0.0
161.08,0.0,153.0,0.0,171.2,0.0,141.08,0.0,181.68,0.0,130.84,0.0,141.68,0.0,103.6,0.0,141.92,0.0,121.68,0.0,142.4,0.0,111.2,0.0
161.26,0.0,153.5,0.0,171.4,0.0,141.26,0.0,181.96,0.0,130.98,0.0,141.96,0.0,104.2,0.0,142.24,0.0,121.96,0.0,142.8,0.0,111.4,0.0
161.44,0.0,154.0,0.0,171.6,0.0,141.44,0.0,182.24,0.0,131.12,0.0,142.24,0.0,104.8,0.0,142.56,0.0,122.24,0.0,143.2,0.0,111.6,0.0
161.62,0.0,154.5,0.0,171.8,0.0,141.62,0.0,182.52,0.0,131.26,0.0,142.52,0.0,105.4,0.0,142.88,0.0,122.52,0.0,143.6,0.0,111.8,0.0
