X b3lyp631;Y b3lyp631;Y2 b3lyp631;X b3lyp6311;Y b3lyp6311;Y2 b3lyp6311;X b3lyp6311++;Y b3lyp6311++;Y2 b3lyp6311++;X c-b631;Y c-b631;Y2 c-b631;X c-b6311;Y c-b6311;Y2 c-b6311;X c-b6311++;Y c-b6311++;Y2 c-b6311++;X wb631;Y wb631;Y2 wb631;X wb6311;Y wb6311;Y2 wb6311;X wb6311++;Y wb6311++;Y2 wb6311++;X b3lyp fit2;Y b3lyp fit2;Y2 b3lyp fit2;X c-b fit2;Y c-b fit2;Y2 c-b fit2;X wb fit2;Y wb fit2;Y2 wb fit2
260,61;0,0022;2615,153865;254,9;0,0028;3319,422209;246,46;0,0181;21464,33278;227,1;0,0047;4241,95686;221,43;0,0042;3755,245107;224,6;0,0221;21223,96611;215,55;0,0068;5757,556505;211,67;0,0059;4990,042042;222,64;0,0061;5810,255683;246,46;0,0181;21464,33278;224,6;0,0221;21223,96611;222,64;0,0061;5810,255683
246,14;0,013;15453,18193;246,04;0,0033;3912,176175;230,83;0,0054;6403,723591;214,81;0,0151;13628,41459;215,68;0,0033;2950,549727;215,02;0,0099;9507,568531;205,35;0,0164;13885,87157;204,69;0,0048;4059,695221;215,21;0,0101;9620,25941;230,83;0,0054;6403,723591;215,02;0,0099;9507,568531;215,21;0,0101;9620,25941
229,6;0,0013;1545,318193;220,36;0,0148;17545,51739;229,02;0,0107;12688,85971;199,69;0,0019;1714,833624;192,41;0,0256;22889,11303;209,68;0,0032;3073,153464;191,15;0,0016;1354,719178;186,28;0,0138;11671,62376;198,17;0,03;28575,02795;229,02;0,0107;12688,85971;209,68;0,0032;3073,153464;198,17;0,03;28575,02795
222,01;0,015;17830,59453;218,72;0,0109;12922,03646;226,86;0,0078;9249,822965;195,48;0,0234;21119,5299;190,3;0,0045;4023,4769;208,15;0,0163;15653,87546;186,7;0,011;9313,694347;184,66;0,0327;27656,67369;197,48;0,0187;17811,76742;226,86;0,0078;9249,822965;208,15;0,0163;15653,87546;197,48;0,0187;17811,76742
220,88;0,0025;2971,765755;218,31;0,0083;9839,715834;225,72;0,0015;1778,812109;194,93;0,0078;7039,843299;189,13;0,006;5364,635867;206,05;0,0151;14501,44291;186,32;0,0182;15409,93065;183,95;0,0065;5497,503945;196,21;0,0112;10668,01043;225,72;0,0015;1778,812109;206,05;0,0151;14501,44291;196,21;0,0112;10668,01043
219,45;0,0053;6300,143401;214,62;0,0086;10195,36821;224,02;0,0007;830,1123174;192,57;0,0034;3068,649643;186,68;0,0021;1877,622553;199,22;0,0086;8259,099936;186,24;0,0272;23030,22602;182,56;0,0035;2960,194432;195,92;0,0056;5334,005217;224,02;0,0007;830,1123174;199,22;0,0086;8259,099936;195,92;0,0056;5334,005217
219,09;0,0017;2020,800714;214,22;0,0001;118,5507932;223,13;0,0048;5692,198748;192,07;0,0061;5505,518477;184,92;0,0014;1251,748369;198,65;0,0054;5185,946471;186,23;0,0033;2794,108304;182,36;0,0216;18268,62849;194,34;0,0145;13811,26351;223,13;0,0048;5692,198748;198,65;0,0054;5185,946471;194,34;0,0145;13811,26351
218,59;0,0088;10460,61546;211,85;0,0014;1659,711105;221,89;0,0037;4387,736535;191,16;0,0001;90,25440127;184,28;0,0335;29952,55025;197,32;0,0165;15845,94755;183,76;0,0009;762,0295375;182,29;0,0008;676,6158701;194,03;0;0;221,89;0,0037;4387,736535;197,32;0,0165;15845,94755;194,03;0;0
215,67;0,0318;37800,86041;211,07;0,0219;25962,62371;220,92;0;0;188,05;0,0385;34747,94449;182,26;0,0538;48102,9016;196,69;0,0068;6530,451112;183,33;0,0793;67143,26924;181,8;0;0;192,65;0,001;952,5009317;220,92;0;0;196,69;0,0068;6530,451112;192,65;0,001;952,5009317
211,8;0,0293;34829,09465;211,04;0,0217;25725,52212;220,84;0,0013;1541,637161;187,45;0,0629;56770,0184;180,86;0,1;89410,59778;194,94;0,0117;11236,21735;179,76;0,0195;16510,63998;180,4;0,0183;15477,58803;191,85;0,0398;37909,53708;220,84;0,0013;1541,637161;194,94;0,0117;11236,21735;191,85;0,0398;37909,53708
