X b3lyp6311;Y b3lyp6311;Y2 b3lyp6311;X b3lyp6311++;Y b3lyp6311++;Y2 b3lyp6311++;X c-b631;Y c-b631;Y2 c-b631;X c-b6311;Y c-b6311;Y2 c-b6311;X c-b6311++;Y c-b6311++;Y2 c-b6311++;X wb631;Y wb631;Y2 wb631;X wb6311;Y wb6311;Y2 wb6311;X wb6311++;Y wb6311++;Y2 wb6311++;X b3lyp fit2;Y b3lyp fit2;Y2 b3lyp fit2;X c-b fit2;Y c-b fit2;Y2 c-b fit2;X wb fit2;Y wb fit2;Y2 wb fit2
240,25;0,0039;4079,174787;227,19;0,0296;30696,77152;214,86;0,0099;7988,998557;208,46;0,0051;4018,890946;226,6;0,0117;10882,60161;207,17;0,0108;8297,409288;199,15;0,0086;6324,438064;214,08;0,0203;17934,8423;227,19;0,0296;30696,77152;226,6;0,0117;10882,60161;214,08;0,0203;17934,8423
224,12;0,0042;4392,957463;225,02;0,0266;27585,61224;210,82;0,0074;5971,574679;199,64;0,0049;3861,28738;211,54;0,0128;11905,75219;199,43;0,0079;6069,401238;190,53;0,0054;3971,158784;198,93;0,0254;22440,64012;225,02;0,0266;27585,61224;211,54;0,0128;11905,75219;198,93;0,0254;22440,64012
204,01;0,0176;18408,58366;218,18;0,0012;1244,46371;187,76;0,0233;18802,39054;176,5;0,0279;21985,69753;195,9;0,0016;1488,219024;180,13;0,032;24584,91641;174,34;0,0148;10883,91667;190,43;0,0482;42584,20684;218,18;0,0012;1244,46371;195,9;0,0016;1488,219024;190,43;0,0482;42584,20684
203,69;0,0012;1255,130704;215,55;0,0035;3629,685822;186,47;0,0045;3631,362981;175,86;0,0059;4649,305212;194,31;0,0265;24648,62759;178,93;0,0019;1459,729412;172,2;0;0;188,45;0,0033;2915,516236;215,55;0,0035;3629,685822;194,31;0,0265;24648,62759;188,45;0,0033;2915,516236
202,32;0,0008;836,7538025;212,78;0,0073;7570,487571;184,23;0,0468;37766,175;174,12;0,0306;24113,34568;194,13;0,0038;3534,520182;176,86;0,0523;40180,97275;171,46;0,0013;956,0197073;187,52;0;0;212,78;0,0073;7570,487571;194,13;0,0038;3534,520182;187,52;0;0
200,21;0,0123;12865,08971;211,92;0,0017;1762,990256;181,13;0,0001;80,69695512;172,34;0,0143;11268,65501;192,94;0,0331;30787,53106;173,54;0,0005;384,1393189;171,02;0,0003;220,6199325;187,04;0,0303;26769,73999;211,92;0,0017;1762,990256;192,94;0,0331;30787,53106;187,04;0,0303;26769,73999
199,05;0,0193;20186,68549;210,98;0,0048;4977,854841;180,61;0,0109;8795,968108;170,38;0,0245;19306,4369;190,82;0,1046;97292,3187;172,66;0,013;9987,622291;170,09;0,0301;22135,53322;186,9;0,0024;2120,375444;210,98;0,0048;4977,854841;190,82;0,1046;97292,3187;186,9;0,0024;2120,375444
199;0,0035;3660,797886;210,53;0,0107;11096,46808;180,2;0,0083;6697,847275;169,19;0,0003;236,4053498;189,81;0,0044;4092,602316;170,29;0,0143;10986,38452;169,29;0,0041;3015,139077;186,78;0,0015;1325,234653;210,53;0,0107;11096,46808;189,81;0,0044;4092,602316;186,78;0,0015;1325,234653
197,66;0,0047;4915,92859;210,52;0,0051;5288,970769;176,43;0,0493;39783,59888;168,12;0,0007;551,6124828;189,06;0,0002;186,027378;170,09;0,0854;65610,99566;168,63;0,0133;9780,817006;185,1;0,059;52125,89634;210,52;0,0051;5288,970769;189,06;0,0002;186,027378;185,1;0,059;52125,89634
197,31;0,0002;209,1884506;209,54;0,0467;48430,37939;175,64;0;0;167,66;0,006;4728,106996;186,81;0,0086;7999,177255;169,07;0;0;168,24;0,0064;4706,558559;184,16;0,0027;2385,422375;209,54;0,0467;48430,37939;186,81;0,0086;7999,177255;184,16;0,0027;2385,422375
195,68;0,0016;1673,507605;209,02;0,0241;24992,97952;174,2;0,0017;1371,848237;167,33;0,0279;21985,69753;186,42;0,0151;14045,06704;167,59;0,0019;1459,729412;167,89;0,0039;2868,059122;184,02;0,049;43290,99866;209,02;0,0241;24992,97952;186,42;0,0151;14045,06704;184,02;0,049;43290,99866
