X b3lyp631;Y b3lyp631;DY/DX b3lyp631;X b3lyp6311;Y b3lyp6311;DY/DX b3lyp6311;X b3lyp6311++;Y b3lyp6311++;DY/DX b3lyp6311++;X c-b631;Y c-b631;DY/DX c-b631;X c-b6311;Y c-b6311;DY/DX c-b6311;X c-b6311++;Y c-b6311++;DY/DX c-b6311++;X wb631;Y wb631;DY/DX wb631;X wb6311;Y wb6311;DY/DX wb6311;X wb6311++;Y wb6311++;DY/DX wb6311++;X b3lyp fit2;Y b3lyp fit2;DY/DX b3lyp fit2;X c-b fit2;Y c-b fit2;DY/DX c-b fit2;X wb fit2;Y wb fit2;DY/DX wb fit2
160;0;0;160;0;0;180;0;0;140;0;0;150;0;0;160;0;0;140;0;0;150;0;0;160;0;0;140;0;0;140;0;0;140;0;0
160,28;0;0;160,24;0;0;180,2;0;0;140,22;0;0;150,2;0;0;160,18;0;0;140,2;0;0;150,16;0;0;160,18;0;0;140,32;0;0;140,28;0;0;140,28;0;0
160,56;0;0;160,48;0;0;180,4;0;0;140,44;0;0;150,4;0;0;160,36;0;0;140,4;0;0;150,32;0;0;160,36;0;0;140,64;0;0;140,56;0;0;140,56;0;0
160,84;0;0;160,72;0;0;180,6;0;0;140,66;0;0;150,6;0;0;160,54;0;0;140,6;0;0;150,48;0;0;160,54;0;0;140,96;0;0;140,84;0;0;140,84;0;0
161,12;0;0;160,96;0;0;180,8;0;0;140,88;0;0;150,8;0;0;160,72;0;0;140,8;0;0;150,64;0;0;160,72;0;0;141,28;0;0;141,12;0;0;141,12;0;0
161,4;0;0;161,2;0;0;181;0;0;141,1;0;0;151;0;0;160,9;0;0;141;0;0;150,8;0;0;160,9;0;0;141,6;0;0;141,4;0;0;141,4;0;0
161,68;0;0;161,44;0;0;181,2;0;0;141,32;0;0;151,2;0;0;161,08;0;0;141,2;0;0;150,96;0;0;161,08;0;0;141,92;0;0;141,68;0;0;141,68;0;0
161,96;0;0;161,68;0;0;181,4;0;0;141,54;0;0;151,4;0;0;161,26;0;0;141,4;0;0;151,12;0;0;161,26;0;0;142,24;0;0;141,96;0;0;141,96;0;0
162,24;0;0;161,92;0;0;181,6;0;0;141,76;0;0;151,6;0;0;161,44;0;0;141,6;0;0;151,28;0;0;161,44;0;0;142,56;0;0;142,24;0;0;142,24;0;0
162,52;0;0;162,16;0;0;181,8;0;0;141,98;0;0;151,8;0;0;161,62;0;0;141,8;0;0;151,44;0;0;161,62;0;0;142,88;0;0;142,52;0;0;142,52;0;0
162,8;0;0;162,4;0;0;182;0;0;142,2;0;0;152;0;0;161,8;0;0;142;0;0;151,6;0;0;161,8;0;0;143,2;0;0;142,8;0;0;142,8;0;0
163,08;0;0;162,64;0;0;182,2;0;0;142,42;0;0;152,2;0;0;161,98;0;0;142,2;0;0;151,76;0;0;161,98;0;0;143,52;0;0;143,08;0;0;143,08;0;0
163,36;0;0;162,88;0;0;182,4;0;0;142,64;0;0;152,4;0;0;162,16;0;0;142,4;0;0;151,92;0;0;162,16;0;0;143,84;0;0;143,36;0;0;143,36;0;0
163,64;0;0;163,12;0;0;182,6;0;0;142,86;0;0;152,6;0;0;162,34;0;0;142,6;0;0;152,08;0;0;162,34;0;0;144,16;0;0;143,64;0;0;143,64;0;0
163,92;0;0;163,36;0;0;182,8;0;0;143,08;0;0;152,8;0;0;162,52;0;0;142,8;0;0;152,24;0;0;162,52;0;0;144,48;0;0;143,92;0;0;143,92;0;0
164,2;0;0;163,6;0;0;183;0;0;143,3;0;0;153;0;0;162,7;0;0;143;0;0;152,4;0;0;162,7;0;0;144,8;0;0;144,2;0;0;144,2;0;0
164,48;0;0;163,84;0;0;183,2;0;0;143,52;0;0;153,2;0;0;162,88;0;0;143,2;0;0;152,56;0;0;162,88;0;0;145,12;0;0;144,48;0;0;144,48;0;0
164,76;0;0;164,08;0;0;183,4;0;0;143,74;0;0;153,4;0;0;163,06;0;0;143,4;0;0;152,72;0;0;163,06;0;0;145,44;0;0;144,76;0;0;144,76;0;0
165,04;0;0;164,32;0;0;183,6;0;0;143,96;0;0;153,6;0;0;163,24;0;0;143,6;0;0;152,88;0;0;163,24;0;0;145,76;0;0;145,04;0;0;145,04;0;0
165,32;0;0;164,56;0;0;183,8;0;0;144,18;0;0;153,8;0;0;163,42;0;0;143,8;0;0;153,04;0;0;163,42;0;0;146,08;0;0;145,32;0;0;145,32;0;0
165,6;0;0;164,8;0;0;184;0;0;144,4;0;0;154;0;0;163,6;0;0;144;0;0;153,2;0;0;163,6;0;0;146,4;0;0;145,6;0;0;145,6;0;0
165,88;0;0;165,04;0;0;184,2;0;0;144,62;0;0;154,2;0;0;163,78;0;0;144,2;0;0;153,36;0;0;163,78;0;0;146,72;0;0;145,88;0;0;145,88;0;0
166,16;0;0;165,28;0;0;184,4;0;0;144,84;0;0;154,4;0;0;163,96;0;0;144,4;0;0;153,52;0;0;163,96;0;0;147,04;0;0;146,16;0;0;146,16;0;0
166,44;0;0;165,52;0;0;184,6;0;0;145,06;0;0;154,6;0;0;164,14;0;0;144,6;0;0;153,68;0;0;164,14;0;0;147,36;0;0;146,44;0;0;146,44;0;0
166,72;0;0;165,76;0;0;184,8;0;0;145,28;0;0;154,8;0;0;164,32;0;0;144,8;0;0;153,84;0;0;164,32;0;0;147,68;0;0;146,72;0;0;146,72;0;0
167;0;0;166;0;0;185;0;0;145,5;0;0;155;0;0;164,5;0;0;145;0;0;154;0;0;164,5;0;0;148;0;0;147;0;0;147;0;0
167,28;0;0;166,24;0;0;185,2;0;0;145,72;0;0;155,2;0;0;164,68;0;0;145,2;0;0;154,16;0;0;164,68;0;0;148,32;0;0;147,28;0;0;147,28;0;0
167,56;0;0;166,48;0;0;185,4;0;0;145,94;0;0;155,4;0;0;164,86;0;0;145,4;0;0;154,32;0;0;164,86;0;0;148,64;0;0;147,56;0;0;147,56;0;0
167,84;0;0;166,72;0;0;185,6;0;0;146,16;0;0;155,6;0;0;165,04;0;0;145,6;0;0;154,48;0;0;165,04;0;0;148,96;0;0;147,84;0;0;147,84;0;0
168,12;0;0;166,96;0;0;185,8;1,00E-10;0;146,38;0;0;155,8;0;0;165,22;0;0;145,8;0;0;154,64;0;0;165,22;0;0;149,28;0;0;148,12;0;0;148,12;0;0
168,4;0;0;167,2;0;0;186;2,00E-10;0;146,6;0;0;156;0;0;165,4;0;0;146;0;0;154,8;0;0;165,4;0;0;149,6;0;0;148,4;0;0;148,4;0;0
168,68;0;0;167,44;0;0;186,2;3,00E-10;0;146,82;0;0;156,2;0;0;165,58;0;0;146,2;0;0;154,96;0;0;165,58;0;0;149,92;0;0;148,68;0;0;148,68;0;0
168,96;0;0;167,68;0;0;186,4;6,00E-10;0;147,04;0;0;156,4;0;0;165,76;0;0;146,4;0;0;155,12;0;0;165,76;0;0;150,24;0;0;148,96;0;0;148,96;0;0
