X b3lyp6311;Y b3lyp6311;DY/DX b3lyp6311;X b3lyp6311++;Y b3lyp6311++;DX/DY 6311++;X c-b631;Y c-b631;DY/DX c-b631;X c-b6311;Y c-b6311;DY/DX c-b6311;X c-b6311++;Y c-b6311++;DY/DX c-b6311++;X wb631;Y wb631;DY/DX wb631;X wb6311;Y wb6311;DY/DX wb6311;X wb6311++;Y wb6311++;DY/DX wb6311++;X b3lyp fit2;Y b3lyp fit2;DY/DX b3lyp fit2;X c-b fit2;Y c-b fit2;DY/DX c-b fit2;X wb fit2;Y wb fit2;DY/DX wb fit2
160;0;0;170;0;0;140;0;0;140;0;0;150;0;0;140;0;0;140;0;0;150;0;0;140;0;0;120;0;0;120;0;0
160,22;0;0;170,16;0;0;140,2;0;0;140,18;0;0;150,2;0;0;140,18;0;0;140,16;0;0;150,18;0;0;140,28;0;0;120,32;0;0;120,28;0;0
160,44;0;0;170,32;0;0;140,4;0;0;140,36;0;0;150,4;0;0;140,36;0;0;140,32;0;0;150,36;0;0;140,56;0;0;120,64;0;0;120,56;0;0
160,66;0;0;170,48;0;0;140,6;0;0;140,54;0;0;150,6;0;0;140,54;0;0;140,48;0;0;150,54;0;0;140,84;0;0;120,96;0;0;120,84;0;0
160,88;0;0;170,64;0;0;140,8;0;0;140,72;0;0;150,8;0;0;140,72;0;0;140,64;0;0;150,72;0;0;141,12;0;0;121,28;0;0;121,12;0;0
161,1;0;0;170,8;0;0;141;0;0;140,9;0;0;151;0;0;140,9;0;0;140,8;0;0;150,9;0;0;141,4;0;0;121,6;0;0;121,4;0;0
161,32;0;0;170,96;0;0;141,2;0;0;141,08;0;0;151,2;0;0;141,08;0;0;140,96;0;0;151,08;0;0;141,68;0;0;121,92;0;0;121,68;0;0
161,54;0;0;171,12;0;0;141,4;0;0;141,26;0;0;151,4;0;0;141,26;0;0;141,12;0;0;151,26;0;0;141,96;0;0;122,24;0;0;121,96;0;0
161,76;0;0;171,28;0;0;141,6;0;0;141,44;0;0;151,6;0;0;141,44;0;0;141,28;0;0;151,44;0;0;142,24;0;0;122,56;0;0;122,24;0;0
161,98;0;0;171,44;0;0;141,8;0;0;141,62;0;0;151,8;0;0;141,62;0;0;141,44;0;0;151,62;0;0;142,52;0;0;122,88;0;0;122,52;0;0
162,2;0;0;171,6;0;0;142;0;0;141,8;0;0;152;0;0;141,8;0;0;141,6;0;0;151,8;0;0;142,8;0;0;123,2;0;0;122,8;0;0
162,42;0;0;171,76;0;0;142,2;0;0;141,98;0;0;152,2;0;0;141,98;0;0;141,76;0;0;151,98;0;0;143,08;0;0;123,52;0;0;123,08;0;0
162,64;0;0;171,92;0;0;142,4;0;0;142,16;0;0;152,4;0;0;142,16;0;0;141,92;0;0;152,16;0;0;143,36;0;0;123,84;0;0;123,36;0;0
162,86;0;0;172,08;0;0;142,6;0;0;142,34;0;0;152,6;0;0;142,34;0;0;142,08;0;0;152,34;0;0;143,64;0;0;124,16;0;0;123,64;0;0
163,08;0;0;172,24;0;0;142,8;0;0;142,52;0;0;152,8;0;0;142,52;0;0;142,24;0;0;152,52;0;0;143,92;0;0;124,48;0;0;123,92;0;0
163,3;0;0;172,4;0;0;143;0;0;142,7;0;0;153;0;0;142,7;0;0;142,4;0;0;152,7;0;0;144,2;0;0;124,8;0;0;124,2;0;0
163,52;0;0;172,56;0;0;143,2;0;0;142,88;0;0;153,2;0;0;142,88;0;0;142,56;0;0;152,88;0;0;144,48;0;0;125,12;0;0;124,48;0;0
163,74;0;0;172,72;0;0;143,4;0;0;143,06;0;0;153,4;0;0;143,06;0;0;142,72;0;0;153,06;0;0;144,76;0;0;125,44;0;0;124,76;0;0
163,96;0;0;172,88;0;0;143,6;0;0;143,24;0;0;153,6;0;0;143,24;0;0;142,88;0;0;153,24;0;0;145,04;0;0;125,76;0;0;125,04;0;0
164,18;0;0;173,04;0;0;143,8;0;0;143,42;0;0;153,8;0;0;143,42;0;0;143,04;0;0;153,42;0;0;145,32;0;0;126,08;0;0;125,32;0;0
164,4;0;0;173,2;0;0;144;0;0;143,6;0;0;154;0;0;143,6;0;0;143,2;0;0;153,6;0;0;145,6;0;0;126,4;0;0;125,6;0;0
164,62;0;0;173,36;0;0;144,2;0;0;143,78;0;0;154,2;0;0;143,78;0;0;143,36;0;0;153,78;0;0;145,88;0;0;126,72;0;0;125,88;0;0
164,84;0;0;173,52;0;0;144,4;0;0;143,96;0;0;154,4;0;0;143,96;0;0;143,52;0;0;153,96;0;0;146,16;0;0;127,04;0;0;126,16;0;0
165,06;0;0;173,68;0;0;144,6;0;0;144,14;0;0;154,6;0;0;144,14;0;0;143,68;0;0;154,14;0;0;146,44;0;0;127,36;0;0;126,44;0;0
