pH,Mn(OH)4-2,Mn+2,Mn2(OH)3+,Mn2OH+3,MnCl+,MnCl2 (aq),MnCl3-,MnOH+,MnBr+,MnCO3 (aq),MnF+,MnHCO3+,MnSO4 (aq)
1,3.6812195121951216e-42,77.85853658536584,1.1250406504065038e-28,2.4836585365853655e-16,11.551219512195123,4.760487804878048,7.390731707317073,7.911382113821137e-09,0.26227642276422763,5.954959349593495e-12,0.007578699186991869,7.88642276422764e-05,5.064634146341463
2,3.489593495934959e-38,73.34471544715447,9.567479674796747e-26,2.2224390243902437e-15,10.630081300813007,4.396422764227642,6.759186991869919,7.314552845528454e-08,0.24047967479674795,5.459674796747967e-10,0.05855447154471545,0.000718252032520325,10.928455284552845
3,3.4331707317073168e-34,72.11463414634146,9.216260162601623e-23,2.150081300813008e-14,10.435772357723575,4.320406504065041,6.639349593495935,7.180569105691056e-07,0.23590243902439023,5.3517073170731695e-08,0.22861788617886178,0.0070356097560975595,12.417886178861787
4,3.42609756097561e-30,71.96097560975609,9.173983739837398e-20,2.1411382113821138e-13,10.4130081300813,4.311219512195121,6.625040650406503,7.1642276422764225e-06,0.23534959349593496,5.29910569105691e-06,0.32513008130081295,0.06965934959349591,12.589430894308942
5,3.4233333333333334e-26,71.90243902439023,9.158536585365852e-17,2.1376422764227643e-12,10.404065040650407,4.3078861788617875,6.620081300813007,7.158373983739837e-05,0.23516260162601627,0.0004925365853658536,0.3393333333333333,0.6474634146341463,12.60081300813008
6,3.411138211382114e-22,71.64634146341463,9.095934959349594e-14,2.1223577235772355e-11,10.369105691056909,4.293577235772358,6.598943089430894,0.000713349593495935,0.23434959349593493,0.028905691056910567,0.3398536585365854,3.7999186991869918,12.564227642276421
7,3.3802439024390243e-18,70.99837398373984,8.934146341463414e-11,2.0841463414634147e-10,10.277235772357724,4.255934959349593,6.54211382113821,0.007069756097560975,0.23226016260162602,0.5578373983739837,0.33719512195121953,7.333577235772356,12.458536585365852
8,3.2073170731707314e-14,67.3658536585366,8.043170731707316e-08,1.876260162601626e-09,9.752032520325203,4.03869918699187,6.208536585365853,0.06707967479674797,0.22037398373983738,5.546585365853658,0.3201138211382113,7.291788617886177,11.8260162601626
9,2.4365853658536583e-10,51.17723577235772,4.640731707317072e-05,1.0829268292682926e-08,7.409674796747967,3.069430894308943,4.719430894308943,0.5095447154471544,0.16739024390243903,27.955284552845526,0.24373983739837396,3.674959349593496,8.998373983739837
10,1.7415447154471545e-06,36.578861788617886,0.023695934959349595,5.5326829268292675e-08,5.29780487804878,2.1960162601626014,3.3779674796747963,3.6411382113821134,0.11960975609756097,45.360975609756096,0.17520325203252032,0.5962439024390244,6.454796747967478
11,0.01030731707317073,21.648780487804874,8.288617886178862,1.9382926829268292e-07,3.140813008130081,1.30520325203252,2.011951219512195,21.537398373983738,0.0707349593495935,31.682926829268293,0.10653658536585364,0.04163495934959349,3.875609756097561
12,7.1587804878048775,1.5035772357723578,39.787804878048775,9.35691056910569e-09,0.22045528455284552,0.09286178861788617,0.14482926829268292,14.926829268292682,0.0048990243902439015,2.656341463414634,0.008651219512195121,0.0003487642276422764,0.2918861788617886
