wavelength;F(lambda)
250,5;0,059
255,5;0,089
260,5;0,102
265,5;0,28
270,5;0,293
275,5;0,2
280,5;0,112
285,5;0,141
290,5;0,623
295,5;0,548
300,5;0,403
305,5;0,58
310;0,495
315,2;0,695
320;0,712
325,2;0,646
330;1,144
335,5;0,982
340,5;0,992
345,5;0,967
350,5;1,119
355,5;1,058
360,5;0,979
365,5;1,263
370,5;1,075
375,5;1,141
380,5;1,289
385,5;0,954
390,5;1,223
395,5;1,378
400,5;1,649
405,5;1,672
410,5;1,502
415,5;1,736
420,5;1,76
425,5;1,697
430,5;1,136
435,5;1,725
440,5;1,715
445,5;1,823
450,5;2,146
455,5;2,036
460,5;2,042
465,5;2,044
470,5;1,879
475,5;2,018
480,5;2,037
485,5;1,832
490,5;2,009
495,5;1,928
500,5;1,859
510,5;1,949
520,5;1,833
530,5;1,954
540,5;1,772
550,5;1,864
560,5;1,845
570,5;1,772
580,5;1,84
590,5;1,815
600,5;1,748
610,5;1,705
620,5;1,736
