X MnCl+;Y MnCl+;Y2 MnCl+;X MnCl3-;Y MnCl3-;Y2 MnCl3-;X MnClH2O;Y MnClH2O;Y2 MnClH2O;X MnCl2;Y MnCl2;Y2 MnCl2;X MnH2O;Y MnH2O;Y2 MnH2O;X MnCl+ fit2;Y MnCl+  fit2;Y2 MnCl+  fit2;X MnCl3- fit2;Y MnCl3- fit2;Y2 MnCl3- fit2;X MnClH2O fit2;Y MnClH2O fit2;Y2 MnClH2O fit2;X MnCl2 fit2;Y MnCl2 fit2;Y2 MnCl2 fit2;X MnH2O fit2;Y MnH2O fit2;Y2 MnH2O fit2
328,01;0,0119;18552,21984;241,86;0;0;207,94;0,0049;3792,104647;274,67;0,0169;23034,37277;177,85;0;0;328,01;0,0119;18552,21984;245,34;0;0;207,94;0,0049;3792,104647;274,67;0,0169;23034,37277;177,85;0;0
328,01;0,0119;18552,21984;234,06;0,0357;39641,0862;186,04;0,0017;1315,628143;274,67;0,0169;23034,37277;177,83;0;0;328,01;0,0119;18552,21984;231,89;0,0335;38009,51538;186,04;0,0017;1315,628143;274,67;0,0169;23034,37277;177,83;0;0
324,54;0,0026;4053,426185;234,06;0,0357;39641,0862;185,73;0,0013;1006,06858;270,2;0;0;157,83;0;0;324,54;0,0026;4053,426185;231,89;0,0335;38009,51538;185,73;0,0013;1006,06858;270,2;0;0;157,83;0;0
324,54;0,0026;4053,426185;227,42;0;0;185,56;0,0069;5339,902461;270,2;0;0;157,81;0;0;324,54;0,0026;4053,426185;229,11;0;0;185,56;0,0069;5339,902461;270,2;0;0;157,81;0;0
315,44;0;0;227,42;0;0;184,59;0,0004;309,559563;247,6;0,0002;272,5961275;157,79;0;0;315,44;0;0;229,11;0;0;184,59;0,0004;309,559563;247,6;0,0002;272,5961275;157,79;0;0
315,33;0;0;221,01;0,0116;12880,57703;182,63;0,0338;26157,78307;238,68;0;0;146,29;0;0;315,33;0;0;222,8;0,0124;14069,19375;182,63;0,0338;26157,78307;238,68;0;0;146,29;0;0
312,3;0;0;221,01;0,0116;12880,57703;182,28;0,0351;27163,85165;238,68;0;0;146,27;0;0;312,3;0;0;222,8;0,0124;14069,19375;182,28;0,0351;27163,85165;238,68;0;0;146,27;0;0
311,59;0;0;219,74;0,0282;31313,12691;181,28;0,0562;43493,1186;238,16;0,0054;7360,095441;146,14;0;0;311,59;0;0;219,31;0,0368;41753,73629;181,28;0,0562;43493,1186;238,16;0,0054;7360,095441;146,14;0;0
311,59;0;0;212,95;0;0;178,68;0,0005;386,9494537;238,16;0,0054;7360,095441;145,74;0,0151;9026,670655;311,59;0;0;215,14;0;0;178,68;0,0005;386,9494537;238,16;0,0054;7360,095441;145,74;0,0151;9026,670655
306,16;0,0006;935,4060426;212,95;0;0;178,13;0,0008;619,119126;236,28;0;0;145,74;0,0151;9026,670655;306,16;0,0006;935,4060426;215,14;0;0;178,13;0,0008;619,119126;236,28;0;0;145,74;0,0151;9026,670655
306,16;0,0006;935,4060426;207,75;0;0;173,43;0,029;22443,06832;236,28;0;0;145,73;0,0151;9026,670655;306,16;0,0006;935,4060426;206,15;0,0029;3290,375958;173,43;0,029;22443,06832;236,28;0;0;145,73;0,0151;9026,670655
299,47;0,0049;7639,149348;207,75;0;0;173,19;0,0253;19579,64236;234,17;0;0;145,26;0;0;299,47;0,0049;7639,149348;206,14;0,0028;3176,914718;173,19;0,0253;19579,64236;234,17;0;0;145,26;0;0
270,81;0,0362;56436,16457;205,58;0,0043;4774,696657;172,96;0,0022;1702,577596;234,17;0;0;145,24;0;0;270,81;0,0362;56436,16457;205,45;0;0;172,96;0,0022;1702,577596;234,17;0;0;145,24;0;0
244,68;0,0012;1870,812085;205,58;0,0043;4774,696657;172,62;0,038;29408,15848;230,71;0;0;145,23;0;0;244,68;0,0012;1870,812085;205,45;0;0;172,62;0,038;29408,15848;230,71;0;0;145,23;0;0
244,68;0,0012;1870,812085;204,61;0;0;171,87;0,0372;28789,03936;230,71;0;0;144,65;0;0;244,68;0,0012;1870,812085;203,34;0,0033;3744,220918;171,87;0,0372;28789,03936;230,71;0;0;144,65;0;0
239,81;0;0;204,61;0;0;170,99;0,0232;17954,45465;229,91;0;0;144,64;0;0;239,81;0;0;203,34;0,0033;3744,220918;170,99;0,0232;17954,45465;229,91;0;0;144,64;0;0
239,78;0;0;202,35;0;0;170,54;0,0318;24609,98526;226,67;0;0;144,48;0,0273;16319,74231;239,78;0;0;202,81;0;0;170,54;0,0318;24609,98526;226,67;0;0;144,48;0,0273;16319,74231
237,54;0,0082;12783,88258;202,08;0,0044;4885,736114;165,7;0,0003;232,1696722;226,65;0;0;144,47;0,0267;15961,06666;237,54;0,0082;12783,88258;202,53;0;0;165,7;0,0003;232,1696722;226,65;0;0;144,47;0,0267;15961,06666
225,28;0,0013;2026,713092;202,08;0,0044;4885,736114;163,65;0,0008;619,119126;225,7;0;0;144,46;0,0256;15303,49462;225,28;0,0013;2026,713092;202,53;0;0;163,65;0,0008;619,119126;225,7;0;0;144,46;0,0256;15303,49462
225,28;0,0013;2026,713092;201,75;0;0;160,84;0,001;773,8989075;221,35;0,1005;136979,5541;144,19;0,0023;1374,923345;225,28;0,0013;2026,713092;201,97;0;0;160,84;0,001;773,8989075;221,35;0,1005;136979,5541;144,19;0,0023;1374,923345
203,04;0;0;200,95;0;0;160,43;0,0004;309,559563;218,91;0;0;144,18;0,0018;1076,026966;203,04;0;0;199,62;0;0;160,43;0,0004;309,559563;218,91;0;0;144,18;0,0018;1076,026966
203,02;0;0;197,62;0,0532;59072,9912;159,72;0,0042;3250,375411;218,89;0;0;144,17;0,0025;1494,481897;203,02;0;0;199,05;0;0;159,72;0,0042;3250,375411;218,89;0;0;144,17;0,0025;1494,481897
194,19;0,0002;311,8020142;197,62;0,0532;59072,9912;159,43;0,0115;8899,837436;211,87;0,0032;4361,538039;143,5;0,0332;19846,71959;194,19;0,0002;311,8020142;198,63;0,0611;69324,8176;159,43;0,0115;8899,837436;211,87;0,0032;4361,538039;143,5;0,0332;19846,71959
194,19;0,0002;311,8020142;197,3;0;0;159,13;0,0297;22984,79755;211,87;0,0032;4361,538039;143,49;0,0329;19667,38176;194,19;0,0002;311,8020142;198,63;0,0611;69324,8176;159,13;0,0297;22984,79755;211,87;0,0032;4361,538039;143,49;0,0329;19667,38176
190,91;0,0059;9198,159419;196,08;0;0;157,67;0,0127;9828,516125;210,53;0;0;143,48;0,0329;19667,38176;190,91;0,0059;9198,159419;197,35;0;0;157,67;0,0127;9828,516125;210,53;0;0;143,48;0,0329;19667,38176
