X MnCl+;Y MnCl+;Y2 MnCl+;X MnCl3-;Y MnCl3-;Y2 MnCl3-;X MnClH2O;Y MnClH2O;Y2 MnClH2O;X MnCl2;Y MnCl2;Y2 MnCl2;X MnH2O;Y MnH2O;Y2 MnH2O;X MnCl+ fit2;Y MnCl+  fit2;Y2 MnCl+  fit2;X MnCl3- fit2;Y MnCl3- fit2;Y2 MnCl3- fit2;X MnClH2O fit2;Y MnClH2O fit2;Y2 MnClH2O fit2;X MnCl2 fit2;Y MnCl2 fit2;Y2 MnCl2 fit2;X MnH2O fit2;Y MnH2O fit2;Y2 MnH2O fit2
222,88;0,0199;16987,06649;213,06;0,0655;59053,7643;208,76;0,0081;6389,866814;206,71;0,0371;32795,93257;188,12;0;0;222,88;0,0199;16987,06649;213,06;0,0655;59053,7643;208,76;0,0081;6389,866814;206,71;0,0371;32795,93257;188,12;0;0
214,93;0,0168;14340,84006;210,29;0,0693;62479,78421;188,83;0,0001;78,88724461;206,71;0,0371;32795,93257;187,99;0;0;214,93;0,0168;14340,84006;210,29;0,0693;62479,78421;188,83;0,0001;78,88724461;206,71;0,0371;32795,93257;187,99;0;0
214,93;0,0168;14340,84006;204,45;0;0;188,5;0,0018;1419,970403;206,01;0;0;163,7;0,0001;63,26667017;214,93;0,0168;14340,84006;204,45;0;0;188,5;0,0018;1419,970403;206,01;0;0;163,7;0,0001;63,26667017
194,26;0,0206;17584,6015;197,31;0;0;188,4;0,0003;236,6617338;206,01;0;0;163,68;0,0001;63,26667017;194,26;0,0206;17584,6015;197,31;0;0;188,4;0,0003;236,6617338;206,01;0;0;163,68;0,0001;63,26667017
194,26;0,0206;17584,6015;196,61;0;0;187,96;0,0003;236,6617338;204,6;0;0;163,56;0,0002;126,5333403;194,26;0,0206;17584,6015;196,61;0;0;187,96;0,0003;236,6617338;204,6;0;0;163,56;0,0002;126,5333403
193,37;0;0;192,6;0;0;186,71;0,0353;27847,19735;201,8;0;0;157,58;0,0388;24547,46803;193,37;0;0;192,6;0;0;186,71;0,0353;27847,19735;201,8;0;0;157,58;0,0388;24547,46803
193,37;0;0;192,51;0;0;186,42;0,04;31554,89785;201,8;0;0;157,53;0,0392;24800,53471;193,37;0;0;192,51;0;0;186,42;0,04;31554,89785;201,8;0;0;157,53;0,0392;24800,53471
192,72;0;0;192,5;0;0;184,55;0,0543;42835,77383;193,17;0;0;157,07;0,0317;20055,53444;192,72;0;0;192,5;0;0;184,55;0,0543;42835,77383;193,17;0;0;157,07;0,0317;20055,53444
188,96;0;0;192,44;0,0317;28580,21875;181,46;0,0153;12069,74843;193,17;0;0;154,57;0,0006;379,600021;188,96;0;0;192,44;0,0317;28580,21875;181,46;0,0153;12069,74843;193,17;0;0;154,57;0,0006;379,600021
188,95;0;0;191,9;0,0618;55717,9028;181,21;0,0082;6468,754058;192,82;0,0011;972,386141;154,52;0,0004;253,0666807;188,95;0;0;191,9;0,0618;55717,9028;181,21;0,0082;6468,754058;192,82;0,0011;972,386141;154,52;0,0004;253,0666807
188,49;0,036;30730,37155;191,72;0,0019;1713,009957;177,43;0,0374;29503,82949;192,75;0;0;154,28;0,0001;63,26667017;188,49;0,036;30730,37155;191,72;0,0019;1713,009957;177,43;0,0374;29503,82949;192,75;0;0;154,28;0,0001;63,26667017
187,18;0;0;191,4;0,0348;31375,12973;177,01;0,0469;36998,11772;192,35;0;0;149,09;0,0014;885,7333824;187,18;0;0;191,4;0,0348;31375,12973;177,01;0,0469;36998,11772;192,35;0;0;149,09;0,0014;885,7333824
187,18;0;0;189,34;0,0171;15417,08961;175,51;0,0037;2918,828051;192,34;0;0;149,07;0,0014;885,7333824;187,18;0;0;189,34;0,0171;15417,08961;175,51;0,0037;2918,828051;192,34;0;0;149,07;0,0014;885,7333824
186,85;0,0008;682,8971455;187,98;0,0052;4688,237776;175,35;0,0022;1735,519382;191,77;0;0;148,74;0,0051;3226,600179;186,85;0,0008;682,8971455;187,98;0,0052;4688,237776;175,35;0,0022;1735,519382;191,77;0;0;148,74;0,0051;3226,600179
186,85;0,0008;682,8971455;186,2;0,0039;3516,178332;173,48;0,0329;25953,90348;190,2;0,0979;86542,36655;145,08;0,0002;126,5333403;186,85;0,0008;682,8971455;186,2;0,0039;3516,178332;173,48;0,0329;25953,90348;190,2;0,0979;86542,36655;145,08;0,0002;126,5333403
178,97;0,0006;512,1728591;185,77;0;0;172,61;0,0243;19169,60044;187,88;0,0007;618,7911806;145;0,0007;442,8666912;178,97;0,0006;512,1728591;185,77;0;0;172,61;0,0243;19169,60044;187,88;0,0007;618,7911806;145;0,0007;442,8666912
178,97;0,0006;512,1728591;185,73;0,0013;1172,059444;171,35;0,0305;24060,60961;187,88;0,0007;618,7911806;144,97;0,0005;316,3333508;178,97;0,0006;512,1728591;185,73;0,0013;1172,059444;171,35;0,0305;24060,60961;187,88;0,0007;618,7911806;144,97;0,0005;316,3333508
175,54;0,0105;8963,025035;185,32;0,0673;60676,61584;168,66;0,0007;552,2107123;187,79;0,0058;5127,126925;143,39;0,0029;1834,733435;175,54;0,0105;8963,025035;185,32;0,0673;60676,61584;168,66;0,0007;552,2107123;187,79;0,0058;5127,126925;143,39;0,0029;1834,733435
175,54;0,0105;8963,025035;185,03;0,0789;71134,99242;164,12;0,0006;473,3234677;187,79;0,0058;5127,126925;143,32;0,0032;2024,533445;175,54;0,0105;8963,025035;185,03;0,0789;71134,99242;164,12;0,0006;473,3234677;187,79;0,0058;5127,126925;143,32;0,0032;2024,533445
173,13;0,0022;1877,96715;184,42;0;0;163,93;0,0002;157,7744892;187,6;0;0;143,19;0,0124;7845,067101;173,13;0,0022;1877,96715;184,42;0;0;163,93;0,0002;157,7744892;187,6;0;0;143,19;0,0124;7845,067101
170,98;0,0354;30218,19869;183,72;0,0001;90,15841878;163,63;0;0;187,6;0;0;142,88;0,051;32266,00179;170,98;0,0354;30218,19869;183,72;0,0001;90,15841878;163,63;0;0;187,6;0;0;142,88;0,051;32266,00179
170,98;0,0354;30218,19869;183,5;0;0;161,29;0,0018;1419,970403;187,1;0;0;142,82;0,0282;17841,20099;170,98;0,0354;30218,19869;183,5;0;0;161,29;0,0018;1419,970403;187,1;0;0;142,82;0,0282;17841,20099
170,35;0;0;183,21;0,0021;1893,326794;160,94;0,004;3155,489785;187,1;0;0;142,66;0,001;632,6667017;170,35;0;0;183,21;0,0021;1893,326794;160,94;0,004;3155,489785;187,1;0;0;142,66;0,001;632,6667017
170,33;0;0;181,74;0;0;160,78;0,0189;14909,68923;186,01;0;0;142,5;0,0703;44476,46913;170,33;0;0;181,74;0;0;160,78;0,0189;14909,68923;186,01;0;0;142,5;0,0703;44476,46913
161,1;0,023;19633,29293;181,56;0,0001;90,15841878;160,37;0,0215;16960,75759;184,04;0,0258;22806,87494;142,45;0,0628;39731,46887;161,1;0,023;19633,29293;181,56;0,0001;90,15841878;160,37;0,0215;16960,75759;184,04;0,0258;22806,87494;142,45;0,0628;39731,46887
