X MnH2O;Y MnH2O;X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-
110;0;100;0;140;0;140;0
110,22;0;100,7;0;140,4;0;140,32;0
110,44;0;101,4;0;140,8;0;140,64;0
110,66;0;102,1;0;141,2;0;140,96;0
110,88;0;102,8;0;141,6;0;141,28;0
111,1;0;103,5;0;142;0;141,6;0
111,32;0;104,2;0;142,4;0;141,92;0
111,54;0;104,9;0;142,8;0;142,24;0
111,76;0;105,6;0;143,2;0;142,56;0
111,98;0;106,3;0;143,6;0;142,88;0
112,2;0;107;0;144;0;143,2;0
112,42;0;107,7;0;144,4;0;143,52;0
112,64;0;108,4;0;144,8;0;143,84;0
112,86;0;109,1;0;145,2;0;144,16;0
113,08;0;109,8;0;145,6;0;144,48;0
113,3;0;110,5;0;146;0;144,8;0
113,52;0;111,2;0;146,4;0;145,12;0
113,74;0;111,9;0;146,8;0;145,44;0
113,96;0;112,6;0;147,2;0;145,76;0
114,18;0;113,3;0;147,6;0;146,08;0
114,4;0;114;0;148;0;146,4;0
114,62;0;114,7;0;148,4;0;146,72;0
114,84;0;115,4;0;148,8;0;147,04;0
115,06;0;116,1;0;149,2;0;147,36;0
115,28;0;116,8;0;149,6;0;147,68;0
115,5;0;117,5;0;150;0;148;0
115,72;0;118,2;0;150,4;0;148,32;0
115,94;0;118,9;0;150,8;0;148,64;0
116,16;0;119,6;0;151,2;0;148,96;0
116,38;0;120,3;0;151,6;0;149,28;0
116,6;0;121;0;152;0;149,6;0
116,82;0;121,7;0;152,4;0;149,92;0
117,04;0;122,4;0;152,8;0;150,24;0
117,26;0;123,1;0;153,2;0;150,56;0
117,48;0;123,8;0;153,6;0;150,88;0
117,7;0;124,5;0;154;0;151,2;0
117,92;0;125,2;0;154,4;0;151,52;0
118,14;0;125,9;0;154,8;0;151,84;0
118,36;0;126,6;0;155,2;0;152,16;0
118,58;0;127,3;0;155,6;0;152,48;0
118,8;0;128;0;156;0;152,8;0
119,02;0;128,7;0;156,4;0;153,12;0
119,24;0;129,4;0;156,8;0;153,44;0
119,46;0;130,1;0;157,2;0;153,76;0
119,68;0;130,8;0;157,6;0;154,08;0
119,9;0;131,5;0;158;0;154,4;0
120,12;0;132,2;0;158,4;0;154,72;0
120,34;0;132,9;0;158,8;0;155,04;0
120,56;0;133,6;0;159,2;0;155,36;0
120,78;0;134,3;0;159,6;0;155,68;0
121;0;135;0;160;0;156;0
