X MnH2O;Y MnH2O;X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-
100;0;120;0;140;0;140;0
100,28;0;120,32;0;140,22;0;140,24;0
100,56;0;120,64;0;140,44;0;140,48;0
100,84;0;120,96;0;140,66;0;140,72;0
101,12;0;121,28;0;140,88;0;140,96;0
101,4;0;121,6;0;141,1;0;141,2;0
101,68;0;121,92;0;141,32;0;141,44;0
101,96;0;122,24;0;141,54;0;141,68;0
102,24;0;122,56;0;141,76;0;141,92;0
102,52;0;122,88;0;141,98;0;142,16;0
102,8;0;123,2;0;142,2;0;142,4;0
103,08;0;123,52;0;142,42;0;142,64;0
103,36;0;123,84;0;142,64;0;142,88;0
103,64;0;124,16;0;142,86;0;143,12;0
103,92;0;124,48;0;143,08;0;143,36;0
104,2;0;124,8;0;143,3;0;143,6;0
104,48;0;125,12;0;143,52;0;143,84;0
104,76;0;125,44;0;143,74;0;144,08;0
105,04;0;125,76;0;143,96;0;144,32;0
105,32;0;126,08;0;144,18;0;144,56;0
105,6;0;126,4;0;144,4;0;144,8;0
105,88;0;126,72;0;144,62;0;145,04;0
106,16;0;127,04;0;144,84;0;145,28;0
106,44;0;127,36;0;145,06;0;145,52;0
106,72;0;127,68;0;145,28;0;145,76;0
107;0;128;0;145,5;0;146;0
107,28;0;128,32;0;145,72;0;146,24;0
107,56;0;128,64;0;145,94;0;146,48;0
107,84;0;128,96;0;146,16;0;146,72;0
108,12;0;129,28;0;146,38;0;146,96;0
108,4;0;129,6;0;146,6;0;147,2;0
108,68;0;129,92;0;146,82;0;147,44;0
108,96;0;130,24;0;147,04;0;147,68;0
109,24;0;130,56;0;147,26;0;147,92;0
109,52;0;130,88;0;147,48;0;148,16;0
109,8;0;131,2;0;147,7;0;148,4;0
110,08;0;131,52;0;147,92;0;148,64;0
110,36;0;131,84;0;148,14;0;148,88;0
110,64;0;132,16;0;148,36;0;149,12;0
110,92;0;132,48;0;148,58;0;149,36;0
111,2;0;132,8;0;148,8;0;149,6;0
111,48;0;133,12;0;149,02;0;149,84;0
111,76;0;133,44;0;149,24;0;150,08;0
112,04;0;133,76;0;149,46;0;150,32;0
112,32;0;134,08;0;149,68;0;150,56;0
112,6;0;134,4;0;149,9;0;150,8;0
112,88;0;134,72;0;150,12;0;151,04;0
113,16;0;135,04;0;150,34;0;151,28;0
113,44;0;135,36;0;150,56;0;151,52;0
113,72;0;135,68;0;150,78;0;151,76;0
114;0;136;0;151;0;152;0
114,28;0;136,32;0;151,22;0;152,24;0
114,56;0;136,64;0;151,44;0;152,48;0
114,84;0;136,96;0;151,66;0;152,72;1,00E-10
115,12;0;137,28;0;151,88;0;152,96;1,00E-10
115,4;0;137,6;0;152,1;0;153,2;2,00E-10
115,68;0;137,92;0;152,32;0;153,44;4,00E-10
115,96;0;138,24;0;152,54;0;153,68;8,00E-10
116,24;0;138,56;0;152,76;0;153,92;1,30E-09
116,52;0;138,88;0;152,98;0;154,16;2,30E-09
116,8;0;139,2;0;153,2;0;154,4;0,000000004
117,08;0;139,52;0;153,42;0;154,64;6,80E-09
117,36;0;139,84;0;153,64;0;154,88;1,16E-08
117,64;0;140,16;0;153,86;0;155,12;1,95E-08
117,92;0;140,48;0;154,08;0;155,36;3,27E-08
118,2;0;140,8;0;154,3;0;155,6;5,45E-08
118,48;0;141,12;0;154,52;0;155,84;9,01E-08
118,76;0;141,44;0;154,74;0;156,08;1,48E-07
119,04;0;141,76;0;154,96;1,00E-10;156,32;2,42E-07
119,32;0;142,08;1,00E-10;155,18;1,00E-10;156,56;3,92E-07
119,6;0;142,4;1,00E-10;155,4;2,00E-10;156,8;6,33E-07
119,88;0;142,72;3,00E-10;155,62;3,00E-10;157,04;1,01E-06
120,16;0;143,04;8,00E-10;155,84;5,00E-10;157,28;1,62E-06
120,44;0;143,36;1,70E-09;156,06;8,00E-10;157,52;2,56E-06
120,72;0;143,68;3,80E-09;156,28;1,40E-09;157,76;4,03E-06
121;0;144;8,10E-09;156,5;2,30E-09;158;6,30E-06
121,28;0;144,32;1,74E-08;156,72;3,70E-09;158,24;9,80E-06
121,56;0;144,64;3,65E-08;156,94;6,10E-09;158,48;1,52E-05
121,84;0;144,96;7,54E-08;157,16;9,90E-09;158,72;2,33E-05
122,12;0;145,28;1,53E-07;157,38;0,000000016;158,96;3,56E-05
122,4;0;145,6;3,08E-07;157,6;2,56E-08;159,2;0,000054148
122,68;0;145,92;6,07E-07;157,82;4,09E-08;159,44;8,18E-05
122,96;0;146,24;0,00000118;158,04;0,000000065;159,68;0,00012296
123,24;0;146,56;2,26E-06;158,26;1,03E-07;159,92;0,000183739
123,52;0;146,88;4,27E-06;158,48;1,61E-07;160,16;0,000273041
123,8;0;147,2;7,94E-06;158,7;2,52E-07;160,4;0,000403517
124,08;1,00E-10;147,52;1,46E-05;158,92;3,91E-07;160,64;0,000593092
124,36;2,00E-10;147,84;2,64E-05;159,14;0,000000604;160,88;0,000867015
124,64;4,00E-10;148,16;4,70E-05;159,36;9,29E-07;161,12;0,001260646
124,92;1,10E-09;148,48;8,27E-05;159,58;1,42E-06;161,36;0,001823225
125,2;2,70E-09;148,8;0,000143539;159,8;2,16E-06;161,6;0,002622917
125,48;6,60E-09;149,12;0,000245776;160,02;3,27E-06;161,84;0,003753565
125,76;1,61E-08;149,44;0,000415267;160,24;4,93E-06;162,08;0,005343618
126,04;3,84E-08;149,76;0,000692469;160,46;7,39E-06;162,32;0,007567908
126,32;8,99E-08;150,08;0,001139795;160,68;1,10E-05;162,56;0,010663063
126,6;2,06E-07;150,4;0,001852133;160,9;0,000016358;162,8;0,014947566
126,88;4,64E-07;150,72;0,002971677;161,12;2,42E-05;163,04;0,02084768
127,16;1,03E-06;151,04;0,004708466;161,34;3,55E-05;163,28;0,028930769
127,44;2,23E-06;151,36;0,007368335;161,56;5,19E-05;163,52;0,039947838
127,72;4,74E-06;151,68;0,011390272;161,78;7,56E-05;163,76;0,054887517
128;9,93E-06;152;0,017395452;162;0,000109492;164;0,075044119
128,28;2,04E-05;152,32;0,026250373;162,22;0,000157868;164,24;0,102102914
128,56;4,13E-05;152,64;0,039146587;162,44;0,000226552;164,48;0,138246293
128,84;8,22E-05;152,96;0,057699334;162,66;0,000323608;164,72;0,186285085
129,12;0,000160768;153,28;0,08406694;162,88;0,000460113;164,96;0,249819956
129,4;0,0003094;153,6;0,121092037;163,1;0,000651204;165,2;0,333438476
129,68;0,000586023;153,92;0,172464418;163,32;0,00091747;165,44;0,442954179
129,96;0,001092716;154,24;0,24290362;163,54;0,001286779;165,68;0,585694643
130,24;0,002006423;154,56;0,338357136;163,76;0,001796668;165,92;0,770846297
130,52;0,003628968;154,88;0,466207468;163,98;0,002497455;166,16;1,00986435
130,8;0,006467106;155,2;0,635478219;164,2;0,003456273;166,4;1,316956773
131,08;0,011358506;155,52;0,857026161;164,42;0,00476226;166,64;1,709651692
131,36;0,019666756;155,84;1,143703024;164,64;0,006533217;166,88;2,209457821
131,64;0,033578214;156,16;1,510467864;164,86;0,008924091;167,12;2,84262756
131,92;0,056546508;156,48;1,974428712;165,08;0,01213774;167,36;3,641032092
132,2;0,093947261;156,8;2,554791121;165,3;0,01643851;167,6;4,643157171
132,48;0,154026684;157,12;3,272691683;165,52;0,022169282;167,84;5,895227195
132,76;0,249253463;157,44;4,150896873;165,74;0,029772755;168,08;7,452463562
133,04;0,398213628;157,76;5,213352016;165,96;0,03981789;168,32;9,380481184
133,32;0,628222363;158,08;6,484571886;166,18;0,053032582;168,56;11,75682424
133,6;0,978863436;158,4;7,98887339;166,4;0,070343832;168,8;14,67263887
133,88;1,506703646;158,72;9,749461755;166,62;0,092926867;169,04;18,2344763
134,16;2,291462642;159,04;11,78739409;166,84;0,122264909;169,28;22,56621531
134,44;3,443942632;159,36;14,1204576;167,06;0,160221485;169,52;27,81108716
134,72;5,116031231;159,68;16,76201293;167,28;0,20912749;169,76;34,13378032
135;7,513076449;160;19,71986575;167,5;0,271885415;170;41,72259553
135,28;10,90888704;160,32;22,99523972;167,72;0,352093489;170,24;50,79161461
135,56;15,66352554;160,64;26,58193158;167,94;0,454192724;170,48;61,58283927
135,84;22,24392755;160,96;30,46573232;168,16;0,583640155;170,72;74,3682486
136,12;31,24719362;161,28;34,62419751;168,38;0,747111813;170,96;89,45171666
136,4;43,42615702;161,6;39,02684339;168,6;0,952739226;171,2;107,1707249
136,68;59,71653358;161,92;43,63583472;168,82;1,210383422;171,44;127,8977975
136,96;81,26461813;162,24;48,40721416;169,04;1,531950601;171,68;152,0415836
137,24;109,4541186;162,56;53,29270335;169,26;1,93175368;171,92;180,0475051
137,52;145,9303377;162,88;58,24208251;169,48;2,426923956;172,16;212,3978881
137,8;192,6195487;163,2;63,20613047;169,7;3,037877013;172,4;249,6114946
138,08;251,7411033;163,52;68,14008046;169,92;3,788836765;172,64;292,2423754
138,36;325,8095892;163,84;73,00752143;170,14;4,70842119;172,88;340,877966
138,64;417,624266;164,16;77,7846498;170,36;5,830292734;173,12;396,1363603
138,92;530,2430795;164,48;82,4647539;170,58;7,193875695;173,36;458,6627017
139,2;666,9388287;164,8;87,0627941;170,8;8,845141947;173,6;529,1246484
139,48;831,1355464;165,12;91,61992476;171,02;10,83746526;173,84;608,2068851
139,76;1026,323878;165,44;96,20779157;171,24;13,23254313;174,08;696,6046707
140,04;1255,955189;165,76;100,9324282;171,46;16,10138334;174,32;795,0164359
140,32;1523,315291;166,08;105,9375705;171,68;19,52535092;174,56;904,1354652
140,6;1831,380001;166,4;111,407205;171,9;23,59726874;174,8;1024,640726
140,88;2182,656199;166,72;117,5671692;172,12;28,42256312;175,04;1157,18693
141,16;2579,013527;167,04;124,6856282;172,34;34,12044304;175,28;1302,393949
141,44;3021,513305;167,36;133,0722639;172,56;40,82509915;175,52;1460,835708
141,72;3510,242528;167,68;143,0760287;172,78;48,68690601;175,76;1633,028747
142;4044,161792;168;155,081341;173;57,87360801;176;1819,420613
142,28;4620,976644;168,32;169,5026312;173,22;68,57146691;176,24;2020,378314
142,56;5237,041942;168,64;186,7771879;173,44;80,9863458;176,48;2236,177043
142,84;5887,308367;168,96;207,3563028;173,66;95,34470204;176,72;2466,989417
143,12;6565,319105;169,28;231,6947741;173,88;111,894459;176,96;2712,875473
143,4;7263,262933;169,6;260,2388929;174,1;130,9057245;177,2;2973,773662
143,68;7972,087527;169,92;293,4131141;174,32;152,671322;177,44;3249,493082
143,96;8681,673832;170,24;331,605688;174,54;177,5070996;177,68;3539,707177
144,24;9381,068971;170,56;375,153611;174,76;205,7519813;177,92;3843,949102
144,52;10058,77162;170,88;424,3273257;174,98;237,7677239;178,16;4161,608948
144,8;10703,06018;171,2;479,3156692;175,2;273,9383458;178,4;4491,932973
145,08;11302,35107;171,52;540,2116195;175,42;314,6691942;178,64;4834,024952
145,36;11845,57148;171,84;606,9994233;175,64;360,3856193;178,88;5186,84973
145,64;12322,52959;172,16;679,5437027;175,86;411,5312284;179,12;5549,238995
145,92;12724,26414;172,48;757,5811174;176,08;468,5656979;179,36;5919,89927
146,2;13043,35576;172,8;840,715119;176,3;531,9621234;179,6;6297,422044
146,48;13274,18403;173,12;928,4142563;176,52;602,2038989;179,84;6680,295931
146,76;13413,11684;173,44;1020,014392;176,74;679,7811191;180,08;7066,920707
147,04;13458,62235;173,76;1114,725058;176,96;765,186508;180,32;7455,622996
147,32;13411,29792;174,08;1211,640037;177,18;858,9108879;180,56;7844,67338
147,6;13273,8153;174,4;1309,75209;177,4;961,4382069;180,8;8232,304624
147,88;13050,78603;174,72;1407,971575;177,62;1073,240158;181,04;8616,730735
148,16;12748,55512;175,04;1505,148557;177,84;1194,770428;181,28;8996,166481
148,44;12374,93546;175,36;1600,097832;178,06;1326,45863;181,52;9368,84705
148,72;11938,89754;175,68;1691,626158;178,28;1468,703969;181,76;9733,047478
149;11450,23164;176;1778,560879;178,5;1621,868726;182;10087,10149
149,28;10919,19972;176,32;1859,779054;178,72;1786,27162;182,24;10429,41941
149,56;10356,1941;176,64;1934,236138;178,94;1962,181143;182,48;10758,50483
149,84;9771,418576;176,96;2000,9933;179,16;2149,808956;182,72;11072,96973
150,12;9174,604869;177,28;2059,24246;179,38;2349,303443;182,96;11371,54776
150,4;8574,774815;177,6;2108,328223;179,6;2560,743521;183,2;11653,10552
150,68;7980,05494;177,92;2147,765997;179,82;2784,132814;183,44;11916,6516
150,96;7397,546819;178,24;2177,255708;180,04;3019,394285;183,68;12161,34332
151,24;6833,253215;178,56;2196,690682;180,26;3266,365431;183,92;12386,49102
151,52;6292,057041;178,88;2206,161448;180,48;3524,794148;184,16;12591,55991
151,8;5777,747744;179,2;2205,954372;180,7;3794,33534;184,4;12776,16958
152,08;5293,087858;179,52;2196,545216;180,92;4074,548371;184,64;12940,09108
152,36;4839,911316;179,84;2178,587878;181,14;4364,895437;184,88;13083,24192
152,64;4419,24454;180,16;2152,898705;181,36;4664,740911;185,12;13205,67898
152,92;4031,441413;180,48;2120,436916;181,58;4973,351728;185,36;13307,58965
153,2;3676,323765;180,8;2082,281735;181,8;5289,898843;185,6;13389,28135
153,48;3353,319932;181,12;2039,60696;182,02;5613,459786;185,84;13451,16986
153,76;3061,59513;181,44;1993,65368;182,24;5943,022323;186,08;13493,76655
154,04;2800,168711;181,76;1945,701914;182,46;6277,489222;186,32;13517,66494
154,32;2568,014721;182,08;1897,041919;182,68;6615,684092;186,56;13523,52689
154,6;2364,143473;182,4;1848,945881;182,9;6956,358256;186,8;13512,06865
154,88;2187,663037;182,72;1802,640677;183,12;7298,198606;187,04;13484,04709
155,16;2037,820553;183,04;1759,282296;183,34;7639,836361;187,28;13440,2464
155,44;1914,024104;183,36;1719,932475;183,56;7979,856653;187,52;13381,46548
155,72;1815,846546;183,68;1685,537992;183,78;8316,808818;187,76;13308,50626
156;1743,013155;184;1656,912984;184;8649,217306;188;13222,16309
156,28;1695,37531;184,32;1634,724569;184,22;8975,593071;188,24;13123,2134
156,56;1672,872596;184,64;1619,481977;184,44;9294,445311;188,48;13012,4097
