X Mn cam 1;Y Mn cam 1;Y2 Mn cam 1;X Mn cam 2;Y Mn cam 2;Y2 Mn cam 2;X Mn wb 1;Y Mn wb 1;Y2 Mn wb 1;X Mn wb 2;Y Mn wb 2;Y2 Mn wb 2;X MnCl+ cam 1;Y MnCl+ cam 1;Y2 MnCl+ cam 1;X MnCl+ cam 2;Y MnCl+ cam 2;Y2 MnCl+ cam 2;X MnCl+ wb 1;Y MnCl+ wb 1;Y2 MnCl+ wb 1;X MnCl+ wb 2;Y MnCl+ wb 2;Y2 MnCl+ wb 2;X MnCl2 cam 1;Y MnCl2 cam 1;Y2 MnCl2 cam 1;X MnCl2 cam 2;Y MnCl2 cam 2;Y2 MnCl2 cam 2;X MnCl2 wb 1;Y MnCl2 wb 1;Y2 MnCl2 wb 1;X MnCl2 wb 2;Y MnCl2 wb 2;Y2 MnCl2 wb 2;X MnCl2 wb 3;Y MnCl2 wb 3;Y2 MnCl2 wb 3;X MnCl2 wb 4;Y MnCl2 wb 4;Y2 MnCl2 wb 4;X MnCl2 wb 5;Y MnCl2 wb 5;Y2 MnCl2 wb 5;X MnCl3- cam 1;Y MnCl3- cam 1;Y2 MnCl3- cam 1;X MnCl3- cam 2;Y MnCl3- cam 2;Y2 MnCl3- cam 2;X MnCl3- cam 3;Y MnCl3- cam 3;Y2 MnCl3- cam 3;X MnCl3- cam 4;Y MnCl3- cam 4;Y2 MnCl3- cam 4;X MnCl3- cam 5;Y MnCl3- cam 5;Y2 MnCl3- cam 5;X MnCl3- wb 1;Y MnCl3- wb 1;Y2 MnCl3- wb 1;X MnCl3- wb 2;Y MnCl3- wb 2;Y2 MnCl3- wb 2;X MnCl3- wb 3;Y MnCl3- wb 3;Y2 MnCl3- wb 3
229,27;0;0;195,97;0,0035;2178,707756;228,75;0;0;194,66;0,0018;1103,72904;330,59;0,0049;7068,725789;284,96;0,006;7286,053867;325,26;0,0063;8784,342648;282,13;0,0076;8918,899319;244,63;0,0157;18065,39102;230,35;0,0221;22899,38265;245,12;0,0088;10206,8451;221,16;0,0217;21589,40741;227,26;0,0169;16749,84606;221,35;0,0159;14893,40996;215,37;0,0083;7480,494185;232,07;0,035;36055,41352;226,1;0,0363;35980,95827;237,45;0,0162;17065,67112;233,58;0,0126;12802,70004;231,6;0,0109;10863,2924;228,16;0,037;37530,64447;221,31;0,0401;38355,53988;217,51;0,0363;34132,24224
228,15;0;0;195,96;0,0034;2116,458963;224,38;0,0003;199,2271209;194,66;0,0018;1103,72904;330,34;0,0046;6635,946659;282,36;0,0024;2914,421547;324,5;0,0059;8226,606607;280,57;0,0027;3168,556337;243,33;0,0084;9665,559526;218,23;0,0044;4559,153107;244,8;0,0213;24705,20462;213,48;0,0121;12038,33316;212,42;0,0106;10505,82061;209,29;0,015;14050,38675;208,36;0,0235;21179,71245;229,49;0,0348;35849,38259;220,31;0,0362;35881,83717;213,87;0,0339;35711,49697;207,82;0,0097;9856,046859;218,64;0,0109;10863,2924;225,36;0,0375;38037,81534;215,49;0,0402;38451,18961;212,29;0,0399;37517,258
227,26;0,0003;207,3435833;192,88;0,0009;560,2391374;224,15;0,0004;265,6361611;194,12;0;0;295,58;0;0;259,91;0;0;294,4;0;0;259,89;0;0;242,75;0;0;214,43;0;0;244,09;0,0024;2783,685028;213,03;0,0133;13232,21744;204,42;0,0159;15758,73091;203,43;0,0008;749,3539601;199,27;0,0029;2613,666643;217,17;0;0;214,12;0,001;991,2109716;213,27;0,0141;14853,45449;204,91;0,0467;47451,27714;206,45;0,0072;7175,75278;217,65;0,0002;202,8683485;207,32;0,0001;95,64972539;201,48;0,0171;16078,82486
223,26;0,0061;4215,986193;192,87;0,001;622,4879304;214,41;0,0274;18196,07704;194,12;0;0;295,58;0;0;255,77;0,0048;5828,843094;294,38;0,0001;139,4340103;255,81;0,0048;5632,989043;242,18;0,0018;2071,191327;213,7;0,0105;10879,79719;243,94;0;0;211,25;0;0;203,83;0,0001;99,11151516;202,07;0,0065;6088,500926;196,76;0,0004;360,5057438;211,03;0,0062;6386,958967;210,59;0,0064;6343,750219;209,63;0,012;12641,23787;202,09;0,0039;3962,74049;202,97;0,0017;1694,274962;207,66;0,0029;2941,591053;205,92;0,0065;6217,23215;201,22;0,0061;5735,721147
221,19;0,0028;1935,206777;192,56;0;0;214,07;0,0046;3054,815853;191,3;0;0;294,35;0;0;251,7;0,0005;607,1711556;293,64;0;0;253,67;0,0006;704,1236304;223,31;0,0003;345,1985545;213,68;0,0152;15749,80164;224,19;0,0001;115,9868762;210,39;0,0141;14028,1403;202,5;0,01;9911,151515;200,38;0,0069;6463,177906;196,2;0,0043;3875,436746;207,53;0,0043;4429,66509;206,51;0,0013;1288,574263;205,78;0,0044;4635,120551;201,75;0,0014;1422,522227;202,58;0,0065;6478,110149;206,89;0,0055;5578,879583;202,82;0,0057;5452,034347;198,21;0,0088;8274,482966
214,74;0,0231;15965,45591;192,55;0;0;209,93;0,0034;2257,90737;191,21;0;0;291,34;0,0016;2308,15536;250,6;0,0012;1457,210773;290,71;0,0013;1812,642134;252,34;0,0013;1525,601199;217,42;0;0;211,91;0,016;16578,73857;218,89;0;0;209,96;0,0091;9053,622461;201,61;0,0013;1288,449697;199,63;0,003;2810,077351;195,99;0,0099;8922,51716;207,27;0,0022;2266,340279;202,62;0,0002;198,2421943;204,19;0,0047;4951,151497;200,77;0,0044;4470,784142;201,17;0,0007;697,6426314;206,2;0,0018;1825,815136;202,16;0,0001;95,64972539;197,47;0,0095;8932,680475
208,4;0,0047;3248,382805;187,87;0;0;199,84;0,0023;1527,407927;190,9;0,0035;2146,1398;291,15;0,001;1442,5971;247,74;0,0003;364,3026934;290,71;0,0022;3067,548226;248,48;0,0003;352,0618152;216,91;0,0039;4487,581208;211,15;0;0;218,77;0,0013;1507,82939;206,47;0,0001;99,49035671;200,91;0,0011;1090,226667;198,69;0,0112;10490,95544;193,55;0,0047;4235,94249;205,82;0,0063;6489,974434;200,68;0,0058;5749,023636;203,64;0,0021;2212,216626;200,6;0,0039;3962,74049;200,75;0,0064;6378,446916;205,58;0,017;17243,80962;201,63;0;0;197,34;0,0047;4419,32613
183,97;0,0029;2004,321305;187,79;0;0;176,6;0,0027;1793,044088;190,88;0,0035;2146,1398;289,88;0,001;1442,5971;247,24;0,0094;11414,81773;289,21;0,0009;1254,906093;247,15;0,0059;6923,882366;216,9;0,0012;1380,794218;206,14;0,0587;60823,24714;218,61;0,001;1159,868762;205,82;0;0;199,78;0,0024;2378,676364;197,95;0,0145;13582,04053;193,32;0,0069;6218,724081;204,67;0,0071;7314,098172;199,53;0;0;203,21;0,007;7374,055421;199,4;0,002;2032,17461;200,08;0,0045;4484,845488;203,52;0,0035;3550,196099;200,57;0,0005;478,2486269;196,43;0,0051;4795,438992
179,85;0;0;184,44;0,0615;38283,00772;172,67;0;0;188,03;0,0625;38323,92501;281,2;0;0;241,68;0,0133;16150,75274;281,28;0;0;241,51;0;0;216,82;0,0004;460,2647393;204,19;0,0029;3004,896366;218,19;0,0032;3711,580037;205,62;0;0;199,19;0,0074;7334,252121;196,55;0,0054;5058,139231;193,21;0,0132;11896,68955;203,85;0,0015;1545,232008;198,7;0;0;201,72;0,0022;2317,560275;198,43;0,0025;2540,218263;199,17;0,001;996,6323306;202,87;0,0003;304,3025227;200,13;0,0012;1147,796705;195,36;0,0149;14010,20411
179,82;0;0;182,42;0;0;172,64;0;0;185,55;0;0;261,98;0,0135;19475,06085;239,91;0;0;260,03;0,0192;26771,32998;233,02;0,0074;8684,191442;214,53;0,0305;35095,18637;203,74;0;0;216;0;0;204,12;0,0148;14724,57279;198,29;0,0248;24579,65576;195,5;0,0012;1124,03094;192,61;0,0151;13609,09183;203,39;0,0059;6077,912565;198,67;0;0;200,91;0,0132;13905,36165;197,64;0,0039;3962,74049;198,84;0,0018;1793,938195;201,72;0,0028;2840,156879;198,86;0,0054;5165,085171;194,97;0,016;15044,51448
177,15;0,0019;1313,176027;178,11;0;0;164,21;0,0001;66,40904028;176,53;0;0;244,09;0,0276;39815,67996;235,54;0,0021;2550,118854;241,61;0,0241;33603,59648;229,88;0,018;21123,70891;214,48;0;0;203,05;0,0093;9636,391795;215,69;0;0;203,64;0,0066;6566,363543;197,82;0,014;13875,61212;194,03;0,011;10303,61695;191,42;0,0138;12437,44816;202,04;0,0003;309,0464016;197,83;0,0003;297,3632915;199,78;0,0371;39082,49373;197,23;0,0166;16867,04926;197,36;0,0161;16045,78052;200,86;0,0033;3347,32775;198,78;0,0007;669,5480777;193,94;0,0014;1316,395017
168,17;0,0003;207,3435833;177,02;0,003;1867,463791;152,4;0,0084;5578,359384;172,37;0,0034;2084,82152;240,93;0,0074;10675,21854;232,47;0,0083;10079,04118;234,62;0,0001;139,4340103;225,52;0,0076;8918,899319;214,35;0,0004;460,2647393;202,73;0,0032;3315,747714;215,45;0,0008;927,8950093;202,47;0;0;196,9;0,0211;20912,5297;193,66;0,0646;60510,33228;189,89;0,0544;49028,78116;200,44;0,0064;6592,989901;197,62;0,0005;495,6054858;199,64;0,0078;8216,804612;196,8;0,0061;6198,132561;197,19;0,0395;39366,97706;200,72;0,0002;202,8683485;197,57;0;0;192,95;0,0011;1034,310371
142,93;0,001;691,1452776;176,98;0,003;1867,463791;142,46;0,0016;1062,544645;172,33;0,0034;2084,82152;238,42;0,0073;10530,95883;227,73;0,0032;3885,895396;232,58;0;0;221,8;0,0083;9740,376887;214,08;0,0006;690,397109;201,28;0;0;215,44;0;0;201,06;0,0007;696,432497;196,78;0,0289;28643,22788;191,13;0,0032;2997,415841;187,81;0,002;1802,528719;199,87;0,0155;15967,39742;196,38;0,0316;31322,2667;198,13;0,014;14748,11084;194,41;0,0657;66756,93594;196,2;0,0217;21626,92157;199,9;0,0122;12374,96926;194,66;0,0002;191,2994508;192,09;0,0225;21156,34849
142,26;0,0002;138,2290555;153,15;0;0;140,81;0,0003;199,2271209;150,85;0;0;234,34;0,0044;6347,427239;221,25;0,0203;24651,14892;232,21;0,0007;976,038072;218,29;0,004;4694,157536;213,79;0,0001;115,0661848;199,94;0,0488;50565,15265;214,99;0,0007;811,9081331;199,59;0,0771;76707,06502;196,68;0,0247;24480,54424;190,32;0,0252;23604,64974;185,07;0,0005;450,6321798;199,34;0,1017;104766,7302;196,07;0,0006;594,726583;197,11;0,0534;56253,5085;193,01;0,0833;84640,07251;194,79;0,0613;61093,56186;198,47;0,0306;31038,85732;194,37;0,0262;25060,22805;191,65;0,0223;20968,29206
142,05;0;0;153,14;0;0;140,06;0;0;150,84;0;0;233,44;0;0;219,04;0,0019;2307,250391;232,01;0,0079;11015,28681;214,74;0,0099;11618,0399;213,67;0;0;199,92;0,0041;4248,301759;214,4;0;0;199,15;0,0003;298,4710701;195,75;0,0138;13677,38909;189,14;0,0062;5807,493191;183,86;0,0005;450,6321798;196,49;0,0003;309,0464016;195,73;0;0;195,77;0,0057;6004,587986;192,87;0,105;106689,167;194,14;0,0199;19832,98338;197,59;0,0797;80843,03687;193,52;0,0891;85223,90532;190,8;0,0061;5735,721147
141,32;0,0003;207,3435833;145,34;0,0025;1556,219826;140,04;0;0;143,01;0,0023;1410,32044;233,25;0,0006;865,5582599;211,82;0;0;229,18;0,0133;18544,72337;212,05;0;0;213,55;0,0001;115,0661848;198,31;0,0218;22588,5313;210,46;0,0506;58689,35934;198,35;0,0003;298,4710701;194,75;0,0072;7136,029091;186,26;0,0031;2903,746596;182,7;0,0155;13969,59757;196,35;0,007;7211,082705;194,16;0,027;26762,69623;194,9;0,0764;80482,54774;192,65;0,0047;4775,610334;193,48;0,0725;72255,84397;197,4;0,0005;507,1708712;191,52;0,0039;3730,33929;189,97;0,0242;22754,82816
