X Mn cam 1aq;Y Mn cam 1aq;Y2 Mn cam 1aq;X Mn cam 2aq;Y Mn cam 2aq;Y2 Mn cam 2aq;X Mn cam 3aq;Y Mn cam 3aq;Y2 Mn cam 3aq;X Mn cam 4aq;Y Mn cam 4aq;Y2 Mn cam 4aq;X Mn cam 5aq;Y Mn cam 5aq;Y2 Mn cam 5aq;X Mn cam 6aq;Y Mn cam 6aq;Y2 Mn cam 6aq;X Mn wb 1aq;Y Mn wb 1aq;Y2 Mn wb 1aq;X Mn wb 2aq;Y Mn wb 2aq;Y2 Mn wb 2aq;X Mn wb 3aq;Y Mn wb 3aq;Y2 Mn wb 3aq;X Mn wb 4aq;Y Mn wb 4aq;Y2 Mn wb 4aq;X Mn wb 5aq;Y Mn wb 5aq;Y2 Mn wb 5aq;X Mn wb 6aq;Y Mn wb 6aq;Y2 Mn wb 6aq;X Cl cam 1aq;Y Cl cam 1aq;Y2 Cl cam 1aq;X Cl cam 2aq;Y Cl cam 2aq;Y2 Cl cam 2aq;X Cl cam 3aq;Y Cl cam 3aq;Y2 Cl cam 3aq;X Cl cam 4aq;Y Cl cam 4aq;Y2 Cl cam 4aq;X Cl cam 5aq;Y Cl cam 5aq;Y2 Cl cam 5aq;X Cl cam 6aq;Y Cl cam 6aq;Y2 Cl cam 6aq;X Cl wb 1aq;Y Cl wb 1aq;Y2 Cl wb 1aq;X Cl wb 2aq;Y Cl wb 2aq;Y2 Cl wb 2aq;X Cl wb 4aq;Y Cl wb 4aq;Y2 Cl wb 4aq;X Cl wb 5aq;Y Cl wb 5aq;Y2 Cl wb 5aq;X Cl wb 6aq;Y Cl wb 6aq;Y2 Cl wb 6aq;X Cl2 cam 1aq;Y Cl2 cam 1aq;Y2 Cl2 cam 1aq;X Cl2 cam 2aq;Y Cl2 cam 2aq;Y2 Cl2 cam 2aq;X Cl2 cam 3aq;Y Cl2 cam 3aq;Y2 Cl2 cam 3aq;X Cl2 cam 4aq;Y Cl2 cam 4aq;Y2 Cl2 cam 4aq;X Cl2 cam 5aq;Y Cl2 cam 5aq;Y2 Cl2 cam 5aq;X Cl2 cam 6aq;Y Cl2 cam 6aq;Y2 Cl2 cam 6aq;X Cl2 wb 1aq;Y Cl2 wb 1aq;Y2 Cl2 wb 1aq;X Cl2 wb 2aq;Y Cl2 wb 2aq;Y2 Cl2 wb 2aq;X Cl2 wb 3aq;Y Cl2 wb 3aq;Y2 Cl2 wb 3aq;X Cl3 cam 1aq;Y Cl3 cam 1aq;Y2 Cl3 cam 1aq;X Cl3 cam 2aq;Y Cl3 cam 2aq;Y2 Cl3 cam 2aq;X Cl3 cam 3aq;Y Cl3 cam 3aq;Y2 Cl3 cam 3aq;X Cl3 cam 4aq;Y Cl3 cam 4aq;Y2 Cl3 cam 4aq;X Cl3 cam 5aq;Y Cl3 cam 5aq;Y2 Cl3 cam 5aq;X Cl3 cam 6aq;Y Cl3 cam 6aq;Y2 Cl3 cam 6aq;X Cl3 wb 1aq;Y Cl3 wb 1aq;Y2 Cl3 wb 1aq;X Cl3 wb 2aq;Y Cl3 wb 2aq;Y2 Cl3 wb 2aq;X Cl3 wb 3aq;Y Cl3 wb 3aq;Y2 Cl3 wb 3aq;X Cl3 wb 4aq;Y Cl3 wb 4aq;Y2 Cl3 wb 4aq;X Cl3 wb 5aq;Y Cl3 wb 5aq;Y2 Cl3 wb 5aq;X Cl3 wb 6aq;Y Cl3 wb 6aq;Y2 Cl3 wb 6aq
229,28;0;0;195,96;0,0035;2178,57487;183,35;0,0039;2400,533424;176,4;0,0057;3415,69495;188,95;0,0002;129,0258661;185,21;0;0;228,62;0;0;194,66;0,0018;1103,72904;178,5;0,009;5193,585525;171,1;0,0044;2588,219859;181,91;0,0002;124,012068;177,7;0;0;325,95;0,005;7074,646647;272,93;0,0068;7796,443845;229,38;0,0002;188,4392715;229,67;0,0038;3602,568546;239,56;0,0004;394,6276129;218,17;0,0051;4358,68623;320,9;0,0065;8901,42012;271,06;0,0087;9695,759095;226,68;0,0011;979,6661718;226,89;0,0007;626,4476648;222,21;0,0011;939,9619887;240,76;0,0162;18037,71584;240,65;0,0048;5122,618848;224,68;0,0268;25768,00233;223,86;0,0291;27769,73682;223,05;0,0255;24000,99957;229,75;0,0189;18058,23386;241,34;0,0093;10445,38084;225,71;0,0247;24203,24683;215,53;0,0235;21415,48637;238,23;0,0296;31251,93597;238,37;0,028;29358,08568;235,05;0,0244;24911,03272;231,78;0,0203;20217,01015;225,21;0,0237;22631,07599;222,16;0,0278;26007,69057;233,63;0,0318;32679,75235;231,72;0,0311;31176,31614;226,68;0,031;30095,14199;224,82;0,0305;29044,11649;213,22;0,0331;29303,43041;222,87;0,0266;24726,82888
228,16;0;0;195,96;0,0034;2116,329874;183,3;0,004;2462,085563;176,39;0,0057;3415,69495;172,73;0,0036;2322,46559;185,17;0;0;224,25;0,0003;199,0742063;194,66;0,0018;1103,72904;177,43;0,0006;346,239035;171,1;0,0044;2588,219859;167,84;0,0021;1302,126714;177,68;0;0;325,73;0,0047;6650,167848;270,77;0,0032;3668,91475;226,85;0;0;222,45;0,0177;16780,38507;207,66;0,0178;17560,92877;206,67;0,0169;14443,48966;320,17;0,0061;8353,64042;269,83;0,0036;4012,038246;210,96;0,0001;89,06056107;202,14;0,0006;536,9551412;196,75;0,0001;85,45108988;239,51;0,0088;9798,265395;240,37;0,0079;8430,976855;212,65;0,0108;10384,12034;211,66;0,0111;10592,58003;212,53;0,0106;9976,886096;224,47;0,0119;11369,9991;241,03;0,0223;25046,45083;212,59;0,0077;7545,141724;214,06;0,0106;9659,751297;235,32;0,0311;32835,64894;231,11;0,0306;32084,19364;222,58;0,0327;33384,86761;220,12;0,0278;27686,34888;216,68;0,0303;28933,40095;214,48;0,0313;29282,0401;230,43;0,0338;34735,08268;224,44;0,0338;33882,94166;220,49;0,0385;37376,22473;215,24;0,0374;35614,75268;202,57;0,042;37182,60052;212,12;0,019;17662,02063
227,27;0,0003;207,3555856;192,88;0,0009;560,2049665;178,14;0,0076;4677,96257;175,91;0,0062;3715,317314;166,39;0,0033;2128,926791;162,78;0;0;224,02;0,0004;265,432275;194,11;0;0;177,42;0,0006;346,239035;170,5;0,005;2941,158931;161,68;0,0025;1550,150849;157,77;0;0;291,23;0;0;247,62;0;0;226,84;0;0;212,13;0,0214;20288,14918;206,35;0,0159;15686,44761;196,4;0,024;20511,46461;290;0;0;247,73;0;0;209,77;0,0001;89,06056107;201,77;0,0004;357,9700942;193,21;0,0039;3332,592505;238,22;0;0;220,89;0,0067;7150,322143;212,05;0,0103;9903,37403;206,99;0,0012;1145,143786;203,3;0,0023;2164,79604;203,41;0,0207;19778,06566;240,06;0,0027;3032,529921;206,26;0;0;212,47;0,0128;11664,60534;216,36;0,0002;211,1617295;214,11;0,0033;3460,060098;213,6;0,0198;20214,69048;209,46;0,0282;28084,71361;203,2;0,0417;39819,23497;202,51;0,0409;38263,11311;216,38;0,0005;513,8325841;208,54;0,0037;3709,079412;209,51;0,0172;16697,94975;203,51;0,0008;761,8128915;194,7;0,0019;1682,070024;201,71;0,0248;23053,58482
223,27;0,0061;4216,230241;192,88;0,001;622,4499628;176,79;0,0007;430,8649736;166,1;0;0;164,07;0;0;162,77;0;0;214,27;0,0274;18182,11084;194,11;0;0;176,8;0,0012;692,47807;161,58;0,0001;58,82317862;159,58;0;0;157,77;0;0;291,23;0;0;243,57;0,0048;5503,372126;225,66;0,0001;94,21963577;211,46;0;0;199,48;0,0025;2466,42258;195,19;0,0008;683,715487;289,98;0,0001;136,9449249;243,68;0,005;5572,275342;207,87;0,0003;267,1816832;200,58;0,0002;178,9850471;192,77;0,0188;16064,8049;237,99;0,0021;2338,222424;217,42;0,0042;4482,291492;211,4;0,0102;9807,224768;205,3;0,0145;13837,15409;202,65;0,0087;8188,576324;201,7;0,0001;95,54621092;239,56;0;0;205,43;0,0036;3527,598728;205,44;0,0004;364,5189169;212,61;0,0059;6229,27102;212,07;0,0014;1467,904284;206,11;0,0062;6329,852575;202,8;0,0042;4182,829686;197,7;0,0003;286,4693163;196,9;0,003;2806,585314;208,32;0,0041;4213,427189;203,74;0,0007;701,7177266;205,41;0,0064;6213,190604;199,12;0,0026;2475,891898;194,02;0,0323;28595,1904;195,31;0,0044;4090,152145
221,2;0,0028;1935,318799;192,56;0;0;176,78;0,0007;430,8649736;161,65;0,0004;239,6978912;161,46;0,0063;4064,314783;162,76;0;0;213,95;0,0047;3118,829232;191,3;0;0;176,79;0,0012;692,47807;161,58;0,0001;58,82317862;157,05;0,005;3100,301699;157,75;0;0;289,95;0;0;241,54;0,0006;687,9215157;225,6;0,0205;19315,02533;205,62;0,0018;1706,479837;199,34;0,0009;887,9121289;194,97;0,0066;5640,652768;289,06;0;0;243,51;0,0005;557,2275342;202,77;0,0075;6679,54208;198,03;0,0228;20404,29537;192,23;0,0003;256,3532696;220,5;0,0001;111,3439249;214,99;0,0001;106,721226;208,98;0,0068;6538,149845;204,52;0,0151;14409,72598;201,21;0,0185;17412,48988;200,41;0,0059;5637,226444;221,57;0,0001;112,315923;205,02;0,0167;16364,13854;204,89;0,0006;546,7783753;207,92;0,0004;422,323459;207,48;0,0029;3040,658874;203,17;0,0239;24400,56073;199,82;0,0144;14341,13035;197,28;0,0025;2387,244303;193,6;0,0039;3648,560908;207;0,0061;6268,757526;203,29;0;0;202,32;0,0003;291,2433096;197,37;0,0012;1142,719337;191,99;0,0057;5046,210071;191,57;0,0065;6042,270215
214,76;0,0231;15966,38009;192,56;0;0;171,8;0,0106;6524,526742;158,44;0,0001;59,9244728;151,18;0,0002;129,0258661;151,11;0,0246;15260,01041;209,86;0,0033;2189,816269;191,21;0;0;174,68;0,0115;6636,248171;161,43;0;0;154,59;0;0;146,42;0;0;287;0,0017;2405,37986;240,75;0,0013;1490,496617;225,58;0,0203;19126,58606;205,59;0,0044;4171,395158;198,16;0,0005;493,2845161;189,76;0,0013;1111,037666;286,32;0,0013;1780,284024;242,5;0,0015;1671,682603;200,65;0,0054;4809,270298;197,07;0,0005;447,4626177;189,59;0,0081;6921,53828;213,42;0,0369;41085,9083;214,04;0,0141;15047,69287;203,78;0,0002;192,2985249;198,96;0,0006;572,5718932;196,79;0,0031;2917,768575;197,54;0,0003;286,6386328;214,46;0,0014;1572,422922;203,17;0,07;68592,19749;204,24;0,0115;10479,91886;207,27;0,0078;8235,307451;203,59;0,0004;419,401224;202,29;0,0092;9392,684466;199,61;0,0001;99,59118301;195,85;0,0014;1336,856809;192,46;0,0012;1122,634125;203,79;0;0;202,95;0,0067;6716,441098;202,11;0,0102;9902,272525;194,27;0,0018;1714,079006;190,91;0,0008;708,2400099;190,25;0,0047;4369,026155
208,39;0,0047;3248,570842;187,87;0;0;171,71;0,0109;6709,18316;158,44;0,0001;59,9244728;151,13;0;0;151,08;0,0248;15384,07554;199,84;0,0023;1526,235581;190,89;0,0035;2146,1398;174,58;0,0119;6867,074194;160,57;0,0045;2647,043038;153,41;0,0005;310,0301699;146,39;0;0;286,82;0,001;1414,929329;239,22;0,0239;27402,20704;222,05;0,0038;3580,346159;203,43;0,0119;11281,72781;196,87;0,0155;15291,82;188,51;0,0018;1538,359846;286,31;0,0022;3012,788348;239,52;0,0001;111,4455068;200,46;0,0163;14516,87145;196,83;0,0212;18972,41499;188,4;0,0177;15124,84291;212,97;0;0;213,3;0,0129;13767,03816;203,38;0,0002;192,2985249;198,82;0;0;194,52;0,0263;24753,97211;192,24;0,0099;9459,074881;214,34;0;0;202,22;0;0;203,97;0,0003;273,3891877;206,23;0,0006;633,4851885;203,09;0,0118;12372,33611;201,65;0,0162;16539,29221;198,21;0,0061;6075,062164;193,48;0,0004;381,9590884;190,77;0,0019;1777,504032;203,69;0,0015;1541,497752;201,42;0,0001;100,2453895;199,85;0,0007;679,5677223;194,08;0,0008;761,8128915;189,42;0,0038;3364,140047;188,54;0,0069;6414,102228
183,97;0,0029;2004,437328;187,79;0;0;169,91;0;0;157,4;0,0039;2337,054439;149,69;0,0048;3096,620787;151,05;0,0247;15322,04297;176,6;0,0027;1791,667856;190,88;0,0035;2146,1398;172,91;0;0;159,22;0;0;153,02;0,006;3720,362039;146,26;0;0;285,63;0,001;1414,929329;238,11;0,0001;114,6535859;222,04;0,0038;3580,346159;202,11;0,0006;568,8266125;195,63;0,0184;18152,87019;186,39;0,0116;9913,874562;284,76;0,0009;1232,504324;238,44;0,0076;8469,85852;199,47;0,0226;20127,6868;195,67;0,0014;1252,89533;188,22;0,0001;85,45108988;212,59;0,0009;1002,095324;211,38;0,0043;4589,012718;201,91;0,0005;480,7463122;197,85;0,0001;95,42864887;194,49;0,0097;9129,791993;190,09;0,0028;2675,293906;214,26;0,0012;1347,791076;201,74;0,019;18617,88218;200,78;0,0052;4738,745919;204,8;0,0127;13408,76982;202,29;0;0;199,65;0,001;1020,943964;196,26;0,0092;9162,388837;191,76;0,0068;6493,304503;190,25;0,0048;4490,536502;202,82;0,0121;12434,74853;200,35;0,0078;7819,140383;199,11;0,0191;18542,49071;193,81;0,0037;3523,384623;189,05;0,0018;1593,540022;187,27;0,0193;17940,89464
179,85;0;0;184,44;0,0615;38280,67271;167,55;0,0016;984,8342253;156,18;0;0;149,35;0;0;150,1;0,0141;8746,591334;172,66;0;0;188,02;0,0625;38323,92501;171,03;0,002;1154,130117;158,57;0,0223;13117,56883;152,75;0;0;145,86;0,0175;10445,10137;277,16;0;0;236,62;0,0007;802,5751016;216,61;0,0171;16111,55772;199,91;0,0138;13083,01209;195,13;0,0009;887,9121289;183,93;0,0017;1452,89541;277,04;0;0;229,59;0;0;197,36;0,0153;13626,26584;192,2;0,0546;48862,91785;186,52;0,0074;6323,380651;212,49;0,0054;6012,571947;210,56;0,0007;747,0485821;198,39;0,0162;15576,18051;194,65;0,0275;26242,87844;192,11;0,0171;16094,78795;188,72;0,002;1910,924218;213,6;0,0032;3594,109536;196,54;0,0004;391,9554142;200,11;0,0095;8657,324276;203,27;0,0159;16787,3575;200,25;0;0;199,4;0,0005;510,4719819;196,07;0,0113;11253,80368;190,81;0,0019;1814,30567;189,11;0,0025;2338,821095;202,73;0,0076;7810,255278;199,48;0,0002;200,490779;198,47;0,0063;6116,109501;193,48;0,0072;6856,316024;187,24;0,0092;8144,760114;186,91;0,0049;4554,942162
179,82;0;0;182,42;0;0;167,55;0,0017;1046,386364;155,36;0,023;13782,62874;149,2;0,0022;1419,284527;150,1;0,014;8684,558771;172,63;0;0;185,55;0;0;171,02;0,0019;1096,423611;158,57;0,0223;13117,56883;152,23;0;0;145,85;0,0173;10325,72878;258,89;0,0123;17403,63075;228,16;0;0;208,13;0;0;196,45;0;0;192,27;0,0015;1479,853548;182,22;0,0124;10597,59005;256,87;0,0175;23965,36186;226,7;0,0184;20505,97326;196,65;0,0063;5610,815347;188,54;0,0034;3042,7458;184,33;0,0209;17859,27778;212,44;0,0005;556,7196247;210,04;0,0001;106,721226;197,42;0,002;1922,985249;193,41;0,0417;39793,74658;191,96;0,0064;6023,780284;188,44;0,0057;5446,134022;211,46;0;0;195,79;0;0;198,51;0,0014;1275,816209;200,72;0,0027;2850,683348;199,84;0;0;196,59;0,0019;1939,793531;195,56;0,0021;2091,414843;190,31;0,0036;3437,631796;188,35;0,0019;1777,504032;201,7;0,0017;1747,030786;199,43;0,0103;10325,27512;197,08;0,0018;1747,459857;191,53;0,0006;571,3596687;186,21;0,0394;34880,82049;186,66;0,0017;1580,286056
