X Mn cam 1;Y Mn cam 1;X Mn cam 2;Y Mn cam 2;X Mn wb 1;Y Mn wb 1;X Mn wb 2;Y Mn wb 2;X MnCl+ cam 1;Y MnCl+ cam 1;X MnCl+ cam 2;Y MnCl+ cam 2;X MnCl+ wb 1;Y MnCl+ wb 1;X MnCl+ wb 2;Y MnCl+ wb 2;X MnCl2 cam 1;Y MnCl2 cam 1;X MnCl2 cam 2;Y MnCl2 cam 2;X MnCl2 wb 1;Y MnCl2 wb 1;X MnCl2 wb 2;Y MnCl2 wb 2;X MnCl2 wb 3;Y MnCl2 wb 3;X MnCl2 wb 4;Y MnCl2 wb 4;X MnCl2 wb 5;Y MnCl2 wb 5;X MnCl3- cam 1;Y MnCl3- cam 1;X MnCl3- cam 2;Y MnCl3- cam 2;X MnCl3- cam 3;Y MnCl3- cam 3;X MnCl3- cam 4;Y MnCl3- cam 4;X MnCl3- cam 5;Y MnCl3- cam 5;X MnCl3- wb 1;Y MnCl3- wb 1;X MnCl3- wb 2;Y MnCl3- wb 2;X MnCl3- wb 3;Y MnCl3- wb 3
80;0;100;0;80;0;100;0;100;0;100;0;100;0;100;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0
80,36;0;100,28;0;80,36;0;100,28;0;100,6;0;100,5;0;100,6;0;100,5;0;140,32;0;140,28;0;140,32;0;140,28;0;140,28;0;140,28;0;140,24;0;140,28;0;140,28;0;140,32;0;140,28;0;140,28;0;140,28;0;140,28;0;140,24;0
80,72;0;100,56;0;80,72;0;100,56;0;101,2;0;101;0;101,2;0;101;0;140,64;0;140,56;0;140,64;0;140,56;0;140,56;0;140,56;0;140,48;0;140,56;0;140,56;0;140,64;0;140,56;0;140,56;0;140,56;0;140,56;0;140,48;0
81,08;0;100,84;0;81,08;0;100,84;0;101,8;0;101,5;0;101,8;0;101,5;0;140,96;0;140,84;0;140,96;0;140,84;0;140,84;0;140,84;0;140,72;0;140,84;0;140,84;0;140,96;0;140,84;0;140,84;0;140,84;0;140,84;0;140,72;0
81,44;0;101,12;0;81,44;0;101,12;0;102,4;0;102;0;102,4;0;102;0;141,28;0;141,12;0;141,28;0;141,12;0;141,12;0;141,12;0;140,96;0;141,12;0;141,12;0;141,28;0;141,12;0;141,12;0;141,12;0;141,12;0;140,96;0
81,8;0;101,4;0;81,8;0;101,4;0;103;0;102,5;0;103;0;102,5;0;141,6;0;141,4;0;141,6;0;141,4;0;141,4;0;141,4;0;141,2;0;141,4;0;141,4;0;141,6;0;141,4;0;141,4;0;141,4;0;141,4;0;141,2;0
82,16;0;101,68;0;82,16;0;101,68;0;103,6;0;103;0;103,6;0;103;0;141,92;0;141,68;0;141,92;0;141,68;0;141,68;0;141,68;0;141,44;0;141,68;0;141,68;0;141,92;0;141,68;0;141,68;0;141,68;0;141,68;0;141,44;0
82,52;0;101,96;0;82,52;0;101,96;0;104,2;0;103,5;0;104,2;0;103,5;0;142,24;0;141,96;0;142,24;0;141,96;0;141,96;0;141,96;0;141,68;0;141,96;0;141,96;0;142,24;0;141,96;0;141,96;0;141,96;0;141,96;0;141,68;0
82,88;0;102,24;0;82,88;0;102,24;0;104,8;0;104;0;104,8;0;104;0;142,56;0;142,24;0;142,56;0;142,24;0;142,24;0;142,24;0;141,92;0;142,24;0;142,24;0;142,56;0;142,24;0;142,24;0;142,24;0;142,24;0;141,92;0
83,24;0;102,52;0;83,24;0;102,52;0;105,4;0;104,5;0;105,4;0;104,5;0;142,88;0;142,52;0;142,88;0;142,52;0;142,52;0;142,52;0;142,16;0;142,52;0;142,52;0;142,88;0;142,52;0;142,52;0;142,52;0;142,52;0;142,16;0
83,6;0;102,8;0;83,6;0;102,8;0;106;0;105;0;106;0;105;0;143,2;0;142,8;0;143,2;0;142,8;0;142,8;0;142,8;0;142,4;0;142,8;0;142,8;0;143,2;0;142,8;0;142,8;0;142,8;0;142,8;0;142,4;0
83,96;0;103,08;0;83,96;0;103,08;0;106,6;0;105,5;0;106,6;0;105,5;0;143,52;0;143,08;0;143,52;0;143,08;0;143,08;0;143,08;0;142,64;0;143,08;0;143,08;0;143,52;0;143,08;0;143,08;0;143,08;0;143,08;0;142,64;0
84,32;0;103,36;0;84,32;0;103,36;0;107,2;0;106;0;107,2;0;106;0;143,84;0;143,36;0;143,84;0;143,36;0;143,36;0;143,36;0;142,88;0;143,36;0;143,36;0;143,84;0;143,36;0;143,36;0;143,36;0;143,36;0;142,88;0
84,68;0;103,64;0;84,68;0;103,64;0;107,8;0;106,5;0;107,8;0;106,5;0;144,16;0;143,64;0;144,16;0;143,64;0;143,64;0;143,64;0;143,12;0;143,64;0;143,64;0;144,16;0;143,64;0;143,64;0;143,64;0;143,64;0;143,12;0
85,04;0;103,92;0;85,04;0;103,92;0;108,4;0;107;0;108,4;0;107;0;144,48;0;143,92;0;144,48;0;143,92;0;143,92;0;143,92;0;143,36;0;143,92;0;143,92;0;144,48;0;143,92;0;143,92;0;143,92;0;143,92;0;143,36;0
85,4;0;104,2;0;85,4;0;104,2;0;109;0;107,5;0;109;0;107,5;0;144,8;0;144,2;0;144,8;0;144,2;0;144,2;0;144,2;0;143,6;0;144,2;0;144,2;0;144,8;0;144,2;0;144,2;0;144,2;0;144,2;0;143,6;0
85,76;0;104,48;0;85,76;0;104,48;0;109,6;0;108;0;109,6;0;108;0;145,12;0;144,48;0;145,12;0;144,48;0;144,48;0;144,48;0;143,84;0;144,48;0;144,48;0;145,12;0;144,48;0;144,48;0;144,48;0;144,48;0;143,84;0
86,12;0;104,76;0;86,12;0;104,76;0;110,2;0;108,5;0;110,2;0;108,5;0;145,44;0;144,76;0;145,44;0;144,76;0;144,76;0;144,76;0;144,08;0;144,76;0;144,76;0;145,44;0;144,76;0;144,76;0;144,76;0;144,76;0;144,08;0
86,48;0;105,04;0;86,48;0;105,04;0;110,8;0;109;0;110,8;0;109;0;145,76;0;145,04;0;145,76;0;145,04;0;145,04;0;145,04;0;144,32;0;145,04;0;145,04;0;145,76;0;145,04;0;145,04;0;145,04;0;145,04;0;144,32;0
86,84;0;105,32;0;86,84;0;105,32;0;111,4;0;109,5;0;111,4;0;109,5;0;146,08;0;145,32;0;146,08;0;145,32;0;145,32;0;145,32;0;144,56;0;145,32;0;145,32;0;146,08;0;145,32;0;145,32;0;145,32;0;145,32;0;144,56;0
87,2;0;105,6;0;87,2;0;105,6;0;112;0;110;0;112;0;110;0;146,4;0;145,6;0;146,4;0;145,6;0;145,6;0;145,6;0;144,8;0;145,6;0;145,6;0;146,4;0;145,6;0;145,6;0;145,6;0;145,6;0;144,8;0
87,56;0;105,88;0;87,56;0;105,88;0;112,6;0;110,5;0;112,6;0;110,5;0;146,72;0;145,88;0;146,72;0;145,88;0;145,88;0;145,88;0;145,04;0;145,88;0;145,88;0;146,72;0;145,88;0;145,88;0;145,88;0;145,88;0;145,04;0
87,92;0;106,16;0;87,92;0;106,16;0;113,2;0;111;0;113,2;0;111;0;147,04;0;146,16;0;147,04;0;146,16;0;146,16;0;146,16;0;145,28;0;146,16;0;146,16;0;147,04;0;146,16;0;146,16;0;146,16;0;146,16;0;145,28;0
88,28;0;106,44;0;88,28;0;106,44;0;113,8;0;111,5;0;113,8;0;111,5;0;147,36;0;146,44;0;147,36;0;146,44;0;146,44;0;146,44;0;145,52;0;146,44;0;146,44;0;147,36;0;146,44;0;146,44;0;146,44;0;146,44;0;145,52;0
88,64;0;106,72;0;88,64;0;106,72;0;114,4;0;112;0;114,4;0;112;0;147,68;0;146,72;0;147,68;0;146,72;0;146,72;0;146,72;0;145,76;0;146,72;0;146,72;0;147,68;0;146,72;0;146,72;0;146,72;0;146,72;0;145,76;0
89;0;107;0;89;0;107;0;115;0;112,5;0;115;0;112,5;0;148;0;147;0;148;0;147;0;147;0;147;0;146;0;147;0;147;0;148;0;147;0;147;0;147;0;147;0;146;0
89,36;0;107,28;0;89,36;0;107,28;0;115,6;0;113;0;115,6;0;113;0;148,32;0;147,28;0;148,32;0;147,28;0;147,28;0;147,28;0;146,24;0;147,28;0;147,28;0;148,32;0;147,28;0;147,28;0;147,28;0;147,28;0;146,24;0
89,72;0;107,56;0;89,72;0;107,56;0;116,2;0;113,5;0;116,2;0;113,5;0;148,64;0;147,56;0;148,64;0;147,56;0;147,56;0;147,56;0;146,48;0;147,56;0;147,56;0;148,64;0;147,56;0;147,56;0;147,56;0;147,56;0;146,48;0
90,08;0;107,84;0;90,08;0;107,84;0;116,8;0;114;0;116,8;0;114;0;148,96;0;147,84;0;148,96;0;147,84;0;147,84;0;147,84;0;146,72;0;147,84;0;147,84;0;148,96;0;147,84;0;147,84;0;147,84;0;147,84;0;146,72;0
90,44;0;108,12;0;90,44;0;108,12;0;117,4;0;114,5;0;117,4;0;114,5;0;149,28;0;148,12;0;149,28;0;148,12;0;148,12;0;148,12;0;146,96;0;148,12;0;148,12;0;149,28;0;148,12;0;148,12;0;148,12;0;148,12;0;146,96;0
90,8;0;108,4;0;90,8;0;108,4;0;118;0;115;0;118;0;115;0;149,6;0;148,4;0;149,6;0;148,4;0;148,4;0;148,4;0;147,2;0;148,4;0;148,4;0;149,6;0;148,4;0;148,4;0;148,4;0;148,4;0;147,2;0
