X Mn cam 1aq;Y Mn cam 1aq;X Mn cam 2aq;Y Mn cam 2aq;X Mn cam 3aq;Y Mn cam 3aq;X Mn cam 4aq;Y Mn cam 4aq;X Mn cam 5aq;Y Mn cam 5aq;X Mn cam 6aq;Y Mn cam 6aq;X Mn wb 1aq;Y Mn wb 1aq;X Mn wb 2aq;Y Mn wb 2aq;X Mn wb 3aq;Y Mn wb 3aq;X Mn wb 4aq;Y Mn wb 4aq;X Mn wb 5aq;Y Mn wb 5aq;X Mn wb 6aq;Y Mn wb 6aq;X Cl cam 1aq;Y Cl cam 1aq;X Cl cam 2aq;Y Cl cam 2aq;X Cl cam 3aq;Y Cl cam 3aq;X Cl cam 4aq;Y Cl cam 4aq;X Cl cam 5aq;Y Cl cam 5aq;X Cl cam 6aq;Y Cl cam 6aq;X Cl wb 1aq;Y Cl wb 1aq;X Cl wb 2aq;Y Cl wb 2aq;X Cl wb 4aq;Y Cl wb 4aq;X Cl wb 5aq;Y Cl wb 5aq;X Cl wb 6aq;Y Cl wb 6aq;X Cl2 cam 1aq;Y Cl2 cam 1aq;X Cl2 cam 2aq;Y Cl2 cam 2aq;X Cl2 cam 3aq;Y Cl2 cam 3aq;X Cl2 cam 4aq;Y Cl2 cam 4aq;X Cl2 cam 5aq;Y Cl2 cam 5aq;X Cl2 cam 6aq;Y Cl2 cam 6aq;X Cl2 wb 1aq;Y Cl2 wb 1aq;X Cl2 wb 2aq;Y Cl2 wb 2aq;X Cl2 wb 3aq;Y Cl2 wb 3aq;X Cl3 cam 1aq;Y Cl3 cam 1aq;X Cl3 cam 2aq;Y Cl3 cam 2aq;X Cl3 cam 3aq;Y Cl3 cam 3aq;X Cl3 cam 4aq;Y Cl3 cam 4aq;X Cl3 cam 5aq;Y Cl3 cam 5aq;X Cl3 cam 6aq;Y Cl3 cam 6aq;X Cl3 wb 1aq;Y Cl3 wb 1aq;X Cl3 wb 2aq;Y Cl3 wb 2aq;X Cl3 wb 3aq;Y Cl3 wb 3aq;X Cl3 wb 4aq;Y Cl3 wb 4aq;X Cl3 wb 5aq;Y Cl3 wb 5aq;X Cl3 wb 6aq;Y Cl3 wb 6aq
80;0;100;0;110;0;120;0;110;0;110;0;80;0;100;0;110;0;120;0;110;0;110;0;100;0;120;0;120;0;120;0;120;0;120;0;100;0;120;0;120;0;120;0;120;0;140;0;140;0;140;0;140;0;140;0;120;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;120;0
80,36;0;100,28;0;110,2;0;120,18;0;110,22;0;110,22;0;80,36;0;100,28;0;110,2;0;120,16;0;110,2;0;110,2;0;100,6;0;120,44;0;120,32;0;120,32;0;120,36;0;120,28;0;100,5;0;120,4;0;120,32;0;120,32;0;120,28;0;140,32;0;140,32;0;140,28;0;140,28;0;140,28;0;120,32;0;140,32;0;140,28;0;140,24;0;140,32;0;140,32;0;140,28;0;140,28;0;140,28;0;140,28;0;140,28;0;140,28;0;140,28;0;140,28;0;140,24;0;120,32;0
80,72;0;100,56;0;110,4;0;120,36;0;110,44;0;110,44;0;80,72;0;100,56;0;110,4;0;120,32;0;110,4;0;110,4;0;101,2;0;120,88;0;120,64;0;120,64;0;120,72;0;120,56;0;101;0;120,8;0;120,64;0;120,64;0;120,56;0;140,64;0;140,64;0;140,56;0;140,56;0;140,56;0;120,64;0;140,64;0;140,56;0;140,48;0;140,64;0;140,64;0;140,56;0;140,56;0;140,56;0;140,56;0;140,56;0;140,56;0;140,56;0;140,56;0;140,48;0;120,64;0
81,08;0;100,84;0;110,6;0;120,54;0;110,66;0;110,66;0;81,08;0;100,84;0;110,6;0;120,48;0;110,6;0;110,6;0;101,8;0;121,32;0;120,96;0;120,96;0;121,08;0;120,84;0;101,5;0;121,2;0;120,96;0;120,96;0;120,84;0;140,96;0;140,96;0;140,84;0;140,84;0;140,84;0;120,96;0;140,96;0;140,84;0;140,72;0;140,96;0;140,96;0;140,84;0;140,84;0;140,84;0;140,84;0;140,84;0;140,84;0;140,84;0;140,84;0;140,72;0;120,96;0
81,44;0;101,12;0;110,8;0;120,72;0;110,88;0;110,88;0;81,44;0;101,12;0;110,8;0;120,64;0;110,8;0;110,8;0;102,4;0;121,76;0;121,28;0;121,28;0;121,44;0;121,12;0;102;0;121,6;0;121,28;0;121,28;0;121,12;0;141,28;0;141,28;0;141,12;0;141,12;0;141,12;0;121,28;0;141,28;0;141,12;0;140,96;0;141,28;0;141,28;0;141,12;0;141,12;0;141,12;0;141,12;0;141,12;0;141,12;0;141,12;0;141,12;0;140,96;0;121,28;0
81,8;0;101,4;0;111;0;120,9;0;111,1;0;111,1;0;81,8;0;101,4;0;111;0;120,8;0;111;0;111;0;103;0;122,2;0;121,6;0;121,6;0;121,8;0;121,4;0;102,5;0;122;0;121,6;0;121,6;0;121,4;0;141,6;0;141,6;0;141,4;0;141,4;0;141,4;0;121,6;0;141,6;0;141,4;0;141,2;0;141,6;0;141,6;0;141,4;0;141,4;0;141,4;0;141,4;0;141,4;0;141,4;0;141,4;0;141,4;0;141,2;0;121,6;0
82,16;0;101,68;0;111,2;0;121,08;0;111,32;0;111,32;0;82,16;0;101,68;0;111,2;0;120,96;0;111,2;0;111,2;0;103,6;0;122,64;0;121,92;0;121,92;0;122,16;0;121,68;0;103;0;122,4;0;121,92;0;121,92;0;121,68;0;141,92;0;141,92;0;141,68;0;141,68;0;141,68;0;121,92;0;141,92;0;141,68;0;141,44;0;141,92;0;141,92;0;141,68;0;141,68;0;141,68;0;141,68;0;141,68;0;141,68;0;141,68;0;141,68;0;141,44;0;121,92;0
82,52;0;101,96;0;111,4;0;121,26;0;111,54;0;111,54;0;82,52;0;101,96;0;111,4;0;121,12;0;111,4;0;111,4;0;104,2;0;123,08;0;122,24;0;122,24;0;122,52;0;121,96;0;103,5;0;122,8;0;122,24;0;122,24;0;121,96;0;142,24;0;142,24;0;141,96;0;141,96;0;141,96;0;122,24;0;142,24;0;141,96;0;141,68;0;142,24;0;142,24;0;141,96;0;141,96;0;141,96;0;141,96;0;141,96;0;141,96;0;141,96;0;141,96;0;141,68;0;122,24;0
82,88;0;102,24;0;111,6;0;121,44;0;111,76;0;111,76;0;82,88;0;102,24;0;111,6;0;121,28;0;111,6;0;111,6;0;104,8;0;123,52;0;122,56;0;122,56;0;122,88;0;122,24;0;104;0;123,2;0;122,56;0;122,56;0;122,24;0;142,56;0;142,56;0;142,24;0;142,24;0;142,24;0;122,56;0;142,56;0;142,24;0;141,92;0;142,56;0;142,56;0;142,24;0;142,24;0;142,24;0;142,24;0;142,24;0;142,24;0;142,24;0;142,24;0;141,92;0;122,56;0
83,24;0;102,52;0;111,8;0;121,62;0;111,98;0;111,98;0;83,24;0;102,52;0;111,8;0;121,44;0;111,8;0;111,8;0;105,4;0;123,96;0;122,88;0;122,88;0;123,24;0;122,52;0;104,5;0;123,6;0;122,88;0;122,88;0;122,52;0;142,88;0;142,88;0;142,52;0;142,52;0;142,52;0;122,88;0;142,88;0;142,52;0;142,16;0;142,88;0;142,88;0;142,52;0;142,52;0;142,52;0;142,52;0;142,52;0;142,52;0;142,52;0;142,52;0;142,16;0;122,88;0
