pH;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnHCO3+;MnOH+
1;4,82E-53;1,01E-08;1,43E-38;3,45E-26;1,47E-09;6,23E-10;9,68E-11;7,42E-22;9,69E-16;9,93E-19
2;4,87E-49;1,01E-08;1,40E-35;3,49E-25;1,45E-09;6,18E-10;9,46E-11;7,32E-20;9,46E-15;9,86E-18
3;4,87E-45;1,01E-08;1,40E-32;3,50E-24;1,45E-09;6,18E-10;9,44E-11;7,31E-18;9,44E-14;9,85E-17
4;4,87E-41;1,01E-08;1,40E-29;3,50E-23;1,45E-09;6,18E-10;9,44E-11;7,26E-16;9,37E-13;9,85E-16
5;4,87E-37;1,01E-08;1,40E-26;3,49E-22;1,45E-09;6,17E-10;9,44E-11;6,80E-14;8,78E-12;9,84E-15
6;4,85E-33;1,01E-08;1,39E-23;3,46E-21;1,44E-09;6,15E-10;9,40E-11;4,17E-12;5,39E-11;9,81E-14
7;4,79E-29;9,98E-09;1,36E-20;3,38E-20;1,42E-09;6,08E-10;9,30E-11;8,50E-11;1,10E-10;9,70E-13
8;4,48E-25;9,33E-09;1,19E-17;2,96E-19;1,33E-09;5,69E-10;8,69E-11;8,63E-10;1,11E-10;9,07E-12
9;3,03E-21;6,31E-09;5,43E-15;1,35E-18;9,01E-10;3,85E-10;5,88E-11;4,53E-09;5,84E-11;6,13E-11
10;1,70E-17;3,55E-09;1,72E-12;4,28E-18;5,07E-10;2,16E-10;3,31E-11;7,64E-09;9,86E-12;3,45E-10
11;1,08E-13;2,24E-09;6,85E-10;1,71E-17;3,20E-10;1,37E-10;2,09E-11;6,03E-09;7,79E-13;2,18E-09
12;9,02E-11;1,88E-10;4,82E-09;1,20E-18;2,69E-11;1,15E-11;1,76E-12;5,21E-10;6,73E-15;1,83E-09
