pH;Cl-1;CO3-2;H+1;H2CO3* (aq);HCO3-;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnHCO3+;MnOH+;Na+1;NaCl (aq);NaCO3-;NaHCO3 (aq);NaOH (aq);OH-
1;0,49951;1,96E-17;0,13618;0,002416;1,65E-08;4,82E-53;1,01E-08;1,43E-38;3,45E-26;1,47E-09;6,23E-10;9,68E-11;7,42E-22;9,69E-16;9,93E-19;0,41801;0,049985;4,43E-17;1,65E-09;3,38E-14;1,35E-13
2;0,49926;1,96E-15;0,013672;0,0024158;1,63E-07;4,87E-49;1,01E-08;1,40E-35;3,49E-25;1,45E-09;6,18E-10;9,46E-11;7,32E-20;9,46E-15;9,86E-18;0,41776;0,050238;4,36E-15;1,64E-08;3,42E-13;1,35E-12
3;0,49923;1,96E-13;0,0013676;0,0024142;1,63E-06;4,87E-45;1,01E-08;1,40E-32;3,50E-24;1,45E-09;6,18E-10;9,44E-11;7,31E-18;9,44E-14;9,85E-17;0,41773;0,050273;4,35E-13;1,64E-07;3,42E-12;1,35E-11
4;0,49922;1,94E-11;0,00013677;0,0023982;1,62E-05;4,87E-41;1,01E-08;1,40E-29;3,50E-23;1,45E-09;6,18E-10;9,44E-11;7,26E-16;9,37E-13;9,85E-16;0,41772;0,050277;4,32E-11;1,63E-06;3,42E-11;1,35E-10
5;0,49923;1,82E-09;0,000013677;0,0022487;1,52E-04;4,87E-37;1,01E-08;1,40E-26;3,49E-22;1,45E-09;6,17E-10;9,44E-11;6,80E-14;8,78E-12;9,84E-15;0,41771;0,050275;4,05E-09;1,53E-05;3,42E-10;1,35E-09
6;0,49924;1,12E-07;1,37E-06;0,0013852;9,36E-04;4,85E-33;1,01E-08;1,39E-23;3,46E-21;1,44E-09;6,15E-10;9,40E-11;4,17E-12;5,39E-11;9,81E-14;0,41764;0,050265;2,50E-07;9,43E-05;3,42E-09;1,35E-08
7;0,49925;2,31E-06;1,37E-07;0,00028538;1,93E-03;4,79E-29;9,98E-09;1,36E-20;3,38E-20;1,42E-09;6,08E-10;9,30E-11;8,50E-11;1,10E-10;9,70E-13;0,41755;0,050252;5,14E-06;1,94E-04;3,42E-08;1,35E-07
8;0,49926;2,51E-05;1,37E-08;0,000030971;2,09E-03;4,48E-25;9,33E-09;1,19E-17;2,96E-19;1,33E-09;5,69E-10;8,69E-11;8,63E-10;1,11E-10;9,07E-12;0,41749;0,050245;5,58E-05;2,11E-04;3,42E-07;1,35E-06
9;0,49929;1,95E-04;1,37E-09;2,40E-06;1,62E-03;3,03E-21;6,31E-09;5,43E-15;1,35E-18;9,01E-10;3,85E-10;5,88E-11;4,53E-09;5,84E-11;6,13E-11;0,41719;0,050211;4,32E-04;1,63E-04;3,42E-06;1,35E-05
10;0,49937;5,84E-04;1,37E-10;7,21E-08;4,87E-04;1,70E-17;3,55E-09;1,72E-12;4,28E-18;5,07E-10;2,16E-10;3,31E-11;7,64E-09;9,86E-12;3,45E-10;0,41649;0,050132;1,30E-03;4,89E-05;3,41E-05;1,35E-04
11;0,49943;7,31E-04;1,37E-11;9,01E-10;6,09E-05;1,08E-13;2,24E-09;6,85E-10;1,71E-17;3,20E-10;1,37E-10;2,09E-11;6,03E-09;7,79E-13;2,18E-09;0,41596;0,050071;1,62E-03;6,11E-06;3,41E-04;1,35E-03
12;0,49976;7,52E-04;1,37E-12;9,28E-12;6,28E-06;9,02E-11;1,88E-10;4,82E-09;1,20E-18;2,69E-11;1,15E-11;1,76E-12;5,21E-10;6,73E-15;1,83E-09;0,41322;0,04974;1,66E-03;6,25E-07;3,38E-03;1,35E-02
