pH;Mn+2;Mn2(OH)3+;Mn2OH+3;MnBr+;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnF+;MnHCO3+;MnOH+;MnSO4 (aq)
1;9,5766E-09;1,3838E-38;3,0549E-26;3,226E-12;1,4208E-09;5,8554E-10;9,0906E-11;7,3246E-22;9,3218E-14;9,7003E-16;9,731E-19;6,2295E-10
2;9,0214E-09;1,1768E-35;2,7336E-25;2,9579E-12;1,3075E-09;5,4076E-10;8,3138E-11;6,7154E-20;7,2022E-13;8,8345E-15;8,9969E-18;1,3442E-09
3;8,8701E-09;1,1336E-32;2,6446E-24;2,9016E-12;1,2836E-09;5,3141E-10;8,1664E-11;6,5826E-18;2,812E-12;8,6538E-14;8,8321E-17;1,5274E-09
4;8,8512E-09;1,1284E-29;2,6336E-23;2,8948E-12;1,2808E-09;5,3028E-10;8,1488E-11;6,5179E-16;3,9991E-12;8,5681E-13;8,812E-16;1,5485E-09
5;8,844E-09;1,1265E-26;2,6293E-22;2,8925E-12;1,2797E-09;5,2987E-10;8,1427E-11;6,0582E-14;4,1738E-12;7,9638E-12;8,8048E-15;1,5499E-09
6;8,8125E-09;1,1188E-23;2,6105E-21;2,8825E-12;1,2754E-09;5,2811E-10;8,1167E-11;3,5554E-12;4,1802E-12;4,6739E-11;8,7742E-14;1,5454E-09
7;8,7328E-09;1,0989E-20;2,5635E-20;2,8568E-12;1,2641E-09;5,2348E-10;8,0468E-11;6,8614E-11;4,1475E-12;9,0203E-11;8,6958E-13;1,5324E-09
8;8,286E-09;9,8931E-18;2,3078E-19;2,7106E-12;1,1995E-09;4,9676E-10;7,6365E-11;6,8223E-10;3,9374E-12;8,9689E-11;8,2508E-12;1,4546E-09
9;6,2948E-09;5,7081E-15;1,332E-18;2,0589E-12;9,1139E-10;3,7754E-10;5,8049E-11;3,4385E-09;2,998E-12;4,5202E-11;6,2674E-11;1,1068E-09
10;4,4992E-09;2,9146E-12;6,8052E-18;1,4712E-12;6,5163E-10;2,7011E-10;4,1549E-11;5,5794E-09;2,155E-12;7,3338E-12;4,4786E-10;7,9394E-10
11;2,6628E-09;1,0195E-09;2,3841E-17;8,7004E-13;3,8632E-10;1,6054E-10;2,4747E-11;3,897E-09;1,3104E-12;5,1211E-13;2,6491E-09;4,767E-10
12;1,8494E-10;4,8939E-09;1,1509E-18;6,0258E-14;2,7116E-11;1,1422E-11;1,7814E-12;3,2673E-10;1,0641E-13;4,2898E-15;1,836E-09;3,5902E-11
