pH;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+
1;3,90E-49;8,18E-05;9,40E-31;2,26E-18;1,21E-05;5,22E-06;8,25E-07;8,06E-15
2;3,94E-45;0,000082094;9,22E-28;2,29E-17;0,000011935;5,17E-06;8,05E-07;7,99E-14
3;3,94E-41;8,21E-05;9,21E-25;2,29E-16;1,19E-05;5,16E-06;8,03E-07;7,99E-13
4;3,94E-37;0,000082113;9,20E-22;2,29E-15;0,00001192;0,000005164;8,03E-07;7,99E-12
5;3,94E-33;0,000082113;9,20E-19;2,29E-14;0,00001192;0,000005164;8,03E-07;7,99E-11
6;3,94E-29;8,21E-05;9,20E-16;2,29E-13;1,19E-05;5,16E-06;8,03E-07;7,99E-10
7;3,94E-25;0,000082107;9,20E-13;2,29E-12;0,000011919;5,16E-06;8,03E-07;7,98E-09
8;3,94E-21;0,000082046;9,19E-10;2,29E-11;0,00001191;5,16E-06;8,02E-07;7,98E-08
9;3,84E-17;0,000080037;8,75E-07;2,18E-10;0,000011619;5,03E-06;7,83E-07;7,78E-07
10;8,10E-14;0,000016881;0,0000389;9,68E-11;2,45E-06;1,06E-06;1,65E-07;1,64E-06
11;2,88E-11;6,01E-07;0,000049342;1,23E-12;8,73E-08;3,78E-08;5,88E-09;5,85E-07
12;9,16E-09;1,91E-08;0,000049892;1,24E-14;2,78E-09;1,20E-09;1,88E-10;1,86E-07
