pH;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+;MnSO4 (aq)
1;4,55E-53;9,56E-09;1,29E-38;3,08E-26;1,40E-09;5,94E-10;9,27E-11;9,44E-19;6,52E-10
2;4,22E-49;8,80E-09;1,07E-35;2,62E-25;1,27E-09;5,41E-10;8,35E-11;8,60E-18;1,61E-09
3;4,11E-45;8,57E-09;1,01E-32;2,49E-24;1,24E-09;5,27E-10;8,13E-11;8,37E-17;1,89E-09
4;4,10E-41;8,54E-09;1,01E-29;2,47E-23;1,23E-09;5,25E-10;8,11E-11;8,34E-16;1,92E-09
5;4,09E-37;8,54E-09;1,01E-26;2,47E-22;1,23E-09;5,25E-10;8,10E-11;8,34E-15;1,93E-09
6;4,09E-33;8,54E-09;1,01E-23;2,47E-21;1,23E-09;5,25E-10;8,10E-11;8,34E-14;1,93E-09
7;4,09E-29;8,54E-09;1,01E-20;2,47E-20;1,23E-09;5,25E-10;8,10E-11;8,34E-13;1,93E-09
8;4,09E-25;8,53E-09;1,00E-17;2,47E-19;1,23E-09;5,24E-10;8,10E-11;8,33E-12;1,92E-09
9;4,07E-21;8,48E-09;9,92E-15;2,44E-18;1,22E-09;5,21E-10;8,05E-11;8,28E-11;1,91E-09
10;3,83E-17;7,98E-09;8,79E-12;2,16E-17;1,15E-09;4,91E-10;7,58E-11;7,80E-10;1,80E-09
11;1,73E-13;3,60E-09;1,79E-09;4,41E-17;5,20E-10;2,22E-10;3,42E-11;3,52E-09;8,14E-10
12;9,15E-11;1,91E-10;5,03E-09;1,23E-18;2,76E-11;1,18E-11;1,82E-12;1,87E-09;4,32E-11
