pH;Cl-1;H+1;HSO4-;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+;MnSO4 (aq);Na+1;NaCl (aq);NaOH (aq);NaSO4-;OH-;SO4-2
1;0,49989;1,36E-01;0,019738;4,55E-53;9,56E-09;1,29E-38;3,08E-26;1,40E-09;5,94E-10;9,27E-11;9,44E-19;6,52E-10;4,15E-01;4,96E-02;3,35E-14;0,0033884;1,34E-13;5,07E-03
2;0,5003;1,36E-02;0,005331;4,22E-49;8,80E-09;1,07E-35;2,62E-25;1,27E-09;5,41E-10;8,35E-11;8,60E-18;1,61E-09;4,10E-01;4,92E-02;3,33E-13;0,0090014;1,35E-12;1,39E-02
3;0,50047;1,37E-03;0,00064324;4,11E-45;8,57E-09;1,01E-32;2,49E-24;1,24E-09;5,27E-10;8,13E-11;8,37E-17;1,89E-09;4,08E-01;4,90E-02;3,32E-12;0,010816;1,35E-11;1,67E-02
4;0,50049;1,37E-04;0,000065684;4,10E-41;8,54E-09;1,01E-29;2,47E-23;1,23E-09;5,25E-10;8,11E-11;8,34E-16;1,92E-09;4,08E-01;4,90E-02;3,32E-11;0,011039;1,35E-10;1,71E-02
5;0,50049;1,37E-05;6,58E-06;4,09E-37;8,54E-09;1,01E-26;2,47E-22;1,23E-09;5,25E-10;8,10E-11;8,34E-15;1,93E-09;4,08E-01;4,90E-02;3,32E-10;0,011062;1,35E-09;1,71E-02
6;0,50049;1,37E-06;6,58E-07;4,09E-33;8,54E-09;1,01E-23;2,47E-21;1,23E-09;5,25E-10;8,10E-11;8,34E-14;1,93E-09;4,08E-01;4,90E-02;3,32E-09;0,011064;1,35E-08;1,71E-02
7;0,50049;1,37E-07;6,58E-08;4,09E-29;8,54E-09;1,01E-20;2,47E-20;1,23E-09;5,25E-10;8,10E-11;8,34E-13;1,93E-09;4,08E-01;4,90E-02;3,32E-08;0,011064;1,35E-07;1,71E-02
8;0,50049;1,37E-08;6,58E-09;4,09E-25;8,53E-09;1,00E-17;2,47E-19;1,23E-09;5,24E-10;8,10E-11;8,33E-12;1,92E-09;4,08E-01;4,90E-02;3,32E-07;0,011064;1,35E-06;1,71E-02
9;0,50049;1,37E-09;6,58E-10;4,07E-21;8,48E-09;9,92E-15;2,44E-18;1,22E-09;5,21E-10;8,05E-11;8,28E-11;1,91E-09;4,08E-01;4,90E-02;3,32E-06;0,011064;0,000013501;1,71E-02
10;0,50049;1,37E-10;6,58E-11;3,83E-17;7,98E-09;8,79E-12;2,16E-17;1,15E-09;4,91E-10;7,58E-11;7,80E-10;1,80E-09;4,08E-01;4,90E-02;3,32E-05;0,011064;0,00013501;1,71E-02
11;0,50052;1,37E-11;6,59E-12;1,73E-13;3,60E-09;1,79E-09;4,41E-17;5,20E-10;2,22E-10;3,42E-11;3,52E-09;8,14E-10;4,08E-01;4,90E-02;3,32E-04;0,01106;0,00135;1,71E-02
12;0,50083;1,36E-12;6,61E-13;9,15E-11;1,91E-10;5,03E-09;1,23E-18;2,76E-11;1,18E-11;1,82E-12;1,87E-09;4,32E-11;4,05E-01;4,87E-02;3,29E-03;0,011026;0,013496;1,72E-02
