pH;BF(OH)3-;BF2(OH)2-;BF3OHF-;BF4-;Br-1;Ca+2;CaCl+;CaCO3 (aq);CaF+;CaH2BO3+;CaHCO3+;CaOH+;CaSO4 (aq);Cl-1;CO3-2;F-1;H+1;H10(BO3)4-2;H2BO3-;H2CO3* (aq);H2SiO4-2;H3BO3;H3SiO4-;H4SiO4;H4SiO4SO4-2;H5(BO3)2-;H8(BO3)3-;HCO3-;HF (aq);HF2-;HSO4-;K+1;KCl (aq);KF (aq);KOH (aq);KSO4-;Mg+2;Mg2CO3+2;MgCl+;MgCO3 (aq);MgF+;MgH2BO3+;MgHCO3+;MgOH+;MgSO4 (aq);Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnBr+;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnF+;MnHCO3+;MnOH+;MnSO4 (aq);Na+1;NaCl (aq);NaCO3-;NaF (aq);NaH2BO3 (aq);NaHCO3 (aq);NaOH (aq);NaSO4-;OH-;SiF6-2;SO4-2;Sr+2;SrCl+;SrCO3 (aq);SrF+;SrH2BO3+;SrHCO3+;SrOH+;SrSO4 (aq)
0;2,18E-12;1,41E-11;3,31E-13;9,83E-14;0,00070354;0,0029535;0,002855;3,22E-19;2,37E-09;9,20E-15;5,28E-11;5,72E-16;0,000151;0,38483;6,58E-20;5,82E-08;1;7,26E-32;5,46E-14;0,0031551;3,69E-28;9,40E-05;5,85E-15;4,05E-05;2,61E-09;4,37E-18;4,11E-20;1,40E-09;0,000088066;2,04E-11;2,18E-02;0,0074343;0,0014339;1,98E-10;1,25E-16;1,17E-05;1,29E-02;4,23E-20;1,97E-02;7,04E-19;5,94E-08;2,41E-14;1,85E-10;4,75E-14;5,22E-04;1,84E-57;4,14E-09;1,97E-41;4,18E-28;4,02E-12;1,59E-09;1,09E-09;1,16E-10;1,36E-23;7,62E-15;1,16E-16;1,01E-19;1,64E-10;3,41E-01;6,58E-02;4,18E-19;2,08E-08;2,93E-14;2,40E-10;4,17E-15;0,00041847;9,71E-15;2,75E-18;2,23E-04;3,07E-05;1,83E-05;1,30E-21;6,49E-12;5,90E-17;6,99E-13;1,97E-18;1,37E-06
1;1,68E-11;9,28E-11;1,86E-12;4,74E-13;0,00063824;0,0021386;0,0019112;2,07E-17;1,49E-08;5,89E-14;3,38E-10;4,21E-15;0,00066443;0,35577;5,82E-18;5,06E-07;0,1;4,46E-30;4,83E-13;0,002793;3,26E-26;8,32E-05;5,17E-14;3,58E-05;1,40E-08;3,42E-17;2,85E-19;1,24E-08;0,000076556;1,54E-10;1,33E-02;0,0067343;0,0012008;1,56E-09;1,15E-15;6,47E-05;9,82E-03;2,18E-18;1,39E-02;4,75E-17;3,94E-07;1,63E-13;1,25E-09;3,68E-13;2,42E-03;1,38E-53;2,92E-09;1,03E-38;2,11E-27;2,57E-12;1,04E-09;6,58E-10;6,44E-11;8,52E-22;4,67E-14;7,24E-16;7,24E-19;7,05E-10;3,10E-01;5,52E-02;3,36E-17;1,64E-07;2,35E-13;1,93E-09;3,84E-14;0,0023072;9,86E-14;9,87E-17;1,36E-03;2,15E-05;1,19E-05;8,09E-20;3,95E-11;3,66E-16;4,34E-12;1,40E-17;5,83E-06
2;1,39E-10;6,43E-10;1,08E-11;2,30E-12;0,0006341;0,001951;0,0017382;1,86E-15;1,14E-07;5,31E-13;3,04E-09;3,84E-14;0,0014161;0,35469;5,74E-16;4,24E-06;0,01;4,23E-28;4,77E-12;0,0027556;3,21E-24;8,21E-05;5,09E-13;3,52E-05;3,22E-08;3,33E-16;2,74E-18;1,23E-07;0,000064216;1,08E-09;3,10E-03;0,0066125;0,0011755;1,28E-08;1,13E-14;1,48E-04;9,17E-03;1,88E-16;1,29E-02;4,38E-15;3,09E-06;1,50E-12;1,15E-08;3,44E-12;5,28E-03;1,28E-49;2,68E-09;8,72E-36;1,78E-26;2,35E-12;9,51E-10;6,00E-10;5,86E-11;7,72E-20;3,60E-13;6,56E-15;6,65E-18;1,51E-09;3,05E-01;5,42E-02;3,26E-15;1,35E-06;2,28E-12;1,87E-08;3,79E-13;0,0053059;9,88E-13;3,36E-15;3,17E-03;1,96E-05;1,08E-05;7,29E-18;3,03E-10;3,29E-15;3,90E-11;1,28E-16;0,00001242
3;5,56E-10;1,03E-09;6,95E-12;5,93E-13;0,00063375;0,0019105;0,0017026;1,82E-13;4,48E-07;5,19E-12;2,97E-08;3,76E-13;0,0016068;0,35478;5,73E-14;1,70E-05;0,001;4,20E-26;4,76E-11;0,00275;3,21E-22;8,20E-05;5,08E-12;3,52E-05;3,72E-08;3,33E-15;2,73E-17;1,22E-06;0,00002573;1,74E-09;3,59E-04;0,0065876;0,0011713;5,12E-08;1,13E-13;1,71E-04;9,02E-03;1,82E-14;1,27E-02;4,30E-13;0,000012184;1,48E-11;1,13E-07;3,39E-11;6,03E-03;1,26E-45;2,63E-09;8,40E-33;1,72E-25;2,30E-12;9,34E-10;5,89E-10;5,76E-11;7,56E-18;1,41E-12;6,42E-14;6,53E-17;1,72E-09;3,04E-01;5,40E-02;3,24E-13;5,41E-06;2,27E-11;1,86E-07;3,78E-12;0,0061292;9,88E-12;1,39E-15;3,67E-03;1,92E-05;1,06E-05;7,12E-16;1,19E-09;3,22E-14;3,82E-10;1,26E-15;0,000014099
4;7,96E-10;2,11E-10;2,04E-13;2,49E-15;0,00063372;0,0019058;0,0016984;1,80E-11;6,40E-07;5,18E-11;2,95E-07;3,76E-12;0,0016289;0,35479;5,69E-12;2,43E-05;0,0001;4,20E-24;4,76E-10;0,0027291;3,21E-20;8,20E-05;5,08E-11;3,52E-05;3,78E-08;3,32E-14;2,73E-16;0,000012135;3,68E-06;3,57E-10;3,65E-05;0,0065847;0,0011709;7,32E-08;1,13E-12;1,74E-04;9,01E-03;1,80E-12;1,27E-02;4,26E-11;0,000017405;1,47E-10;1,12E-06;3,38E-10;6,11E-03;1,25E-41;2,63E-09;8,36E-30;1,71E-24;2,30E-12;9,32E-10;5,88E-10;5,74E-11;7,49E-16;2,02E-12;6,36E-13;6,51E-16;1,74E-09;3,04E-01;5,40E-02;3,22E-11;0,000007737;2,27E-10;0,000001847;3,78E-11;0,0062266;9,88E-11;1,19E-18;3,73E-03;1,92E-05;1,06E-05;7,05E-14;1,70E-09;3,22E-13;3,78E-09;1,25E-14;0,000014294
5;8,32E-10;2,31E-11;2,33E-15;2,97E-18;0,00063372;0,0019047;0,0016975;1,67E-09;6,69E-07;5,17E-10;2,74E-06;3,75E-11;0,0016307;0,3548;5,29E-10;2,54E-05;0,00001;4,20E-22;4,76E-09;0,0025398;3,21E-18;8,20E-05;5,08E-10;3,52E-05;3,79E-08;3,32E-13;2,73E-15;0,00011293;3,85E-07;3,90E-11;3,65E-06;0,0065845;0,0011709;7,65E-08;1,13E-11;1,74E-04;9,00E-03;1,67E-10;1,27E-02;3,96E-09;0,000018183;1,47E-09;1,04E-05;3,38E-09;6,12E-03;1,25E-37;2,62E-09;8,35E-27;1,71E-23;2,30E-12;9,31E-10;5,87E-10;5,74E-11;6,96E-14;2,11E-12;5,91E-12;6,51E-15;1,74E-09;3,04E-01;5,40E-02;2,99E-09;8,09E-06;2,27E-09;0,000017187;3,78E-10;0,0062369;9,88E-10;1,55E-22;3,74E-03;1,92E-05;1,05E-05;6,56E-12;1,77E-09;3,21E-12;3,51E-08;1,25E-13;0,000014308
6;8,35E-10;2,33E-12;2,36E-17;3,02E-21;0,00063373;0,0019012;0,0016946;9,86E-08;6,71E-07;5,16E-09;1,61E-05;3,75E-10;0,0016288;0,35483;3,13E-08;2,56E-05;0,000001;4,18E-20;4,76E-08;0,0014992;3,21E-16;8,19E-05;5,08E-09;3,52E-05;3,79E-08;3,31E-12;2,71E-14;0,00066659;3,87E-08;3,94E-12;3,65E-07;0,0065845;0,001171;7,69E-08;1,13E-10;1,74E-04;8,99E-03;9,83E-09;1,27E-02;2,34E-07;0,000018251;1,47E-08;6,15E-05;3,38E-08;6,12E-03;1,25E-33;2,61E-09;8,29E-24;1,70E-22;2,29E-12;9,28E-10;5,85E-10;5,72E-11;4,09E-12;2,11E-12;3,48E-11;6,49E-14;1,74E-09;3,04E-01;5,40E-02;1,77E-07;0,000008126;2,27E-08;0,00010144;3,78E-09;0,0062398;9,88E-09;1,60E-26;3,74E-03;1,91E-05;1,05E-05;3,86E-10;1,78E-09;3,20E-11;2,07E-07;1,25E-12;0,000014281
7;8,25E-10;2,30E-13;2,33E-19;3,00E-24;0,00063375;0,001897;0,001691;1,92E-06;6,70E-07;5,07E-08;3,14E-05;3,74E-09;0,0016261;0,35487;6,10E-07;2,56E-05;0,0000001;3,95E-18;4,69E-07;0,00029274;3,20E-14;8,08E-05;5,07E-08;3,51E-05;3,79E-08;3,22E-11;2,60E-13;0,0013016;3,87E-09;3,95E-13;3,66E-08;0,0065846;0,0011711;7,70E-08;1,13E-09;1,74E-04;8,98E-03;1,91E-07;1,27E-02;4,56E-06;0,000018242;1,45E-07;1,20E-04;3,37E-07;6,11E-03;1,24E-29;2,59E-09;8,14E-21;1,67E-21;2,27E-12;9,19E-10;5,80E-10;5,67E-11;7,92E-11;2,10E-12;6,73E-11;6,43E-13;1,72E-09;3,04E-01;5,40E-02;3,45E-06;8,13E-06;2,24E-07;0,00019804;3,77E-08;0,0062423;9,88E-08;1,61E-30;3,74E-03;1,91E-05;1,05E-05;7,52E-09;1,77E-09;3,15E-10;4,03E-07;1,25E-11;0,000014247
8;7,26E-10;2,02E-14;2,06E-21;2,64E-27;0,00063375;0,0018934;0,0016879;2,01E-05;6,69E-07;4,45E-07;3,29E-05;3,73E-08;0,0016237;0,35489;6,40E-06;2,56E-05;0,00000001;2,36E-16;4,12E-06;0,000030722;3,14E-12;7,10E-05;4,97E-07;3,44E-05;3,71E-08;2,49E-10;1,77E-12;0,001366;3,87E-10;3,95E-14;3,66E-09;0,0065845;0,0011712;7,71E-08;1,13E-08;1,74E-04;8,96E-03;2,00E-06;1,27E-02;4,77E-05;0,00001823;1,27E-06;1,26E-04;3,37E-06;6,11E-03;1,17E-25;2,46E-09;7,32E-18;1,50E-20;2,15E-12;8,72E-10;5,50E-10;5,38E-11;7,88E-10;1,99E-12;6,69E-11;6,09E-12;1,64E-09;3,04E-01;5,40E-02;3,62E-05;8,14E-06;1,97E-06;0,00020781;3,77E-07;0,0062438;9,88E-07;1,58E-34;3,74E-03;1,91E-05;1,05E-05;7,88E-08;1,77E-09;2,76E-09;4,22E-07;1,24E-10;0,000014237
8,2;6,73E-10;1,19E-14;7,59E-22;6,15E-28;0,00063375;0,0018918;0,0016865;3,10E-05;6,69E-07;6,54E-07;3,20E-05;5,91E-08;0,0016225;0,3549;9,86E-06;2,56E-05;6,31E-09;4,39E-16;6,06E-06;1,88E-05;7,78E-12;6,59E-05;7,78E-07;3,40E-05;3,67E-08;3,40E-10;2,24E-12;0,0013275;2,45E-10;2,49E-14;2,31E-09;0,0065844;0,0011712;7,71E-08;1,79E-08;1,75E-04;8,96E-03;3,08E-06;1,27E-02;7,35E-05;0,000018223;1,87E-06;1,22E-04;5,33E-06;6,10E-03;7,17E-25;2,38E-09;2,74E-17;2,23E-20;2,09E-12;8,46E-10;5,34E-10;5,22E-11;1,18E-09;1,93E-12;6,31E-11;9,37E-12;1,59E-09;3,04E-01;5,40E-02;5,57E-05;8,14E-06;2,89E-06;0,00020193;5,98E-07;0,0062445;1,57E-06;2,48E-35;3,74E-03;1,91E-05;1,05E-05;1,21E-07;1,77E-09;4,06E-09;4,10E-07;1,97E-10;0,000014235
