Species;1,77 M;0,879 M;0,419 M;0,231 M;0,104 M;0,0596 M
Cl-1;1,1171;0,94195;0,65375;0,41652;0,20018;0,11656
H+1;3,9083E-06;3,52E-06;2,83E-06;0,000002117;1,34E-06;9,92E-07
Mn(OH)4-2;7,722E-28;1,95E-27;5,74E-27;1,60E-26;5,33E-26;9,40E-26
Mn+2;0,46104;0,39905;0,29516;0,19651;0,097299;0,057215
Mn2(OH)3+;3,1114E-09;2,32E-09;1,74E-09;1,52E-09;1,45E-09;1,37E-09
Mn2OH+3;1,3169E-06;1,45E-06;0,000001239;8,31E-07;3,32E-07;1,47E-07
MnCl+;0,46509;0,21413;0,072794;0,024645;0,0056327;0,002135
MnCl2 (aq);0,57365;0,19562;0,041687;0,0086955;0,0010069;0,00024056
MnCl3-;0,27014;0,070236;0,0093593;0,0011491;0,000059447;8,04E-06
MnOH+;2,5794E-06;2,07E-06;1,58E-06;1,27E-06;9,86E-07;8,23E-07
OH-;2,4665E-09;3,62E-09;5,66E-09;8,57E-09;1,39E-08;1,79E-08
