Total Cl- concentration;BF(OH)3-;BF2(OH)2-;BF3OHF-;BF4-;Br-1;Ca+2;CaCl+;CaCO3 (aq);CaF+;CaH2BO3+;CaHCO3+;CaOH+;CaSO4 (aq);Cl-1;CO3-2;F-1;H+1;H10(BO3)4-2;H2BO3-;H2CO3* (aq);H2SiO4-2;H3BO3;H3SiO4-;H4SiO4;H4SiO4SO4-2;H5(BO3)2-;H8(BO3)3-;HCO3-;HF (aq);HF2-;HSO4-;K+1;KCl (aq);KF (aq);KOH (aq);KSO4-;Mg+2;Mg2CO3+2;MgCl+;MgCO3 (aq);MgF+;MgH2BO3+;MgHCO3+;MgOH+;MgSO4 (aq);Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnBr+;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnF+;MnHCO3+;MnOH+;MnSO4 (aq);Na+1;NaCl (aq);NaCO3-;NaF (aq);NaH2BO3 (aq);NaHCO3 (aq);NaOH (aq);NaSO4-;OH-;SiF6-2;SO4-2;Sr+2;SrCl+;SrCO3 (aq);SrF+;SrH2BO3+;SrHCO3+;SrOH+;SrSO4 (aq)
0,1;7,2779E-10;1,0556E-14;5,5717E-22;3,7195E-28;0,00086;0,0093147;0,00060399;0,000036616;1,0958E-06;1,2803E-06;0,000059525;1,1755E-07;0,00018267;0,085214;0,000029819;0,000028132;8,5968E-09;1,3321E-15;7,9579E-06;0,000015258;2,5594E-11;0,000056121;1,0564E-06;0,000029933;1,0748E-08;4,3915E-10;2,8472E-12;0,0016565;1,7439E-10;2,2564E-14;2,7427E-10;0,00091744;0,000018667;5,6203E-09;1,5859E-09;2,1204E-06;0,047185;0,000023703;0,0048491;0,000092963;0,000031941;0,000003908;0,00024285;0,000011346;0,00073504;3,0231E-24;1,0478E-08;6,3539E-17;5,7578E-19;3,7681E-12;2,7048E-10;1,9527E-11;5,2945E-13;1,2439E-09;2,8237E-12;1,0491E-10;1,6647E-11;1,5951E-10;0,4576;0,0093107;0,000076972;0,000006422;2,7244E-06;0,00018099;5,7303E-07;0,00082098;2,0879E-06;2,5499E-35;0,0010777;0,000086235;3,4478E-06;1,3188E-07;2,6683E-09;7,3085E-09;7,018E-07;3,6036E-10;1,4729E-06
0,15;7,43E-10;1,08E-14;5,68E-22;3,78E-28;0,00086;0,0090422;0,00088063;0,00003662;1,09E-06;1,27E-06;0,00005808;1,17E-07;0,00017999;0,12825;0,000030817;0,000028799;8,40E-09;1,39E-15;8,13E-06;0,000015007;2,69E-11;0,00005602;1,08E-06;0,000029908;1,09E-08;4,48E-10;2,89E-12;0,0016684;1,74E-10;2,31E-14;2,72E-10;0,0009152;0,000028025;5,74E-09;1,62E-09;2,15E-06;0,045108;0,000022296;0,0069627;0,00009156;0,000031196;3,81E-06;0,00023335;0,000011094;0,00071323;3,27E-24;1,03E-08;6,59E-17;5,71E-19;3,70E-12;4,00E-10;4,34E-11;1,77E-12;1,26E-09;2,84E-12;1,04E-10;1,68E-11;1,59E-10;0,45303;0,013872;0,000078593;6,51E-06;2,76E-06;0,00018046;5,81E-07;0,00082587;2,14E-06;2,66E-35;0,0010973;0,000084616;5,08E-06;1,33E-07;2,67E-09;7,32E-09;6,92E-07;3,62E-10;1,47E-06
0,2;7,58E-10;1,10E-14;5,78E-22;3,85E-28;0,00086;0,008782;0,0011445;0,000036618;1,08E-06;1,26E-06;0,000056804;1,16E-07;0,00017765;0,17152;0,000031702;0,000029413;8,21E-09;1,44E-15;8,30E-06;0,000014769;2,81E-11;0,000055917;1,10E-06;0,000029884;1,11E-08;4,56E-10;2,95E-12;0,0016791;1,74E-10;2,35E-14;2,70E-10;0,00091137;0,000037324;5,84E-09;1,65E-09;2,17E-06;0,043184;0,000021045;0,0089197;0,000090247;0,000030518;3,73E-06;0,00022496;0,000010861;0,00069389;3,51E-24;1,01E-08;6,80E-17;5,64E-19;3,64E-12;5,26E-10;7,64E-11;4,17E-12;1,28E-09;2,85E-12;1,03E-10;1,68E-11;1,59E-10;0,44853;0,018369;0,00008009;6,58E-06;2,79E-06;0,00017982;5,88E-07;0,00083068;0,000002187;2,76E-35;0,0011141;0,000083036;6,67E-06;1,35E-07;2,68E-09;7,33E-09;6,84E-07;3,63E-10;1,46E-06
0,25;7,71E-10;1,11E-14;5,86E-22;3,90E-28;0,00086;0,0085408;0,0013901;0,000036544;1,07E-06;1,24E-06;0,000055384;1,15E-07;0,00017479;0,21506;0,000032728;0,000030055;8,04E-09;1,49E-15;8,47E-06;0,00001455;2,94E-11;0,00005583;1,13E-06;0,000029861;1,13E-08;4,64E-10;2,98E-12;0,0016901;1,74E-10;2,40E-14;2,68E-10;0,0009106;0,000046756;5,96E-09;1,69E-09;2,20E-06;0,041446;0,000019853;0,010691;0,00008888;0,000029811;3,63E-06;0,00021645;0,000010628;0,00067375;3,78E-24;9,96E-09;6,98E-17;5,58E-19;3,56E-12;6,45E-10;1,18E-10;8,02E-12;1,29E-09;2,85E-12;1,01E-10;1,69E-11;1,58E-10;0,44409;0,022802;0,000081539;6,66E-06;0,000002814;0,00017919;5,96E-07;0,0008338;2,24E-06;2,86E-35;0,001134;0,000081544;8,18E-06;1,36E-07;2,68E-09;7,32E-09;6,73E-07;3,63E-10;1,45E-06
0,3;7,85E-10;1,13E-14;5,94E-22;3,94E-28;0,00086;0,0083129;0,0016222;0,00003645;1,06E-06;1,23E-06;0,000054032;1,14E-07;0,00017202;0,25882;0,000033726;0,00003067;7,87E-09;1,54E-15;8,63E-06;0,000014344;3,07E-11;0,000055746;1,15E-06;0,000029839;1,14E-08;4,71E-10;3,02E-12;0,0017003;1,74E-10;2,45E-14;2,66E-10;0,00090979;0,000056218;6,08E-09;1,72E-09;2,23E-06;0,039845;0,000018769;0,012323;0,000087562;0,000029137;3,55E-06;0,00020858;0,000010407;0,00065493;4,04E-24;9,78E-09;7,13E-17;5,50E-19;3,49E-12;7,60E-10;1,67E-10;1,37E-11;1,30E-09;2,85E-12;9,96E-11;1,69E-11;1,57E-10;0,43972;0,027171;0,00008289;6,73E-06;2,84E-06;0,0001785;6,04E-07;0,00083634;2,29E-06;2,96E-35;0,001153;0,000080107;9,64E-06;1,37E-07;2,68E-09;7,30E-09;6,63E-07;3,64E-10;1,44E-06
0,35;7,97E-10;1,15E-14;6,01E-22;3,98E-28;0,00086;0,0080971;0,0018421;0,000036338;1,05E-06;1,21E-06;0,000052746;1,13E-07;0,00016933;0,30277;0,000034697;0,00003126;7,72E-09;1,59E-15;8,79E-06;0,000014151;3,20E-11;0,000055666;1,17E-06;0,000029817;1,16E-08;4,78E-10;3,05E-12;0,00171;1,74E-10;2,49E-14;2,64E-10;0,00090894;0,000065706;6,19E-09;1,76E-09;2,25E-06;0,038365;0,000017778;0,013833;0,000086291;0,000028496;3,46E-06;0,00020128;0,000010198;0,00063729;4,30E-24;9,61E-09;7,26E-17;5,42E-19;3,41E-12;8,70E-10;2,23E-10;2,14E-11;1,30E-09;2,84E-12;9,80E-11;1,69E-11;1,56E-10;0,43541;0,031475;0,000084151;6,79E-06;2,86E-06;0,00017777;6,10E-07;0,00083837;2,34E-06;3,04E-35;0,0011713;0,000078723;1,10E-05;1,37E-07;2,67E-09;7,27E-09;6,53E-07;3,64E-10;1,43E-06
0,4;8,09E-10;1,16E-14;6,08E-22;4,02E-28;0,00086;0,0078926;0,0020506;0,000036213;1,03E-06;1,20E-06;0,00005152;1,12E-07;0,00016673;0,34691;0,000035645;0,000031827;7,58E-09;1,63E-15;8,94E-06;0,000013969;3,33E-11;0,000055588;1,19E-06;0,000029796;1,17E-08;4,85E-10;3,09E-12;0,0017191;1,74E-10;2,53E-14;2,63E-10;0,00090806;0,000075217;6,29E-09;1,79E-09;2,28E-06;0,036992;0,00001687;0,015233;0,000085065;0,000027884;3,39E-06;0,00019448;0,000009999;0,00062073;4,55E-24;9,43E-09;7,36E-17;5,32E-19;3,34E-12;9,75E-10;2,87E-10;3,14E-11;1,31E-09;2,83E-12;9,64E-11;1,68E-11;1,55E-10;0,43117;0,035715;0,000085328;6,85E-06;2,88E-06;0,00017699;6,17E-07;0,00083993;2,38E-06;3,13E-35;0,0011889;0,000077387;1,24E-05;1,38E-07;2,67E-09;7,25E-09;6,43E-07;3,64E-10;1,42E-06
0,45;8,21E-10;1,18E-14;6,14E-22;4,05E-28;0,00086;0,0076983;0,0022488;0,000036076;1,02E-06;1,18E-06;0,000050351;1,11E-07;0,00016421;0,39123;0,000036569;0,000032372;7,45E-09;1,68E-15;9,08E-06;0,000013797;3,45E-11;0,000055513;1,21E-06;0,000029776;1,18E-08;4,91E-10;3,12E-12;0,0017278;1,74E-10;2,57E-14;2,61E-10;0,00090714;0,000084747;6,40E-09;1,83E-09;2,30E-06;0,035715;0,000016035;0,016535;0,000083883;0,000027299;3,31E-06;0,00018813;9,81E-06;0,00060514;4,81E-24;9,25E-09;7,44E-17;5,22E-19;3,26E-12;1,08E-09;3,56E-10;4,39E-11;1,31E-09;2,81E-12;9,47E-11;1,68E-11;1,53E-10;0,42699;0,039891;0,000086428;6,90E-06;2,90E-06;0,00017617;6,22E-07;0,00084108;2,43E-06;3,21E-35;0,0012058;0,000076097;1,37E-05;1,39E-07;2,66E-09;7,22E-09;6,34E-07;3,63E-10;1,41E-06
0,5;8,31E-10;1,19E-14;6,19E-22;4,08E-28;0,00086;0,0075135;0,0024373;0,000035929;1,01E-06;1,17E-06;0,000049234;1,10E-07;0,00016177;0,4357;0,000037471;0,000032897;7,33E-09;1,73E-15;9,22E-06;0,000013633;3,58E-11;0,00005544;1,23E-06;0,000029756;1,20E-08;4,97E-10;3,15E-12;0,001736;1,74E-10;2,60E-14;2,59E-10;0,00090618;0,000094295;6,49E-09;1,86E-09;2,32E-06;0,034525;0,000015266;0,01775;0,000082743;0,00002674;3,24E-06;0,0001822;9,63E-06;0,00059044;5,05E-24;9,06E-09;7,50E-17;5,11E-19;3,19E-12;1,17E-09;4,32E-10;5,92E-11;1,31E-09;2,79E-12;9,30E-11;1,67E-11;1,51E-10;0,42288;0,044004;0,000087457;6,94E-06;2,92E-06;0,00017533;6,28E-07;0,00084186;2,48E-06;3,28E-35;0,0012222;0,000074851;1,50E-05;1,39E-07;2,65E-09;7,19E-09;6,25E-07;3,63E-10;1,40E-06
0,55;8,42E-10;1,20E-14;6,24E-22;4,10E-28;0,00086;0,0073375;0,0026169;0,000035774;1,00E-06;1,16E-06;0,000048166;1,09E-07;0,0001594;0,48032;0,000038353;0,000033403;7,21E-09;1,77E-15;9,36E-06;0,000013478;3,70E-11;0,000055369;1,25E-06;0,000029737;1,21E-08;5,03E-10;3,18E-12;0,0017438;1,74E-10;2,64E-14;2,58E-10;0,0009052;0,00010386;6,59E-09;1,89E-09;2,35E-06;0,033411;0,000014555;0,018886;0,000081643;0,000026205;3,17E-06;0,00017664;9,46E-06;0,00057655;5,29E-24;8,88E-09;7,53E-17;4,99E-19;3,12E-12;1,26E-09;5,13E-10;7,74E-11;1,31E-09;2,77E-12;9,13E-11;1,66E-11;1,50E-10;0,41883;0,048054;0,000088419;6,98E-06;2,93E-06;0,00017446;6,33E-07;0,0008423;2,52E-06;3,35E-35;0,001238;0,000073646;1,62E-05;1,40E-07;2,64E-09;7,16E-09;6,16E-07;3,62E-10;1,39E-06
