pH;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnBr+;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnF+;MnHCO3+;MnOH+;MnSO4 (aq)
1;4,56E-53;9,63E-09;1,39E-38;3,10E-26;3,47E-12;1,40E-09;5,69E-10;8,68E-11;7,37E-22;6,30E-14;9,75E-16;9,75E-19;6,09E-10
2;4,33E-49;9,08E-09;1,18E-35;2,77E-25;3,18E-12;1,29E-09;5,26E-10;7,95E-11;6,77E-20;4,88E-13;8,89E-15;9,02E-18;1,33E-09
3;4,26E-45;8,92E-09;1,14E-32;2,68E-24;3,12E-12;1,27E-09;5,17E-10;7,81E-11;6,64E-18;1,92E-12;8,71E-14;8,86E-17;1,51E-09
4;4,25E-41;8,91E-09;1,13E-29;2,67E-23;3,12E-12;1,26E-09;5,16E-10;7,79E-11;6,57E-16;2,74E-12;8,63E-13;8,84E-16;1,53E-09
5;4,24E-37;8,90E-09;1,13E-26;2,67E-22;3,11E-12;1,26E-09;5,16E-10;7,79E-11;6,11E-14;2,86E-12;8,02E-12;8,83E-15;1,53E-09
6;4,23E-33;8,87E-09;1,13E-23;2,65E-21;3,10E-12;1,26E-09;5,14E-10;7,76E-11;3,59E-12;2,87E-12;4,72E-11;8,80E-14;1,53E-09
7;4,19E-29;8,79E-09;1,10E-20;2,60E-20;3,08E-12;1,25E-09;5,09E-10;7,70E-11;6,96E-11;2,84E-12;9,13E-11;8,72E-13;1,51E-09
8;3,97E-25;8,33E-09;9,93E-18;2,34E-19;2,92E-12;1,18E-09;4,83E-10;7,30E-11;6,92E-10;2,70E-12;9,08E-11;8,27E-12;1,44E-09
9;3,00E-21;6,30E-09;5,67E-15;1,33E-18;2,20E-12;8,94E-10;3,65E-10;5,52E-11;3,49E-09;2,04E-12;4,58E-11;6,25E-11;1,09E-09
10;2,13E-17;4,47E-09;2,85E-12;6,71E-18;1,56E-12;6,35E-10;2,59E-10;3,92E-11;5,67E-09;1,46E-12;7,44E-12;4,43E-10;7,74E-10
11;1,27E-13;2,65E-09;1,01E-09;2,37E-17;9,28E-13;3,78E-10;1,55E-10;2,34E-11;3,98E-09;8,90E-13;5,22E-13;2,63E-09;4,66E-10
12;8,84E-11;1,85E-10;4,89E-09;1,16E-18;6,47E-14;2,67E-11;1,11E-11;1,70E-12;3,36E-10;7,26E-14;4,40E-15;1,84E-09;3,53E-11
