pH;BF(OH)3-;BF2(OH)2-;BF3OHF-;BF4-;Br-1;Ca+2;CaCl+;CaCO3 (aq);CaF+;CaH2BO3+;CaHCO3+;CaOH+;CaSO4 (aq);Cl-1;CO3-2;F-1;H+1;H10(BO3)4-2;H2BO3-;H2CO3* (aq);H2SiO4-2;H3BO3;H3SiO4-;H4SiO4;H4SiO4SO4-2;H5(BO3)2-;H8(BO3)3-;HCO3-;HF (aq);HF2-;HSO4-;K+1;KCl (aq);KF (aq);KOH (aq);KSO4-;Mg+2;Mg2CO3+2;MgCl+;MgCO3 (aq);MgF+;MgH2BO3+;MgHCO3+;MgOH+;MgSO4 (aq);Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnBr+;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnF+;MnHCO3+;MnOH+;MnSO4 (aq);Na+1;NaCl (aq);NaCO3-;NaF (aq);NaH2BO3 (aq);NaHCO3 (aq);NaOH (aq);NaSO4-;OH-;SiF6-2;SO4-2;Sr+2;SrCl+;SrCO3 (aq);SrF+;SrH2BO3+;SrHCO3+;SrOH+;SrSO4 (aq)
0;2,67E-12;1,72E-11;4,04E-13;1,20E-13;0,00086001;0,0065946;0,00349;2,47E-19;2,90E-09;1,12E-14;6,45E-11;6,99E-16;0,00011563;0,47041;1,47E-19;7,11E-08;1,2224;1,62E-31;6,68E-14;0,002416;8,24E-28;7,20E-05;7,15E-15;3,10E-05;5,82E-09;5,34E-18;5,02E-20;1,71E-09;0,000067438;2,49E-11;2,67E-02;0,0090877;0,001098;1,51E-10;9,60E-17;1,44E-05;0,028716;9,45E-20;2,41E-02;5,39E-19;7,27E-08;2,95E-14;2,26E-10;5,80E-14;4,00E-04;4,11E-57;9,25E-09;2,41E-41;2,55E-27;4,92E-12;1,95E-09;8,35E-10;1,41E-10;1,05E-23;9,31E-15;1,42E-16;1,23E-19;1,26E-10;4,17E-01;5,04E-02;5,11E-19;1,59E-08;2,24E-14;1,84E-10;3,19E-15;0,00051153;1,19E-14;6,15E-18;4,98E-04;6,86E-05;2,24E-05;9,99E-22;7,93E-12;7,21E-17;8,54E-13;2,41E-18;1,05E-06
1;2,26E-11;1,25E-10;2,51E-12;6,38E-13;0,00086;0,00705;0,0025752;1,79E-17;2,01E-08;7,94E-14;4,56E-10;5,67E-15;0,00057475;0,47938;1,92E-17;6,82E-07;0,13475;1,47E-29;6,51E-13;0,002416;1,08E-25;7,20E-05;6,97E-14;3,10E-05;4,61E-08;4,61E-17;3,84E-19;1,67E-08;0,000066223;2,08E-10;1,79E-02;0,0090742;0,0010387;1,35E-09;9,98E-16;8,71E-05;0,032366;7,20E-18;1,87E-02;4,11E-17;5,32E-07;2,20E-13;1,69E-09;4,96E-13;2,10E-03;4,56E-53;9,63E-09;1,39E-38;3,10E-26;3,47E-12;1,40E-09;5,69E-10;8,68E-11;7,37E-22;6,30E-14;9,75E-16;9,75E-19;6,09E-10;4,17E-01;4,77E-02;4,52E-17;1,42E-07;2,03E-13;1,67E-09;3,32E-14;0,0031088;1,33E-13;3,25E-16;4,47E-03;7,10E-05;1,60E-05;7,00E-20;5,33E-11;4,93E-16;5,84E-12;1,89E-17;5,04E-06
2;1,89E-10;8,72E-10;1,47E-11;3,12E-12;0,00086001;0,0066014;0,0023575;1,63E-15;1,55E-07;7,20E-13;4,13E-09;5,21E-14;0,0012415;0,48106;1,94E-15;5,75E-06;0,013563;1,43E-27;6,47E-12;0,0024158;1,09E-23;7,20E-05;6,91E-13;3,09E-05;1,09E-07;4,52E-16;3,71E-18;1,66E-07;0,000056299;1,47E-09;4,20E-03;0,0089684;0,0010306;1,12E-08;9,95E-15;2,01E-04;3,10E-02;6,35E-16;1,76E-02;3,84E-15;4,19E-06;2,04E-12;1,56E-08;4,67E-12;4,63E-03;4,33E-49;9,08E-09;1,18E-35;2,77E-25;3,18E-12;1,29E-09;5,26E-10;7,95E-11;6,77E-20;4,88E-13;8,89E-15;9,02E-18;1,33E-09;4,13E-01;4,75E-02;4,42E-15;0,000001187;2,00E-12;1,64E-08;3,32E-13;0,0071962;1,34E-12;1,14E-14;1,07E-02;6,65E-05;1,46E-05;6,39E-18;4,10E-10;4,47E-15;5,29E-11;1,74E-16;0,000010889
3;7,55E-10;1,40E-09;9,43E-12;8,04E-13;0,00086;0,0064785;0,0023104;1,60E-13;6,08E-07;7,04E-12;4,04E-08;5,11E-13;0,0014105;0,48143;1,94E-13;2,31E-05;0,001357;1,43E-25;6,46E-11;0,002414;1,09E-21;7,20E-05;6,90E-12;3,09E-05;1,26E-07;4,51E-15;3,70E-17;1,66E-06;0,000022586;2,36E-09;4,87E-04;0,0089394;0,0010282;4,49E-08;9,93E-14;2,32E-04;3,06E-02;6,16E-14;1,73E-02;3,78E-13;0,000016534;2,00E-11;1,54E-07;4,60E-11;5,29E-03;4,26E-45;8,92E-09;1,14E-32;2,68E-24;3,12E-12;1,27E-09;5,17E-10;7,81E-11;6,64E-18;1,92E-12;8,71E-14;8,86E-17;1,51E-09;4,12E-01;4,74E-02;4,40E-13;4,75E-06;1,99E-11;1,63E-07;3,32E-12;0,0083173;1,34E-11;4,71E-15;1,24E-02;6,53E-05;1,44E-05;6,25E-16;1,61E-09;4,37E-14;5,18E-10;1,70E-15;0,000012377
4;1,08E-09;2,87E-10;2,76E-13;3,37E-15;0,00086;0,0064638;0,0023049;1,58E-11;8,69E-07;7,02E-11;4,00E-07;5,10E-12;0,00143;0,48148;1,93E-11;3,30E-05;0,00013571;1,43E-23;6,46E-10;0,002396;1,09E-19;7,20E-05;6,90E-11;3,09E-05;1,28E-07;4,51E-14;3,70E-16;0,000016468;3,23E-06;4,84E-10;4,95E-05;0,008936;0,0010279;6,43E-08;9,92E-13;2,36E-04;3,05E-02;6,09E-12;1,73E-02;3,74E-11;0,000023619;2,00E-10;1,52E-06;4,59E-10;5,37E-03;4,25E-41;8,91E-09;1,13E-29;2,67E-23;3,12E-12;1,26E-09;5,16E-10;7,79E-11;6,57E-16;2,74E-12;8,63E-13;8,84E-16;1,53E-09;4,12E-01;4,74E-02;4,37E-11;6,79E-06;1,99E-10;1,62E-06;3,32E-11;0,0084499;1,34E-10;4,04E-18;1,27E-02;6,51E-05;1,43E-05;6,19E-14;2,30E-09;4,36E-13;5,13E-09;1,70E-14;0,000012549
5;1,13E-09;3,13E-11;3,16E-15;4,03E-18;0,00086;0,0064601;0,0023036;1,47E-09;9,07E-07;7,02E-10;3,72E-06;5,09E-11;0,0014317;0,48149;1,80E-09;3,45E-05;0,000013571;1,42E-21;6,46E-09;0,0022297;1,09E-17;7,20E-05;6,90E-10;3,09E-05;1,29E-07;4,51E-13;3,70E-15;0,00015325;3,38E-07;5,29E-11;4,96E-06;0,0089356;0,0010279;6,72E-08;9,92E-12;2,36E-04;3,05E-02;5,66E-10;1,73E-02;3,48E-09;0,000024676;2,00E-09;1,41E-05;4,59E-09;5,37E-03;4,24E-37;8,90E-09;1,13E-26;2,67E-22;3,11E-12;1,26E-09;5,16E-10;7,79E-11;6,11E-14;2,86E-12;8,02E-12;8,83E-15;1,53E-09;4,12E-01;4,74E-02;4,06E-09;0,000007099;1,99E-09;0,000015089;3,32E-10;0,0084639;1,34E-09;5,27E-22;1,27E-02;6,51E-05;1,43E-05;5,76E-12;2,40E-09;4,36E-12;4,77E-08;1,70E-13;0,000012562
6;1,13E-09;3,16E-12;3,20E-17;4,10E-21;0,00086;0,0064477;0,0022996;8,66E-08;9,10E-07;7,00E-09;2,19E-05;5,08E-10;0,0014299;0,48152;1,06E-07;3,47E-05;1,36E-06;1,42E-19;6,45E-08;0,0013161;1,09E-15;7,19E-05;6,90E-09;3,09E-05;1,29E-07;4,50E-12;3,68E-14;0,00090459;3,40E-08;5,34E-12;4,96E-07;0,0089354;0,001028;6,75E-08;9,92E-11;2,37E-04;3,05E-02;3,33E-08;1,72E-02;2,05E-07;0,000024767;1,99E-08;8,34E-05;4,58E-08;5,37E-03;4,23E-33;8,87E-09;1,13E-23;2,65E-21;3,10E-12;1,26E-09;5,14E-10;7,76E-11;3,59E-12;2,87E-12;4,72E-11;8,80E-14;1,53E-09;4,12E-01;4,74E-02;2,40E-07;7,13E-06;1,99E-08;0,000089049;3,31E-09;0,0084677;1,34E-08;5,43E-26;1,27E-02;6,49E-05;1,43E-05;3,39E-10;2,41E-09;4,34E-11;2,81E-07;1,69E-12;0,000012537
7;1,12E-09;3,12E-13;3,17E-19;4,07E-24;0,00086;0,0064326;0,0022947;1,69E-06;9,09E-07;6,89E-08;4,27E-05;5,07E-09;0,0014274;0,48156;2,07E-06;3,47E-05;1,36E-07;1,34E-17;6,37E-07;0,00025697;1,09E-13;7,09E-05;6,88E-08;3,08E-05;1,28E-07;4,38E-11;3,53E-13;0,0017663;3,40E-09;5,35E-13;4,96E-08;0,0089352;0,001028;6,76E-08;9,92E-10;2,37E-04;3,04E-02;6,49E-07;1,72E-02;4,00E-06;0,000024755;1,96E-07;1,63E-04;4,57E-07;5,36E-03;4,19E-29;8,79E-09;1,10E-20;2,60E-20;3,08E-12;1,25E-09;5,09E-10;7,70E-11;6,96E-11;2,84E-12;9,13E-11;8,72E-13;1,51E-09;4,12E-01;4,74E-02;4,68E-06;7,14E-06;1,96E-07;0,00017384;3,31E-08;0,0084707;1,34E-07;5,46E-30;1,27E-02;6,47E-05;1,42E-05;6,60E-09;2,41E-09;4,27E-10;5,47E-07;1,69E-11;0,000012506
8;9,85E-10;2,75E-14;2,79E-21;3,58E-27;0,00086;0,0064204;0,0022905;1,77E-05;9,08E-07;6,04E-07;4,47E-05;5,06E-08;0,0014252;0,48159;2,17E-05;3,47E-05;1,36E-08;8,01E-16;5,60E-06;0,000026968;1,06E-11;6,23E-05;6,75E-07;3,02E-05;1,26E-07;3,38E-10;2,40E-12;0,0018537;3,40E-10;5,36E-14;4,96E-09;0,0089351;0,0010281;6,76E-08;9,92E-09;2,37E-04;3,04E-02;6,79E-06;1,72E-02;4,19E-05;0,000024737;1,72E-06;1,70E-04;4,57E-06;5,36E-03;3,97E-25;8,33E-09;9,93E-18;2,34E-19;2,92E-12;1,18E-09;4,83E-10;7,30E-11;6,92E-10;2,70E-12;9,08E-11;8,27E-12;1,44E-09;4,12E-01;4,74E-02;4,91E-05;7,14E-06;1,73E-06;0,00018241;3,31E-07;0,0084729;1,34E-06;5,37E-34;1,27E-02;6,46E-05;1,42E-05;6,92E-08;2,40E-09;3,75E-09;5,73E-07;1,69E-10;0,000012497
8,2;9,13E-10;1,61E-14;1,03E-21;8,35E-28;0,00086;0,0064148;0,0022885;2,72E-05;9,07E-07;8,87E-07;4,34E-05;8,02E-08;0,0014242;0,4816;3,34E-05;3,47E-05;8,56E-09;1,49E-15;8,23E-06;1,65E-05;2,64E-11;5,78E-05;1,06E-06;2,98E-05;1,24E-07;4,61E-10;3,04E-12;0,0018014;2,15E-10;3,38E-14;3,13E-09;0,008935;0,0010281;6,77E-08;1,57E-08;2,37E-04;3,04E-02;1,04E-05;1,72E-02;6,45E-05;0,000024729;2,53E-06;1,66E-04;7,24E-06;5,36E-03;2,43E-24;8,08E-09;3,72E-17;3,49E-19;2,83E-12;1,15E-09;4,69E-10;7,08E-11;1,03E-09;2,62E-12;8,57E-11;1,27E-11;1,39E-09;4,12E-01;4,74E-02;7,56E-05;0,000007144;2,54E-06;0,00017726;5,25E-07;0,0084738;2,12E-06;8,42E-35;1,27E-02;6,46E-05;1,42E-05;1,07E-07;2,40E-09;5,51E-09;5,57E-07;2,67E-10;0,000012496
