conc Cl;pH;Cl-1;H+1;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+;Na+1;NaCl (aq);NaOH (aq);OH-
0,1;6,966;0,076021;1,08E-07;1,34E-25;0,000036019;1,31E-12;3,03E-13;2,74E-06;3,70E-07;7,75E-09;8,40E-09;0,076025;2,90E-03;8,89E-09;9,29E-08
0,2;6,96;0,14235;1,10E-07;1,02E-25;0,000029248;8,17E-13;1,96E-13;4,16E-06;1,05E-06;4,13E-08;6,70E-09;0,14236;1,02E-02;1,63E-08;9,12E-08
0,3;6,953;0,20579;1,11E-07;8,48E-26;0,000026396;6,28E-13;1,57E-13;5,43E-06;1,99E-06;1,13E-07;5,93E-09;0,2058;2,12E-02;2,32E-08;8,95E-08
0,4;6,946;0,26797;1,13E-07;7,42E-26;0,000024922;5,29E-13;1,37E-13;6,68E-06;3,18E-06;2,35E-07;5,50E-09;0,26798;3,60E-02;2,96E-08;8,78E-08
0,5;6,94;0,32959;1,15E-07;6,65E-26;0,000024082;4,67E-13;1,25E-13;7,94E-06;4,65E-06;4,22E-07;5,21E-09;0,3296;5,44E-02;3,57E-08;8,61E-08
0,6;6,933;0,39099;1,17E-07;6,04E-26;0,000023555;4,22E-13;1,18E-13;9,21E-06;6,40E-06;6,90E-07;5,00E-09;0,39101;7,66E-02;4,16E-08;8,46E-08
0,7;6,927;0,45234;1,18E-07;5,53E-26;0,000023178;3,88E-13;1,12E-13;1,05E-05;8,43E-06;1,05E-06;4,84E-09;0,45237;1,03E-01;4,73E-08;8,31E-08
0,8;6,921;0,51375;1,20E-07;5,08E-26;0,000022858;3,58E-13;1,07E-13;1,17E-05;1,07E-05;1,52E-06;4,69E-09;0,51378;1,32E-01;5,28E-08;8,16E-08
0,9;6,915;0,57524;1,22E-07;4,68E-26;0,000022537;3,30E-13;1,02E-13;1,30E-05;1,33E-05;2,10E-06;4,54E-09;0,57528;1,66E-01;5,81E-08;8,02E-08
1;6,909;0,63683;1,23E-07;4,31E-26;0,000022182;3,04E-13;9,75E-14;1,41E-05;1,60E-05;2,81E-06;4,40E-09;0,63687;2,03E-01;6,33E-08;7,89E-08
