NaCl conc;Cl-1;H+1;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+;Na+1;NaCl (aq);NaOH (aq);OH-;;
0,75;0,64926;1,60E-07;1,73E-25;0,00007512;5,00E-13;1,57E-12;0,000014943;0,000008223;1,71E-06;6,40E-09;0,6493;0,1007;4,31E-08;1,11E-07;;
1;0,83211;1,61E-07;1,26E-25;0,000064659;3,98E-13;1,08E-12;0,000018458;0,000013208;3,67E-06;5,74E-09;0,83217;0,16782;5,22E-08;1,03E-07;;
1,25;1,0007;1,61E-07;8,91E-26;0,000053877;3,07E-13;6,99E-13;0,000021057;0,000018597;6,45E-06;5,07E-09;1,0008;0,24913;6,00E-08;9,59E-08;;
1,5;1,1565;1,60E-07;6,21E-26;0,000043712;2,28E-13;4,28E-13;0,000022592;0,000023799;9,89E-06;4,38E-09;1,1566;0,34339;6,66E-08;8,92E-08;;
1,75;1,3006;1,59E-07;4,28E-26;0,000034798;1,64E-13;2,53E-13;0,000023137;0,000028358;1,37E-05;3,72E-09;1,3007;0,44931;7,22E-08;8,32E-08;;
2;1,4341;1,58E-07;2,93E-26;0,000027402;1,15E-13;1,47E-13;0,000022911;0,000032065;1,76E-05;3,12E-09;1,4343;0,56576;7,71E-08;7,78E-08;;
2,25;1,5583;1,57E-07;2,01E-26;0,000021491;8,03E-14;8,46E-14;0,000022165;0,000034902;2,14E-05;2,60E-09;1,5584;0,69163;8,13E-08;7,29E-08;;
2,5;1,674;1,56E-07;1,39E-26;0,000016873;5,57E-14;4,90E-14;0,000021115;0,000036961;2,51E-05;2,17E-09;1,6741;0,82596;8,49E-08;6,85E-08;;
2,75;1,7821;1,54E-07;9,71E-27;0,000013308;3,87E-14;2,87E-14;0,00001992;0,00003838;2,84E-05;1,81E-09;1,7823;0,96783;8,80E-08;6,45E-08;;
3;1,8834;1,53E-07;6,85E-27;0,000010568;2,72E-14;1,71E-14;0,000018685;0,000039296;3,15E-05;1,52E-09;1,8836;1,1165;9,07E-08;6,09E-08;;
3,25;1,9785;1,52E-07;4,90E-27;0,00000846;1,92E-14;1,04E-14;0,000017474;0,000039828;3,42E-05;1,28E-09;1,9787;1,2711;9,31E-08;5,77E-08;;
3,5;2,0684;1,51E-07;3,54E-27;6,83E-06;1,38E-14;6,41E-15;0,000016324;0,000040083;3,68E-05;1,08E-09;2,0686;1,4315;9,51E-08;5,47E-08;;
3,75;2,1531;1,50E-07;2,59E-27;5,56E-06;1,00E-14;4,04E-15;0,00001525;0,000040121;3,91E-05;9,25E-10;2,1533;1,5966;9,69E-08;5,20E-08;;
4;2,2333;1,49E-07;1,92E-27;4,57E-06;7,36E-15;2,60E-15;0,000014258;0,000040007;4,12E-05;7,94E-10;2,2335;1,7663;9,84E-08;4,95E-08;;
4,25;2,3094;1,48E-07;1,44E-27;3,79E-06;5,48E-15;1,70E-15;0,000013349;0,000039783;4,31E-05;6,86E-10;2,3096;1,94;9,97E-08;4,72E-08;;
4,5;2,3821;1,47E-07;1,09E-27;3,16E-06;4,12E-15;1,14E-15;0,000012518;0,000039486;4,48E-05;5,96E-10;2,3823;2,1179;1,01E-07;4,52E-08;;
4,75;2,4512;1,46E-07;8,39E-28;2,66E-06;3,14E-15;7,70E-16;0,00001176;0,000039131;4,65E-05;5,21E-10;2,4515;2,2989;1,02E-07;4,32E-08;;
5;2,5169;1,45E-07;6,49E-28;2,26E-06;2,42E-15;5,30E-16;0,000011068;0,000038733;4,79E-05;4,58E-10;2,5172;2,4826;1,03E-07;4,14E-08;;
