pH;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+
1;4,82E-53;1,01E-08;1,43E-38;3,45E-26;1,47E-09;6,23E-10;9,68E-11;9,93E-19
2;4,87E-49;1,01E-08;1,40E-35;3,49E-25;1,45E-09;6,18E-10;9,46E-11;9,86E-18
3;4,87E-45;1,01E-08;1,40E-32;3,50E-24;1,45E-09;6,18E-10;9,44E-11;9,85E-17
4;4,87E-41;1,01E-08;1,40E-29;3,50E-23;1,45E-09;6,18E-10;9,44E-11;9,85E-16
5;4,87E-37;1,01E-08;1,40E-26;3,50E-22;1,45E-09;6,18E-10;9,44E-11;9,85E-15
6;4,87E-33;1,01E-08;1,40E-23;3,50E-21;1,45E-09;6,18E-10;9,44E-11;9,85E-14
7;4,87E-29;1,01E-08;1,40E-20;3,50E-20;1,45E-09;6,18E-10;9,44E-11;9,85E-13
8;4,87E-25;1,01E-08;1,40E-17;3,49E-19;1,45E-09;6,17E-10;9,43E-11;9,84E-12
9;4,83E-21;1,01E-08;1,38E-14;3,44E-18;1,44E-09;6,13E-10;9,37E-11;9,77E-11
10;4,50E-17;9,37E-09;1,20E-11;2,98E-17;1,34E-09;5,71E-10;8,73E-11;9,10E-10
11;1,83E-13;3,81E-09;1,98E-09;4,95E-17;5,44E-10;2,32E-10;3,55E-11;3,71E-09
12;9,24E-11;1,92E-10;5,05E-09;1,26E-18;2,75E-11;1,17E-11;1,80E-12;1,87E-09
