pH;Cl-1;H+1;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+;Na+1;NaCl (aq);NaOH (aq);OH-
1;0,36681;0,1;1,403E-53;2,9403E-09;1,049E-38;2,1451E-27;1,0785E-09;7,0352E-10;7,1075E-11;7,2956E-19;0,30696;0,056432;3,8173E-14;9,878E-14
2;0,36516;1,00E-02;1,39E-49;2,90E-09;1,03E-35;2,09E-26;1,06E-09;6,88E-10;6,92E-11;7,21E-18;3,06E-01;5,59E-02;3,81E-13;9,89E-13
3;0,36503;1,00E-03;1,39E-45;2,90E-09;1,02E-32;2,09E-25;1,06E-09;6,87E-10;6,91E-11;7,20E-17;3,05E-01;5,59E-02;3,80E-12;9,90E-12
4;0,36502;1,00E-04;1,39E-41;2,90E-09;1,02E-29;2,09E-24;1,06E-09;6,87E-10;6,90E-11;7,20E-16;3,05E-01;5,59E-02;3,80E-11;9,90E-11
5;0,36502;1,00E-05;1,39E-37;2,90E-09;1,02E-26;2,09E-23;1,06E-09;6,87E-10;6,90E-11;7,20E-15;3,05E-01;5,59E-02;3,80E-10;9,90E-10
6;0,36502;1,00E-06;1,39E-33;2,90E-09;1,02E-23;2,09E-22;1,06E-09;6,87E-10;6,90E-11;7,20E-14;3,05E-01;5,59E-02;3,80E-09;9,90E-09
7;0,36502;1,00E-07;1,39E-29;2,90E-09;1,02E-20;2,09E-21;1,06E-09;6,87E-10;6,90E-11;7,20E-13;3,05E-01;5,59E-02;3,80E-08;9,90E-08
8;0,36502;1,00E-08;1,39E-25;2,90E-09;1,02E-17;2,08E-20;1,06E-09;6,86E-10;6,90E-11;7,20E-12;3,05E-01;5,59E-02;3,80E-07;9,90E-07
9;0,36502;1,00E-09;1,38E-21;2,88E-09;1,01E-14;2,05E-19;1,05E-09;6,81E-10;6,85E-11;7,15E-11;3,05E-01;5,59E-02;3,80E-06;9,90E-06
10;0,36502;1,00E-10;1,29E-17;2,68E-09;8,75E-12;1,78E-18;9,78E-10;6,35E-10;6,38E-11;6,66E-10;3,05E-01;5,59E-02;3,80E-05;9,90E-05
11;0,36505;1,00E-11;5,24E-14;1,09E-09;1,45E-09;2,96E-18;3,98E-10;2,58E-10;2,60E-11;2,71E-09;3,05E-01;5,58E-02;3,80E-04;9,90E-04
12;0,36537;1,00E-12;2,64E-11;5,50E-11;3,69E-09;7,53E-20;2,01E-11;1,31E-11;1,31E-12;1,37E-09;3,03E-01;5,55E-02;3,78E-03;9,90E-03
