pH;Cl-1;H+1;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+;Na+1;NaCl (aq);NaOH (aq);OH-
1;0,49951;0,13618;4,8249E-53;1,0111E-08;1,4285E-38;3,4546E-26;1,4687E-09;6,2314E-10;9,6788E-11;9,9349E-19;0,41801;0,049985;3,3812E-14;1,3452E-13
2;0,49926;1,37E-02;4,87E-49;1,01E-08;1,40E-35;3,49E-25;1,45E-09;6,18E-10;9,46E-11;9,86E-18;4,18E-01;5,02E-02;3,42E-13;1,35E-12
3;0,49923;1,37E-03;4,87E-45;1,01E-08;1,40E-32;3,50E-24;1,45E-09;6,18E-10;9,44E-11;9,85E-17;4,18E-01;5,03E-02;3,42E-12;1,35E-11
4;0,49922;1,37E-04;4,87E-41;1,01E-08;1,40E-29;3,50E-23;1,45E-09;6,18E-10;9,44E-11;9,85E-16;4,18E-01;5,03E-02;3,42E-11;1,35E-10
5;0,49922;1,37E-05;4,87E-37;1,01E-08;1,40E-26;3,50E-22;1,45E-09;6,18E-10;9,44E-11;9,85E-15;4,18E-01;5,03E-02;3,42E-10;1,35E-09
6;0,49922;1,37E-06;4,87E-33;1,01E-08;1,40E-23;3,50E-21;1,45E-09;6,18E-10;9,44E-11;9,85E-14;4,18E-01;5,03E-02;3,42E-09;1,35E-08
7;0,49922;1,37E-07;4,87E-29;1,01E-08;1,40E-20;3,50E-20;1,45E-09;6,18E-10;9,44E-11;9,85E-13;4,18E-01;5,03E-02;3,42E-08;1,35E-07
8;0,49922;1,37E-08;4,87E-25;1,01E-08;1,40E-17;3,49E-19;1,45E-09;6,17E-10;9,43E-11;9,84E-12;4,18E-01;5,03E-02;3,42E-07;1,35E-06
9;0,49922;1,37E-09;4,83E-21;1,01E-08;1,38E-14;3,44E-18;1,44E-09;6,13E-10;9,37E-11;9,77E-11;4,18E-01;5,03E-02;3,42E-06;1,35E-05
10;0,49923;1,37E-10;4,50E-17;9,37E-09;1,20E-11;2,98E-17;1,34E-09;5,71E-10;8,73E-11;9,10E-10;4,18E-01;5,03E-02;3,42E-05;1,35E-04
11;0,49926;1,37E-11;1,83E-13;3,81E-09;1,98E-09;4,95E-17;5,44E-10;2,32E-10;3,55E-11;3,71E-09;4,17E-01;5,02E-02;3,42E-04;1,35E-03
12;0,49959;1,37E-12;9,24E-11;1,92E-10;5,05E-09;1,26E-18;2,75E-11;1,17E-11;1,80E-12;1,87E-09;4,15E-01;4,99E-02;3,40E-03;1,35E-02
