CF;total Mn conc;total Cl conc;pH;Mn+2;MnBr+;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnF+;MnHCO3+;MnOH+;MnSO4 (aq)
1;1,23E-08;0,5495;8,296;7,9322E-09;2,777E-12;1,1266E-09;4,5994E-10;6,9502E-11;1,2412E-09;2,5708E-12;8,241E-11;1,5571E-11;1,3672E-09
1,05;1,29E-08;0,576975;8,286;8,1921E-09;3,0413E-12;1,2274E-09;5,2309E-10;8,302E-11;1,3136E-09;2,7627E-12;8,9562E-11;1,5823E-11;1,4637E-09
1,1;1,35E-08;0,60445;8,276;8,4393E-09;3,3174E-12;1,3319E-09;5,9148E-10;9,8368E-11;1,3864E-09;2,9581E-12;9,6952E-11;1,6051E-11;1,5621E-09
1,15;1,41E-08;0,631925;8,267;8,6744E-09;3,6055E-12;1,4401E-09;6,6535E-10;1,1571E-10;1,4595E-09;3,1571E-12;1,0458E-10;1,6267E-11;1,6624E-09
1,2;1,48E-08;0,6594;8,257;8,896E-09;3,9044E-12;1,5515E-09;7,4462E-10;1,3515E-10;1,5328E-09;3,3588E-12;1,1241E-10;1,647E-11;1,764E-09
1,25;1,54E-08;0,686875;8,249;9,1047E-09;4,2144E-12;1,6661E-09;8,2951E-10;1,5685E-10;1,606E-09;3,5632E-12;1,2045E-10;1,666E-11;1,867E-09
1,3;1,60E-08;0,71435;8,24;9,3009E-09;4,5351E-12;1,7838E-09;9,2012E-10;1,8096E-10;1,6793E-09;3,77E-12;1,2868E-10;1,6838E-11;1,9711E-09
1,35;1,66E-08;0,741825;8,232;9,4846E-09;4,8664E-12;1,9045E-09;1,0165E-09;2,0762E-10;1,7526E-09;3,9788E-12;1,3709E-10;1,7005E-11;2,0763E-09
1,4;1,72E-08;0,7693;8,224;9,6561E-09;5,2079E-12;2,0279E-09;1,1188E-09;2,3699E-10;1,8257E-09;4,1894E-12;1,4568E-10;1,716E-11;2,1824E-09
1,45;1,78E-08;0,796775;8,217;9,8154E-09;5,5593E-12;2,154E-09;1,2271E-09;2,692E-10;1,8986E-09;4,4016E-12;1,5442E-10;1,7304E-11;2,2892E-09
1,5;1,85E-08;0,82425;8,209;9,9629E-09;5,9203E-12;2,2825E-09;1,3414E-09;3,044E-10;1,9712E-09;4,615E-12;1,6331E-10;1,7437E-11;2,3966E-09
1,55;1,91E-08;0,851725;8,202;1,0099E-08;6,2905E-12;2,4133E-09;1,4617E-09;3,4273E-10;2,0435E-09;4,8294E-12;1,7233E-10;1,7561E-11;2,5044E-09
1,6;1,97E-08;0,8792;8,195;1,0223E-08;6,6695E-12;2,5463E-09;1,5881E-09;3,8434E-10;2,1154E-09;5,0445E-12;1,8148E-10;1,7673E-11;2,6125E-09
1,65;2,03E-08;0,906675;8,188;1,0336E-08;7,0571E-12;2,6811E-09;1,7206E-09;4,2936E-10;2,1869E-09;5,26E-12;1,9074E-10;1,7776E-11;2,7206E-09
1,7;2,09E-08;0,93415;8,182;1,0438E-08;7,4528E-12;2,8178E-09;1,8592E-09;4,7792E-10;2,2578E-09;5,4758E-12;2,001E-10;1,787E-11;2,8288E-09
1,75;2,15E-08;0,961625;8,175;1,053E-08;7,8561E-12;2,956E-09;2,0039E-09;5,3015E-10;2,3281E-09;5,6915E-12;2,0954E-10;1,7953E-11;2,9368E-09
1,8;2,21E-08;0,9891;8,169;1,0611E-08;8,2667E-12;3,0956E-09;2,1546E-09;5,8618E-10;2,3977E-09;5,907E-12;2,1906E-10;1,8028E-11;3,0444E-09
1,85;2,28E-08;1,016575;8,163;1,0682E-08;8,6842E-12;3,2365E-09;2,3114E-09;6,4613E-10;2,4667E-09;6,1219E-12;2,2864E-10;1,8093E-11;3,1517E-09
1,9;2,34E-08;1,04405;8,157;1,0743E-08;9,1082E-12;3,3784E-09;2,4741E-09;7,1011E-10;2,5349E-09;6,3361E-12;2,3828E-10;1,815E-11;3,2584E-09
1,95;2,40E-08;1,071525;8,152;1,0795E-08;9,5381E-12;3,5213E-09;2,6427E-09;7,7824E-10;2,6024E-09;6,5494E-12;2,4795E-10;1,8198E-11;3,3644E-09
2;2,46E-08;1,099;8,146;1,0838E-08;9,9736E-12;3,6649E-09;2,8172E-09;8,5062E-10;2,6689E-09;6,7615E-12;2,5766E-10;1,8238E-11;3,4696E-09
