DATE	TIME	FRAC_DAYS_SINCE_JAN1	FRAC_HRS_SINCE_JAN1	EPOCH_TIME	HR_12CH4	HR_12CH4_dry	H2O	12CO2	12CO2_dry	PPF_CH4_conc	PPF_H2O_conc	PPF_C2H6_conc	PPF_C2H4_conc	PPF_NH3_conc	PPF_H2S_conc
01-05-2023	11:10:01	120,4652861	2891,166866	1682939401	1,97E+00	2,00E+00	7,35E-01	4,67E+02	4,73E+02	1,97E+00	7,41E-01	1,55E-01	1,09E-02	4,72E-03	1,99E+01
01-05-2023	11:10:02	120,4653	2891,167201	1682939402	1,97E+00	2,00E+00	7,35E-01	4,67E+02	4,73E+02	1,97E+00	7,41E-01	1,55E-01	1,09E-02	4,72E-03	1,99E+01
01-05-2023	11:10:02	120,4653057	2891,167337	1682939402	1,97E+00	2,00E+00	7,35E-01	4,64E+02	4,70E+02	1,97E+00	7,41E-01	1,55E-01	1,09E-02	4,72E-03	1,99E+01
01-05-2023	11:10:03	120,4653116	2891,167478	1682939403	1,97E+00	2,00E+00	7,35E-01	4,64E+02	4,70E+02	1,97E+00	7,41E-01	1,55E-01	1,09E-02	4,72E-03	1,99E+01
01-05-2023	11:10:04	120,4653256	2891,167814	1682939404	1,98E+00	2,00E+00	7,34E-01	4,64E+02	4,70E+02	1,95E+00	7,40E-01	6,31E-01	6,83E-03	6,60E-03	1,56E+01
01-05-2023	11:10:05	120,4653396	2891,16815	1682939405	1,98E+00	2,00E+00	7,34E-01	4,64E+02	4,70E+02	1,95E+00	7,40E-01	6,31E-01	6,83E-03	6,60E-03	1,56E+01
01-05-2023	11:10:06	120,4653454	2891,168288	1682939406	1,98E+00	2,00E+00	7,34E-01	4,62E+02	4,68E+02	1,95E+00	7,40E-01	6,31E-01	6,83E-03	6,60E-03	1,56E+01
01-05-2023	11:10:06	120,465351	2891,168425	1682939406	1,98E+00	2,00E+00	7,34E-01	4,62E+02	4,68E+02	1,95E+00	7,40E-01	6,31E-01	6,83E-03	6,60E-03	1,56E+01
01-05-2023	11:10:08	120,4653651	2891,168763	1682939408	1,98E+00	2,00E+00	7,33E-01	4,62E+02	4,68E+02	1,96E+00	7,40E-01	-1,73E-02	1,01E-02	4,56E-03	1,52E+01
01-05-2023	11:10:09	120,4653791	2891,169099	1682939409	1,98E+00	2,00E+00	7,33E-01	4,62E+02	4,68E+02	1,96E+00	7,40E-01	-1,73E-02	1,01E-02	4,56E-03	1,52E+01
01-05-2023	11:10:09	120,4653849	2891,169237	1682939409	1,98E+00	2,00E+00	7,33E-01	4,60E+02	4,66E+02	1,96E+00	7,40E-01	-1,73E-02	1,01E-02	4,56E-03	1,52E+01
01-05-2023	11:10:10	120,4653906	2891,169375	1682939410	1,98E+00	2,00E+00	7,33E-01	4,60E+02	4,66E+02	1,96E+00	7,40E-01	-1,73E-02	1,01E-02	4,56E-03	1,52E+01
01-05-2023	11:10:11	120,4654047	2891,169712	1682939411	1,98E+00	2,01E+00	7,33E-01	4,60E+02	4,66E+02	1,95E+00	7,40E-01	4,78E-01	3,70E-03	5,83E-03	1,52E+01
01-05-2023	11:10:12	120,4654185	2891,170045	1682939412	1,98E+00	2,01E+00	7,33E-01	4,60E+02	4,66E+02	1,95E+00	7,40E-01	4,78E-01	3,70E-03	5,83E-03	1,52E+01
01-05-2023	11:10:13	120,4654243	2891,170183	1682939413	1,98E+00	2,01E+00	7,33E-01	4,58E+02	4,64E+02	1,95E+00	7,40E-01	4,78E-01	3,70E-03	5,83E-03	1,52E+01
01-05-2023	11:10:13	120,4654302	2891,170324	1682939413	1,98E+00	2,01E+00	7,33E-01	4,58E+02	4,64E+02	1,95E+00	7,40E-01	4,78E-01	3,70E-03	5,83E-03	1,52E+01
01-05-2023	11:10:14	120,4654443	2891,170662	1682939414	1,99E+00	2,02E+00	7,31E-01	4,58E+02	4,64E+02	1,94E+00	7,38E-01	5,56E-01	1,40E-02	5,05E-03	1,53E+01
01-05-2023	11:10:16	120,4654583	2891,170999	1682939416	1,99E+00	2,02E+00	7,31E-01	4,58E+02	4,64E+02	1,94E+00	7,38E-01	5,56E-01	1,40E-02	5,05E-03	1,53E+01
01-05-2023	11:10:16	120,4654641	2891,171138	1682939416	1,99E+00	2,02E+00	7,31E-01	4,57E+02	4,63E+02	1,94E+00	7,38E-01	5,56E-01	1,40E-02	5,05E-03	1,53E+01
01-05-2023	11:10:17	120,4654698	2891,171276	1682939417	1,99E+00	2,02E+00	7,31E-01	4,57E+02	4,63E+02	1,94E+00	7,38E-01	5,56E-01	1,40E-02	5,05E-03	1,53E+01
01-05-2023	11:10:18	120,4654838	2891,171612	1682939418	1,97E+00	1,99E+00	7,32E-01	4,57E+02	4,63E+02	1,95E+00	7,39E-01	8,03E-02	1,14E-02	3,53E-03	1,99E+01
01-05-2023	11:10:19	120,4654979	2891,17195	1682939419	1,97E+00	1,99E+00	7,32E-01	4,57E+02	4,63E+02	1,95E+00	7,39E-01	8,03E-02	1,14E-02	3,53E-03	1,99E+01
01-05-2023	11:10:20	120,4655037	2891,172089	1682939420	1,97E+00	1,99E+00	7,32E-01	4,56E+02	4,62E+02	1,95E+00	7,39E-01	8,03E-02	1,14E-02	3,53E-03	1,99E+01
01-05-2023	11:10:20	120,4655095	2891,172228	1682939420	1,97E+00	1,99E+00	7,32E-01	4,56E+02	4,62E+02	1,95E+00	7,39E-01	8,03E-02	1,14E-02	3,53E-03	1,99E+01
01-05-2023	11:10:21	120,4655234	2891,172561	1682939421	1,98E+00	2,00E+00	7,32E-01	4,56E+02	4,62E+02	1,96E+00	7,39E-01	2,59E-01	6,69E-03	4,22E-03	1,96E+01
