Wavelength nm.;s1.2;s2.2;s3.2;s4.2;s5.2;s6.2;s7.2
200;1,0383;0,9543;0,8743;0,8315;0,8461;0,7761;0,7496
200,2;1,0708;1,005;0,9338;0,8718;0,8756;0,8187;0,7808
200,4;1,1739;1,0736;1,0302;0,961;0,9659;0,9216;0,8814
200,6;1,2811;1,1649;1,103;1,0835;1,0449;1,0186;0,9846
200,8;1,3627;1,2768;1,1803;1,1981;1,1253;1,0992;1,0602
201;1,4791;1,3629;1,2828;1,2599;1,2252;1,2015;1,1565
201,2;1,5601;1,4445;1,3792;1,3338;1,3051;1,2648;1,2258
201,4;1,6091;1,5241;1,448;1,3981;1,3861;1,3213;1,2886
201,6;1,6624;1,597;1,5016;1,4371;1,4535;1,4109;1,3814
201,8;1,7093;1,6563;1,5519;1,5211;1,5064;1,4761;1,4451
202;1,7696;1,727;1,6178;1,6172;1,5706;1,5361;1,4924
202,2;1,8328;1,7925;1,697;1,6873;1,6363;1,5946;1,5398
202,4;1,8914;1,823;1,7539;1,7412;1,6846;1,6302;1,5874
202,6;1,9625;1,8567;1,8045;1,7906;1,7216;1,6721;1,6401
202,8;2,0035;1,9161;1,8754;1,8358;1,7761;1,7309;1,6898
203;2,0319;1,9868;1,9222;1,871;1,8297;1,7935;1,7209
203,2;2,097;2,0478;1,9429;1,91;1,8624;1,8419;1,746
203,4;2,1618;2,0484;1,9842;1,9544;1,9085;1,8731;1,7752
203,6;2,2042;2,0477;2,0284;1,9802;1,9382;1,9044;1,7894
203,8;2,2329;2,1061;2,0381;2,006;1,9717;1,9247;1,8105
204;2,2654;2,1455;2,067;2,0303;1,9987;1,9721;1,8225
204,2;2,2773;2,18;2,1201;2,0541;2,007;2,0175;1,8214
204,4;2,2957;2,1826;2,1688;2,1027;2,0545;2,0378;1,8213
204,6;2,321;2,2066;2,1876;2,1363;2,0848;2,0736;1,8228
204,8;2,3387;2,2632;2,1919;2,1594;2,1096;2,0903;1,8065
205;2,373;2,2748;2,2088;2,1846;2,1383;2,0896;1,7805
205,2;2,4006;2,3043;2,232;2,1956;2,1401;2,1061;1,775
205,4;2,4259;2,3237;2,2551;2,2039;2,1591;2,1441;1,7534
205,6;2,4297;2,3211;2,2611;2,2249;2,1936;2,154;1,7095
205,8;2,4118;2,3503;2,272;2,2445;2,2288;2,1548;1,6829
206;2,443;2,3748;2,2997;2,2537;2,2331;2,1724;1,65
206,2;2,5097;2,397;2,3181;2,2603;2,2328;2,1839;1,6053
206,4;2,5312;2,4104;2,3381;2,2772;2,2429;2,2216;1,5728
206,6;2,528;2,4021;2,3602;2,3171;2,2599;2,2364;1,5388
206,8;2,5411;2,4621;2,376;2,3352;2,2847;2,2245;1,5061
207;2,5727;2,4847;2,4083;2,3408;2,2856;2,2242;1,4725
207,2;2,5863;2,4743;2,4103;2,3676;2,2893;2,2289;1,4336
207,4;2,5964;2,4908;2,4137;2,3836;2,3081;2,2387;1,3879
207,6;2,6169;2,491;2,4525;2,3692;2,3383;2,2416;1,3515
207,8;2,6247;2,5107;2,4628;2,3693;2,348;2,232;1,312
208;2,6613;2,5394;2,4518;2,3826;2,3368;2,2164;1,27
208,2;2,6556;2,5462;2,4395;2,4097;2,3374;2,2081;1,2356
208,4;2,6229;2,5528;2,4485;2,4368;2,3399;2,1892;1,1986
208,6;2,6531;2,5809;2,4552;2,4209;2,3617;2,1713;1,1689
208,8;2,6964;2,5788;2,4755;2,4222;2,3809;2,1602;1,1302
209;2,6947;2,5629;2,5018;2,4442;2,3675;2,1414;1,0898
209,2;2,6825;2,5756;2,4973;2,4461;2,383;2,1108;1,0597
209,4;2,6741;2,5859;2,5048;2,4526;2,415;2,0778;1,0294
209,6;2,6799;2,5975;2,5119;2,4723;2,4126;2,0502;0,9963
209,8;2,7093;2,6037;2,525;2,4737;2,4005;2,0139;0,9626
210;2,7343;2,5964;2,5489;2,4687;2,4009;1,9601;0,9353
210,2;2,7077;2,5967;2,5613;2,4755;2,4074;1,9113;0,9101
210,4;2,7062;2,6078;2,562;2,481;2,4311;1,8763;0,8783
210,6;2,7437;2,6291;2,5481;2,4806;2,4529;1,8313;0,8454
210,8;2,7625;2,6369;2,5552;2,4889;2,4409;1,7896;0,8232
211;2,7623;2,642;2,5776;2,5115;2,4274;1,7502;0,7984
211,2;2,7638;2,664;2,5784;2,5191;2,4367;1,7079;0,7736
211,4;2,7795;2,6492;2,5831;2,5156;2,4483;1,6607;0,7465
211,6;2,7897;2,6501;2,5886;2,5314;2,4519;1,6088;0,7171
211,8;2,7666;2,6821;2,5764;2,5427;2,4428;1,5642;0,6976
212;2,7463;2,679;2,5739;2,5491;2,4351;1,5189;0,678
212,2;2,7903;2,6893;2,5884;2,5508;2,4175;1,4737;0,6563
212,4;2,8265;2,7064;2,5958;2,5478;2,3988;1,4256;0,6322
212,6;2,8208;2,7026;2,617;2,5508;2,4048;1,3839;0,6131
212,8;2,8108;2,6915;2,6239;2,543;2,3937;1,3434;0,5917
213;2,8295;2,7004;2,6158;2,5524;2,3711;1,2993;0,5714
213,2;2,8466;2,7225;2,6266;2,5687;2,3517;1,2592;0,5513
213,4;2,8139;2,7222;2,6389;2,5733;2,3386;1,2157;0,5326
213,6;2,8085;2,7161;2,6291;2,5763;2,3115;1,1786;0,5147
213,8;2,8487;2,7077;2,6271;2,5942;2,2695;1,1414;0,4969
214;2,8643;2,7141;2,6402;2,5994;2,2297;1,102;0,4805
214,2;2,8687;2,7276;2,6384;2,5825;2,1809;1,0598;0,4647
214,4;2,8611;2,7335;2,6443;2,5959;2,1367;1,0214;0,4519
214,6;2,8558;2,7213;2,6564;2,6094;2,0997;0,9883;0,437
214,8;2,8553;2,7201;2,6767;2,6134;2,054;0,9557;0,4226
215;2,8476;2,7502;2,6898;2,6242;1,9895;0,9211;0,4047
215,2;2,8587;2,7638;2,6823;2,6328;1,9154;0,8825;0,3885
215,4;2,8704;2,7742;2,6985;2,6365;1,8587;0,8522;0,3754
215,6;2,8828;2,7745;2,7142;2,6232;1,8117;0,8226;0,3638
215,8;2,9168;2,7552;2,6975;2,6129;1,7507;0,7903;0,3497
216;2,9181;2,7571;2,6911;2,6125;1,6798;0,7597;0,3356
216,2;2,8981;2,7691;2,6844;2,6044;1,6169;0,7321;0,3226
216,4;2,8918;2,7744;2,6841;2,6098;1,5684;0,7073;0,311
216,6;2,9085;2,7954;2,7041;2,6233;1,5201;0,6803;0,299
216,8;2,9283;2,8161;2,7056;2,6176;1,4613;0,652;0,2895
217;2,9238;2,7869;2,6985;2,604;1,4021;0,6239;0,2802
217,2;2,9202;2,7887;2,7018;2,5942;1,3534;0,6012;0,2694
217,4;2,9379;2,8216;2,7171;2,5723;1,3032;0,5774;0,2589
217,6;2,957;2,8228;2,7205;2,5536;1,2483;0,5562;0,2473
217,8;2,9572;2,8376;2,7187;2,5445;1,2003;0,5368;0,2405
218;2,954;2,8489;2,7395;2,5064;1,1536;0,515;0,2312
218,2;2,9449;2,8566;2,7403;2,4628;1,1021;0,4932;0,2222
218,4;2,9488;2,8399;2,7107;2,4173;1,0594;0,4761;0,2151
218,6;2,9662;2,804;2,7154;2,3573;1,0194;0,4582;0,2071
218,8;2,9702;2,8087;2,7376;2,3143;0,9786;0,438;0,1992
219;2,9599;2,846;2,7255;2,2702;0,9396;0,4206;0,1918
219,2;2,9433;2,8644;2,7133;2,2208;0,902;0,4035;0,1855
219,4;2,955;2,8587;2,7248;2,1494;0,8649;0,387;0,1808
219,6;2,975;2,8509;2,7432;2,067;0,827;0,3723;0,1737
219,8;2,9885;2,8539;2,7441;2,0015;0,7962;0,3594;0,1654
220;3,0155;2,8652;2,7469;1,9312;0,7642;0,3438;0,1598
220,2;3,0081;2,869;2,7576;1,8595;0,7281;0,3307;0,152
220,4;3,0211;2,8671;2,7476;1,7859;0,6939;0,3176;0,1469
220,6;3,0411;2,8561;2,7336;1,7189;0,6656;0,3054;0,1432
220,8;3,0203;2,8538;2,7193;1,653;0,6372;0,2933;0,1383
221;2,9972;2,8681;2,717;1,5861;0,6096;0,2818;0,1324
221,2;2,9983;2,8653;2,732;1,5197;0,5843;0,2717;0,1275
221,4;3,0173;2,8743;2,7342;1,4571;0,5596;0,2618;0,1238
221,6;3,0291;2,8887;2,7361;1,399;0,5349;0,252;0,1195
221,8;3,029;2,8662;2,7185;1,338;0,5104;0,2425;0,1139
222;3,0212;2,8557;2,699;1,2854;0,4916;0,2339;0,1101
222,2;3,0347;2,8871;2,6809;1,231;0,472;0,2245;0,109
222,4;3,035;2,8995;2,6484;1,173;0,4526;0,2142;0,1039
222,6;3,0357;2,9021;2,6251;1,1184;0,4333;0,2055;0,1013
222,8;3,0399;2,8784;2,5952;1,0718;0,4124;0,1999;0,0986
223;3,0318;2,864;2,5435;1,0209;0,392;0,1904;0,095
223,2;3,0237;2,8865;2,4693;0,9716;0,3748;0,1829;0,0906
223,4;3,0239;2,8787;2,4042;0,9331;0,3605;0,1783;0,0877
223,6;3,038;2,8845;2,3504;0,8926;0,3474;0,172;0,0864
223,8;3,0475;2,905;2,283;0,8535;0,3337;0,1646;0,0841
224;3,063;2,8912;2,2062;0,8127;0,3164;0,1581;0,0809
224,2;3,0457;2,8805;2,1246;0,7781;0,3016;0,1541;0,0773
224,4;3,0374;2,889;2,0346;0,7435;0,2896;0,1487;0,0748
224,6;3,0863;2,8919;1,9538;0,7084;0,2791;0,1428;0,0736
224,8;3,0784;2,8912;1,8804;0,6764;0,267;0,1374;0,0719
225;3,0506;2,8855;1,806;0,6475;0,2559;0,1325;0,0696
225,2;3,0467;2,8913;1,7209;0,6173;0,2448;0,1274;0,0687
225,4;3,0512;2,8941;1,635;0,5876;0,2343;0,1243;0,0664
225,6;3,0856;2,8913;1,562;0,5616;0,2245;0,1198;0,0636
225,8;3,0993;2,8747;1,4971;0,5351;0,2156;0,115;0,0618
226;3,082;2,8632;1,4323;0,5116;0,2067;0,1112;0,0596
226,2;3,0686;2,8774;1,3606;0,4873;0,1984;0,1076;0,0585
226,4;3,0683;2,9048;1,297;0,4664;0,1909;0,1047;0,0574
226,6;3,0553;2,9028;1,229;0,4441;0,1816;0,103;0,0551
226,8;3,043;2,879;1,1657;0,4219;0,1741;0,0988;0,0547
227;3,0512;2,8518;1,1133;0,4031;0,1676;0,0942;0,0529
227,2;3,0684;2,8575;1,063;0,3857;0,1618;0,0916;0,0517
227,4;3,078;2,8599;1,0108;0,3672;0,1552;0,0881;0,0511
227,6;3,0704;2,8357;0,9608;0,3495;0,1512;0,0852;0,0502
227,8;3,0715;2,8126;0,9175;0,3359;0,1466;0,0837;0,0507
228;3,0797;2,7637;0,8667;0,3209;0,1397;0,0819;0,0496
228,2;3,0699;2,7107;0,822;0,3051;0,1323;0,0788;0,0476
228,4;3,0656;2,6487;0,7831;0,2917;0,1269;0,0771;0,0469
228,6;3,0535;2,5829;0,7447;0,2792;0,1228;0,0758;0,046
228,8;3,0504;2,5158;0,7061;0,266;0,1196;0,074;0,0456
229;3,0508;2,4319;0,6688;0,2532;0,1156;0,0706;0,045
229,2;3,055;2,3433;0,6354;0,2448;0,1109;0,0682;0,044
229,4;3,0808;2,257;0,6058;0,2363;0,1086;0,0672;0,0429
229,6;3,0806;2,1641;0,5763;0,2261;0,1044;0,0674;0,042
229,8;3,0514;2,0788;0,5468;0,2195;0,1007;0,0661;0,0418
230;3,043;1,9891;0,5234;0,2107;0,0975;0,0636;0,0409
230,2;3,064;1,8984;0,498;0,2001;0,0938;0,0635;0,04
230,4;3,0602;1,8077;0,4735;0,1916;0,0909;0,0636;0,039
230,6;3,0511;1,7248;0,4498;0,1854;0,0885;0,061;0,0373
230,8;3,0469;1,646;0,4288;0,1803;0,0859;0,06;0,0365
231;3,0341;1,5602;0,4069;0,1724;0,0828;0,0593;0,0354
231,2;3,0338;1,4901;0,3864;0,1642;0,0796;0,0574;0,0348
231,4;3,0194;1,423;0,3693;0,1594;0,0778;0,0556;0,0361
231,6;3,0164;1,3525;0,3518;0,154;0,0768;0,054;0,0362
231,8;3,027;1,2832;0,3356;0,1475;0,0739;0,0529;0,0348
232;3,0389;1,2246;0,3214;0,1433;0,072;0,0525;0,0341
232,2;3,021;1,1702;0,3081;0,138;0,0706;0,0521;0,0339
232,4;3,0002;1,1113;0,2927;0,133;0,0676;0,0518;0,0328
