Wavelengt [nm],s1.2,s2.2,s3.2,s4.2
200.0,5.597638955718795e-22,9.503814951239396e-22,1.7477755225971924e-21,3.203614200062842e-21
200.2,5.772851578333512e-22,1.0008733130038343e-21,1.8667194132463207e-21,3.35888257319878e-21
200.4,6.328679928843584e-22,1.0691916306874794e-21,2.0594285066677657e-21,3.702553513241601e-21
200.6,6.906612025591205e-22,1.1601167386250417e-21,2.2049598552266995e-21,4.174523133816102e-21
200.8,7.346530487294619e-22,1.2715572597445728e-21,2.359486960221281e-21,4.616055529880085e-21
201.0,7.974061234136253e-22,1.3573037196944537e-21,2.564390301255494e-21,4.8541593874433846e-21
201.2,8.410745001268316e-22,1.4385686573473023e-21,2.757099394676939e-21,5.138882285079758e-21
201.4,8.67491172459512e-22,1.5178418073125812e-21,2.894634515293074e-21,5.386618175716006e-21
201.6,8.962260425683257e-22,1.5904424685245011e-21,3.0017839697265747e-21,5.536877891654011e-21
201.8,9.215105718010342e-22,1.6494989734609465e-21,3.1023365361072664e-21,5.860514202905097e-21
202.0,9.540192522430878e-22,1.7199086682165394e-21,3.2340743914648722e-21,6.230769554229258e-21
202.2,9.880913683946266e-22,1.785139714984451e-21,3.392399704732284e-21,6.500851761594748e-21
202.4,1.0196835520414648e-21,1.8155144772198906e-21,3.5061460472185935e-21,6.708518394647529e-21
202.6,1.058014682711946e-21,1.849076099755442e-21,3.607298330694994e-21,6.898847368169002e-21
202.8,1.080118428949495e-21,1.908232194076266e-21,3.749031470981099e-21,7.07299452612792e-21
203.0,1.0954293165872117e-21,1.9786418888318588e-21,3.842587337911842e-21,7.208613551795041e-21
203.2,1.1305257526863444e-21,2.0393914133027388e-21,3.883967817515824e-21,7.358873267733046e-21
203.4,1.1654604540569094e-21,2.0399889496090095e-21,3.966528871025219e-21,7.52993817510862e-21
203.6,1.1883189623611065e-21,2.03929182391836e-21,4.0548871897931436e-21,7.629340756421455e-21
203.8,1.2037915847273907e-21,2.097452024395399e-21,4.07427804255443e-21,7.728743337734287e-21
204.0,1.2213128469888624e-21,2.1366902418405244e-21,4.13205078944115e-21,7.822366699203352e-21
204.2,1.2277283245553704e-21,2.171048579451104e-21,4.2382007153817995e-21,7.914063654057828e-21
204.4,1.237648054574173e-21,2.1736379034449445e-21,4.335554790585372e-21,8.101310376995956e-21
204.6,1.2512876833500266e-21,2.1975393556957823e-21,4.373137061916526e-21,8.230764901496391e-21
204.8,1.2608300323355046e-21,2.253906947254008e-21,4.381733006955034e-21,8.319764887090441e-21
205.0,1.2793217029683813e-21,2.2654593158419132e-21,4.415517070013358e-21,8.416855780465766e-21
