wavelength;s2.3-s1.3;s4.3-s3.3
900;0,0006;0,0018
899,9;-1,00E-04;0,0004
899,8;0,0008;0,0005
899,7;-8,00E-04;0,0001
899,6;-0,0003;0,002
899,5;-8,00E-04;0,0021
899,4;-0,0006;-0,0003
899,3;7,00E-04;0,0011
899,2;-0,0004;-0,0004
899,1;1,30E-03;0,0013
899;-0,0011;0,0022
898,9;-1,50E-03;0,0013
898,8;-0,0011;0,0026
898,7;-9,00E-04;0,0012
898,6;0,0014;0,0017
898,5;1,30E-03;0,0026
898,4;0,0018;0,0028
898,3;2,20E-03;0,0042
898,2;-0,0003;0,0049
898,1;-1,80E-03;0,0034
898;-0,0026;0,0018
897,9;-2,40E-03;0,0018
897,8;-0,0009;0,0013
897,7;2,10E-03;0,0031
897,6;0,0004;0,0017
897,5;-1,40E-03;0,0005
897,4;-0,0021;0,0004
897,3;-4,30E-03;-0,0018
897,2;-0,004;-0,0006
897,1;-4,50E-03;-0,0012
897;-0,0035;-0,0007
896,9;-2,60E-03;-0,0003
896,8;-0,0005;0,0008
896,7;7,00E-04;0,0004
896,6;0,0002;0,0005
896,5;-1,20E-03;0
896,4;-0,0026;-0,0009
896,3;-1,80E-03;0,0007
896,2;-0,0002;0,0008
896,1;0,00E+00;0,0018
896;0,0004;0,0032
895,9;-4,00E-04;0,0028
895,8;-0,0026;0,0022
895,7;-1,90E-03;0,0018
895,6;-0,0023;0,0018
895,5;-2,00E-03;0,0019
895,4;-0,0001;0,0018
895,3;-1,00E-04;0,0015
895,2;0,0002;0,0014
895,1;-6,00E-04;0,0014
895;-0,0019;0,0017
894,9;-2,50E-03;0,0018
894,8;-0,0017;0,001
894,7;-1,20E-03;0,0009
894,6;-0,0004;0,0004
894,5;4,00E-04;0,0001
894,4;-0,0008;-0,0003
894,3;-1,10E-03;-0,0006
894,2;-0,0023;-0,0004
894,1;-6,00E-04;0,0021
894;-0,0004;0,0021
893,9;-2,00E-04;0,0027
893,8;0,0009;0,0032
893,7;-1,00E-04;0,0016
893,6;0,0008;0,0022
893,5;5,00E-04;0,0017
893,4;-0,0002;0,0019
893,3;-2,00E-04;0,0033
893,2;-0,0005;0,0039
893,1;-9,00E-04;0,0036
893;0,0006;0,0037
892,9;1,00E-03;0,0027
892,8;0,0013;0,003
892,7;2,10E-03;0,0033
892,6;0,0002;0,0023
892,5;-1,10E-03;0,0018
892,4;-0,0019;0,0005
892,3;-2,00E-03;0,0004
892,2;-0,0027;-0,0001
892,1;-3,30E-03;-0,0005
892;-0,0015;0,0012
891,9;-1,50E-03;0,001
891,8;0,0007;0,0018
891,7;8,00E-04;0,0024
891,6;-0,0012;0,0002
891,5;-1,40E-03;0,0009
891,4;-0,0021;0,0012
891,3;-2,10E-03;0,0002
891,2;-0,0014;0,0012
891,1;-3,00E-04;0,0022
891;0,0007;0,0031
890,9;5,00E-04;0,0035
890,8;0,0004;0,0034
890,7;-9,00E-04;0,0017
890,6;-0,0024;0,0007
890,5;-2,50E-03;0,0009
890,4;-0,0025;0,0015
890,3;-1,80E-03;0,0017
890,2;-0,0017;0,0013
890,1;-1,10E-03;0,0015
890;-0,0023;0,001
889,9;-2,40E-03;0,0014
889,8;-0,0029;0,0014
889,7;-1,50E-03;0,0021
889,6;-0,0017;0,0022
889,5;-1,50E-03;0,0017
889,4;-0,0008;0,0015
889,3;-1,80E-03;0,0008
889,2;-0,0013;0,0001
889,1;-1,60E-03;-0,0003
889;-0,0019;-0,0001
888,9;-1,60E-03;0,0004
888,8;-0,0011;0,0016
888,7;-1,60E-03;0,0022
888,6;-0,0015;0,0027
888,5;-2,50E-03;0,0024
888,4;-0,0033;0,0013
888,3;-3,10E-03;0,0015
888,2;-0,0036;0,0012
888,1;-3,10E-03;0,001
888;-0,0017;0,0009
887,9;-6,00E-04;0,0011
887,8;0,0003;0,0013
887,7;7,00E-04;0,0012
887,6;0,0005;0,0024
887,5;-1,00E-04;0,0028
887,4;-0,0002;0,0032
887,3;-4,00E-04;0,0029
887,2;0,0002;0,0036
887,1;-4,00E-04;0,0023
887;-0,0009;0,0026
886,9;-1,00E-04;0,0038
886,8;-0,0009;0,0032
886,7;-1,00E-04;0,0042
886,6;0,0005;0,0037
886,5;4,00E-04;0,0038
886,4;0,0005;0,0029
886,3;-1,00E-04;0,0025
886,2;-0,0008;0,0025
886,1;-6,00E-04;0,002
886;-0,001;0,0016
885,9;-3,00E-04;0,0024
885,8;-0,0007;0,0021
885,7;-1,30E-03;0,0016
885,6;-0,0011;0,0023
885,5;-8,00E-04;0,0015
885,4;-0,0011;0,001
885,3;-3,00E-04;0,002
885,2;-0,0005;0,0023
885,1;-8,00E-04;0,0026
885;-0,0007;0,0026
884,9;-9,00E-04;0,0027
884,8;-0,0008;0,0028
884,7;-4,00E-04;0,0028
884,6;0,0001;0,0033
884,5;-7,00E-04;0,0013
884,4;-0,0003;0
884,3;-9,00E-04;-0,0004
884,2;-0,0012;-0,0005
884,1;-6,00E-04;0,0004
884;-0,0016;0,0006
883,9;-1,70E-03;0,0007
883,8;-0,0014;0,0003
883,7;-1,30E-03;0
883,6;-0,0014;0,0008
883,5;-1,70E-03;0,0001
883,4;-0,0014;0,0013
883,3;-2,20E-03;0,0009
883,2;-0,0024;0,0005
883,1;-1,40E-03;0,0016
883;-0,0005;0,0014
882,9;1,00E-04;0,002
882,8;0,0005;0,0023
882,7;-1,00E-04;0,0025
882,6;-0,0009;0,0019
882,5;-7,00E-04;0,001
882,4;-0,0011;0,0005
882,3;-6,00E-04;0,0007
882,2;-0,0012;0,0004
882,1;-6,00E-04;0,0018
882;0,0002;0,0031
881,9;1,00E-04;0,0027
881,8;1E-04;0,0027
881,7;1,00E-04;0,0029
881,6;-0,0001;0,0019
881,5;-5,00E-04;0,0021
881,4;-0,0011;0,002
881,3;-1,80E-03;0,0012
881,2;-0,0019;0,0007
881,1;-2,30E-03;0,0008
881;-0,0016;0,0009
880,9;-1,40E-03;0,0013
880,8;-0,0016;0,0009
880,7;-1,40E-03;0,0002
880,6;-0,0012;0,001
880,5;-1,00E-03;0,0018
880,4;-0,0014;0,0026
880,3;-9,00E-04;0,0033
880,2;-0,0012;0,0024
880,1;-1,20E-03;0,0018
880;-0,0002;0,002
879,9;2,00E-04;0,0011
879,8;0,0006;0,0014
879,7;-1,00E-04;0,0012
879,6;-0,0008;0,0001
879,5;-1,40E-03;-0,0003
879,4;-0,0013;0,0004
879,3;-1,50E-03;0,0003
879,2;-0,0017;0,0013
879,1;-1,70E-03;0,0023
879;-0,0015;0,0015
878,9;-9,00E-04;0,0018
878,8;-0,0014;0,0008
878,7;-1,70E-03;-1E-04
878,6;-0,0023;-0,0004
878,5;-2,20E-03;-0,0005
878,4;-0,0018;-0,0001
878,3;-1,60E-03;0,0005
878,2;-0,001;0,0012
878,1;-1,70E-03;0,0004
878;-0,0012;0,0007
877,9;-1,00E-03;0,0001
877,8;-0,001;0,0004
877,7;-7,00E-04;0,001
877,6;-0,0008;0,0012
877,5;-9,00E-04;0,0015
877,4;-0,001;0,0017
877,3;-1,20E-03;0,0012
877,2;-0,0015;0,001
877,1;-1,50E-03;0,0015
877;-0,0019;0,0007
876,9;-2,00E-03;0,001
876,8;-0,0009;0,0018
876,7;-5,00E-04;0,0017
876,6;-0,0003;0,0022
876,5;-3,00E-04;0,0024
876,4;-0,0006;0,0021
876,3;-9,00E-04;0,0018
876,2;-0,001;0,0014
876,1;-1,10E-03;0,0012
876;-0,0017;0,0011
875,9;-1,90E-03;0,001
875,8;-0,0015;0,0013
875,7;-1,00E-03;0,0019
875,6;-0,0006;0,0016
875,5;-3,00E-04;0,0011
875,4;-0,0006;0,0008
875,3;-4,00E-04;0,0015
875,2;-0,0007;0,0019
875,1;-1,50E-03;0,0019
875;-0,001;0,003
874,9;-1,50E-03;0,0021
874,8;-0,0014;0,0016
874,7;-8,00E-04;0,0014
874,6;-0,0013;0,0005
874,5;-5,00E-04;0,001
874,4;-0,0004;0,0013
874,3;-2,00E-04;0,0022
874,2;-0,0003;0,0023
874,1;-9,00E-04;0,0011
874;-0,0014;0,001
873,9;-1,60E-03;0,0006
873,8;-0,0009;0,0007
873,7;-1,00E-03;0,0011
873,6;-0,0003;0,0016
873,5;-1,00E-04;0,0015
873,4;-0,0008;0,0017
873,3;-9,00E-04;0,0019
873,2;-0,0016;0,0014
873,1;-1,80E-03;0,0012
873;-0,0009;0,0014
872,9;-7,00E-04;0,0014
872,8;-0,0006;0,001
872,7;-4,00E-04;0,0012
872,6;-0,0012;0,0007
872,5;-1,70E-03;0,0008
872,4;-0,0016;0,0008
872,3;-1,00E-03;0,0014
872,2;-0,0014;0,0015
872,1;-1,40E-03;0,0012
872;-0,0015;0,0012
871,9;-2,40E-03;0,0005
871,8;-0,0019;0,0008
871,7;-1,70E-03;0,0012
871,6;-0,0016;0,002
871,5;-8,00E-04;0,0021
871,4;-0,0007;0,0018
871,3;-1,00E-04;0,0021
871,2;-0,0006;0,0018
871,1;-3,00E-04;0,002
871;-0,0007;0,0015
870,9;-1,10E-03;0,0012
870,8;-0,0009;0,0007
870,7;-1,50E-03;0,0009
870,6;-0,0015;0,0016
870,5;-1,20E-03;0,0017
870,4;-0,0008;0,0023
870,3;-5,00E-04;0,0024
870,2;-0,0005;0,0019
870,1;-5,00E-04;0,0018
870;-0,0011;0,0013
869,9;-7,00E-04;0,001
869,8;-0,0009;0,0009
869,7;-7,00E-04;0,0009
869,6;-0,0004;0,0015
869,5;-9,00E-04;0,0011
869,4;-0,0007;0,0013
869,3;-1,30E-03;0,0006
869,2;-0,0016;0,0003
869,1;-2,10E-03;0,0003
869;-0,0019;0,0004
868,9;-1,40E-03;0,001
868,8;-0,0011;0,0008
868,7;-1,00E-04;0,0018
868,6;-0,0007;0,0018
868,5;-7,00E-04;0,0015
868,4;-0,0005;0,0017
868,3;-8,00E-04;0,0015
868,2;-0,0008;0,0014
868,1;-1,10E-03;0,0018
868;-0,0011;0,0016
867,9;-7,00E-04;0,0015
867,8;-0,0008;0,0013
867,7;-5,00E-04;0,0011
867,6;-0,0007;0,0012
867,5;-6,00E-04;0,001
867,4;-0,0005;0,001
867,3;-4,00E-04;0,0013
867,2;-0,0002;0,0017
867,1;-5,00E-04;0,0019
867;-0,0005;0,0017
866,9;-5,00E-04;0,0017
866,8;-0,0009;0,0012
866,7;-6,00E-04;0,0011
866,6;-0,0005;0,0013
