wavelength;s1.3;s2.3;s3.3;s4.3;s5.3;s6.3;hcl
200;2,2322;0,7997;2,1604;0,7421;0,0827;0,0462;1,4539
200,1;2,2455;0,8194;2,1683;0,7658;0,0836;0,0442;1,4323
200,2;2,2485;0,8493;2,1814;0,8044;0,0856;0,0386;1,4001
200,3;2,2585;0,9069;2,1843;0,8556;0,0848;0,0375;1,356
200,4;2,2645;0,9492;2,1998;0,8887;0,0843;0,0369;1,3105
200,5;2,258;0,9991;2,2037;0,9405;0,0818;0,0408;1,2614
200,6;2,2693;1,0529;2,1978;0,9916;0,0813;0,0461;1,2149
200,7;2,2698;1,093;2,2039;1,0385;0,0812;0,0472;1,1708
200,8;2,2602;1,1452;2,2084;1,1022;0,0786;0,0511;1,1276
200,9;2,2687;1,1949;2,2141;1,1519;0,0799;0,0495;1,0888
201;2,2595;1,242;2,2181;1,1953;0,0779;0,0486;1,0483
201,1;2,2622;1,2922;2,2147;1,2404;0,0772;0,0479;1,0087
201,2;2,2677;1,3365;2,2157;1,2607;0,0792;0,0441;0,9725
201,3;2,2721;1,3851;2,2121;1,3033;0,0786;0,0449;0,9366
201,4;2,2987;1,4259;2,2084;1,3434;0,0769;0,0405;0,9045
201,5;2,2983;1,4622;2,2307;1,3741;0,0765;0,0403;0,8725
201,6;2,3071;1,4918;2,2356;1,4187;0,072;0,0421;0,8388
201,7;2,3064;1,5342;2,2362;1,4488;0,0707;0,0394;0,8083
201,8;2,2927;1,5694;2,2483;1,4785;0,0671;0,0442;0,7731
201,9;2,3065;1,6035;2,2403;1,5276;0,0674;0,0478;0,7382
202;2,3134;1,6361;2,2453;1,5719;0,0695;0,0508;0,7078
202,1;2,326;1,6755;2,2574;1,6103;0,0665;0,0552;0,6757
202,2;2,327;1,7124;2,2663;1,6492;0,068;0,0529;0,6514
202,3;2,335;1,7508;2,2699;1,67;0,0671;0,0494;0,628
202,4;2,3362;1,777;2,2789;1,6926;0,0659;0,0494;0,6027
202,5;2,3386;1,7894;2,2833;1,7248;0,0676;0,0456;0,5824
202,6;2,359;1,8127;2,2861;1,7488;0,0699;0,0459;0,5608
202,7;2,3589;1,8398;2,2957;1,7788;0,0699;0,0481;0,5388
202,8;2,36;1,8595;2,2908;1,8025;0,069;0,0469;0,5185
202,9;2,3607;1,8794;2,2957;1,8144;0,0705;0,0463;0,4984
203;2,3536;1,9073;2,296;1,8334;0,0694;0,0477;0,4785
203,1;2,3498;1,9358;2,2892;1,8415;0,0669;0,0455;0,4598
203,2;2,3547;1,9715;2,3052;1,8724;0,0652;0,0472;0,4388
203,3;2,3529;2,0037;2,2989;1,8951;0,062;0,0494;0,4199
203,4;2,3634;2,02;2,3022;1,9184;0,0596;0,0509;0,4013
203,5;2,3756;2,0188;2,3102;1,9565;0,0602;0,0529;0,3835
203,6;2,3838;2,0331;2,3127;1,9697;0,0616;0,0532;0,3689
203,7;2,3863;2,0501;2,3196;1,9906;0,0634;0,0531;0,3538
203,8;2,3836;2,0728;2,3239;2,0167;0,0652;0,0529;0,3413
203,9;2,3898;2,0964;2,3224;2,0358;0,0644;0,0508;0,3291
204;2,3981;2,1299;2,3188;2,0507;0,0632;0,0527;0,3148
204,1;2,4025;2,1502;2,328;2,0711;0,0611;0,0518;0,3027
204,2;2,4096;2,1713;2,3497;2,0788;0,0601;0,0527;0,29
204,3;2,414;2,1918;2,3697;2,0889;0,0599;0,0542;0,2788
204,4;2,4161;2,1914;2,3772;2,1105;0,0604;0,0532;0,2686
204,5;2,4309;2,1878;2,3852;2,1164;0,0612;0,0543;0,2595
204,6;2,4447;2,1984;2,377;2,1372;0,0595;0,0554;0,2484
204,7;2,445;2,2096;2,3775;2,1567;0,0596;0,0536;0,2409
204,8;2,4405;2,2263;2,376;2,1627;0,0595;0,0522;0,2337
204,9;2,4391;2,2463;2,3859;2,1784;0,0597;0,0509;0,2261
205;2,4339;2,2588;2,3949;2,1768;0,0601;0,0486;0,2187
205,1;2,4449;2,2719;2,4024;2,1792;0,0604;0,0506;0,2102
205,2;2,4573;2,277;2,4092;2,197;0,0601;0,0507;0,2023
205,3;2,4662;2,2885;2,3966;2,2173;0,0583;0,0506;0,1939
205,4;2,4683;2,2985;2,3922;2,2343;0,0596;0,0505;0,1873
205,5;2,4621;2,3063;2,4;2,2532;0,0581;0,0487;0,1796
205,6;2,465;2,3216;2,4097;2,2689;0,0585;0,0487;0,173
205,7;2,4596;2,3311;2,4212;2,2788;0,0586;0,0487;0,1672
205,8;2,4662;2,3351;2,4221;2,2931;0,056;0,0479;0,1619
205,9;2,4735;2,3401;2,4174;2,2972;0,0565;0,0495;0,1561
206;2,4754;2,3455;2,4191;2,301;0,0556;0,0505;0,1508
206,1;2,4925;2,3513;2,425;2,3051;0,0556;0,0508;0,1464
206,2;2,504;2,3642;2,4311;2,3061;0,0565;0,0509;0,1429
206,3;2,5083;2,376;2,4287;2,3159;0,0554;0,0496;0,1392
206,4;2,5075;2,3997;2,4322;2,3354;0,0549;0,0488;0,1342
206,5;2,4998;2,4169;2,4329;2,3455;0,0543;0,0485;0,1294
206,6;2,4911;2,4203;2,4416;2,3657;0,0529;0,0491;0,1234
206,7;2,4902;2,4283;2,4562;2,3755;0,0532;0,05;0,1202
206,8;2,4952;2,4222;2,4543;2,3764;0,0522;0,0495;0,117
206,9;2,5075;2,4207;2,4574;2,3761;0,0519;0,0481;0,1138
207;2,5124;2,428;2,4531;2,3736;0,051;0,0475;0,1105
207,1;2,521;2,4311;2,4536;2,3822;0,0496;0,045;0,1073
207,2;2,5317;2,446;2,4667;2,3813;0,0495;0,0456;0,1037
207,3;2,5267;2,4453;2,4754;2,3944;0,0504;0,0467;0,1014
207,4;2,5339;2,4504;2,4795;2,4039;0,0526;0,047;0,0997
207,5;2,5288;2,4624;2,4917;2,4045;0,0539;0,0473;0,0974
207,6;2,5218;2,4577;2,4931;2,4068;0,0547;0,046;0,0953
207,7;2,5275;2,4672;2,4893;2,4073;0,0533;0,0452;0,0921
207,8;2,5344;2,4696;2,4979;2,4085;0,0532;0,0458;0,0886
207,9;2,5492;2,4732;2,4938;2,4114;0,0536;0,0463;0,0853
208;2,5531;2,4825;2,4933;2,4211;0,0533;0,0475;0,083
208,1;2,556;2,4928;2,4976;2,4227;0,0535;0,0473;0,0804
208,2;2,5578;2,5039;2,5003;2,4246;0,0527;0,0472;0,0782
208,3;2,5619;2,5085;2,4936;2,4365;0,0524;0,0465;0,0763
208,4;2,5834;2,519;2,4923;2,4418;0,0505;0,0452;0,0741
208,5;2,5841;2,5258;2,4979;2,4605;0,0504;0,0462;0,0717
208,6;2,5821;2,5328;2,4915;2,4836;0,0499;0,0455;0,0701
208,7;2,5847;2,5264;2,4896;2,4831;0,0487;0,0452;0,0683
208,8;2,575;2,5262;2,4952;2,4919;0,0501;0,0443;0,0677
208,9;2,5893;2,5441;2,4952;2,4886;0,0495;0,0443;0,0662
209;2,5935;2,5494;2,5029;2,4805;0,0492;0,0443;0,0647
209,1;2,5965;2,5662;2,5087;2,4893;0,0487;0,0452;0,0626
209,2;2,6047;2,5719;2,5158;2,4997;0,0478;0,0455;0,0608
209,3;2,6035;2,5814;2,525;2,5074;0,0467;0,0448;0,058
209,4;2,6145;2,5965;2,535;2,5145;0,0463;0,0448;0,0567
209,5;2,6175;2,6093;2,5443;2,5194;0,046;0,0441;0,0552
209,6;2,6153;2,618;2,5424;2,5194;0,0463;0,0453;0,0531
209,7;2,619;2,6039;2,5378;2,5402;0,0472;0,0457;0,0534
209,8;2,615;2,6007;2,5461;2,5449;0,0482;0,0454;0,0528
209,9;2,6121;2,6009;2,5558;2,5446;0,0498;0,0457;0,0527
210;2,6096;2,6062;2,5665;2,5426;0,0488;0,0444;0,053
210,1;2,6075;2,608;2,5713;2,5253;0,0486;0,0444;0,0522
210,2;2,6177;2,5998;2,555;2,5319;0,0467;0,0447;0,0505
210,3;2,6265;2,6034;2,5594;2,5334;0,0461;0,0443;0,0505
210,4;2,6249;2,5994;2,5593;2,5506;0,0472;0,0443;0,0501
210,5;2,6183;2,5963;2,5656;2,5549;0,0474;0,0432;0,0502
210,6;2,6128;2,5996;2,5862;2,5581;0,0477;0,0432;0,0494
210,7;2,6201;2,5933;2,5881;2,5653;0,0475;0,0432;0,0477
210,8;2,6418;2,6104;2,5869;2,5624;0,0472;0,0444;0,0452
210,9;2,6636;2,6228;2,5901;2,5711;0,0459;0,0449;0,0422
211;2,6622;2,6348;2,5896;2,5758;0,045;0,0433;0,0423
211,1;2,6542;2,641;2,5907;2,5717;0,0443;0,0428;0,0416
211,2;2,6518;2,6318;2,59;2,5725;0,0438;0,0402;0,0417
211,3;2,6496;2,6302;2,5896;2,5764;0,0445;0,0396;0,0421
211,4;2,6604;2,6399;2,5892;2,5707;0,0458;0,0397;0,0412
211,5;2,6616;2,6475;2,588;2,5873;0,0458;0,0394;0,0411
211,6;2,6689;2,6532;2,6009;2,5838;0,0464;0,0403;0,041
211,7;2,6714;2,6616;2,5964;2,5804;0,0452;0,0405;0,0404
211,8;2,6763;2,6664;2,5931;2,5834;0,0442;0,0407;0,0392
211,9;2,6842;2,669;2,6066;2,5769;0,0442;0,0407;0,0387
212;2,6822;2,6735;2,608;2,5815;0,0443;0,0419;0,0379
