wavelength;s1.4;s2.4;s3.4;s4.4;s5.4;s6.4;s7.4
200;2,2394;2,1698;2,2198;2,2007;2,2162;2,1527;2,1896
200,1;2,2432;2,1745;2,2215;2,183;2,2168;2,1563;2,1863
200,2;2,2411;2,1835;2,2251;2,1807;2,2168;2,1563;2,176
200,3;2,2364;2,1859;2,2296;2,1659;2,2205;2,1589;2,1741
200,4;2,2294;2,1947;2,2343;2,1729;2,2274;2,167;2,1692
200,5;2,229;2,1977;2,239;2,1938;2,2381;2,1633;2,1775
200,6;2,2391;2,2016;2,2338;2,1988;2,2436;2,166;2,1961
200,7;2,2468;2,2089;2,2289;2,2119;2,2515;2,1718;2,2062
200,8;2,2476;2,2105;2,2334;2,2076;2,2587;2,1633;2,2202
200,9;2,2526;2,2148;2,2318;2,1976;2,2603;2,1602;2,2278
201;2,2569;2,2179;2,2459;2,2014;2,2616;2,1701;2,2305
201,1;2,2654;2,2167;2,2533;2,2016;2,2685;2,1843;2,2371
201,2;2,2767;2,2223;2,2604;2,2066;2,2689;2,2124;2,2295
201,3;2,2896;2,2269;2,2579;2,2185;2,2685;2,2273;2,2425
201,4;2,2889;2,2336;2,2572;2,2196;2,2799;2,2322;2,2448
201,5;2,2915;2,2469;2,2685;2,2277;2,2733;2,2297;2,2448
201,6;2,2901;2,2527;2,2718;2,241;2,2688;2,2264;2,2607
201,7;2,287;2,2663;2,2911;2,2504;2,2673;2,239;2,2588
201,8;2,2908;2,2651;2,2961;2,2574;2,267;2,2443;2,2726
201,9;2,2885;2,2639;2,282;2,2581;2,281;2,2502;2,2685
202;2,3029;2,2741;2,2926;2,2614;2,288;2,2475;2,2701
202,1;2,3042;2,2779;2,2888;2,2658;2,2999;2,2462;2,2687
202,2;2,3155;2,2822;2,2992;2,2678;2,3055;2,2452;2,2672
202,3;2,3343;2,2912;2,3201;2,2758;2,2917;2,2535;2,2834
202,4;2,3334;2,2831;2,3237;2,2753;2,3004;2,2593;2,2952
202,5;2,3418;2,279;2,3267;2,2757;2,2996;2,2648;2,2926
202,6;2,3402;2,2862;2,3208;2,2821;2,2981;2,2775;2,2948
202,7;2,3379;2,2926;2,3186;2,2854;2,3106;2,264;2,3079
202,8;2,3503;2,3139;2,3079;2,2848;2,3184;2,2731;2,3041
202,9;2,3538;2,3157;2,323;2,2837;2,3294;2,2689;2,3151
203;2,37;2,3181;2,328;2,2785;2,347;2,2653;2,3291
203,1;2,3721;2,3283;2,3353;2,2866;2,3552;2,2767;2,3198
203,2;2,3693;2,3177;2,3514;2,3;2,3537;2,2758;2,3318
203,3;2,3748;2,3301;2,3471;2,306;2,356;2,2892;2,3409
203,4;2,3678;2,3342;2,3516;2,309;2,3537;2,2906;2,3408
203,5;2,372;2,3237;2,3481;2,3104;2,3587;2,3036;2,3501
203,6;2,3771;2,3253;2,3478;2,3133;2,3584;2,3166;2,3445
203,7;2,371;2,3229;2,351;2,3165;2,3598;2,3152;2,3429
203,8;2,3771;2,325;2,3636;2,3269;2,3561;2,3213;2,3414
203,9;2,3812;2,3346;2,3747;2,3274;2,3616;2,3174;2,3427
204;2,3876;2,3539;2,3772;2,3318;2,367;2,3182;2,3596
204,1;2,3995;2,3621;2,3763;2,3373;2,3739;2,3319;2,3712
204,2;2,3987;2,3761;2,3736;2,3336;2,3809;2,338;2,3717
204,3;2,4067;2,3889;2,3779;2,3497;2,3806;2,3549;2,3676
204,4;2,4122;2,3892;2,3848;2,3529;2,3874;2,3484;2,3658
204,5;2,4047;2,3953;2,3974;2,3618;2,3851;2,3392;2,3721
204,6;2,4151;2,3887;2,4103;2,3747;2,3885;2,34;2,3869
204,7;2,4163;2,3965;2,4158;2,3744;2,3873;2,3412;2,3957
204,8;2,4264;2,3955;2,4297;2,3753;2,3909;2,3625;2,4
204,9;2,4417;2,3972;2,4378;2,3816;2,3889;2,3749;2,3917
205;2,451;2,4148;2,4338;2,3899;2,3862;2,3831;2,3928
205,1;2,4503;2,4142;2,4219;2,3924;2,3993;2,3777;2,4081
205,2;2,448;2,416;2,4208;2,3947;2,4017;2,3657;2,4106
205,3;2,4545;2,4176;2,4241;2,3901;2,4205;2,3648;2,413
205,4;2,452;2,4114;2,4204;2,388;2,4359;2,3651;2,4113
205,5;2,4652;2,4028;2,4386;2,3954;2,4378;2,3731;2,4031
205,6;2,4605;2,4108;2,4351;2,398;2,4431;2,3825;2,4033
205,7;2,4698;2,4222;2,4326;2,3935;2,4396;2,3953;2,4098
205,8;2,4773;2,4271;2,4451;2,3982;2,4508;2,4064;2,4095
205,9;2,4808;2,4468;2,4551;2,4021;2,4609;2,4101;2,4198
206;2,4902;2,4587;2,4642;2,4128;2,4689;2,4109;2,4343
