Wavelength [nm];Sample 1;Sample 2;Sample 3;Sample 4;Sample 5;Sample 6;Sample 7;Sample 8
200;2,4559;2,3155;2,2631;2,1752;2,1484;2,194;1,9745;1,7546
200,2;2,4832;2,3266;2,2554;2,1578;2,1646;2,1882;1,98;1,7319
200,4;2,5274;2,3428;2,2768;2,1458;2,1837;2,1662;2,0002;1,6918
200,6;2,5028;2,3295;2,3032;2,1551;2,1745;2,1492;2,0231;1,6549
200,8;2,4856;2,3187;2,3153;2,1687;2,1936;2,1708;2,032;1,5991
201;2,505;2,3455;2,3306;2,1985;2,2239;2,1923;2,0386;1,5415
201,2;2,5031;2,3581;2,3364;2,238;2,2384;2,2121;2,0561;1,4998
201,4;2,5103;2,3623;2,3501;2,2366;2,2286;2,2259;2,0571;1,4465
201,6;2,5296;2,4046;2,364;2,2222;2,2466;2,2312;2,0397;1,4006
201,8;2,5423;2,4107;2,3476;2,2286;2,2641;2,2427;2,0363;1,3541
202;2,5628;2,3937;2,3491;2,244;2,2456;2,2368;2,0535;1,3047
202,2;2,5998;2,4122;2,3569;2,2662;2,2516;2,2467;2,0673;1,2554
202,4;2,6111;2,4254;2,3465;2,2839;2,264;2,2504;2,0714;1,2014
202,6;2,6173;2,4668;2,3581;2,2991;2,272;2,2394;2,0485;1,1622
202,8;2,6413;2,4682;2,3766;2,309;2,2793;2,2482;2,0264;1,1229
203;2,6186;2,442;2,4219;2,2947;2,2835;2,2778;2,0393;1,0856
203,2;2,5797;2,4809;2,4302;2,2832;2,295;2,2894;2,027;1,0463
203,4;2,5996;2,5025;2,4225;2,3053;2,3147;2,2735;2,002;1,0015
203,6;2,6279;2,4946;2,446;2,3043;2,3057;2,2817;1,9787;0,9637
203,8;2,6695;2,5239;2,4603;2,3117;2,3077;2,3131;1,9391;0,935
204;2,672;2,5169;2,4527;2,3173;2,2967;2,3235;1,9251;0,9024
204,2;2,6428;2,4932;2,4625;2,3292;2,2948;2,3065;1,9142;0,8642
204,4;2,6481;2,5275;2,4993;2,348;2,3432;2,3149;1,8829;0,8391
204,6;2,688;2,5589;2,504;2,3472;2,3631;2,3279;1,8453;0,8131
204,8;2,7025;2,5661;2,5254;2,3677;2,3555;2,3398;1,8087;0,7813
205;2,717;2,5627;2,5406;2,3696;2,3691;2,3456;1,7655;0,7499
205,2;2,7357;2,5664;2,5126;2,3697;2,379;2,324;1,7198;0,7231
205,4;2,7177;2,5677;2,5041;2,3869;2,3849;2,3271;1,6773;0,7009
205,6;2,7078;2,5639;2,5304;2,3967;2,402;2,3182;1,6319;0,6754
205,8;2,7457;2,5986;2,531;2,4094;2,4342;2,3203;1,5905;0,6491
206;2,8012;2,6229;2,5257;2,4141;2,4395;2,344;1,5408;0,6256
206,2;2,7813;2,6262;2,5497;2,4061;2,4163;2,3376;1,4914;0,6063
206,4;2,7347;2,6364;2,5644;2,4145;2,4034;2,3232;1,4442;0,5861
206,6;2,741;2,6361;2,5626;2,414;2,42;2,3114;1,3962;0,5663
206,8;2,7729;2,6289;2,5799;2,4304;2,4511;2,2964;1,3579;0,5492
207;2,7356;2,6152;2,5972;2,4597;2,4566;2,2848;1,3196;0,5316
207,2;2,7369;2,6286;2,6016;2,4487;2,4688;2,277;1,2786;0,508
207,4;2,8062;2,6632;2,5827;2,4461;2,4644;2,2482;1,237;0,4912
207,6;2,8086;2,6841;2,5793;2,4699;2,4415;2,2051;1,203;0,4763
207,8;2,79;2,6735;2,6137;2,4841;2,4414;2,1669;1,1657;0,4605
208;2,803;2,6502;2,6216;2,4847;2,449;2,1331;1,1195;0,4451
208,2;2,83;2,6786;2,6237;2,4835;2,4657;2,1035;1,0871;0,431
208,4;2,8378;2,6984;2,6372;2,4934;2,4808;2,0805;1,054;0,4186
208,6;2,8295;2,7047;2,6548;2,4955;2,492;2,0424;1,0208;0,4052
208,8;2,8416;2,7104;2,6373;2,4894;2,5115;1,983;0,9856;0,3923
209;2,8595;2,6903;2,6461;2,4994;2,4904;1,9483;0,9494;0,3809
209,2;2,8593;2,7065;2,6778;2,5143;2,4884;1,9127;0,9161;0,3693
209,4;2,828;2,7558;2,6812;2,5211;2,514;1,8565;0,8921;0,3541
209,6;2,8166;2,7645;2,6833;2,5091;2,5301;1,81;0,8652;0,3408
209,8;2,881;2,7304;2,6657;2,5162;2,5457;1,7686;0,8337;0,331
210;2,9134;2,7336;2,6746;2,5451;2,5424;1,727;0,8071;0,3249
210,2;2,8784;2,7546;2,7041;2,5502;2,5661;1,6802;0,7811;0,3167
210,4;2,8909;2,7762;2,7275;2,5409;2,5722;1,6379;0,7543;0,3063
210,6;2,9103;2,7801;2,733;2,5454;2,5561;1,5928;0,7249;0,2947
210,8;2,9143;2,7565;2,7181;2,5557;2,5663;1,5493;0,7054;0,285
211;2,9205;2,7609;2,7179;2,5699;2,5512;1,5019;0,6847;0,277
211,2;2,915;2,7841;2,7304;2,5676;2,5344;1,46;0,6597;0,2669
211,4;2,9068;2,7976;2,7399;2,5686;2,5338;1,4236;0,6385;0,258
211,6;2,9247;2,8019;2,7533;2,5936;2,5287;1,3762;0,6167;0,2494
211,8;2,9458;2,8009;2,7436;2,5869;2,5346;1,3448;0,5937;0,242
212;2,9265;2,8082;2,7226;2,5795;2,5314;1,3114;0,5735;0,2358
212,2;2,9448;2,8257;2,7349;2,5864;2,5177;1,273;0,5574;0,2286
212,4;2,9653;2,839;2,7396;2,592;2,5148;1,2358;0,5376;0,2213
212,6;2,9627;2,8313;2,7335;2,5974;2,5039;1,1964;0,5174;0,2171
212,8;2,9566;2,8397;2,7334;2,5819;2,4787;1,1619;0,5003;0,213
213;2,9416;2,8629;2,7547;2,6088;2,4636;1,1312;0,4847;0,2084
213,2;2,9424;2,8603;2,7661;2,6288;2,4402;1,0976;0,4694;0,2017
213,4;2,9627;2,814;2,773;2,6127;2,4155;1,0624;0,453;0,1973
213,6;2,9724;2,819;2,7792;2,6139;2,3907;1,0342;0,4368;0,1914
213,8;2,9582;2,88;2,7868;2,6198;2,343;1,0014;0,4214;0,1845
214;2,9583;2,8786;2,7859;2,6214;2,2993;0,9691;0,4088;0,1806
214,2;2,9904;2,8618;2,77;2,6208;2,2608;0,9414;0,3949;0,1745
214,4;3,0256;2,8668;2,7838;2,6237;2,1941;0,917;0,3819;0,1709
214,6;3,0331;2,8733;2,7967;2,6312;2,1375;0,8894;0,3708;0,1659
214,8;3,0407;2,9001;2,8058;2,6336;2,0998;0,8595;0,356;0,1616
215;3,0768;2,9151;2,8053;2,6371;2,0418;0,8318;0,3393;0,1566
215,2;3,0851;2,8938;2,8281;2,6399;1,9839;0,8066;0,3261;0,1511
215,4;3,0582;2,8929;2,8402;2,6227;1,9245;0,7863;0,3133;0,1467
215,6;3,078;2,9363;2,8214;2,632;1,8594;0,7585;0,3017;0,144
215,8;3,0949;2,9373;2,8278;2,6487;1,7925;0,7319;0,292;0,14
216;3,1039;2,9237;2,8449;2,6579;1,7358;0,7099;0,2819;0,1363
216,2;3,0899;2,9412;2,8485;2,6642;1,6974;0,6895;0,2738;0,1317
216,4;3,0413;2,9283;2,8349;2,6488;1,6444;0,6699;0,2651;0,1287
216,6;3,0501;2,8904;2,8582;2,6227;1,5822;0,647;0,2564;0,1272
216,8;3,0955;2,9137;2,8474;2,5972;1,5264;0,6289;0,2445;0,1238
217;3,0938;2,9561;2,8091;2,5925;1,4733;0,6126;0,2352;0,1223
217,2;3,071;2,9361;2,8367;2,5834;1,4171;0,5938;0,2286;0,1188
217,4;3,0945;2,9336;2,8537;2,5499;1,3636;0,5749;0,2201;0,1165
217,6;3,1397;2,9345;2,8575;2,502;1,3143;0,5591;0,2121;0,1147
217,8;3,1445;2,9408;2,88;2,445;1,2635;0,5411;0,2044;0,1099
218;3,139;2,9535;2,8765;2,3999;1,2168;0,5251;0,195;0,1059
218,2;3,1247;2,944;2,8867;2,3578;1,1681;0,5101;0,1877;0,1023
218,4;3,1143;2,9457;2,9003;2,3123;1,1267;0,4934;0,1834;0,1014
218,6;3,1242;2,9721;2,8772;2,2548;1,0914;0,4786;0,1782;0,1002
218,8;3,115;2,9755;2,8595;2,1901;1,0505;0,4648;0,1721;0,099
219;3,1254;2,9594;2,8857;2,1201;1,0107;0,4508;0,165;0,0969
219,2;3,1197;2,9641;2,9169;2,0489;0,9728;0,4367;0,1609;0,0933
219,4;3,1145;2,9763;2,8907;1,9807;0,938;0,4268;0,1559;0,092
219,6;3,1404;2,9872;2,8663;1,907;0,9017;0,4153;0,1502;0,091
219,8;3,1399;2,9726;2,881;1,8385;0,8679;0,4031;0,1462;0,0884
220;3,1334;2,9887;2,8813;1,7695;0,8372;0,3933;0,1431;0,0859
220,2;3,1392;3,0142;2,8929;1,6975;0,8043;0,383;0,1366;0,0848
220,4;3,1406;3,0096;2,9074;1,6397;0,7716;0,3732;0,1313;0,0844
220,6;3,1625;3,0106;2,9084;1,5754;0,7444;0,3642;0,1273;0,0839
220,8;3,1664;3,015;2,9026;1,508;0,7197;0,353;0,123;0,082
221;3,1663;3,0073;2,8784;1,4449;0,6933;0,3437;0,1196;0,0803
221,2;3,2028;3,0031;2,8753;1,3835;0,6681;0,3371;0,1134;0,0795
221,4;3,2034;3,0057;2,8711;1,3314;0,6404;0,3304;0,109;0,0791
221,6;3,1736;3,0143;2,8837;1,2757;0,6178;0,3216;0,1067;0,0768
221,8;3,1788;2,9968;2,9155;1,2199;0,5964;0,3128;0,104;0,0753
222;3,1902;3,0051;2,8831;1,1692;0,5751;0,3054;0,1005;0,0739
222,2;3,2027;3,0364;2,85;1,124;0,5555;0,2989;0,0977;0,0726
222,4;3,2029;3,0335;2,8382;1,074;0,5345;0,2925;0,0954;0,0723
222,6;3,1971;3,0249;2,7872;1,0251;0,513;0,2867;0,0928;0,0713
222,8;3,1974;2,986;2,7559;0,9803;0,4955;0,2816;0,092;0,0705
223;3,1796;2,9855;2,7381;0,932;0,4759;0,2736;0,0885;0,07
223,2;3,1977;3,0287;2,6996;0,8913;0,4573;0,268;0,0854;0,0689
223,4;3,2404;3,0544;2,6519;0,8549;0,4412;0,2632;0,0821;0,0676
223,6;3,228;3,042;2,5973;0,8216;0,4265;0,2576;0,0789;0,0666
223,8;3,2155;3,0247;2,5236;0,7861;0,4146;0,252;0,0762;0,0668
224;3,2397;3,0241;2,4437;0,7486;0,3981;0,2467;0,0738;0,066
224,2;3,2166;3,0197;2,3837;0,7178;0,3844;0,243;0,0721;0,0642
224,4;3,1993;3,0245;2,302;0,6878;0,3716;0,2389;0,0709;0,0641
224,6;3,2117;3,0346;2,2012;0,6578;0,36;0,2346;0,0708;0,0649
224,8;3,2229;3,0313;2,1242;0,6282;0,3508;0,2298;0,0704;0,0627
225;3,2403;3,0148;2,0495;0,5988;0,34;0,2248;0,069;0,0615
225,2;3,2287;2,9902;1,9644;0,5723;0,3261;0,2212;0,0655;0,0615
225,4;3,2112;2,982;1,8792;0,5506;0,3138;0,2184;0,0638;0,0606
225,6;3,2309;3,0061;1,806;0,529;0,305;0,2167;0,0632;0,0613
225,8;3,2246;3,0274;1,7413;0,5077;0,2981;0,2133;0,0618;0,0603
226;3,2112;3,031;1,6657;0,484;0,2882;0,209;0,0595;0,059
226,2;3,2059;3,0314;1,5915;0,462;0,2796;0,207;0,0594;0,059
226,4;3,1825;3,0158;1,5223;0,4427;0,2734;0,2046;0,0596;0,0601
226,6;3,2004;3,028;1,4554;0,4236;0,2655;0,203;0,0577;0,0605
226,8;3,2237;3,0444;1,3904;0,4045;0,259;0,1997;0,055;0,0583
227;3,1901;3,0201;1,3304;0,3889;0,2523;0,1972;0,0545;0,0573
227,2;3,2029;3,0037;1,2765;0,3741;0,2459;0,1953;0,0543;0,0573
227,4;3,2367;3,0082;1,2193;0,3568;0,2395;0,1934;0,0545;0,0566
227,6;3,2071;3,0128;1,1693;0,3435;0,2337;0,1916;0,0538;0,0558
227,8;3,2066;2,9824;1,1218;0,3289;0,2284;0,188;0,0518;0,0542
228;3,2126;2,9556;1,0699;0,3138;0,2219;0,1858;0,0497;0,0557
228,2;3,2012;2,9432;1,0227;0,3015;0,2174;0,1842;0,0496;0,0563
228,4;3,2129;2,9153;0,983;0,2899;0,2136;0,182;0,0497;0,0544
228,6;3,2324;2,876;0,9419;0,2799;0,2073;0,1813;0,0487;0,055
228,8;3,2333;2,7986;0,9;0,2702;0,2014;0,1805;0,0468;0,0557
229;3,2323;2,7207;0,8622;0,2589;0,1981;0,178;0,0453;0,055
229,2;3,2507;2,6506;0,8278;0,2489;0,195;0,1762;0,046;0,054
229,4;3,2384;2,5732;0,7976;0,2399;0,1914;0,1741;0,0464;0,0528
229,6;3,2137;2,4922;0,7672;0,2327;0,1891;0,1726;0,047;0,0527
229,8;3,2331;2,395;0,7346;0,2251;0,1858;0,1719;0,0467;0,0538
230;3,2524;2,2978;0,7065;0,2177;0,1829;0,1718;0,0455;0,0541
230,2;3,2333;2,1992;0,6786;0,2092;0,1797;0,1702;0,0455;0,0535
230,4;3,214;2,1114;0,6515;0,2012;0,176;0,168;0,0453;0,0522
230,6;3,2138;2,0223;0,628;0,195;0,1722;0,1661;0,0438;0,0511
230,8;3,2137;1,9334;0,6046;0,1885;0,1695;0,1652;0,0441;0,0507
231;3,2138;1,8449;0,5824;0,183;0,169;0,1648;0,0439;0,0509
231,2;3,2264;1,7603;0,5613;0,1778;0,1676;0,1637;0,0442;0,0514
231,4;3,1986;1,6851;0,5413;0,1731;0,1631;0,1633;0,0422;0,0521
231,6;3,169;1,6105;0,5236;0,1674;0,1605;0,1625;0,0419;0,0515
231,8;3,2035;1,5415;0,5079;0,1624;0,1607;0,1624;0,0431;0,0511
232;3,2032;1,4749;0,492;0,1578;0,1578;0,161;0,0424;0,0513
232,2;3,169;1,415;0,4765;0,1548;0,1556;0,1607;0,0426;0,0512
232,4;3,175;1,3524;0,4617;0,1515;0,1557;0,1606;0,0435;0,0508
232,6;3,1915;1,2912;0,4469;0,1469;0,1541;0,1591;0,0423;0,0506
232,8;3,1862;1,2373;0,4335;0,1431;0,1523;0,1579;0,0402;0,0508
233;3,1801;1,1895;0,4225;0,1398;0,151;0,157;0,0402;0,05
233,2;3,1744;1,1385;0,411;0,1357;0,1493;0,1573;0,0406;0,0504
233,4;3,1537;1,0878;0,3978;0,133;0,1483;0,1563;0,04;0,0516
233,6;3,1485;1,0491;0,3868;0,1319;0,1472;0,1553;0,039;0,0507
233,8;3,134;1,0051;0,3771;0,1294;0,1458;0,1552;0,0402;0,0502
234;3,0902;0,9634;0,3683;0,1254;0,1454;0,1553;0,0397;0,0507
234,2;3,0631;0,9273;0,3603;0,1225;0,145;0,1549;0,0389;0,0508
234,4;3,0242;0,8931;0,3521;0,1213;0,1434;0,1548;0,0393;0,0506
234,6;2,9665;0,8568;0,344;0,1188;0,1424;0,1544;0,0393;0,0501
234,8;2,9042;0,821;0,336;0,1161;0,1416;0,1539;0,0387;0,0499
235;2,8206;0,7907;0,3277;0,1149;0,1404;0,1546;0,0385;0,0493
235,2;2,7203;0,7607;0,3205;0,1131;0,1396;0,154;0,0385;0,0486
235,4;2,6459;0,733;0,3132;0,1106;0,1384;0,153;0,0383;0,0475
235,6;2,5665;0,7049;0,3067;0,1088;0,1368;0,1526;0,0381;0,0479
235,8;2,4617;0,6806;0,3022;0,1078;0,1372;0,1519;0,0384;0,0484
236;2,3716;0,6563;0,2975;0,1074;0,1378;0,1525;0,04;0,0492
236,2;2,2832;0,6318;0,2918;0,1049;0,1368;0,1524;0,0399;0,0503
236,4;2,2032;0,6103;0,2859;0,1031;0,1361;0,1511;0,0393;0,0498
236,6;2,124;0,5905;0,2816;0,102;0,1352;0,1508;0,0395;0,0481
236,8;2,0324;0,5691;0,2774;0,1003;0,1346;0,1499;0,0395;0,0478
237;1,9416;0,5493;0,2725;0,0991;0,135;0,1501;0,039;0,0485
237,2;1,8671;0,5317;0,2673;0,0979;0,1345;0,151;0,0388;0,0491
237,4;1,7906;0,5122;0,2632;0,0968;0,134;0,1504;0,0386;0,0495
237,6;1,7043;0,4947;0,2601;0,0951;0,134;0,1501;0,0391;0,0489
237,8;1,6279;0,479;0,2563;0,0939;0,1333;0,1498;0,0392;0,0479
238;1,5552;0,4641;0,2519;0,0931;0,1328;0,1488;0,0389;0,0478
238,2;1,4851;0,4475;0,2487;0,0922;0,1318;0,1486;0,0395;0,0484
238,4;1,4205;0,4334;0,2451;0,0911;0,1312;0,1491;0,0397;0,0486
238,6;1,3586;0,4207;0,2417;0,0906;0,131;0,1486;0,039;0,0489
238,8;1,2977;0,4082;0,2397;0,0903;0,1314;0,1488;0,0383;0,0497
239;1,2375;0,3959;0,2374;0,0902;0,1306;0,1486;0,0379;0,0493
239,2;1,1847;0,3844;0,2344;0,0895;0,1303;0,1481;0,0379;0,0483
239,4;1,1378;0,3733;0,2322;0,0887;0,1298;0,1482;0,0376;0,0478
239,6;1,09;0,3641;0,2298;0,0878;0,129;0,1478;0,0372;0,0477
239,8;1,041;0,3556;0,227;0,0869;0,1291;0,1472;0,0374;0,0482
240;0,9972;0,3466;0,226;0,0872;0,1294;0,1478;0,0375;0,048
240,2;0,958;0,3373;0,2247;0,0874;0,129;0,148;0,0373;0,0475
240,4;0,9175;0,3288;0,2228;0,0868;0,128;0,1477;0,0378;0,0476
240,6;0,8792;0,3226;0,2217;0,0857;0,1292;0,1469;0,0393;0,0481
240,8;0,8455;0,3161;0,221;0,0854;0,1296;0,1466;0,0395;0,0481
241;0,8139;0,3099;0,2204;0,0856;0,1288;0,1473;0,0391;0,0481
241,2;0,7814;0,3039;0,2182;0,0851;0,1289;0,1462;0,0389;0,0476
241,4;0,7531;0,2991;0,2163;0,0841;0,1293;0,1454;0,0388;0,0465
241,6;0,7269;0,2945;0,2168;0,0835;0,1286;0,145;0,0385;0,0466
241,8;0,7033;0,2903;0,217;0,0842;0,1289;0,1466;0,0382;0,0482
242;0,6797;0,2859;0,2155;0,0842;0,1296;0,1474;0,038;0,0487
242,2;0,6568;0,2818;0,2144;0,0844;0,1292;0,1471;0,0376;0,0481
242,4;0,6349;0,2783;0,2141;0,0847;0,1295;0,147;0,0375;0,0475
242,6;0,6129;0,2754;0,2127;0,0841;0,1292;0,1463;0,0379;0,0477
242,8;0,5968;0,2719;0,2108;0,0833;0,1276;0,1462;0,0387;0,0473
243;0,5818;0,2688;0,2105;0,0829;0,127;0,145;0,0385;0,0465
243,2;0,5661;0,2671;0,2116;0,0845;0,1283;0,1452;0,0388;0,047
243,4;0,5515;0,2652;0,2115;0,0857;0,1293;0,146;0,0392;0,0477
243,6;0,539;0,2646;0,2113;0,0847;0,1299;0,1457;0,0398;0,0476
243,8;0,5271;0,2629;0,2111;0,0837;0,1291;0,1456;0,0395;0,047
244;0,5171;0,2604;0,2108;0,0837;0,1286;0,1458;0,0381;0,0466
244,2;0,5075;0,2598;0,2115;0,0831;0,1295;0,1449;0,0388;0,0466
244,4;0,5;0,26;0,2111;0,0833;0,1289;0,1448;0,0389;0,0463
244,6;0,4948;0,2597;0,211;0,0836;0,1286;0,1459;0,0395;0,0464
244,8;0,4893;0,2595;0,2119;0,0847;0,1291;0,1464;0,0401;0,0469
245;0,4841;0,2596;0,2113;0,086;0,129;0,147;0,0389;0,0475
245,2;0,479;0,2592;0,2102;0,0858;0,1284;0,1461;0,0379;0,0474
245,4;0,4761;0,2587;0,2108;0,0844;0,1288;0,1455;0,0384;0,0473
245,6;0,4734;0,2592;0,2127;0,0845;0,1294;0,1459;0,0391;0,0472
245,8;0,4702;0,26;0,2128;0,0851;0,129;0,1456;0,0391;0,0464
246;0,4671;0,2591;0,2119;0,0855;0,1287;0,1452;0,0393;0,0466
246,2;0,4636;0,2593;0,211;0,0847;0,1286;0,1455;0,0394;0,0465
246,4;0,4612;0,2593;0,2107;0,0839;0,1284;0,1459;0,0391;0,0461
246,6;0,4605;0,2591;0,2112;0,0852;0,1295;0,1455;0,0386;0,0471
246,8;0,4589;0,2589;0,2106;0,0857;0,1297;0,1452;0,0381;0,0473
247;0,4574;0,2572;0,2092;0,0853;0,1282;0,1458;0,0373;0,0459
247,2;0,4563;0,2569;0,2099;0,0843;0,1289;0,1449;0,0381;0,0463
247,4;0,4545;0,2566;0,2104;0,0841;0,1291;0,1441;0,0386;0,0469
247,6;0,453;0,2559;0,2084;0,0836;0,1282;0,1442;0,0381;0,0462
247,8;0,4519;0,2555;0,2082;0,0835;0,1286;0,1438;0,0396;0,0463
248;0,4502;0,2537;0,2074;0,084;0,1282;0,1443;0,0398;0,0466
248,2;0,4481;0,2517;0,2064;0,0838;0,1281;0,1448;0,0393;0,0464
248,4;0,4466;0,2499;0,2055;0,0823;0,1273;0,1447;0,0392;0,0462
248,6;0,4453;0,2483;0,204;0,0825;0,1262;0,1449;0,0383;0,0463
248,8;0,4426;0,2467;0,2027;0,0828;0,1271;0,1435;0,0375;0,0459
