Wavelengt [nm],s1.1,s2.1,s3.1,s4.1,s5.1,s6.1,s7.1,s8.1
200.0,1.1731383401365537e-21,2.1692628975020137e-21,4.274462230442402e-21,8.623263394092991e-21,1.5449909195095736e-20,3.517302735498295e-20,5.499232967818564e-20,1.153280923281302e-19
200.2,1.1861790489136732e-21,2.1796618688525958e-21,4.2599187462064385e-21,8.554283629907069e-21,1.5566409162029524e-20,3.5080044876104696e-20,5.51455116550051e-20,1.1383604417137165e-19
200.4,1.207292577409962e-21,2.19483874595885e-21,4.300338299797296e-21,8.506711378744364e-21,1.5703764061315656e-20,3.472735271484233e-20,5.570810727896021e-20,1.112003115244105e-19
200.6,1.195541609061349e-21,2.1823787172234684e-21,4.350201674320595e-21,8.543579873395461e-21,1.563760358626684e-20,3.445481786295778e-20,5.63459013278994e-20,1.0877491165725673e-19
200.8,1.1873254848501232e-21,2.1722607991526322e-21,4.3730557209771076e-21,8.597495091379859e-21,1.577495848555297e-20,3.480109743946991e-20,5.65937776176618e-20,1.0510723380936566e-19
201.0,1.1965925086697614e-21,2.1973682254765593e-21,4.4019538130303835e-21,8.715632848433912e-21,1.599285657185506e-20,3.51457738697945e-20,5.677759598984515e-20,1.0132124377283296e-19
201.2,1.195684913553405e-21,2.2091724632258685e-21,4.412908645312017e-21,8.872224841844481e-21,1.609713123361678e-20,3.5463196814930626e-20,5.726499318881615e-20,9.858034473596812e-20
201.4,1.1991242213627553e-21,2.213107209142305e-21,4.438784714666911e-21,8.866674745875499e-21,1.6026655944977824e-20,3.5684430988813385e-20,5.72928444573288e-20,9.507698937230156e-20
201.6,1.2083434770183745e-21,2.252735721586414e-21,4.465038536859103e-21,8.809588044480252e-21,1.6156100352682034e-20,3.5769397736753855e-20,5.680823238520904e-20,9.206002856193957e-20
201.8,1.2144100338487562e-21,2.258450471607905e-21,4.43406280420069e-21,8.83495991176703e-21,1.6281949082394458e-20,3.595375954832282e-20,5.671353807226611e-20,8.900363035536368e-20
202.0,1.2242025074726007e-21,2.242524119088996e-21,4.436895950480423e-21,8.896010967425834e-21,1.6148908996698467e-20,3.585917392325701e-20,5.719257989068333e-20,8.575661806708735e-20
202.2,1.2418767281595391e-21,2.2598557380066325e-21,4.451628311135034e-21,8.984019632076837e-21,1.619205713259987e-20,3.601788539582507e-20,5.75769273961576e-20,8.251617867818002e-20
202.4,1.2472745306936583e-21,2.2722220823154325e-21,4.431985163595552e-21,9.054188702541828e-21,1.62812299467961e-20,3.607720180476465e-20,5.769111759705938e-20,7.896681301893059e-20
202.6,1.250236156862821e-21,2.3110074349203054e-21,4.45389482815882e-21,9.114446887347921e-21,1.6338760794664638e-20,3.5900855724133466e-20,5.705332354812018e-20,7.639023646629026e-20
202.8,1.2617005162273217e-21,2.312319016892451e-21,4.48883696560886e-21,9.153693994557154e-21,1.639125769334468e-20,3.604193258863842e-20,5.643781051399108e-20,7.380708701428097e-20
203.0,1.2508571429950647e-21,2.2877736971280146e-21,4.5743979832567944e-21,9.097003728588263e-21,1.6421461388475663e-20,3.651646386015505e-20,5.679709187780399e-20,7.135539554965127e-20
203.2,1.2322753271917697e-21,2.324216939068342e-21,4.59007472600465e-21,9.051413654557337e-21,1.6504161982286683e-20,3.6702428817911565e-20,5.645452127509866e-20,6.877224609764199e-20
203.4,1.2417811918315018e-21,2.344452775210015e-21,4.5755312417686876e-21,9.139025883781985e-21,1.6645831695162958e-20,3.6447528574090127e-20,5.575823956228293e-20,6.582758718033876e-20
203.6,1.2552995822488088e-21,2.3370517055100514e-21,4.619917200151171e-21,9.135061529518426e-21,1.6581109491310854e-20,3.657898656146974e-20,5.510930500593868e-20,6.334303121886417e-20
203.8,1.27517113848061e-21,2.3645012424985237e-21,4.646926528017958e-21,9.164397751068761e-21,1.659549220327799e-20,3.708237446436238e-20,5.400639477283858e-20,6.14566090999668e-20
204.0,1.2763653425810789e-21,2.357943332637797e-21,4.6325719202006446e-21,9.18659813494469e-21,1.651638728745875e-20,3.724910166786823e-20,5.361647701366178e-20,5.931384390567918e-20
204.2,1.2624170386876029e-21,2.3357401235379056e-21,4.6510818092282326e-21,9.23377395068104e-21,1.6502723711089972e-20,3.697656681598368e-20,5.331289818687412e-20,5.680299634672866e-20
204.4,1.2649487513805968e-21,2.3678738818554692e-21,4.720588331291014e-21,9.308303810835944e-21,1.685078534069462e-20,3.71112310957384e-20,5.244115348242884e-20,5.515319860511458e-20
204.6,1.2840082488240793e-21,2.3972907918021606e-21,4.7294655229675105e-21,9.305132327425096e-21,1.699389332476761e-20,3.73196401001207e-20,5.1393945786353996e-20,5.3444244769179683e-20
204.8,1.2909346326067985e-21,2.4040360705160516e-21,4.769885076558367e-21,9.386401589828052e-21,1.6939239019292502e-20,3.751041449643989e-20,5.037458935879178e-20,5.135406276984391e-20
205.0,1.2978610163895177e-21,2.4008508000122696e-21,4.7985942921929945e-21,9.393933862928814e-21,1.7037041460669013e-20,3.760339697531815e-20,4.917141455904622e-20,4.929017236798406e-20
205.2,1.3067936630610245e-21,2.404317123795797e-21,4.745708894971313e-21,9.394330298355169e-21,1.710823588490633e-20,3.7257117398806005e-20,4.7898611588019077e-20,4.752863533709731e-20
205.4,1.2981953935376488e-21,2.4055350213413605e-21,4.72965439938616e-21,9.462517191688379e-21,1.7150664885209375e-20,3.7306814930620254e-20,4.6714932676232354e-20,4.6069451677183663e-20
205.6,1.2934663452997924e-21,2.4019750131312516e-21,4.779328897490811e-21,9.501367863471255e-21,1.7273637072528374e-20,3.716413491992775e-20,4.5450485085759e-20,4.439336233809366e-20
205.8,1.3115704794628996e-21,2.4344835091551425e-21,4.780462156002704e-21,9.551715162618451e-21,1.7505198735199238e-20,3.719780098986643e-20,4.429744256933617e-20,4.2664689804051814e-20
206.0,1.3380818104933077e-21,2.4572488248145247e-21,4.7704517058143135e-21,9.570347627657177e-21,1.754331292191214e-20,3.7577746636317245e-20,4.291323452425851e-20,4.112005845234142e-20
206.2,1.3285759458535756e-21,2.4603404108917246e-21,4.815782046290041e-21,9.538632793548706e-21,1.7376473463093385e-20,3.747514528031366e-20,4.1537381859734654e-20,3.9851488874128196e-20
206.4,1.306315981420837e-21,2.4698962224030703e-21,4.843546879831424e-21,9.5719333693626e-21,1.7283704970905366e-20,3.724429222930556e-20,4.022280198593857e-20,3.852376320159415e-20
206.6,1.3093253757540184e-21,2.4696151691233247e-21,4.840147104295744e-21,9.569951192230822e-21,1.7403081480232584e-20,3.705512097917393e-20,3.888594109733239e-20,3.722232912653604e-20
206.8,1.3245634200760005e-21,2.4628698904094337e-21,4.872822724721997e-21,9.634966602153186e-21,1.762673265132152e-20,3.6814649051040504e-20,3.7819237513298706e-20,3.6098363334440387e-20
207.0,1.3067458948970055e-21,2.4500351239677246e-21,4.90549834514825e-21,9.751122182075458e-21,1.766628510923114e-20,3.662868409328398e-20,3.675253392926502e-20,3.4941533045499834e-20
207.2,1.3073668810292494e-21,2.462588837129688e-21,4.9138089075688e-21,9.707514285176311e-21,1.775401965223066e-20,3.65036386906546e-20,3.561063192024723e-20,3.339032879442046e-20
207.4,1.3404702186942453e-21,2.4950036487269974e-21,4.878111264444165e-21,9.697206964091057e-21,1.7722377685902964e-20,3.604193258863842e-20,3.4452019150121875e-20,3.2286081700431756e-20
207.6,1.3416166546306955e-21,2.5145836938825975e-21,4.871689466210104e-21,9.791558595563755e-21,1.7557695633879277e-20,3.5350976581801687e-20,3.3505076020692494e-20,3.130671969445367e-20
207.8,1.3327317761232073e-21,2.5046531446649252e-21,4.9366629542253125e-21,9.84785242610629e-21,1.755697649828092e-20,3.4738574738155223e-20,3.2466223705171435e-20,3.0268201594154767e-20
208.0,1.338941637445645e-21,2.482824673271361e-21,4.9515841912985725e-21,9.850231038664425e-21,1.761163080375603e-20,3.4196711326761235e-20,3.1179495099887985e-20,2.9255975091331784e-20
208.2,1.3518390417307086e-21,2.5094310504205975e-21,4.955550596090199e-21,9.845473813548153e-21,1.7731726448681604e-20,3.37221800552446e-20,3.027711400007881e-20,2.832919628030555e-20
208.4,1.3555649585241712e-21,2.5279805668837978e-21,4.981048912607795e-21,9.884720920757386e-21,1.7840315924033466e-20,3.335345643210667e-20,2.93552370123108e-20,2.751415675855198e-20
208.6,1.3516002009106147e-21,2.5338826857584524e-21,5.014291162289995e-21,9.893046064710859e-21,1.792085911104942e-20,3.2742657734647763e-20,2.8430574897691515e-20,2.6633388243108604e-20
