 # Mode   Huang-Rhys factor
           1   12.490731855888454     
           2   16.881797384074126     
           3   3.6782618945871032E-005
           4   9.7300673594346211E-009
           5   1.9181556736238172     
           6   1.2009036450076092     
           7   2.1230020299218911E-006
           8   1.9338735078339923E-005
           9   5.2161279784984833     
          10   1.3948062438544031E-008
          11  0.46918202780519974     
          12   4.5445157459195951E-008
          13   5.3510152112191829     
          14   4.1242415368478287E-008
          15   16.495909865355973     
          16   1.0187252746245406E-006
          17   4.1558998946502879     
          18   7.7624847568303279     
          19   3.5505393243420807E-006
          20   4.0081132033967167E-004
          21   1.9502631131988385E-002
          22   3.9330959461173771E-007
          23   1.7913173451631941     
          24   3.7421084091876969E-005
          25  0.92950345111568256     
          26   4.6725991050606872     
          27   2.3046455590438871E-004
          28   1.2285412764440229E-005
          29   1.0917680192358316E-002
          30   2.2450504738817290E-008
          31  0.16296409771142398     
          32   3.8838892846686465E-003
          33   5.3502306966231590     
          34   2.0093572126745484E-005
          35   45.514067791241324     
          36   1.4809410730734356     
          37   1.2875349953501004E-007
          38   1.1985330922451541E-002
          39   5.2012230591991555     
