X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
356,7;0,0067;274,4;0,0132;241,86;0;231,57;0,0003;224,6;0,0221;185,2;0
356,7;0,0067;274,4;0,0132;234,06;0,0357;208,38;0,0046;215,02;0,0099;185,19;0
343,75;0,0051;269,4;0;234,06;0,0357;207,75;0,0005;209,68;0,0032;162,8;0
343,75;0,0051;269,4;0;227,42;0;206,77;0,0168;208,15;0,0163;162,78;0
321,96;0;246,6;0,0001;227,42;0;206,55;0;206,05;0,0151;162,77;0
321,95;0;238,79;0;221,01;0,0116;204,42;0,0149;199,22;0,0086;151,1;0,0246
318,99;0;238,79;0;221,01;0,0116;201,4;0,0286;198,65;0,0054;151,08;0,0248
317,65;0,01;237,72;0,003;219,74;0,0282;199,84;0,0006;197,32;0,0165;151,07;0,0247
315,8;0;237,72;0,003;212,95;0;198,02;0,0003;196,69;0,0068;150,1;0,0141
315,8;0;236,15;0;212,95;0;196,33;0,0166;194,94;0,0117;150,09;0,0142
309,94;0,0009;236,15;0;207,75;0;195,25;0,0279;194,66;0,0045;150,08;0,0145
309,94;0,0009;233,77;0;207,75;0;194,62;0,0038;193,46;0,0197;147,8;0
278;0,0309;233,77;0;205,58;0,0043;193,71;0,0058;192,4;0,0141;147,79;0
256,96;0,0002;230,45;0;205,58;0,0043;192,05;0,0018;191,78;0,0164;147,79;0
256,96;0,0002;230,44;0;204,61;0;189,76;0,0225;191,26;0,005;146,7;0
246,1;0,0006;228,99;0;204,61;0;187,92;0,0311;191,1;0,0059;146,69;0
246,1;0,0006;226,66;0;202,35;0;185,6;0;190,18;0,0069;146,68;0
246,09;0,0027;226,66;0;202,08;0,0044;182,83;0,0193;189,03;0,0519;143,02;0
241,49;0;225,34;0;202,08;0,0044;179,07;0,0048;188,14;0,0049;143,02;0
241,46;0;221,72;0,0892;201,75;0;177,68;0;186,96;0,0036;142,9;0
212,4;0;218,52;0;200,95;0;177,58;0,0046;184,44;0,0172;142,62;0,015
212,38;0;218,5;0;197,62;0,0532;176,23;0;183,91;0,0162;142,61;0,0144
202;0,0092;213,03;0;197,62;0,0532;175,47;0,0009;183,32;0,0039;142,6;0,0149
201,61;0,0003;213,03;0;197,3;0;175,08;0,006;182,88;0,0045;142,12;0
201,61;0,0003;211,15;0,0026;196,08;0;174,06;0,0005;182,68;0,0025;142,11;0
