X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
150;0;180;0;170;0;150;0;160;0;120;0
150,5;0;180,28;0;170,2;0;150,22;0;160,18;0;120,16;0
151;0;180,56;0;170,4;0;150,44;0;160,36;0;120,32;0
151,5;0;180,84;0;170,6;0;150,66;0;160,54;0;120,48;0
152;0;181,12;0;170,8;0;150,88;0;160,72;0;120,64;0
152,5;0;181,4;0;171;0;151,1;0;160,9;0;120,8;0
153;0;181,68;0;171,2;0;151,32;0;161,08;0;120,96;0
153,5;0;181,96;0;171,4;0;151,54;0;161,26;0;121,12;0
154;0;182,24;0;171,6;0;151,76;0;161,44;0;121,28;0
154,5;0;182,52;0;171,8;0;151,98;0;161,62;0;121,44;0
155;0;182,8;0;172;0;152,2;0;161,8;0;121,6;0
155,5;0;183,08;0;172,2;0;152,42;0;161,98;0;121,76;0
156;0;183,36;0;172,4;0;152,64;0;162,16;0;121,92;0
156,5;0;183,64;0;172,6;0;152,86;0;162,34;0;122,08;0
157;0;183,92;0;172,8;0;153,08;0;162,52;0;122,24;0
157,5;0;184,2;0;173;0;153,3;0;162,7;0;122,4;0
158;0;184,48;0;173,2;0;153,52;0;162,88;0;122,56;0
158,5;0;184,76;0;173,4;0;153,74;0;163,06;0;122,72;0
159;0;185,04;0;173,6;0;153,96;0;163,24;0;122,88;0
159,5;0;185,32;0;173,8;0;154,18;0;163,42;0;123,04;0
160;0;185,6;0;174;0;154,4;0;163,6;0;123,2;0
160,5;0;185,88;0;174,2;0;154,62;0;163,78;0;123,36;0
161;0;186,16;0;174,4;0;154,84;0;163,96;0;123,52;0
161,5;0;186,44;0;174,6;0;155,06;0;164,14;0;123,68;0
162;0;186,72;0;174,8;0;155,28;0;164,32;0;123,84;0
162,5;0;187;0;175;0;155,5;0;164,5;0;124;0
163;0;187,28;0;175,2;0;155,72;0;164,68;0;124,16;0
163,5;0;187,56;0;175,4;0;155,94;0;164,86;0;124,32;0
164;0;187,84;0;175,6;0;156,16;0;165,04;0;124,48;0
