X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
230,83;0,0184;210,01;0,0262;216,16;0,0641;;;226,6;0,0117;198,97;0,0003
224,99;0,0132;210,01;0,0262;213,42;0,067;;;211,54;0,0128;194,9;0,0018
224,99;0,0132;209,3;0;204,1;0;;;195,9;0,0016;170,45;0,0018
209,11;0,0191;209,3;0;197,74;0;;;194,31;0,0265;169,07;0,0011
209,11;0,0191;206,51;0;197,21;0;;;194,13;0,0038;168,69;0,0007
197,34;0;206,51;0;194,86;0;;;192,94;0,0331;164,54;0,035
197,34;0;205,58;0;194,24;0;;;190,82;0,1046;164,02;0,0361
196,64;0;195,99;0,0008;193,08;0,0396;;;189,81;0,0044;163,65;0,0153
194,15;0;192,79;0;192,64;0,0279;;;189,06;0,0002;161,36;0,0003
194,14;0;192,79;0;191,61;0,0315;;;186,81;0,0086;159,55;0,001
193,11;0;192,05;0;190,86;0;;;186,42;0,0151;158,36;0,0007
193,11;0;191,92;0;190,75;0;;;185,79;0,0456;155,25;0,0004
192,6;0,0012;191,92;0;188,89;0,0004;;;185,66;0,0641;153,65;0,0111
192,6;0,0012;191,25;0;187,69;0,0158;;;184,19;0,0108;152,71;0,0014
192,29;0,0311;190,11;0,0787;186,52;0,0033;;;182,73;0,0388;151,28;0,0113
183,91;0,0002;188,72;0;185,14;0,0075;;;182,52;0,0205;151,07;0,0015
183,91;0,0002;188,72;0;184,6;0,0598;;;182,16;0,0019;150,33;0,0026
183,32;0,0003;188,41;0,0006;184,43;0;;;181,69;0,0226;147,77;0,0765
179,18;0,0095;188,41;0,0006;184,25;0,0765;;;180,3;0,0491;147,18;0,0629
179,18;0,0095;188,23;0;183,15;0;;;179,83;0,0122;146,14;0,0224
178,06;0,0065;188,23;0;182,4;0,0022;;;179,37;0,0006;145,09;0,024
178,06;0,0065;187,61;0;182,19;0;;;176,41;0,0007;144,58;0,0087
175,09;0;187,61;0;182,07;0,0021;;;175,66;0,0411;144,23;0,0119
175,06;0;186,94;0,0562;181,97;0;;;174,82;0,0001;143,08;0,0007
166,3;0,0013;186,94;0,0562;181,62;0,0014;;;174,22;0,0027;142,25;0,0014
