X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
140;0;160;0;160;0;;;150;0;120;0
140,24;0;160,14;0;160,16;0;;;150,2;0;120,2;0
140,48;0;160,28;0;160,32;0;;;150,4;0;120,4;0
140,72;0;160,42;0;160,48;0;;;150,6;0;120,6;0
140,96;0;160,56;0;160,64;0;;;150,8;0;120,8;0
141,2;0;160,7;0;160,8;0;;;151;0;121;0
141,44;0;160,84;0;160,96;0;;;151,2;0;121,2;0
141,68;0;160,98;0;161,12;0;;;151,4;0;121,4;0
141,92;0;161,12;0;161,28;0;;;151,6;0;121,6;0
142,16;0;161,26;0;161,44;0;;;151,8;0;121,8;0
142,4;0;161,4;0;161,6;0;;;152;0;122;0
142,64;0;161,54;0;161,76;0;;;152,2;0;122,2;0
142,88;0;161,68;0;161,92;0;;;152,4;0;122,4;0
143,12;0;161,82;0;162,08;0;;;152,6;0;122,6;0
143,36;0;161,96;0;162,24;0;;;152,8;0;122,8;0
143,6;0;162,1;0;162,4;0;;;153;0;123;0
143,84;0;162,24;0;162,56;0;;;153,2;0;123,2;0
144,08;0;162,38;0;162,72;0;;;153,4;0;123,4;0
144,32;0;162,52;0;162,88;0;;;153,6;0;123,6;0
144,56;0;162,66;0;163,04;0;;;153,8;0;123,8;0
144,8;0;162,8;0;163,2;0;;;154;0;124;0
145,04;0;162,94;0;163,36;0;;;154,2;0;124,2;0
145,28;0;163,08;0;163,52;0;;;154,4;0;124,4;0
145,52;0;163,22;0;163,68;0;;;154,6;0;124,6;0
145,76;0;163,36;0;163,84;0;;;154,8;0;124,8;0
146;0;163,5;0;164;0;;;155;0;125;0
146,24;0;163,64;0;164,16;0;;;155,2;0;125,2;0
146,48;0;163,78;0;164,32;0;;;155,4;0;125,4;0
146,72;0;163,92;0;164,48;0;;;155,6;0;125,6;0
146,96;0;164,06;0;164,64;0;;;155,8;0;125,8;0
147,2;0;164,2;0;164,8;0;;;156;0;126;0
147,44;0;164,34;0;164,96;0;;;156,2;0;126,2;0
147,68;0;164,48;0;165,12;0;;;156,4;0;126,4;0
147,92;0;164,62;0;165,28;0;;;156,6;0;126,6;0
148,16;0;164,76;0;165,44;0;;;156,8;0;126,8;0
148,4;0;164,9;0;165,6;0;;;157;0;127;0
148,64;0;165,04;0;165,76;0;;;157,2;0;127,2;0
148,88;0;165,18;0;165,92;1,00E-10;;;157,4;0;127,4;0
149,12;0;165,32;0;166,08;1,00E-10;;;157,6;0;127,6;0
149,36;0;165,46;0;166,24;3,00E-10;;;157,8;0;127,8;0
149,6;0;165,6;0;166,4;5,00E-10;;;158;0;128;0
149,84;0;165,74;0;166,56;9,00E-10;;;158,2;0;128,2;0
150,08;0;165,88;0;166,72;1,80E-09;;;158,4;0;128,4;0
150,32;0;166,02;0;166,88;3,20E-09;;;158,6;0;128,6;0
150,56;0;166,16;0;167,04;5,80E-09;;;158,8;0;128,8;0
150,8;0;166,3;0;167,2;1,06E-08;;;159;0;129;0
151,04;0;166,44;0;167,36;1,89E-08;;;159,2;0;129,2;0
151,28;0;166,58;0;167,52;3,36E-08;;;159,4;0;129,4;0
151,52;0;166,72;0;167,68;5,92E-08;;;159,6;1,00E-10;129,6;0
151,76;0;166,86;0;167,84;1,04E-07;;;159,8;2,00E-10;129,8;0
152;0;167;0;168;1,80E-07;;;160;4,00E-10;130;0
152,24;0;167,14;0;168,16;3,10E-07;;;160,2;8,00E-10;130,2;0
152,48;0;167,28;0;168,32;5,29E-07;;;160,4;1,90E-09;130,4;0
152,72;0;167,42;0;168,48;8,97E-07;;;160,6;4,30E-09;130,6;0
152,96;0;167,56;0;168,64;1,51E-06;;;160,8;9,70E-09;130,8;0
153,2;1,00E-10;167,7;0;168,8;2,52E-06;;;161;2,13E-08;131;0
153,44;3,00E-10;167,84;0;168,96;4,19E-06;;;161,2;4,62E-08;131,2;0
153,68;9,00E-10;167,98;0;169,12;6,89E-06;;;161,4;0,000000099;131,4;0
153,92;2,60E-09;168,12;0;169,28;1,13E-05;;;161,6;2,09E-07;131,6;0
154,16;7,40E-09;168,26;0;169,44;1,83E-05;;;161,8;4,36E-07;131,8;0
154,4;2,02E-08;168,4;0;169,6;2,95E-05;;;162;8,95E-07;132;0
154,64;5,38E-08;168,54;0;169,76;4,71E-05;;;162,2;0,000001815;132,2;0
154,88;1,40E-07;168,68;0;169,92;7,48E-05;;;162,4;3,63E-06;132,4;0
155,12;3,57E-07;168,82;0;170,08;0,000117984;;;162,6;7,17E-06;132,6;1,00E-10
155,36;8,85E-07;168,96;0;170,24;0,00018477;;;162,8;1,40E-05;132,8;5,00E-10
155,6;2,15E-06;169,1;0;170,4;0,000287364;;;163;2,69E-05;133;1,60E-09
155,84;5,08E-06;169,24;0;170,56;0,000443869;;;163,2;5,11E-05;133,2;5,30E-09
156,08;1,17E-05;169,38;1,00E-10;170,72;0,000680968;;;163,4;9,58E-05;133,4;1,64E-08
